date,open,high,low,close,volume,dividend,split
2001-08-06,6.65,6.65,6.65,6.65,1000,0.0,1.0
2001-12-18,6.4,6.4,6.4,6.4,100,0.0,1.0
2001-12-31,7.15,7.25,7.15,7.25,800,0.0,1.0
2002-01-03,8,8,7.5,7.5,500,0.0,1.0
2002-01-10,7.5,7.5,7.5,7.5,100,0.0,1.0
2002-01-14,7.7,7.75,7.7,7.75,800,0.0,1.0
2002-01-15,8,8,8,8,100,0.0,1.0
2002-01-16,8,8.05,8,8,1000,0.0,1.0
2002-01-17,8.1,8.1,8.1,8.1,100,0.0,1.0
2002-01-18,8.65,8.65,8.65,8.65,100,0.0,1.0
2002-01-21,9.2,9.2,8.75,8.75,2,0.0,1.0
2002-01-23,8.5,8.5,8.5,8.5,500,0.0,1.0
2002-01-24,8,8.85,7.85,8,1200,0.0,1.0
2002-01-25,7.9,7.9,7.75,7.75,300,0.0,1.0
2002-01-28,7.9,7.9,7.85,7.85,1400,0.0,1.0
2002-01-29,7.25,7.25,7.25,7.25,200,0.0,1.0
2002-01-30,7.8,7.8,7.8,7.8,1,0.0,1.0
2002-01-31,7.5,7.5,7.5,7.5,200,0.0,1.0
2002-02-01,8,8.1,7.9,8.1,1600,0.0,1.0
2002-02-04,8,8,7.9,7.9,1200,0.0,1.0
2002-02-05,8.2,8.25,7.9,8.25,300,0.0,1.0
2002-02-06,8.1,8.1,7.9,7.9,600,0.0,1.0
2002-02-08,8,8,7.3,7.8,6300,0.0,1.0
2002-02-11,7.4,7.9,7.4,7.5,769,0.0,1.0
2002-02-12,7.6,7.8,7.5,7.75,2119,0.0,1.0
2002-02-13,7.75,7.8,7.75,7.75,2050,0.0,1.0
2002-02-14,8.2,8.2,8.2,8.2,2,0.0,1.0
2002-02-15,7.75,7.75,7.75,7.75,100,0.0,1.0
2002-02-18,7.65,7.65,7.65,7.65,100,0.0,1.0
2002-02-19,7.9,8,7.9,8,1838,0.0,1.0
2002-02-20,7.9,7.9,7.9,7.9,700,0.0,1.0
2002-02-21,8.4,8.5,8,8.2,3096,0.0,1.0
2002-02-22,8,8.5,8,8,801,0.0,1.0
2002-02-25,7.9,8.3,7.85,8.3,2699,0.0,1.0
2002-02-28,7.8,7.8,7.8,7.8,100,0.0,1.0
2002-03-01,8.3,8.3,7.7,7.7,300,0.0,1.0
2002-03-06,8,8,8,8,100,0.0,1.0
2002-03-08,7.9,7.9,7.9,7.9,100,0.0,1.0
2002-03-13,7.4,7.45,7.4,7.45,1100,0.0,1.0
2002-03-14,7.2,7.2,7.15,7.15,600,0.0,1.0
2002-03-15,7,7.6,7,7.6,500,0.0,1.0
2002-03-18,7.6,7.6,7.5,7.5,300,0.0,1.0
2002-03-19,7.6,7.6,7.1,7.4,1010,0.0,1.0
2002-03-20,7.5,7.5,7.1,7.15,1399,0.0,1.0
2002-03-21,7,7.5,7,7.5,200,0.0,1.0
2002-03-22,7.45,7.5,7.45,7.5,400,0.0,1.0
2002-03-26,7.2,7.2,7.2,7.2,100,0.0,1.0
2002-03-27,7.5,7.6,7.5,7.5,600,0.0,1.0
2002-04-03,7.25,7.75,7.25,7.5,1950,0.0,1.0
2002-04-05,7.5,7.5,7.5,7.5,400,0.0,1.0
2002-04-08,7.3,7.5,7.05,7.5,2200,0.0,1.0
2002-04-09,7.5,7.5,7.5,7.5,400,0.0,1.0
2002-04-10,7.15,7.8,7.15,7.8,105,0.0,1.0
2002-04-11,7.3,7.3,7.3,7.3,200,0.0,1.0
2002-04-12,7.8,7.8,7.5,7.5,220,0.0,1.0
2002-04-15,7.6,7.6,7.6,7.6,300,0.0,1.0
2002-04-17,7.65,7.7,7.65,7.7,200,0.0,1.0
2002-04-18,8,8,7.75,7.75,500,0.0,1.0
2002-04-19,7.7,7.7,7.5,7.5,850,0.0,1.0
2002-04-24,7.8,7.8,7.35,7.35,500,0.0,1.0
2002-04-26,8.75,8.75,7.45,7.45,2,0.0,1.0
2002-04-29,7.3,7.3,7.25,7.25,1600,0.0,1.0
2002-05-03,8.55,8.55,8.55,8.55,100,0.0,1.0
2002-05-06,8.05,8.05,8,8,300,0.0,1.0
2002-05-07,8.2,8.25,8.2,8.2,1600,0.0,1.0
2002-05-08,7.55,7.8,7.55,7.7,1700,0.0,1.0
2002-05-09,8,8.15,8,8.15,400,0.0,1.0
2002-05-14,7.6,7.75,7.6,7.75,505,0.0,1.0
2002-05-15,7.6,7.6,7.6,7.6,100,0.0,1.0
2002-05-17,7.75,7.75,7.5,7.55,550,0.0,1.0
2002-05-23,7.6,7.6,7.6,7.6,100,0.0,1.0
2002-05-24,7.6,7.9,7.6,7.8,695,0.0,1.0
2002-05-28,7.65,7.65,7.65,7.65,200,0.0,1.0
2002-05-29,8,8.1,8,8.05,500,0.0,1.0
2002-05-30,8,8,7.6,7.7,1600,0.0,1.0
2002-05-31,7.7,7.7,7.7,7.7,200,0.0,1.0
2002-06-03,7.5,8,7.5,7.9,400,0.0,1.0
2002-06-06,7.8,7.8,7.75,7.75,200,0.0,1.0
2002-06-07,7.75,8.2,7.75,8.2,500,0.0,1.0
2002-06-10,8.2,8.2,8.2,8.2,1,0.0,1.0
2002-06-11,7.75,8.1,7.75,8.1,500,0.0,1.0
2002-06-12,8.1,8.25,8,8.25,900,0.0,1.0
2002-06-13,8.25,8.25,8.25,8.25,299,0.0,1.0
2002-06-14,7.9,7.9,7.9,7.9,500,0.0,1.0
2002-06-17,8.1,8.2,8.1,8.2,400,0.0,1.0
2002-06-18,8.5,8.5,8.05,8.05,3543,0.0,1.0
2002-06-19,9.4,9.4,8.25,8.3,300,0.0,1.0
2002-06-20,8.5,8.5,8.5,8.5,100,0.0,1.0
2002-06-21,8.5,8.5,7.9,8,3900,0.0,1.0
2002-06-24,9,9.6,8.55,9.45,3018,0.0,1.0
2002-06-25,9.6,9.95,9.55,9.7,599,0.0,1.0
2002-06-26,9,9,9,9,100,0.0,1.0
2002-07-01,8.5,8.7,8.4,8.7,6225,0.0,1.0
2002-07-02,8.9,9.2,8.9,9,1977,0.0,1.0
2002-07-03,8.55,8.9,8.55,8.9,900,0.0,1.0
2002-07-04,8.3,8.3,8.3,8.3,99,0.0,1.0
2002-07-05,9.2,9.2,9,9,5000,0.0,1.0
2002-07-08,9.6,10.25,9.6,10.1,6399,0.0,1.0
