date,open,high,low,close,volume,dividend,split
2006-05-09,34.75,50.400002,32,45.75,24253900,0.0,1.0
2006-05-10,47.599998,54.900002,47.599998,54.900002,712400,0.0,1.0
2006-05-11,65.849998,65.849998,57,65.849998,3958900,0.0,1.0
2006-05-12,69.400002,78,59,72.599998,10164700,0.0,1.0
2006-05-15,71.699997,75.800003,65.349998,67.349998,3929900,0.0,1.0
2006-05-16,67,69.699997,60.650002,63.450001,1674500,0.0,1.0
2006-05-17,66,69.75,64,69.75,1115400,0.0,1.0
2006-05-18,70.5,70.800003,62.799999,62.799999,868300,0.0,1.0
2006-05-19,62,65,56.549999,56.549999,832600,0.0,1.0
2006-05-22,56.849998,58,53.75,53.75,98900,0.0,1.0
2006-05-23,51.200001,56.400002,51.099998,55,314900,0.0,1.0
2006-05-24,56.75,57,52.299999,52.549999,257700,0.0,1.0
2006-05-25,51.299999,52.700001,49.950001,50.150002,136900,0.0,1.0
2006-05-26,51,52.650002,50.25,50.950001,225100,0.0,1.0
2006-05-29,51.75,52,49.049999,49.549999,120100,0.0,1.0
2006-05-30,49.900002,50.25,47.099998,47.099998,184400,0.0,1.0
2006-05-31,45,45.349998,44.75,44.75,17900,0.0,1.0
2006-06-01,43.950001,43.950001,42.549999,42.549999,138600,0.0,1.0
2006-06-02,42,42,40.450001,40.450001,26300,0.0,1.0
2006-06-05,38.549999,39.5,38.450001,38.450001,76400,0.0,1.0
2006-06-06,36.549999,36.549999,36.549999,36.549999,1600,0.0,1.0
2006-06-07,34.75,34.75,34.75,34.75,2600,0.0,1.0
2006-06-08,33.049999,33.049999,33.049999,33.049999,12500,0.0,1.0
2006-06-09,31.4,31.4,31.4,31.4,4000,0.0,1.0
2006-06-12,28.299999,32.400002,28.299999,28.799999,266000,0.0,1.0
2006-06-13,27.4,28.75,27.4,27.4,35200,0.0,1.0
2006-06-14,27.4,28.450001,26.049999,26.049999,48400,0.0,1.0
2006-06-15,26.950001,26.950001,24.75,25.700001,149852,0.0,1.0
2006-06-16,26.6,26.950001,26,26.950001,35165,0.0,1.0
2006-06-19,27.85,27.950001,25.700001,26.9,131700,0.0,1.0
2006-06-20,26.4,27.75,26.049999,27.25,56900,0.0,1.0
2006-06-21,26.549999,28.6,26.549999,28.6,61100,0.0,1.0
2006-06-22,30,30,30,30,102800,0.0,1.0
2006-06-23,31.5,31.5,29.9,31.5,251800,0.0,1.0
2006-06-26,34.700001,34.700001,31.4,31.65,167800,0.0,1.0
2006-06-27,32.349998,32.400002,30.15,31.049999,72800,0.0,1.0
2006-06-28,31,31,29.5,30.549999,22900,0.0,1.0
2006-06-29,30.9,31.5,30,30.5,21500,0.0,1.0
2006-06-30,32,32,31,31.5,57000,0.0,1.0
2006-07-03,33,33,31,31.5,22700,0.0,1.0
2006-07-04,31.5,31.75,30.6,30.799999,12300,0.0,1.0
2006-07-05,31.4,31.5,30.4,30.65,34700,0.0,1.0
2006-07-06,30.25,30.950001,29.85,30.049999,16000,0.0,1.0
2006-07-07,31.549999,31.549999,28.9,29.1,30100,0.0,1.0
2006-07-10,29.75,30,28.5,28.75,18500,0.0,1.0
2006-07-11,29.9,29.9,28,28.5,23045,0.0,1.0
2006-07-12,27.25,29,27.200001,28.65,25300,0.0,1.0
2006-07-13,28.049999,30.049999,28.049999,30,33100,0.0,1.0
2006-07-14,29,30.9,28.75,30.15,32340,0.0,1.0
2006-07-17,30.950001,31.65,29.85,30.200001,113700,0.0,1.0
2006-07-18,30.950001,30.950001,28.75,28.85,29294,0.0,1.0
2006-07-19,29.5,30,28.049999,28.4,40500,0.0,1.0
2006-07-20,29.15,29.15,28.299999,28.549999,9100,0.0,1.0
2006-07-21,29.6,29.6,27.5,27.6,18100,0.0,1.0
2006-07-24,27.549999,27.9,26.25,27.25,19224,0.0,1.0
2006-07-25,27,28,26.049999,26.450001,21000,0.0,1.0
2006-07-26,26.549999,27.75,26.25,26.5,33776,0.0,1.0
2006-07-27,25.700001,27.25,25.5,25.75,33050,0.0,1.0
2006-07-28,26.5,26.549999,25.75,26.25,18200,0.0,1.0
2006-07-31,26.1,27.549999,26.1,27.549999,24700,0.0,1.0
2006-08-01,28.700001,28.799999,27.85,28.35,36600,0.0,1.0
2006-08-02,28,28.5,27.1,27.799999,17678,0.0,1.0
2006-08-03,27.6,28.450001,27.5,27.950001,24588,0.0,1.0
2006-08-04,28.450001,28.450001,27.75,28,10019,0.0,1.0
2006-08-07,28.5,28.5,27.299999,27.700001,12100,0.0,1.0
2006-08-08,27.950001,28.75,27.549999,28.4,28800,0.0,1.0
2006-08-09,28,28.9,28,28.75,18800,0.0,1.0
2006-08-10,28.75,31.6,28.549999,31.6,79900,0.0,1.0
2006-08-11,34.75,34.75,32,34.75,48800,0.0,1.0
2006-08-14,36.349998,36.450001,34.5,35.450001,87800,0.0,1.0
2006-08-16,37,37.150002,34,34.5,40800,0.0,1.0
2006-08-17,35.099998,35.099998,32.799999,32.799999,35700,0.0,1.0
