date,open,high,low,close,volume,dividend,split
2000-01-17,6.99972,7.04972,6.89972,6.94972,41667,0.0,1.0
2000-01-18,6.95472,7.24971,6.92722,6.94972,178333,0.0,1.0
2000-01-19,6.94972,6.94972,6.74973,6.79223,215333,0.0,1.0
2000-01-20,6.84973,6.87473,6.79973,6.79973,65000,0.0,1.0
2000-01-21,6.74973,6.77473,6.69973,6.71723,61667,0.0,1.0
2000-01-24,7.09972,7.09972,6.84973,6.89972,111667,0.0,1.0
2000-01-25,6.92472,7.09722,6.92472,7.04222,125133,0.0,1.0
2000-01-26,7.04222,7.04222,7.04222,7.04222,0,0.0,1.0
2000-01-27,7.24971,7.6047,7.09972,7.4197,356667,0.0,1.0
2000-01-28,7.4997,7.64969,7.24971,7.29221,346667,0.0,1.0
2000-01-31,7.10472,7.87469,7.10472,7.5297,551667,0.0,1.0
2000-02-01,7.5997,7.5997,7.04972,7.18221,358333,0.0,1.0
2000-02-02,7.75469,7.75469,7.74969,7.75469,515900,0.0,1.0
2000-02-03,7.75469,7.75469,7.75469,7.75469,0,0.0,1.0
2000-02-04,8.39966,8.74965,7.99968,8.12218,480000,0.0,1.0
2000-02-07,8.34967,8.76965,8.24967,8.74715,401667,0.0,1.0
2000-02-08,8.74965,8.84965,8.24967,8.42466,276500,0.0,1.0
2000-02-09,8.54966,8.54966,8.12468,8.13217,175000,0.0,1.0
2000-02-10,8.24467,8.24467,7.63969,7.91968,196667,0.0,1.0
2000-02-11,7.77969,7.89968,7.74969,7.78719,166667,0.0,1.0
2000-02-14,7.79969,7.99968,7.32471,7.34971,130000,0.0,1.0
2000-02-15,7.24971,7.34471,7.24721,7.24971,38333,0.0,1.0
2000-02-16,7.4997,7.4997,7.05472,7.24471,230833,0.0,1.0
2000-02-17,7.04972,7.09972,6.84973,7.04972,55233,0.0,1.0
2000-02-18,7.04972,7.36971,6.99972,7.27971,115000,0.0,1.0
2000-02-21,7.64969,7.64969,7.17971,7.24971,129500,0.0,1.0
2000-02-22,7.14971,7.3897,7.14971,7.18221,80033,0.0,1.0
2000-02-23,7.24971,7.29971,7.12971,7.27721,108333,0.0,1.0
2000-02-24,7.4997,7.4997,6.85473,7.4497,101667,0.0,1.0
2000-02-25,7.3997,7.4497,7.25471,7.30471,222867,0.0,1.0
2000-02-28,7.4997,7.5497,7.30471,7.4122,15233,0.0,1.0
2000-02-29,7.92468,7.92468,6.99972,7.16221,85000,0.0,1.0
2000-03-01,7.14971,7.5997,7.14971,7.5997,85000,0.0,1.0
2000-03-02,7.74969,7.74969,7.3997,7.67469,178333,0.0,1.0
2000-03-03,7.14971,7.29971,7.06222,7.24971,245000,0.0,1.0
2000-03-06,7.24971,7.4497,6.76973,7.24971,121667,0.0,1.0
2000-03-07,6.92722,7.13471,6.85223,7.13471,28333,0.0,1.0
2000-03-08,6.74973,6.94972,6.56474,6.59224,250000,0.0,1.0
2000-03-09,6.49974,6.57474,6.29975,6.54974,186667,0.0,1.0
2000-03-10,6.69973,6.89972,6.34975,6.66723,265567,0.0,1.0
2000-03-13,6.66723,6.66723,6.66723,6.66723,0,0.0,1.0
2000-03-14,6.72473,7.4947,6.44224,6.69973,108333,0.0,1.0
2000-03-15,6.69973,7.04222,6.60474,6.97972,106667,0.0,1.0
2000-03-16,6.74973,6.94722,6.70473,6.79223,31667,0.0,1.0
2000-03-17,6.79223,6.79223,6.79223,6.79223,0,0.0,1.0
2000-03-20,6.79223,6.79223,6.79223,6.79223,0,0.0,1.0
2000-03-21,6.74973,6.98472,6.64973,6.66223,120000,0.0,1.0
