date,open,high,low,close,volume,dividend,split
2011-06-28,48.650002,48.650002,15.15,21.9,35545,0.0,1.0
2011-06-29,20.85,20.85,20.85,20.85,980,0.0,1.0
2011-06-30,19.85,19.85,19.85,19.85,507,0.0,1.0
2011-07-01,18.9,18.9,18.9,18.9,152,0.0,1.0
2011-07-04,18,18,18,18,300,0.0,1.0
2011-07-05,17.15,17.15,17.15,17.15,275,0.0,1.0
2011-07-06,16.299999,16.299999,16.299999,16.299999,70,0.0,1.0
2011-07-07,15.5,17.1,15.5,16.549999,17329,0.0,1.0
2011-07-08,15.9,16.15,15.75,15.8,4906,0.0,1.0
2011-07-11,16.4,16.4,15.05,16,23247,0.0,1.0
2011-07-12,16,19.200001,15.75,17.35,107104,0.0,1.0
2011-07-13,17.450001,18.799999,16.15,16.5,32373,0.0,1.0
2011-07-14,15.3,17.5,15.3,15.9,16714,0.0,1.0
2011-07-15,17.5,17.5,14.6,14.95,6303,0.0,1.0
2011-07-18,14.7,15.3,13.75,14.75,9710,0.0,1.0
2011-07-19,14.95,16.700001,14.5,15.45,8593,0.0,1.0
2011-07-20,16,16,13.75,14,9320,0.0,1.0
2011-07-21,13.8,14.75,13.8,14.05,7256,0.0,1.0
2011-07-22,14.05,14.5,14,14.2,5795,0.0,1.0
2011-07-25,14.75,14.75,13.3,13.75,4283,0.0,1.0
2011-07-26,13.5,14.25,13.5,13.7,4130,0.0,1.0
2011-07-27,13.6,14.5,13.5,13.65,4391,0.0,1.0
2011-07-28,13.3,13.7,13,13.4,1151,0.0,1.0
2011-07-29,13.15,14.1,13.1,13.2,3370,0.0,1.0
2011-08-01,12.33,15.2,12.33,13.54,5193,0.0,1.0
2011-08-02,13,13.9,12.7,13.47,2108,0.0,1.0
2011-08-03,12.27,13.47,12.27,12.8,8580,0.0,1.0
2011-08-04,13,13.05,12.75,12.8,1381,0.0,1.0
2011-08-05,13,14.65,12.4,12.9,4006,0.0,1.0
2011-08-08,11.27,15.31,11.27,13.8,1415,0.0,1.0
2011-08-09,13,13.99,13,13.72,1463,0.0,1.0
2011-08-10,12.5,15.26,12.5,12.81,2603,0.0,1.0
2011-08-11,14,14,12.51,13.18,6093,0.0,1.0
2011-08-12,13.01,13.99,12,12.55,7500,0.0,1.0
2011-08-16,12.56,12.99,11.62,11.95,1600,0.0,1.0
2011-08-17,11.6,11.6,10.7,11.5,1857,0.0,1.0
2011-08-18,12,12,10.11,10.15,5087,0.0,1.0
2011-08-19,11.58,11.59,10.3,11.44,4597,0.0,1.0
2011-08-22,10.51,11.7,10.22,11.58,3368,0.0,1.0
2011-08-23,11.9,11.96,11.01,11.96,963,0.0,1.0
2011-08-24,11.95,12.46,11.14,11.18,4269,0.0,1.0
2011-08-25,12,12,11.16,11.93,54,0.0,1.0
2011-08-26,10.36,12.5,10.36,11.08,3012,0.0,1.0
2011-08-29,12.4,12.4,11.21,11.98,4672,0.0,1.0
2011-08-30,11.3,11.31,10.8,11.31,2692,0.0,1.0
2011-09-02,10.4,11.89,10.4,11,36,0.0,1.0
2011-09-05,12.36,12.36,10.6,11.89,954,0.0,1.0
2011-09-06,11.15,11.74,11.15,11.74,525,0.0,1.0
2011-09-07,12.09,12.19,11.54,11.54,757,0.0,1.0
2011-09-08,12.04,12.67,12.04,12.47,1255,0.0,1.0
2011-09-09,12.2,12.67,12,12.02,411,0.0,1.0
2011-09-12,12.1,12.1,11.16,11.3,6520,0.0,1.0
2011-09-13,11.95,12.22,11.32,12.1,3000,0.0,1.0
2011-09-15,11.46,12.45,11.46,12.45,106,0.0,1.0
2011-09-16,12.49,12.49,11.69,12.38,1076,0.0,1.0
2011-09-19,12,12.56,12,12.56,184,0.0,1.0
2011-09-20,12.69,12.74,12.25,12.25,773,0.0,1.0
2011-09-22,12.5,12.58,12,12.58,3129,0.0,1.0
2011-09-23,11.81,12.7,11.81,12.63,6100,0.0,1.0
2011-09-26,11.42,11.5,11.1,11.22,1667,0.38596,1.0
2011-09-27,11.97,12.71,11.44,12.57,976,0.0,1.0
2011-09-28,11.75,13.45,11.75,12.55,99,0.0,1.0
2011-09-29,11.77,12.96,11.58,11.85,1252,0.0,1.0
2011-09-30,11.6,12.77,11.6,11.77,1660,0.0,1.0
2011-10-03,11.55,12.65,11.55,12.64,475,0.0,1.0
2011-10-04,13,13,11.65,12.86,116,0.0,1.0
2011-10-07,11.87,12.75,11.09,11.18,1089,0.0,1.0
2011-10-10,11.24,12.36,11.24,12.36,68,0.0,1.0
