date,open,high,low,close,volume,dividend,split
2005-01-07,50,50,20,22.25,11727,0.0,1.0
2005-01-10,26.700001,26.700001,26.700001,26.700001,2500,0.0,1.0
2005-01-11,32,32,32,32,100,0.0,1.0
2005-01-12,38.400002,38.400002,36.5,38.400002,17700,0.0,1.0
2005-01-13,42.200001,46.049999,42.200001,46.049999,3200,0.0,1.0
2005-01-14,55.25,55.25,54.5,55.25,8000,0.0,1.0
2005-01-17,60.75,60.75,55.299999,60.75,21500,0.0,1.0
2005-01-18,66.800003,66.800003,64.099998,66.800003,13300,0.0,1.0
2005-01-19,72.650002,73.449997,60.150002,64.949997,21900,0.0,1.0
2005-01-20,64,71.25,62.200001,67.349998,4100,0.0,1.0
2005-01-24,67.099998,67.099998,63.200001,64.800003,3300,0.0,1.0
2005-01-25,64,67.5,64,66.099998,3900,0.0,1.0
2005-01-27,71.75,71.900002,64.699997,65.900002,8100,0.0,1.0
2005-01-28,70,71,65,65.550003,10800,0.0,1.0
2005-01-31,70,71.699997,59,61.25,19400,0.0,1.0
2005-02-01,59.049999,59.75,57.25,59.049999,5100,0.0,1.0
2005-02-02,55,63.5,55,61.549999,7300,0.0,1.0
2005-02-03,64,64,59,59.049999,7100,0.0,1.0
2005-02-04,58.099998,64.949997,58,63.650002,16400,0.0,1.0
2005-02-07,63,65,63,64.25,6000,0.0,1.0
2005-02-08,64,67,63.599998,63.950001,255000,0.0,1.0
2005-02-09,67.800003,70.300003,67.800003,70.300003,23000,0.0,1.0
2005-02-10,77.300003,77.300003,68.5,71.400002,26400,0.0,1.0
2005-02-11,77,77,70.099998,71.300003,12700,0.0,1.0
2005-02-14,74.75,74.75,65.25,66.75,27200,0.0,1.0
2005-02-15,62.150002,67.900002,62.099998,63.049999,9800,0.0,1.0
2005-02-16,66.75,68,65.050003,66.300003,7500,0.0,1.0
2005-02-17,66,66.5,64,64.5,6100,0.0,1.0
2005-02-18,63.25,65.25,61.799999,61.900002,10300,0.0,1.0
2005-02-21,61.049999,61.25,57.5,59.349998,12900,0.0,1.0
2005-02-22,62,64,59.599998,60.299999,21700,0.0,1.0
2005-02-23,62.950001,62.950001,60.599998,60.900002,64100,0.0,1.0
2005-02-24,62,66.949997,61.5,66.949997,39000,0.0,1.0
2005-02-25,73.599998,73.599998,66.099998,67.25,50400,0.0,1.0
2005-02-28,69,69,64,65,16800,0.0,1.0
2005-03-01,63,63,60.549999,61.25,19700,0.0,1.0
2005-03-02,60.799999,64.349998,60.150002,60.75,22500,0.0,1.0
2005-03-03,63,64,60,60.549999,36700,0.0,1.0
2005-03-04,61,62.049999,59,59.75,37100,0.0,1.0
2005-03-07,61.700001,63,58.599998,59.75,34300,0.0,1.0
2005-03-08,62.5,62.5,59.349998,61.950001,32200,0.0,1.0
2005-03-09,63,66.099998,59,61.950001,68500,0.0,1.0
2005-03-10,65.25,68.099998,61.650002,68.099998,64600,0.0,1.0
2005-03-11,74.900002,74.900002,74.900002,74.900002,16500,0.0,1.0
2005-03-14,80,82.349998,76.650002,82.150002,162700,0.0,1.0
2005-03-15,84,86.25,80.050003,82.050003,76000,0.0,1.0
2005-03-16,84,84,81.400002,82.099998,25400,0.0,1.0
2005-03-17,82,83.5,74.099998,75.75,28300,0.0,1.0
2005-03-18,73.099998,73.5,68.699997,72.550003,35000,0.0,1.0
2005-03-21,74.5,77,70.050003,71.099998,34100,0.0,1.0
2005-03-22,71.099998,71.5,64,64,65000,0.0,1.0
2005-03-23,65.900002,68,59,60.650002,85800,0.0,1.0
2005-03-24,60.549999,62.5,58.5,58.849998,42300,0.0,1.0
2005-03-28,60,64.699997,57.5,58.75,40400,0.0,1.0
2005-03-29,58.200001,58.799999,53.299999,54.099998,98500,0.0,1.0
2005-03-30,57.700001,59.5,55.700001,59.150002,27100,0.0,1.0
2005-03-31,60,63,58,58.75,72500,0.0,1.0
2005-04-01,58.5,64.599998,58.5,64.599998,51000,0.0,1.0
2005-04-04,66.5,66.650002,60.599998,61,56800,0.0,1.0
2005-04-05,61,61.400002,59.799999,60.049999,16400,0.0,1.0
2005-04-06,60.150002,60.75,55.150002,56.150002,40200,0.0,1.0
2005-04-07,59.75,61.75,58.099998,61.75,128400,0.0,1.0
2005-04-08,63.5,65.5,60.049999,61.299999,94700,0.0,1.0
2005-04-11,61.5,61.5,57.700001,58.150002,37400,0.0,1.0
2005-04-12,60.099998,61,57,57.650002,37300,0.0,1.0
2005-04-13,58.5,59.900002,56,57.150002,46300,0.0,1.0
2005-04-15,53.5,57.349998,51.150002,53.549999,33400,0.0,1.0
2005-04-18,52.900002,55.400002,51.5,54.299999,20775,0.0,1.0
2005-04-19,55,56.900002,51.049999,51.849998,23900,0.0,1.0
2005-04-20,52.849998,53.5,51.5,52.549999,14700,0.0,1.0
2005-04-21,53.549999,59.599998,53,58.599998,35100,0.0,1.0
2005-04-22,62.5,62.5,57,57.799999,49500,0.0,1.0
2005-04-25,60,68.949997,56.5,66.699997,186900,0.0,1.0
2005-04-26,67,72.75,65.599998,66.650002,90500,0.0,1.0
2005-04-27,66.75,67,61.799999,62.049999,49600,0.0,1.0
2005-04-28,61,62.200001,55.099998,57,100300,0.0,1.0
2005-04-29,58,61,57.25,58.799999,51300,0.0,1.0
2005-05-02,60.099998,60.849998,56,56.849998,47900,0.0,1.0
2005-05-03,56.150002,57.799999,55.549999,57.049999,47300,0.0,1.0
2005-05-04,57,57,55.200001,56.150002,36700,0.0,1.0
2005-05-05,57.450001,57.799999,55.900002,56.349998,47100,0.0,1.0
2005-05-06,56.700001,61,56.700001,58.400002,53500,0.0,1.0
2005-05-09,58.950001,64,58.950001,60.349998,133500,0.0,1.0
2005-05-10,60.5,63.450001,60,61.049999,72700,0.0,1.0
2005-05-11,60,64.949997,59.25,62.5,81100,0.0,1.0
2005-05-12,63.75,64.599998,63,63.299999,52400,0.0,1.0
2005-05-13,63.75,75.949997,63.5,73.099998,465600,0.0,1.0
2005-05-16,72.800003,74.400002,70.099998,70.449997,196700,0.0,1.0
2005-05-17,71.800003,80,69.349998,74,550800,0.0,1.0
2005-05-18,74.699997,74.699997,70,71.099998,561700,0.0,1.0
2005-05-19,73.300003,75.599998,68.5,69.150002,322100,0.0,1.0
2005-05-20,69.25,71.949997,66.5,69.650002,392500,0.0,1.0
2005-05-23,71.099998,73.900002,68.300003,68.949997,460200,0.0,1.0
2005-05-24,70.199997,77,68.5,69.050003,239700,0.0,1.0
2005-05-25,69.5,69.800003,67,67.449997,177800,0.0,1.0
2005-05-26,68.699997,72.599998,68.150002,69.300003,474700,0.0,1.0
2005-05-27,70.300003,72.449997,69,69.199997,421500,0.0,1.0
2005-05-30,69.949997,70.349998,67.099998,68.400002,114400,0.0,1.0
2005-05-31,68.699997,71.849998,68.449997,71.25,216900,0.0,1.0
2005-06-01,72.75,81.75,72.199997,80.050003,1364400,0.0,1.0
2005-06-02,81.150002,83.650002,78.25,79.150002,713800,0.0,1.0
2005-06-03,79.800003,88.699997,79.150002,86.5,1018443,0.0,1.0
2005-06-06,92.5,96.5,90.5,92,559837,0.0,1.0
2005-06-07,92.849998,93.400002,89.050003,90.150002,251300,0.0,1.0
2005-06-08,88,92,86.150002,87.199997,209900,0.0,1.0
2005-06-09,87.949997,91.699997,86.099998,87.849998,213700,0.0,1.0
2005-06-10,88.75,89.949997,84.050003,84.849998,144900,0.0,1.0
2005-06-13,85.949997,89.25,83.900002,86.599998,189900,0.0,1.0
2005-06-14,87.5,89.5,86,87,72800,0.0,1.0
2005-06-15,87.5,90,86,86.800003,125900,0.0,1.0
2005-06-16,87.400002,88.699997,84.150002,84.599998,81300,0.0,1.0
2005-06-17,85,85.650002,77.599998,78.849998,121600,0.0,1.0
2005-06-20,79.800003,81,74.699997,77.5,104900,0.0,1.0
2005-06-21,77.25,80.75,76.75,79.099998,79900,0.0,1.0
2005-06-22,76.25,80,76.25,77,60000,0.0,1.0
2005-06-23,78.099998,79.5,76.25,77.900002,35600,0.0,1.0
2005-06-24,77.650002,83.800003,76,81.849998,112600,0.0,1.0
2005-06-27,82,83.800003,77,77.699997,109900,0.0,1.0
2005-06-28,78.699997,79.900002,74.349998,75.199997,90600,0.0,1.0
2005-06-29,76.349998,78.900002,75.75,77.300003,58500,0.0,1.0
2005-06-30,78.099998,79.25,77.5,77.900002,49100,0.0,1.0
2005-07-01,76.5,85.650002,76,85.650002,188400,0.0,1.0
2005-07-04,89,89.699997,84.550003,85.5,248600,0.0,1.0
2005-07-05,86.400002,88,80.300003,83.150002,149700,0.0,1.0
2005-07-06,84.300003,87.949997,83.900002,86.900002,144800,0.0,1.0
2005-07-07,88,93.800003,86,86.599998,547000,0.0,1.0
2005-07-08,87.400002,92,86,87.099998,215700,0.0,1.0
2005-07-11,87.900002,89.800003,83.5,84.699997,135500,0.0,1.0
2005-07-12,86,86.800003,79,82.599998,149400,0.0,1.0
2005-07-13,84.449997,86.900002,83,85.300003,99900,0.0,1.0
2005-07-14,86.5,91.599998,86,87,336000,0.0,1.0
2005-07-15,87.949997,104.400002,87.949997,104.400002,952000,0.0,1.0
2005-07-18,107.150002,123.699997,106.449997,108.900002,554600,0.0,1.0
2005-07-19,108.800003,111.5,102,105.699997,247800,0.0,1.0
2005-07-20,106,111.5,105.25,106.400002,151100,0.0,1.0
2005-07-21,109.849998,119.5,106.300003,111.949997,333500,0.0,1.0
2005-07-22,113.849998,117,112,113.050003,158700,0.0,1.0
2005-07-25,116,117.5,109,109.900002,113000,0.0,1.0
2005-07-26,111.900002,115.800003,106,111.699997,205100,0.0,1.0
2005-07-27,113,114.900002,110.599998,112.5,53600,0.0,1.0
2005-07-29,112.5,114,107.099998,107.599998,52500,0.0,1.0
2005-08-01,108.199997,109.900002,103.5,107.300003,70500,0.0,1.0
2005-08-02,108,110.5,106.550003,108.599998,85816,0.0,1.0
2005-08-03,110,112,105.550003,106.150002,98300,0.0,1.0
2005-08-04,107,124,106.5,119.599998,889200,0.0,1.0
2005-08-05,120.800003,129.5,120,121.599998,525000,0.0,1.0
2005-08-08,123,123.599998,113,113.900002,171900,0.0,1.0
2005-08-09,114.75,122,114.699997,118.25,222100,0.0,1.0
2005-08-10,119.800003,123,118.099998,119.150002,101400,0.0,1.0
2005-08-11,120,125,120,120.699997,148700,0.0,1.0
2005-08-12,122.800003,123.5,115.650002,118.75,130500,0.0,1.0
2005-08-16,121,122,118.150002,119.199997,90700,0.0,1.0
2005-08-17,120,126,118.5,122.849998,242000,0.0,1.0
2005-08-18,124,129.5,120.099998,121.25,250900,0.0,1.0
2005-08-19,122.900002,137,122,129.199997,456000,0.0,1.0
2005-08-22,130.899994,149.350006,130.5,139.600006,505000,0.0,1.0
2005-08-23,141.350006,148.800003,133.100006,135.550003,317200,0.0,1.0
2005-08-24,138.949997,141.800003,129,133.800003,257700,0.0,1.0
2005-08-25,135,143.699997,135,140.100006,255600,0.0,1.0
2005-08-26,143.699997,148,140.949997,144.550003,202900,0.0,1.0
2005-08-29,145,145,137.800003,140.050003,117500,0.0,1.0
2005-08-30,141.949997,149,141,141.949997,130900,0.0,1.0
2005-08-31,143.699997,145.699997,142.149994,142.75,111200,0.0,1.0
2005-09-01,144,158.899994,144,153.899994,334300,0.0,1.0
2005-09-02,155.899994,168,155.800003,164.449997,401000,0.0,1.0
2005-09-05,168,175.199997,168,170.449997,308000,0.0,1.0
2005-09-06,172.550003,176.949997,160,163.449997,273700,0.0,1.0
2005-09-08,166.949997,175,163,170.25,229300,0.0,1.0
2005-09-09,172.5,173.75,165,166.649994,134300,0.0,1.0
2005-09-12,169.699997,169.699997,162.100006,163.350006,118800,0.0,1.0
2005-09-13,166.100006,166.100006,160.550003,161.25,93500,0.0,1.0
2005-09-14,162.699997,166.300003,151.800003,153.300003,161900,0.0,1.0
2005-09-15,154.399994,162.5,154,161.699997,169600,0.0,1.0
2005-09-16,163.899994,167,156,158.25,129500,0.0,1.0
2005-09-19,159.699997,160,153,156.800003,104100,0.0,1.0
2005-09-20,158.699997,158.699997,145.649994,147.449997,164400,0.0,1.0
2005-09-21,148,148,127,140.199997,238500,0.43461,1.0
2005-09-22,140,144.300003,115.199997,117.300003,239500,0.0,1.0
2005-09-23,125,130,111.599998,125.400002,319400,0.0,1.0
2005-09-26,129.399994,138.5,128,137.899994,157800,0.0,1.0
2005-09-27,139.949997,142.899994,132,133.25,140200,0.0,1.0
2005-09-28,135,137,131.100006,132.25,79900,0.0,1.0
2005-09-29,127.25,134.899994,121,121.949997,114000,0.0,1.0
2005-09-30,122.900002,123,98.099998,112.349998,557300,0.0,1.0
2005-10-03,111.800003,121.800003,111.800003,118.949997,175300,0.0,1.0
2005-10-04,121.400002,125.900002,119.25,122.099998,122100,0.0,1.0
2005-10-05,123,123,118.199997,120.599998,119900,0.0,1.0
2005-10-06,122,122,115.099998,118.5,102900,0.0,1.0
2005-10-07,119,126.5,117,119.75,217800,0.0,1.0
2005-10-10,121,125,110,112.199997,180300,0.0,1.0
2005-10-11,113.5,115.449997,105,108.900002,229400,0.0,1.0
2005-10-13,109.199997,111.800003,105.599998,107.800003,263800,0.0,1.0
2005-10-14,108,109.75,101,102.349998,162700,0.0,1.0
2005-10-17,103,105.5,99,100.25,124600,0.0,1.0
2005-10-18,100.900002,105,98.25,99.25,107300,0.0,1.0
2005-10-19,98.949997,100,95.599998,96.900002,110400,0.0,1.0
2005-10-20,98.949997,102,86.5,91.199997,127700,0.0,1.0
2005-10-21,92,95.949997,88.300003,92,228900,0.0,1.0
2005-10-24,94.5,94.5,85.75,86.5,148800,0.0,1.0
2005-10-25,87.849998,87.900002,81.599998,82.599998,97800,0.0,1.0
2005-10-26,82.400002,88.400002,81.099998,86.349998,192600,0.0,1.0
2005-10-27,87.349998,87.900002,82.5,83.25,63500,0.0,1.0
2005-10-28,82.699997,84.5,80.150002,80.5,63400,0.0,1.0
2005-10-31,82.699997,85.5,81,84.599998,59000,0.0,1.0
2005-11-02,84.5,85.599998,83,84.699997,20207,0.0,1.0
2005-11-07,86,94,83.550003,92.699997,189500,0.0,1.0
2005-11-08,93.900002,98.699997,93.900002,95.550003,149900,0.0,1.0
2005-11-09,96,97.5,93,93.699997,65400,0.0,1.0
2005-11-10,94,96,93.25,95.150002,49100,0.0,1.0
2005-11-11,95.949997,100.5,95.949997,98.800003,155000,0.0,1.0
2005-11-14,99.550003,101.800003,96,97.550003,68000,0.0,1.0
2005-11-16,98.400002,102.300003,98.099998,101.5,87000,0.0,1.0
2005-11-17,102.650002,107.75,99,106.550003,235500,0.0,1.0
2005-11-18,107.800003,108.5,102,103.400002,189400,0.0,1.0
2005-11-21,104.300003,104.300003,96.5,97.699997,104400,0.0,1.0
2005-11-22,98.300003,104,96.25,101,123800,0.0,1.0
2005-11-23,101.25,102.900002,97,98,59000,0.0,1.0
2005-11-24,99.400002,103,99.150002,100,52662,0.0,1.0
2005-11-25,101.849998,104.900002,101.400002,102.349998,93600,0.0,1.0
2005-11-28,104.900002,108.699997,101.75,104.75,122400,0.0,1.0
2005-11-29,104.800003,113,102.5,110.800003,303900,0.0,1.0
2005-11-30,111.800003,117,107.099998,107.849998,288800,0.0,1.0
2005-12-01,108.449997,110.800003,108,109.599998,91800,0.0,1.0
2005-12-02,111.400002,111.900002,107,108,101000,0.0,1.0
2005-12-05,109.099998,112,106.050003,106.849998,81700,0.0,1.0
2005-12-06,107.5,108.5,103.5,104.300003,46400,0.0,1.0
2005-12-07,105.75,106.699997,98.5,99.400002,86205,0.0,1.0
2005-12-08,101.75,103,98.550003,100.5,98900,0.0,1.0
2005-12-09,101.400002,102.400002,100.5,101.550003,49500,0.0,1.0
2005-12-12,102,105.5,102,103.900002,84900,0.0,1.0
2005-12-13,103.949997,104.449997,101.550003,101.900002,35100,0.0,1.0
2005-12-14,103.949997,106.5,101,102.099998,110900,0.0,1.0
2005-12-15,103,105.699997,99.800003,100.75,197600,0.0,1.0
2005-12-16,102,102,99.099998,100,52200,0.0,1.0
2005-12-19,100.849998,102,99.050003,99.449997,29600,0.0,1.0
2005-12-20,100.400002,105,98.699997,99.849998,110400,0.0,1.0
2005-12-21,101,104,100.800003,101.75,81200,0.0,1.0
2005-12-22,102.849998,108,101.900002,105.050003,194000,0.0,1.0
2005-12-23,106.699997,107.599998,100.5,101.25,71800,0.0,1.0
2005-12-26,101.5,105,98.099998,99.300003,137400,0.0,1.0
2005-12-27,99.949997,102.300003,99.099998,100.050003,67600,0.0,1.0
2005-12-28,100.5,106.599998,100.099998,105.199997,309600,0.0,1.0
2005-12-29,106.300003,114.949997,105.199997,113.849998,605700,0.0,1.0
2005-12-30,114.699997,115.949997,108.650002,109.849998,251200,0.0,1.0
2006-01-02,110.699997,111.949997,109.150002,110.650002,99000,0.0,1.0
2006-01-03,111.349998,123.849998,111.349998,119.099998,460400,0.0,1.0
2006-01-04,121.300003,125.349998,120.5,122.400002,276100,0.0,1.0
2006-01-05,123.849998,128.399994,116.900002,123.949997,393400,0.0,1.0
2006-01-06,125.099998,128.899994,112.050003,114.800003,351200,0.0,1.0
2006-01-09,115,116,103,103.800003,426400,0.0,1.0
2006-01-10,104.5,105.800003,100.050003,101.449997,210900,0.0,1.0
2006-01-12,101.5,104,99,99.900002,186500,0.0,1.0
2006-01-13,101.199997,104,100.300003,101.099998,132900,0.0,1.0
2006-01-16,102,102.300003,97.550003,98,95000,0.0,1.0
2006-01-17,99.199997,100,90.25,90.949997,192700,0.0,1.0
2006-01-18,91.099998,94.400002,88.099998,93.199997,167600,0.0,1.0
2006-01-19,93.900002,95.800003,93.900002,94.650002,65200,0.0,1.0
2006-01-20,95.5,96.849998,93.050003,93.849998,67300,0.0,1.0
2006-01-23,94.449997,94.449997,90.25,90.550003,69900,0.0,1.0
2006-01-24,91.25,95.599998,91,94.699997,97200,0.0,1.0
