date,open,high,low,close,volume,dividend,split
2006-12-28,85.949997,86,85.949997,86,90,0.0,1.0
2006-12-29,90.300003,90.300003,82,86,310,0.0,1.0
2007-01-02,81.75,89.949997,81.75,83.699997,533,0.0,1.0
2007-01-03,86,87.849998,82.099998,83,710,0.0,1.0
2007-01-04,83,83,83,83,100,0.0,1.0
2007-01-05,80.099998,80.099998,80.099998,80.099998,40,0.0,1.0
2007-01-08,80.099998,82,80.099998,80.099998,501,0.0,1.0
2007-01-09,80.25,83,80.25,80.25,460,0.0,1.0
2007-01-10,82,82,82,82,100,0.0,1.0
2007-01-11,80.25,84,80.25,80.25,500,0.0,1.0
2007-01-12,79,83,79,80.25,400,0.0,1.0
2007-01-15,80.5,83.800003,80.5,80.949997,650,0.0,1.0
2007-01-16,82.5,84.949997,82.5,84,450,0.0,1.0
2007-01-17,88.150002,88.199997,86,86,1395,0.0,1.0
2007-01-18,86,86,86,86,100,0.0,1.0
2007-01-19,89.949997,90.300003,86,89.949997,1500,0.0,1.0
2007-01-22,93.5,94.400002,93.5,94.400002,300,0.0,1.0
2007-01-23,93.900002,93.900002,93.900002,93.900002,10,0.0,1.0
2007-01-24,89.25,89.25,89.25,89.25,10,0.0,1.0
2007-01-25,89.25,89.25,89.25,89.25,5,0.0,1.0
2007-01-29,84.800003,90,84.800003,90,445,0.0,1.0
2007-01-31,90,90,90,90,900,0.0,1.0
2007-02-01,85.550003,85.550003,85.550003,85.550003,250,0.0,1.0
2007-02-02,85.550003,85.550003,85.550003,85.550003,500,0.0,1.0
2007-02-06,81.300003,81.300003,81.300003,81.300003,25,0.0,1.0
2007-02-07,80,81,80,81,1799,0.0,1.0
2007-02-08,80.050003,85,80.050003,81,3600,0.0,1.0
2007-02-09,77.550003,80,77,79,465,0.0,1.0
2007-02-12,77.900002,77.900002,77.900002,77.900002,50,0.0,1.0
2007-02-13,77.900002,77.900002,77.900002,77.900002,350,0.0,1.0
2007-02-14,77.900002,77.900002,77.900002,77.900002,350,0.0,1.0
2007-02-15,74.050003,74.050003,74.050003,74.050003,50,0.0,1.0
2007-02-20,74.050003,74.050003,74.050003,74.050003,250,0.0,1.0
2007-02-21,74.050003,74.050003,74.050003,74.050003,600,0.0,1.0
2007-02-22,74.050003,74.050003,74.050003,74.050003,150,0.0,1.0
2007-02-23,74.050003,74.050003,74.050003,74.050003,100,0.0,1.0
2007-02-26,70.349998,70.349998,70.349998,70.349998,50,0.0,1.0
2007-02-27,66.849998,66.849998,66.849998,66.849998,50,0.0,1.0
2007-02-28,63.549999,63.549999,63.549999,63.549999,99,0.0,1.0
2007-03-01,60.400002,60.400002,60.400002,60.400002,550,0.0,1.0
2007-03-02,62,62.150002,57.400002,58.5,1055,0.0,1.0
2007-03-05,58,58,55.599998,55.700001,2300,0.0,1.0
2007-03-06,56.049999,56.049999,53.150002,53.25,1100,0.0,1.0
2007-03-07,50.599998,55,50.599998,51,2600,0.0,1.0
2007-03-08,53.450001,53.5,48.549999,52.700001,4000,0.0,1.0
2007-03-09,55.299999,55.299999,55.200001,55.200001,2,0.0,1.0
2007-03-12,57.900002,57.900002,52.450001,52.450001,100,0.0,1.0
2007-03-13,52.450001,52.450001,52.450001,52.450001,900,0.0,1.0
2007-03-14,55.049999,55.049999,50.299999,52.599998,4297,0.0,1.0
2007-03-15,55,55,55,55,1,0.0,1.0
2007-03-16,55,55,55,55,10,0.0,1.0
2007-03-19,54.950001,54.950001,52.299999,52.299999,60,0.0,1.0
2007-03-20,52.299999,52.700001,52.299999,52.700001,1600,0.0,1.0
2007-03-21,55.299999,55.299999,55.299999,55.299999,50,0.0,1.0
2007-03-22,58,58,58,58,9,0.0,1.0
2007-03-23,58,58,58,58,153,0.0,1.0
2007-03-26,56.900002,56.900002,56.900002,56.900002,200,0.0,1.0
2007-03-28,54.5,59,54.099998,54.099998,1000,0.0,1.0
2007-03-29,51.400002,51.400002,51.400002,51.400002,54,0.0,1.0
2007-03-30,50,50,50,50,50,0.0,1.0
2007-04-02,47.599998,47.599998,47.599998,47.599998,100,0.0,1.0
2007-04-03,45.299999,48.25,45.299999,45.400002,316,0.0,1.0
2007-04-04,47.650002,47.650002,47.650002,47.650002,11,0.0,1.0
2007-04-05,48,48,47.5,47.5,400,0.0,1.0
2007-04-09,49.799999,49.849998,47.25,49.700001,234,0.0,1.0
2007-04-10,47.400002,54.650002,47.400002,54.650002,21,0.0,1.0
2007-04-11,60.099998,60.099998,50.900002,56.099998,29700,0.0,1.0
2007-04-12,52,61.5,52,56,33000,0.0,1.0
2007-04-13,51.549999,53.049999,51.25,53.049999,145,0.0,1.0
2007-04-16,51.5,58.349998,50.549999,58.349998,952,0.0,1.0
2007-04-17,55,55,55,55,14,0.0,1.0
2007-04-18,56.700001,60.5,50.700001,55,45000,0.0,1.0
2007-04-19,57,57,57,57,25,0.0,1.0
2007-04-20,58.700001,60,58.700001,60,136,0.0,1.0
2007-04-23,64.900002,65.849998,57.049999,65.75,12189,0.0,1.0
2007-04-24,71,71,71,71,9,0.0,1.0
2007-04-25,71,71,71,71,144,0.0,1.0
2007-04-26,71,71,71,71,126,0.0,1.0
2007-04-27,63.950001,63.950001,63.950001,63.950001,1,0.0,1.0
2007-04-30,63.950001,63.950001,63.950001,63.950001,10,0.0,1.0
2007-05-03,58,64,58,64,1000,0.0,1.0
2007-05-04,64,64,64,64,7500,0.0,1.0
2007-05-07,60,60,60,60,66,0.0,1.0
2007-05-08,57,57,57,57,100,0.0,1.0
2007-05-09,57,57,57,57,1200,0.0,1.0
2007-05-10,55.5,60,55.5,59.299999,601,0.0,1.0
2007-05-11,55.5,60.5,55.5,60.5,1000,0.0,1.0
2007-05-14,60.5,60.5,60.5,60.5,6500,0.0,1.0
2007-05-15,61,61,58.25,58.25,300,0.0,1.0
2007-05-16,54.049999,54.049999,54.049999,54.049999,1,0.0,1.0
2007-05-17,55.650002,59,55,59,527,0.0,1.0
2007-05-18,59,59,59,59,8,0.0,1.0
2007-05-21,59,59,59,59,26,0.0,1.0
2007-05-22,59,59,59,59,18,0.0,1.0
2007-05-23,59,59,59,59,15,0.0,1.0
2007-05-24,57.950001,57.950001,54,54,230,0.0,1.0
2007-05-25,54,54,54,54,210,0.0,1.0
2007-05-28,54,54,54,54,390,0.0,1.0
2007-05-29,54,54,54,54,480,0.0,1.0
2007-05-30,54,54,54,54,450,0.0,1.0
2007-05-31,54,57.900002,54,57.900002,100,0.0,1.0
2007-06-01,55,57.599998,55,56.299999,400,0.0,1.0
2007-06-04,57.599998,57.599998,57.599998,57.599998,2000,0.0,1.0
2007-06-05,53.099998,53.099998,53.099998,53.099998,100,0.0,1.0
2007-06-06,54.700001,54.700001,54.700001,54.700001,1,0.0,1.0
2007-06-07,54.5,56.5,53.5,56.5,1796,0.0,1.0
2007-06-08,56.5,56.5,56.5,56.5,12,0.0,1.0
2007-06-11,54.349998,55.400002,54.349998,55.400002,200,0.0,1.0
2007-06-12,55,56,55,56,350,0.0,1.0
2007-06-13,52.5,56,52.5,56,1200,0.0,1.0
2007-06-14,53.099998,56,53,56,2000,0.0,1.0
2007-06-15,56,56,56,56,14368,0.0,1.0
2007-06-18,56.900002,56.900002,56.900002,56.900002,200,0.0,1.0
2007-06-19,56.900002,56.900002,56.900002,56.900002,3200,0.0,1.0
2007-06-20,53.049999,53.049999,53,53,100,0.0,1.0
2007-06-21,54.599998,57,54.599998,56.450001,4,0.0,1.0
2007-06-22,53.5,56,53.299999,56,8300,0.0,1.0
2007-06-25,55,55,53,53,200,0.0,1.0
2007-06-26,53,53,53,53,750,0.0,1.0
