date,open,high,low,close,volume,dividend,split
2002-01-16,11.6477,11.6477,11.6477,11.6477,107,0.0,1.0
2002-02-01,9.36478,9.36478,9.36478,9.36478,54,0.0,1.0
2002-02-12,7.54773,7.54773,7.54773,7.54773,537,0.0,1.0
2002-02-18,6.05682,6.05682,6.05682,6.05682,107,0.0,1.0
2002-02-26,5.125,5.125,5.125,5.125,10732,0.0,1.0
2002-03-05,6.15001,6.15001,6.15001,6.15001,50,0.0,1.0
2002-03-06,7.36137,7.36137,7.36137,7.36137,50,0.0,1.0
2002-03-07,7.92046,7.92046,7.92046,7.92046,54,0.0,1.0
2002-03-08,9.50455,9.50455,9.50455,9.50455,54,0.0,1.0
2002-03-12,9.50455,9.50455,9.50455,9.50455,86,0.0,1.0
2002-03-15,7.64092,7.68751,7.64092,7.68751,107,0.0,1.0
2002-03-18,6.33637,6.33637,6.1966,6.1966,751,0.0,1.0
2002-03-19,7.40796,7.40796,7.40796,7.40796,107,0.0,1.0
2002-03-20,7.54773,7.54773,7.54773,7.54773,54,0.0,1.0
2002-03-21,7.59433,7.59433,7.45455,7.45455,25,0.0,1.0
2002-04-01,6.15001,6.15001,6.05682,6.05682,1502,0.0,1.0
2002-04-02,7.26819,7.26819,7.26819,7.26819,21,0.0,1.0
2002-04-03,8.71251,8.71251,8.71251,8.71251,11,0.0,1.0
2002-04-11,10.3898,10.3898,8.85228,10.3898,322,0.0,1.0
2002-04-12,12.3466,12.3466,10.6693,11.6477,1073,0.0,1.0
2002-04-15,13.9773,13.9773,9.45796,10.3898,215,0.0,1.0
2002-04-16,12.4398,12.4398,12.4398,12.4398,27,0.0,1.0
2002-04-17,12.1137,14.8159,12.1137,12.4398,644,0.0,1.0
2002-04-23,10.3432,12.1137,10.3432,12.1137,11,0.0,1.0
2002-05-06,9.73751,14.5364,9.73751,14.2568,10,0.0,1.0
2002-05-07,11.4148,11.4148,11.4148,11.4148,107,0.0,1.0
2002-05-08,13.5114,13.5114,13.5114,13.5114,16,0.0,1.0
