date,open,high,low,close,volume,dividend,split
2006-04-13,299,309.899994,241,247.25,3980726,0.0,1.0
2006-04-17,247.899994,295.799988,242.199997,281.149994,2683590,0.0,1.0
2006-04-18,285,286.450012,270,273.350006,1140845,0.0,1.0
2006-04-19,276,281.450012,264.100006,277.700012,719936,0.0,1.0
2006-04-20,280.100006,314.899994,276.299988,306.600006,1506000,0.0,1.0
2006-04-21,308.399994,331.5,291.049988,320.899994,1687030,0.0,1.0
2006-04-24,318.200012,338,310,320.350006,723939,0.0,1.0
2006-04-25,320,326.5,305.299988,308.450012,221736,0.0,1.0
2006-04-26,310,322.399994,307,311.399994,220620,0.0,1.0
2006-04-27,315.700012,359,313.399994,336.399994,863017,0.0,1.0
2006-04-28,315.25,344.799988,285,338.600006,260307,0.0,1.0
2006-05-02,335,362.899994,335,344.950012,134066,0.0,1.0
2006-05-03,349.649994,374.5,335,346.450012,449381,0.0,1.0
2006-05-04,349.700012,353.75,330.149994,333.299988,103491,0.0,1.0
2006-05-05,335.75,345,333.5,335.350006,55909,0.0,1.0
2006-05-08,338.799988,340,322.149994,326.100006,52474,0.0,1.0
2006-05-09,328.75,334.399994,315,327.100006,47048,0.0,1.0
2006-05-10,332.899994,351.799988,332.049988,340.100006,95485,0.0,1.0
2006-05-11,342.450012,345,327,332.200012,27108,0.0,1.0
2006-05-12,333,339,323.25,324.600006,71242,0.0,1.0
2006-05-15,324,331,315,318.649994,63614,0.0,1.0
2006-05-16,321,324.5,294,319.25,46022,0.0,1.0
2006-05-17,325.450012,357,325.450012,335.149994,241875,0.0,1.0
2006-05-18,340,340,281.149994,286.899994,96466,0.0,1.0
2006-05-19,295.100006,300,245.100006,258.649994,134488,0.0,1.0
2006-05-22,269.5,269.549988,217,223.649994,38159,0.0,1.0
2006-05-23,228.899994,255,207.550003,246.25,167874,0.0,1.0
2006-05-24,256,256,233.100006,237.5,35688,0.0,1.0
2006-05-25,234.899994,249,226,245.449997,12700,0.0,1.0
2006-05-26,254,260,232,237.899994,27516,0.0,1.0
2006-05-29,240,252,235,238.100006,14978,0.0,1.0
2006-05-30,235.100006,251,235.100006,240.75,16190,0.0,1.0
2006-05-31,238,238,225,230.949997,13995,0.0,1.0
2006-06-01,248,248,225,226.100006,11307,0.0,1.0
2006-06-02,222,227,211.449997,220.850006,20804,0.0,1.0
2006-06-05,223,223,213,213.600006,4746,0.0,1.0
2006-06-06,203,209,195.199997,200.75,7645,0.0,1.0
2006-06-07,200,203,175.050003,179.550003,16206,0.0,1.0
2006-06-08,172,203,153.5,174.800003,36271,0.0,1.0
2006-06-09,165,196.800003,165,187.399994,22491,0.0,1.0
2006-06-12,184,197,182.5,189.699997,21220,0.0,1.0
2006-06-13,182,184.399994,173.850006,176,13698,0.0,1.0
2006-06-14,183,183.699997,163,175.399994,18559,0.0,1.0
2006-06-15,172.5,182,172,177.350006,13642,0.0,1.0
2006-06-16,181.699997,193,174.25,177.100006,38897,0.0,1.0
2006-06-19,174,176.399994,171.100006,172.800003,5814,0.0,1.0
2006-06-20,165.199997,182,165.199997,169.199997,17999,0.0,1.0
2006-06-21,170,179,170,175.25,10847,0.0,1.0
2006-06-22,179.850006,198.899994,177.5,187.649994,66261,0.0,1.0
2006-06-23,187.5,203.300003,181.550003,198.100006,61370,0.0,1.0
2006-06-26,200.050003,212.899994,181,184.550003,26365,0.0,1.0
2006-06-27,189.399994,189.899994,182,186.850006,9098,0.0,1.0
2006-06-28,182.899994,188.699997,181,184.600006,4160,0.0,1.0
2006-06-29,192,194,183,184.5,2805,0.0,1.0
2006-06-30,191.899994,196,184,187.100006,8140,0.0,1.0
