date,open,high,low,close,volume,dividend,split
2000-07-28,17.549999,19.15,17.549999,18.5,700,0.0,1.0
2000-07-31,18,18,17.200001,17.200001,400,0.0,1.0
2000-08-01,17.9,18,16.700001,18,1140,0.0,1.0
2000-08-02,18.299999,18.299999,17.65,17.85,2300,0.0,1.0
2000-08-03,18,18,17.5,18,1320,0.0,1.0
2000-08-04,16.75,17.5,16.75,17.200001,300,0.0,1.0
2000-08-07,18.549999,18.549999,18.549999,18.549999,5001,0.0,1.0
2000-08-08,20,20,20,20,2301,0.0,1.0
2000-08-09,20.25,21.549999,20.25,21.549999,3700,0.0,1.0
2000-08-10,20.35,23.25,20.35,22.15,2580,0.0,1.0
2000-08-11,22,23.85,22,22.4,1750,0.0,1.0
2000-08-14,21.5,22.9,21.25,22.5,2800,0.0,1.0
2000-08-15,22.5,22.5,22.5,22.5,0,0.0,1.0
2000-08-16,22.5,22.5,22.049999,22.049999,200,0.0,1.0
2000-08-17,20.65,21.5,20.65,21.5,60,0.0,1.0
2000-08-18,20.35,22.25,20.35,22.25,490,0.0,1.0
2000-08-21,23.9,23.950001,22.299999,23.25,2110,0.0,1.0
2000-08-22,23.450001,24,23,24,1680,0.0,1.0
2000-08-23,24,24.549999,24,24.549999,1300,0.0,1.0
2000-08-24,24,24,23.5,24,2300,0.0,1.0
2000-08-25,24.450001,24.75,24.450001,24.75,3140,0.0,1.0
2000-08-28,25,26,25,26,990,0.0,1.0
2000-08-29,25,28.049999,25,26.5,2125,0.0,1.0
2000-08-30,25.6,26.75,25.6,26.75,500,0.0,1.0
2000-08-31,25.5,25.5,24.700001,25.35,951,0.0,1.0
2000-09-01,25.35,25.35,25.35,25.35,0,0.0,1.0
2000-09-04,25,25,25,25,30,0.0,1.0
2000-09-05,25.85,26.950001,25.85,26.950001,2950,0.0,1.0
2000-09-06,26.950001,26.950001,25.25,26.35,1140,0.0,1.0
2000-09-07,27,28.4,27,27.25,600,0.0,1.0
2000-09-08,29.4,29.4,26.5,27.5,3771,0.0,1.0
2000-09-11,27.5,27.5,27.5,27.5,0,0.0,1.0
2000-09-12,27.5,27.5,27.5,27.5,0,0.0,1.0
2000-09-13,27.5,27.5,27.5,27.5,0,0.0,1.0
2000-09-14,28.950001,28.950001,28.950001,28.950001,10,0.0,1.0
2000-09-15,28.950001,28.950001,28.950001,28.950001,0,0.0,1.0
2000-09-18,28.950001,28.950001,28.950001,28.950001,0,0.0,1.0
2000-09-19,28.950001,28.950001,28.950001,28.950001,0,0.0,1.0
2000-09-20,24.549999,24.549999,24.549999,24.549999,200,0.0,1.0
2000-09-21,24.549999,24.549999,24.549999,24.549999,0,0.0,1.0
2000-09-22,24.549999,24.549999,24.549999,24.549999,0,0.0,1.0
2000-09-25,24.549999,24.549999,24.549999,24.549999,0,0.0,1.0
