date,open,high,low,close,volume,dividend,split
2000-01-03,27.7778,27.7778,27.3333,27.3444,1350,0.0,1.0
2000-01-04,27.577801,29.444401,27.577801,29.4333,23850,0.0,1.0
2000-01-05,28.6667,30.444401,28.6667,28.7778,10350,0.0,1.0
2000-01-06,28.444401,28.444401,28,28.2222,18000,0.0,1.0
2000-01-07,27.7778,27.7778,27.1667,27.1889,8550,0.0,1.0
2000-01-10,26.944401,26.944401,26.888901,26.888901,1350,0.0,1.0
2000-01-11,26.6889,26.6889,26.6667,26.6667,1800,0.0,1.0
2000-01-12,26.6667,26.6667,26.4667,26.4667,1800,0.0,1.0
2000-01-13,26,26.3333,26,26.2889,4950,0.0,1.0
2000-01-14,26.2444,26.888901,26,26.6667,4500,0.0,1.0
2000-01-17,26.888901,27.111099,26.6667,26.888901,3150,0.0,1.0
2000-01-18,25.9111,25.9111,25.9111,25.9111,450,0.0,1.0
2000-01-19,27.555599,27.9778,27.555599,27.9778,8550,0.0,1.0
2000-01-20,27.444401,27.444401,27.444401,27.444401,450,0.0,1.0
2000-01-21,26.888901,27.2222,26.8333,27,3600,0.0,1.0
2000-01-24,27,27,27,27,0,0.0,1.0
2000-01-25,27.0667,27.0667,26.011101,26.866699,3600,0.0,1.0
2000-01-26,26.866699,26.866699,26.866699,26.866699,0,0.0,1.0
2000-01-27,26.555599,26.888901,26.555599,26.7778,1350,0.0,1.0
2000-01-28,27.111099,27.111099,26.555599,26.7111,2700,0.0,1.0
2000-01-31,28.7778,28.7778,26,26.888901,2700,0.0,1.0
2000-02-01,26,26.6556,26,26.6556,2250,0.0,1.0
2000-02-02,26.6556,26.6556,25.944401,25.944401,900,0.0,1.0
2000-02-03,25.944401,25.944401,25.944401,25.944401,0,0.0,1.0
2000-02-04,25.3333,25.3333,24.444401,24.6444,13050,0.0,1.0
2000-02-07,24.444401,24.444401,23.7778,23.7778,12600,0.0,1.0
2000-02-08,22.888901,23.8444,22.888901,23.1444,8100,0.0,1.0
2000-02-09,23.7778,23.7778,23.7778,23.7778,450,0.0,1.0
2000-02-10,24,24.4333,24,24,1800,0.0,1.0
2000-02-11,23.3333,23.7778,23.3333,23.7778,2250,0.0,1.0
2000-02-14,22.6667,22.6667,22.6667,22.6667,1800,0.0,1.0
2000-02-15,21.888901,21.888901,20.888901,21.555599,9450,0.0,1.0
2000-02-16,20.233299,21.555599,20.0333,20.888901,8100,0.0,1.0
2000-02-17,22.1667,22.2222,20.2222,21.111099,18000,0.0,1.0
2000-02-18,21,22.6667,21,22.5222,9900,0.0,1.0
2000-02-21,22.444401,24,22.444401,24,2250,0.0,1.0
2000-02-22,24.555599,25.7778,23.3333,24.1,12150,0.0,1.0
2000-02-23,25.3333,26,23.611099,23.611099,9900,0.0,1.0
2000-02-24,24.6667,24.6667,23.555599,24.444401,4050,0.0,1.0
2000-02-25,23.3333,24,22.7889,22.888901,4950,0.0,1.0
2000-02-28,23.555599,24.7111,23.555599,24.6667,9450,0.0,1.0
2000-02-29,24.677799,25.322201,23.7778,25.322201,2700,0.0,1.0
2000-03-01,23.611099,24.444401,23.3333,24.444401,5400,0.0,1.0
2000-03-02,22.677799,23.2444,22.677799,23.0333,4500,0.0,1.0
2000-03-03,21.555599,21.577801,21.200001,21.2111,8550,0.0,1.0
2000-03-06,20.4667,20.4667,20.4667,20.4667,450,0.0,1.0
2000-03-07,20.6889,21.111099,20.6889,20.8333,3150,0.0,1.0
2000-03-08,21.7778,21.7778,21.7778,21.7778,900,0.0,1.0
2000-03-09,20.3333,21.111099,20.2222,21.111099,2700,0.0,1.0
2000-03-10,20,20,20,20,900,0.0,1.0
2000-03-13,20,20,20,20,0,0.0,1.0
2000-03-14,20,20,20,20,0,0.0,1.0
2000-03-15,20.3333,20.3333,18.888901,18.888901,4950,0.0,1.0
2000-03-16,18.988899,18.988899,17.388901,17.422199,29250,0.0,1.0
2000-03-17,17.422199,17.422199,17.422199,17.422199,0,0.0,1.0
2000-03-20,17.422199,17.422199,17.422199,17.422199,0,0.0,1.0
2000-03-21,17.7778,17.7778,16.455601,16.455601,6750,0.0,1.0
2000-03-22,16.766701,17.555599,16.5,17.3333,22500,0.0,1.0
2000-03-23,17.3333,17.3333,16.4667,16.888901,6300,0.0,1.0
2000-03-24,16.111099,16.111099,15.6667,15.6667,4050,0.0,1.0
2000-03-27,16.9111,16.9111,16.2222,16.2889,4500,0.0,1.0
2000-03-28,16.233299,16.444401,15.5556,16.444401,11700,0.0,1.0
2000-03-29,17,17,15.5778,15.5778,6300,0.0,1.0
2000-03-30,16.388901,16.8111,16.388901,16.8111,2250,0.0,1.0
2000-03-31,16.8111,18.1444,16.8111,18.1444,5400,0.0,1.0
2000-04-03,19.5889,19.5889,19.5889,19.5889,450,0.0,1.0
2000-04-04,21.1444,21.1444,21.1444,21.1444,900,0.0,1.0
2000-04-05,22.2222,22.8333,22.2222,22.8333,5400,0.0,1.0
2000-04-06,24.6556,24.6556,24.6556,24.6556,450,0.0,1.0
2000-04-07,26.6222,26.6222,26.6222,26.6222,10800,0.0,1.0
2000-04-10,28.7444,28.7444,28.7444,28.7444,900,0.0,1.0
2000-04-11,28.7444,28.7444,28.7444,28.7444,0,0.0,1.0
2000-04-12,33.511101,33.511101,33.511101,33.511101,9900,0.0,1.0
2000-04-13,31.5667,34.666698,31.5667,32.6889,33750,0.0,1.0
2000-04-14,32.6889,32.6889,32.6889,32.6889,0,0.0,1.0
2000-04-17,31.111099,32.222198,30.0889,30.133301,18900,0.0,1.0
2000-04-18,29.3333,30.866699,28.2222,28.7444,21150,0.0,1.0
2000-04-19,29.7778,30.3778,29,30.3111,13050,0.0,1.0
2000-04-20,28.444401,32.444401,28.444401,31.6,28350,0.0,1.0
2000-04-21,31.6,31.6,31.6,31.6,0,0.0,1.0
2000-04-24,31.6,31.6,31.6,31.6,0,0.0,1.0
2000-04-25,27.3556,27.3556,26.7556,26.7556,900,0.0,1.0
2000-04-26,26.7556,26.7556,26.7556,26.7556,0,0.0,1.0
2000-04-27,23.577801,23.577801,23.2889,23.2889,2700,0.0,1.0
2000-04-28,22.011101,23.7556,21.7778,23.7556,5400,1.43312,1.0
2000-05-01,23.7556,23.7556,23.7556,23.7556,0,0.0,1.0
2000-05-02,21.8556,21.8556,21.8556,21.8556,450,0.0,1.0
2000-05-03,21.8556,21.8556,21.8556,21.8556,0,0.0,1.0
2000-05-04,22.322201,22.322201,20.077801,20.077801,3600,0.0,1.0
2000-05-05,20.077801,20.077801,20.077801,20.077801,0,0.0,1.0
2000-05-08,23.4,23.4,23.4,23.4,450,0.0,1.0
2000-05-09,23.4,23.4,23.4,23.4,0,0.0,1.0
2000-05-10,23.4,23.4,23.4,23.4,0,0.0,1.0
2000-05-11,20.4667,20.4667,20.2222,20.2222,1350,0.0,1.0
2000-05-12,20,20,20,20,450,0.0,1.0
2000-05-15,19.7778,19.7778,18.444401,18.444401,2250,0.0,1.0
2000-05-16,18.888901,18.888901,18,18.4333,3600,0.0,1.0
2000-05-17,18.2222,18.2222,18.2222,18.2222,450,0.0,1.0
2000-05-18,17.3333,18.2222,17.3333,18.2222,3150,0.0,1.0
2000-05-19,18.3333,18.3333,17.8444,18.3333,1350,0.0,1.0
2000-05-22,18.888901,18.888901,18.444401,18.444401,1350,0.0,1.0
2000-05-23,18.444401,18.444401,18.444401,18.444401,450,0.0,1.0
2000-05-24,18.444401,18.444401,18.444401,18.444401,900,0.0,1.0
2000-05-25,18.2222,18.2222,18.2222,18.2222,450,0.0,1.0
