date,open,high,low,close,volume,dividend,split
2002-04-22,14.6446,14.8572,14.3198,14.6446,4251,0.0,1.0
2002-04-23,14.9753,15.058,14.4084,14.4793,19161,0.0,1.0
2002-04-24,14.7627,14.7627,14.4084,14.5088,9949,0.0,1.0
2002-04-25,14.7214,15.1111,14.6151,14.6328,20728,0.0,1.0
2002-04-26,14.8808,14.8808,13.936,14.2194,15885,0.0,1.0
2002-04-29,14.4084,14.6033,13.5817,13.6939,22531,0.0,1.0
2002-04-30,14.3966,14.3966,13.6407,13.6467,7714,0.0,1.0
2002-05-02,14.0187,14.0541,13.4872,13.5758,25105,0.0,1.0
2002-05-03,13.5817,14.3966,13.4636,13.5344,35740,0.0,1.0
2002-05-06,13.936,13.936,13.3455,13.4754,25817,0.0,1.0
2002-05-07,13.3455,15.2292,13.3455,14.0836,23082,0.0,1.0
2002-05-08,14.2608,14.5737,13.9714,14.0069,34208,0.0,1.0
2002-05-09,14.0069,14.0895,13.7293,13.8356,17942,0.0,1.0
2002-05-10,13.9951,13.9951,13.5226,13.623,15876,0.0,1.0
2002-05-13,13.7588,14.0541,13.5817,13.747,23649,0.0,1.0
2002-05-14,13.6998,13.936,13.3455,13.5167,28662,0.0,1.0
2002-05-15,13.6998,13.6998,12.814,13.0502,12997,0.0,1.0
2002-05-16,12.9676,13.003,12.7668,12.9853,3048,0.0,1.0
2002-05-17,12.4007,12.5129,12.0523,12.5129,14200,0.0,1.0
2002-05-20,11.4618,11.8102,11.2787,11.3378,24428,0.0,1.0
2002-05-21,10.8653,10.8653,10.2985,10.5701,20381,0.0,1.0
2002-05-22,10.2748,10.9303,10.2748,10.5701,31447,0.0,1.0
2002-05-23,10.7472,10.7472,10.393,10.4756,12320,0.0,1.0
2002-05-24,8.73952,11.0425,8.73952,10.8417,31312,0.0,1.0
2002-05-27,11.1016,12.1999,11.1016,12.0346,44411,0.0,1.0
2002-05-28,13.5817,13.5817,12.0582,12.07,32049,0.0,1.0
2002-05-29,12.194,12.2826,11.8161,12.0641,16977,0.0,1.0
2002-05-30,12.3062,12.6369,12.0759,12.1704,18543,0.0,1.0
2002-05-31,11.9401,12.3948,11.8338,12.194,3700,0.0,1.0
2002-06-03,12.8731,13.3455,12.6369,13.0384,23175,0.0,1.0
2002-06-04,13.2274,13.6053,13.1683,13.3455,21964,0.0,1.0
2002-06-05,13.5817,14.4084,13.5226,13.7352,77628,0.0,1.0
2002-06-06,13.936,14.1663,13.4931,13.8592,28738,0.0,1.0
2002-06-07,14.1663,14.1663,13.6998,13.9419,71625,0.0,1.0
2002-06-10,14.1722,15.3532,14.0541,15.2351,96603,0.0,1.0
2002-06-11,15.5894,15.8256,15.117,15.2469,117738,0.0,1.0
2002-06-12,15.2469,15.7784,15.1761,15.4477,80160,0.0,1.0
2002-06-13,15.5658,16.5224,15.3001,16.126801,170226,0.0,1.0
2002-06-14,16.298,16.6464,15.9437,15.991,59864,0.0,1.0
2002-06-17,16.534201,16.5933,15.7075,15.7961,175256,0.0,1.0
2002-06-18,16.0618,16.0618,14.8218,14.8631,103479,0.0,1.0
2002-06-19,15.2351,15.3532,14.3612,14.5029,61938,0.0,1.0
2002-06-20,14.5265,15.7075,14.5265,15.4182,113868,0.0,1.0
2002-06-21,16.0618,18.500601,16.0618,17.1661,1022865,0.0,1.0
2002-06-24,17.691601,17.8333,17.0184,17.2488,204595,0.0,1.0
2002-06-25,17.0716,17.0716,16.1563,16.2272,81159,0.0,1.0
2002-06-26,16.1091,16.1091,15.5008,15.6071,42540,0.0,1.0
2002-06-27,15.991,16.8885,15.991,16.605101,65647,0.0,1.0
2002-06-28,17.006599,17.107,16.4811,16.7822,83013,0.0,1.0
2002-07-01,16.8885,17.0007,16.298,16.4811,37171,0.0,1.0
2002-07-02,16.5165,16.5165,16.179899,16.233101,22040,0.0,1.0
2002-07-03,16.4634,16.6523,16.274401,16.4398,35732,0.0,1.0
2002-07-04,16.770399,16.8295,16.3571,16.492901,141878,0.0,1.0
2002-07-05,16.3276,16.983,16.274401,16.451599,210835,0.0,1.0
2002-07-08,16.770399,17.1838,16.534201,16.8708,90524,0.0,1.0
2002-07-09,16.8708,16.8708,16.3571,16.4398,26460,0.0,1.0
2002-07-10,16.534201,16.711399,16.292101,16.292101,80786,0.0,1.0
2002-07-11,16.363001,16.4398,16.0618,16.179899,23421,0.0,1.0
2002-07-12,16.0795,16.4398,15.9437,15.9673,42023,0.0,1.0
2002-07-15,16.0618,16.067699,15.6071,15.8847,16325,0.0,1.0
2002-07-16,15.5894,15.8256,15.5835,15.6307,16494,0.0,1.0
2002-07-17,15.4713,15.4713,15.058,15.1643,41083,0.0,1.0
2002-07-18,15.2351,15.3532,15.0048,15.0698,47417,0.0,1.0
2002-07-19,14.184,15.2351,14.184,14.9399,81100,0.0,1.0
2002-07-22,14.7627,14.869,14.2903,14.3493,17739,0.0,1.0
2002-07-23,14.4261,15.0521,14.1663,14.3375,185764,0.0,1.0
2002-07-24,14.5206,14.5206,14.0541,14.1368,83487,0.0,1.0
2002-07-25,14.1722,14.4084,13.8179,13.9006,69483,0.0,1.0
2002-07-26,13.877,13.877,13.4813,13.6053,49364,0.0,1.0
2002-07-29,13.5817,13.5817,12.9912,13.3986,60871,0.0,1.0
2002-07-30,13.5817,13.9301,13.2569,13.2983,40262,0.0,1.0
2002-07-31,13.3396,13.4341,13.1093,13.3101,24411,0.0,1.0
2002-08-01,13.4636,13.5817,13.3278,13.5581,11532,0.0,1.0
2002-08-02,13.3455,13.4636,13.0502,13.1683,91150,0.0,1.0
2002-08-05,13.5344,13.5344,13.1506,13.192,44242,0.0,1.0
2002-08-06,13.2274,13.2983,13.0975,13.2687,64817,0.0,1.0
2002-08-07,13.4045,13.4636,12.9321,13.0916,83750,0.0,1.0
2002-08-08,12.8731,13.1093,12.8731,12.9499,20025,0.0,1.0
2002-08-09,13.0502,13.1329,12.8908,13.1152,12066,0.0,1.0
2002-08-12,13.1388,13.2156,13.062,13.1093,34851,0.0,1.0
2002-08-13,12.755,12.755,12.3298,12.4952,23217,2.42048,1.0
2002-08-14,12.5188,12.5188,12.1113,12.1704,11482,0.0,1.0
2002-08-16,12.2826,12.3948,12.194,12.3239,13590,0.0,1.0
2002-08-19,12.2826,12.3298,11.8397,12.0168,98974,0.0,1.0
2002-08-20,12.1231,12.1645,12.0464,12.1231,39331,0.0,1.0
2002-08-21,12.2235,12.8672,12.194,12.7491,27959,0.0,1.0
2002-08-22,12.755,13.1624,12.4007,12.69,26748,0.0,1.0
2002-08-23,15.1702,15.2233,14.7627,15.2233,125214,0.0,1.0
2002-08-26,16.534201,18.1877,16.534201,16.7941,877388,0.0,1.0
2002-08-27,17.1838,17.1838,16.250799,16.345301,288971,0.0,1.0
2002-08-28,16.0795,17.2428,15.9437,16.67,285525,0.0,1.0
2002-08-29,16.6523,16.8531,16.4161,16.510599,103792,0.0,1.0
2002-08-30,16.6996,16.7645,16.3512,16.4575,38966,0.0,1.0
2002-09-02,16.729099,16.770399,16.3216,16.4338,26189,0.0,1.0
2002-09-03,17.006599,17.006599,16.3276,16.3512,26155,0.0,1.0
2002-09-04,16.298,16.6523,16.0618,16.581499,121243,0.0,1.0
2002-09-05,16.534201,16.5578,16.197599,16.2803,47137,0.0,1.0
2002-09-06,16.298,16.3748,15.9437,16.1681,47324,0.0,1.0
2002-09-09,16.398399,16.534201,16.126801,16.1327,52785,0.0,1.0
2002-09-11,16.0618,16.398399,16.0618,16.1327,27434,0.0,1.0
2002-09-12,16.510599,16.770399,16.422001,16.487,94097,0.0,1.0
2002-09-13,16.3571,16.4161,16.2862,16.3216,26587,0.0,1.0
2002-09-16,16.309799,16.546,16.2449,16.2626,21625,0.0,1.0
2002-09-17,16.3925,16.404301,16.298,16.3571,13361,0.0,1.0
2002-09-18,16.309799,16.4161,16.239,16.309799,21549,0.0,1.0
2002-09-19,16.239,16.268499,15.9733,16.0205,12726,0.0,1.0
2002-09-20,15.7666,15.9378,15.7075,15.7666,37459,0.0,1.0
2002-09-23,15.9437,15.9437,15.3591,15.4005,45054,0.0,1.0
2002-09-24,15.4064,15.4359,15.2469,15.2765,31922,0.0,1.0
2002-09-25,15.117,15.2056,15.0107,15.0225,36646,0.0,1.0
2002-09-26,16.770399,16.770399,15.2528,15.5776,42404,0.0,1.0
2002-09-27,15.3532,16.6523,15.3532,16.2449,213994,0.0,1.0
2002-09-30,16.4161,17.2428,16.4161,16.6346,331638,0.0,1.0
2002-10-01,16.864901,17.172001,16.5401,16.5933,197203,0.0,1.0
2002-10-03,16.9653,17.0007,16.711399,16.817699,141260,0.0,1.0
2002-10-04,16.6523,16.983,16.6523,16.876699,141116,0.0,1.0
2002-10-07,16.876699,16.876699,16.0795,16.120899,101929,0.0,1.0
2002-10-08,16.073601,16.120899,15.9673,16.032301,30635,0.0,1.0
2002-10-09,16.268499,16.268499,15.9437,16.014601,29957,0.0,1.0
2002-10-10,15.9673,16.0028,15.7134,15.7607,20474,0.0,1.0
2002-10-11,15.8256,15.8256,15.6012,15.6957,45673,0.0,1.0
2002-10-14,15.9378,15.9378,15.6189,15.6485,19974,0.0,1.0
2002-10-16,15.8847,15.8847,15.4713,15.5186,32497,0.0,1.0
2002-10-17,15.8256,15.8374,15.3532,15.4064,42201,0.0,1.0
2002-10-18,15.5304,15.5304,15.1288,15.4241,40728,0.0,1.0
2002-10-21,15.4123,15.5658,15.3296,15.554,36858,0.0,1.0
2002-10-22,15.3886,15.4713,15.2351,15.3237,22150,0.0,1.0
2002-10-23,15.306,15.3119,15.1761,15.2115,22921,0.0,1.0
2002-10-24,15.2351,15.2351,14.9989,15.0284,28467,0.0,1.0
2002-10-25,14.4675,15.1052,14.2431,14.3139,22989,0.0,1.0
2002-10-28,14.3493,14.3612,13.5817,13.9832,14013,0.0,1.0
2002-10-29,14.1722,14.1722,13.9478,13.9478,2752,0.0,1.0
2002-10-30,14.3848,14.3848,13.9478,13.9832,1376,0.0,1.0
2002-10-31,13.4636,14.1722,13.4636,13.9596,5550,0.0,1.0
2002-11-01,14.0541,14.3375,13.9832,14.0187,7388,0.0,1.0
2002-11-04,14.2785,14.2903,13.936,14.0895,9335,0.0,1.0
2002-11-05,13.5699,13.877,13.5699,13.6998,2379,0.0,1.0
2002-11-07,13.5817,13.5817,13.1093,13.3691,13065,0.0,1.0
2002-11-08,13.2038,13.2156,12.9912,13.0266,6850,0.0,1.0
2002-11-11,13.0502,13.1683,12.9321,12.9794,11833,0.0,1.0
2002-11-12,12.9912,12.9912,12.566,12.6605,4064,0.0,1.0
2002-11-13,12.755,12.9321,12.4361,12.4361,15868,0.0,1.0
2002-11-14,12.6369,12.6369,12.2826,12.4007,9043,0.0,1.0
2002-11-15,12.6251,12.814,12.5896,12.755,10161,0.0,1.0
2002-11-18,12.6605,13.3809,12.6605,13.2156,17129,0.0,1.0
2002-11-20,13.2274,13.4636,13.2274,13.4636,8404,0.0,1.0
2002-11-21,13.4045,13.4636,13.2274,13.4636,13442,0.0,1.0
2002-11-22,13.4636,14.0541,13.4636,13.8179,37430,0.0,1.0
2002-11-25,13.877,13.877,13.6998,13.7116,12510,0.0,1.0
2002-11-26,13.8297,13.8415,13.6998,13.6998,11367,0.0,1.0
2002-11-27,14.125,14.1722,13.4636,13.5226,40050,0.0,1.0
2002-11-28,13.6998,13.7234,13.4045,13.4282,13450,0.0,1.0
2002-11-29,13.6998,13.6998,13.2274,13.251,12557,0.0,1.0
2002-12-02,13.2274,14.0541,13.2274,13.8533,19928,0.0,1.0
2002-12-03,13.6998,13.936,13.499,13.7825,4903,0.0,1.0
2002-12-04,13.5226,13.5817,13.2628,13.3455,8137,0.0,1.0
2002-12-05,13.4872,13.5817,13.251,13.251,22726,0.0,1.0
2002-12-06,13.3455,13.936,13.1093,13.2628,46358,0.0,1.0
2002-12-09,13.6289,15.0462,13.6289,14.2667,121006,0.0,1.0
2002-12-10,14.2667,14.7509,14.2312,14.4793,32430,0.0,1.0
2002-12-11,14.4556,14.6446,14.184,14.3375,73259,0.0,1.0
2002-12-12,14.6446,14.8808,14.432,14.5147,55774,0.0,1.0
2002-12-13,14.8336,15.117,14.5265,14.5974,97649,0.0,1.0
2002-12-16,14.9989,15.1052,14.5265,14.5501,65964,0.0,1.0
2002-12-17,14.1958,14.4084,13.9596,14.3257,25537,0.0,1.0
2002-12-18,14.6328,14.8572,14.5029,14.68,77662,0.0,1.0
2002-12-19,14.6446,14.9871,14.4084,14.5147,159816,0.0,1.0
2002-12-20,14.6446,14.7037,14.3493,14.373,67345,0.0,1.0
2002-12-23,14.2785,14.5147,14.2431,14.2903,55905,0.0,1.0
2002-12-24,14.3612,14.7273,14.3612,14.5265,48844,0.0,1.0
2002-12-26,14.6446,14.7627,14.4675,14.5265,32959,0.0,1.0
2002-12-27,14.5265,14.5501,14.2312,14.3612,19242,0.0,1.0
2002-12-30,14.184,14.2785,14.0895,14.1368,17811,0.0,1.0
2002-12-31,14.2785,14.2785,14.0541,14.1013,19526,0.0,1.0
2003-01-01,14.1486,14.1486,13.936,13.9832,19780,0.0,1.0
2003-01-02,14.0069,14.1013,13.9124,13.9478,19348,0.0,1.0
2003-01-03,14.1604,14.1722,13.747,13.7943,29381,0.0,1.0
2003-01-06,13.8888,13.9951,13.6998,13.6998,52108,0.0,1.0
2003-01-07,13.7588,13.936,13.7588,13.9006,18543,0.0,1.0
2003-01-08,13.936,13.9951,13.9124,13.936,10796,0.0,1.0
2003-01-09,13.9006,14.7863,13.9006,14.6918,124600,0.0,1.0
2003-01-10,14.6682,15.1761,14.4675,14.7627,160023,0.0,1.0
2003-01-13,14.9989,15.8138,14.7509,15.7784,247782,0.0,1.0
2003-01-14,15.802,16.6996,15.7902,16.581499,308891,0.0,1.0
2003-01-15,16.711399,17.2428,16.711399,17.006599,210649,0.0,1.0
2003-01-16,16.841299,17.42,16.841299,16.9594,93149,0.0,1.0
2003-01-17,16.6523,17.101101,16.309799,16.605101,126929,0.0,1.0
2003-01-20,16.864901,17.101101,16.534201,16.5578,60245,0.0,1.0
2003-01-21,16.983,17.9515,16.841299,17.7271,227977,0.0,1.0
2003-01-22,17.7153,18.423901,17.360901,17.8452,330969,0.0,1.0
2003-01-23,18.093201,18.4002,17.8806,18.057699,108910,0.0,1.0
2003-01-24,17.9515,18.057699,16.6523,16.770399,119080,0.0,1.0
2003-01-27,16.687799,17.195601,16.534201,16.8531,136848,0.0,1.0
2003-01-28,17.2192,17.360901,16.6523,17.3255,98165,0.0,1.0
2003-01-29,17.479,18.0695,17.479,17.5853,122594,0.0,1.0
2003-01-30,19.6735,20.932501,17.4438,17.5651,509909,0.0,1.0
2003-01-31,17.8078,17.8078,17.0949,17.732,131467,0.0,1.0
2003-02-03,18.050501,18.1567,17.716801,17.792601,58249,0.0,1.0
2003-02-04,16.7612,18.2022,16.7612,17.8382,78215,0.0,1.0
2003-02-05,17.8988,18.004999,17.6106,17.823,31592,0.0,1.0
2003-02-06,17.5954,17.7775,17.337601,17.5499,50460,0.0,1.0
2003-02-07,17.4741,17.8078,17.307199,17.413401,52085,0.0,1.0
