date,open,high,low,close,volume,dividend,split
2002-07-01,0.28292,0.29167,0.28292,0.28583,5211,0.0,1.0
2002-07-02,0.27417,0.29167,0.27417,0.29167,8606,0.0,1.0
2002-07-03,0.29167,0.31792,0.27125,0.29167,24034,0.0,1.0
2002-07-04,0.2625,0.32083,0.2625,0.29167,3051,0.0,1.0
2002-07-05,0.28875,0.2975,0.27417,0.28875,9000,0.0,1.0
2002-07-08,0.2975,0.2975,0.2975,0.2975,6429,0.0,1.0
2002-07-09,0.26833,0.26833,0.26833,0.26833,3429,0.0,1.0
2002-07-11,0.24792,0.24792,0.22167,0.22167,19971,0.0,1.0
2002-07-12,0.21,0.2625,0.21,0.2625,3446,0.0,1.0
2002-07-16,0.31208,0.31208,0.21583,0.21583,189,0.0,1.0
2002-07-17,0.21,0.21,0.21,0.21,3429,0.0,1.0
2002-07-18,0.21875,0.23333,0.21875,0.21875,6857,0.0,1.0
2002-07-19,0.25667,0.25667,0.21583,0.21583,3429,0.0,1.0
2002-07-22,0.17792,0.18083,0.17792,0.18083,8640,0.0,1.0
2002-07-23,0.20417,0.20417,0.20417,0.20417,429,0.0,1.0
2002-07-24,0.20417,0.20417,0.17208,0.17208,5229,0.0,1.0
2002-07-25,0.175,0.175,0.175,0.175,1200,0.0,1.0
2002-07-26,0.175,0.175,0.175,0.175,5143,0.0,1.0
2002-07-29,0.15458,0.15458,0.15458,0.15458,1714,0.0,1.0
2002-07-30,0.1575,0.1575,0.1575,0.1575,1714,0.0,1.0
2002-08-01,0.1575,0.1575,0.1575,0.1575,1714,0.0,1.0
2002-08-02,0.16333,0.16333,0.16333,0.16333,7714,0.0,1.0
2002-08-06,0.13708,0.13708,0.13708,0.13708,3446,0.0,1.0
2002-08-07,0.14583,0.14583,0.14583,0.14583,3429,0.0,1.0
2002-08-08,0.16042,0.16042,0.16042,0.16042,17,0.0,1.0
2002-08-13,0.13125,0.1575,0.13125,0.1575,6857,0.0,1.0
2002-08-19,0.14292,0.14292,0.14292,0.14292,1714,0.0,1.0
2002-08-20,0.14583,0.14583,0.13708,0.13708,3429,0.0,1.0
2002-08-27,0.1575,0.16042,0.1575,0.1575,2143,0.0,1.0
2002-08-29,0.13125,0.13125,0.13125,0.13125,8143,0.0,1.0
2002-08-30,0.11958,0.13125,0.11667,0.13125,8571,0.0,1.0
2002-09-03,0.11083,0.11083,0.11083,0.11083,3429,0.0,1.0
2002-09-24,0.11667,0.11667,0.11667,0.11667,8571,0.0,1.0
2002-09-27,0.14,0.14,0.14,0.14,1714,0.0,1.0
2002-10-14,0.1575,0.16625,0.1575,0.16042,29143,0.0,1.0
2002-11-05,0.1925,0.1925,0.1925,0.1925,6857,0.0,1.0
2002-11-07,0.15458,0.20417,0.15458,0.16917,6926,0.0,1.0
2002-11-08,0.16917,0.20125,0.16917,0.20125,37526,0.0,1.0
2002-11-11,0.175,0.21,0.175,0.21,10286,0.0,1.0
2002-11-12,0.18375,0.2275,0.18375,0.20417,39480,0.0,1.0
