date,open,high,low,close,volume,dividend,split
2006-09-20,28.495701,28.6936,27.7041,28.248301,22033,0.0,1.0
2006-09-21,28.149401,28.545099,28.0009,28.3967,6670,0.0,1.0
2006-09-22,27.753599,28.6936,24.933701,27.7041,52859,0.0,1.0
2006-09-25,27.7041,27.9515,27.3083,27.803101,6367,0.0,1.0
2006-09-26,27.902,27.902,27.5557,27.7041,6974,0.0,1.0
2006-09-27,28.198799,28.198799,27.2589,27.7041,10511,0.0,1.0
2006-09-28,26.5168,28.0009,26.5168,27.7041,13947,0.0,1.0
2006-09-29,27.902,28.198799,27.2094,27.7041,8389,0.0,1.0
2006-10-03,28.940901,28.940901,26.4673,26.4673,49827,0.0,1.0
2006-10-04,26.962,27.6052,26.714701,26.8631,20214,0.0,1.0
2006-10-05,26.962,27.6546,26.6157,27.1105,34464,0.0,1.0
2006-10-06,27.061001,29.633499,27.061001,29.0399,49321,0.0,1.0
2006-10-09,29.0893,31.562901,28.6936,30.524,161911,0.0,1.0
2006-10-10,31.6618,31.6618,28.891399,29.7819,34060,0.0,1.0
2006-10-11,29.683001,30.128201,28.0009,28.3967,14958,0.0,1.0
2006-10-12,28.198799,29.584,27.9515,28.248301,14756,0.0,1.0
2006-10-13,28.3472,29.188299,28.2978,29.0893,11522,0.0,1.0
2006-10-16,27.506201,29.979799,27.506201,28.940901,101472,0.0,1.0
2006-10-17,28.743,29.584,28.6936,29.188299,13846,0.0,1.0
2006-10-18,28.446199,29.188299,28.198799,28.7925,13745,0.0,1.0
2006-10-19,28.9904,29.4356,28.2978,28.6936,4144,0.0,1.0
2006-10-20,28.6936,29.0893,28.198799,28.6441,13543,0.0,1.0
2006-10-23,29.683001,30.474501,28.0009,29.4356,30624,0.0,1.0
2006-10-26,29.3862,29.880899,29.3862,29.7819,31836,0.0,1.0
2006-10-27,29.683001,31.167101,29.683001,29.7819,49928,0.0,1.0
2006-10-30,30.326099,30.375601,28.9904,29.0893,17990,0.0,1.0
2006-10-31,29.7325,29.7325,28.198799,28.495701,11724,0.0,1.0
2006-11-01,29.1388,29.633499,27.7041,27.753599,18698,0.0,1.0
2006-11-02,26.813601,28.6936,26.813601,27.852501,10612,0.0,1.0
2006-11-03,27.753599,28.198799,26.714701,26.8631,14453,0.0,1.0
2006-11-06,28.198799,28.198799,26.6157,26.714701,20517,0.0,1.0
2006-11-07,27.011499,27.3083,26.318899,26.566299,13139,0.0,1.0
2006-11-08,26.5168,27.159901,26.219999,26.2694,11117,0.0,1.0
2006-11-09,26.5168,26.7642,26.318899,26.4673,6266,0.0,1.0
2006-11-10,26.714701,26.714701,25.972601,26.4179,5761,0.0,1.0
2006-11-13,26.714701,26.714701,26.318899,26.566299,15767,0.0,1.0
2006-11-14,26.121,27.061001,26.121,26.665199,8995,0.0,1.0
2006-11-15,26.714701,27.1105,26.5168,26.566299,5963,0.0,1.0
2006-11-16,26.566299,27.1105,26.5168,26.5168,3234,0.0,1.0
2006-11-17,26.714701,26.714701,25.972601,26.121,8793,0.0,1.0
2006-11-20,26.4673,26.4673,25.4779,25.576799,43965,0.0,1.0
2006-11-21,26.4179,26.4673,25.7253,25.9231,2527,0.0,1.0
2006-11-22,28.6441,28.6441,24.7358,25.3295,13947,0.0,1.0
2006-11-23,25.3295,25.972601,24.34,24.884199,12634,0.0,1.0
2006-11-24,25.972601,25.972601,24.092699,24.438999,37294,0.0,1.0
2006-11-27,24.9832,25.181101,24.537901,24.6369,11421,0.0,1.0
2006-11-28,24.5874,24.6863,23.746401,24.3895,15463,0.0,1.0
2006-11-29,24.7358,24.933701,24.438999,24.488501,10107,0.0,1.0
2006-11-30,24.7358,24.7358,24.0432,24.2411,10006,0.0,1.0
2006-12-01,23.7959,24.5874,23.7959,24.1422,8692,0.0,1.0
2006-12-04,24.0432,24.488501,23.845301,24.2411,12431,0.0,1.0
2006-12-05,25.7253,25.7253,24.092699,24.191601,29916,0.0,1.0
2006-12-06,25.4284,25.4284,24.0432,24.191601,21022,0.0,1.0
2006-12-07,24.2411,24.2411,23.5485,23.746401,28400,0.0,1.0
2006-12-08,25.9231,25.9231,23.746401,24.438999,31533,0.0,1.0
2006-12-11,24.34,24.3895,23.499001,24.191601,5357,0.0,1.0
2006-12-12,23.9443,24.3895,22.262199,23.004299,20517,0.0,1.0
2006-12-13,24.488501,24.488501,22.905399,23.251699,1920,0.0,1.0
2006-12-14,23.9937,24.191601,23.251699,23.7959,5053,0.0,1.0
