date,open,high,low,close,volume,dividend,split
1992-01-23,85,92.5,85,86.25,0,0.0,1.0
1992-01-24,92.5,92.5,82.5,87.5,0,0.0,1.0
1992-01-27,85,85,85,85,0,0.0,1.0
1992-01-29,85,85,85,85,0,0.0,1.0
1992-01-30,95,102.5,95,102.5,0,0.0,1.0
1992-01-31,100,110,100,105,0,0.0,1.0
1992-02-05,100,115,100,110,0,0.0,1.0
1992-02-06,105,115,105,110,0,0.0,1.0
1992-02-07,110,120,110,120,0,0.0,1.0
1992-02-10,110,125,110,120,0,0.0,1.0
1992-02-12,125,135,125,130,0,0.0,1.0
1992-02-13,125,130,125,130,0,0.0,1.0
1992-02-17,125,140,125,135,0,0.0,1.0
1992-02-21,115,130,115,120,0,0.0,1.0
1992-02-24,120,130,120,130,0,0.0,1.0
1992-02-27,130,150,130,150,0,0.0,1.0
1992-03-10,140,160,140,160,0,0.0,1.0
1992-03-11,145,145,145,145,0,0.0,1.0
1992-03-12,160,160,160,160,0,0.0,1.0
1992-03-16,140,160,140,150,0,0.0,1.0
1992-03-17,140,160,140,150,0,0.0,1.0
1992-03-20,140,160,140,160,0,0.0,1.0
1992-03-24,150,160,140,160,0,0.0,1.0
1992-03-25,150,170,150,170,0,0.0,1.0
1992-03-31,200,225,200,225,0,0.0,1.0
1992-04-02,200,225,200,225,0,0.0,1.0
1992-04-03,175,225,175,225,0,0.0,1.0
1992-04-06,200,225,200,225,0,0.0,1.0
1992-04-07,200,225,200,210,0,0.0,1.0
1992-04-08,200,225,200,210,0,0.0,1.0
1992-04-10,200,225,200,210,0,0.0,1.0
1992-04-13,185,225,185,200,0,0.0,1.0
1992-04-22,200,225,200,225,0,0.0,1.0
1992-04-28,200,225,200,225,0,0.0,1.0
1992-04-29,200,200,200,200,0,0.0,1.0
1992-04-30,175,175,175,175,0,0.0,1.0
1992-05-06,150,200,150,200,0,0.0,1.0
1992-05-07,150,200,150,200,0,0.0,1.0
1992-05-11,175,175,140,150,0,0.0,1.0
1992-05-12,125,150,125,150,0,0.0,1.0
1992-05-13,150,175,150,175,0,0.0,1.0
1992-05-14,160,160,150,160,0,0.0,1.0
1992-05-18,140,160,140,160,0,0.0,1.0
1992-05-19,140,160,140,160,0,0.0,1.0
1992-05-20,150,150,150,150,0,0.0,1.0
1992-05-22,140,160,140,160,0,0.0,1.0
1992-05-25,140,140,140,140,0,0.0,1.0
1992-05-27,125,150,125,150,0,0.0,1.0
1992-06-02,105,115,105,115,0,0.0,1.0
1992-06-03,100,100,100,100,0,0.0,1.0
1992-06-04,100,125,100,125,0,0.0,1.0
1992-07-16,125,125,125,125,0,0.0,1.0
1992-07-17,125,135,125,135,0,0.0,1.0
1992-07-20,125,135,125,135,0,0.0,1.0
1992-07-21,135,135,135,135,0,0.0,1.0
1992-07-22,125,135,125,135,0,0.0,1.0
1992-07-23,130,130,130,130,0,0.0,1.0
1992-07-28,130,130,130,130,0,0.0,1.0
1992-07-29,130,140,130,140,0,0.0,1.0
1992-07-30,110,135,110,135,0,0.0,1.0
1992-08-03,130,135,130,135,0,0.0,1.0
1992-08-06,120,130,120,130,0,0.0,1.0
1992-08-07,120,130,120,130,0,0.0,1.0
1992-08-10,115,125,115,125,0,0.0,1.0
1992-08-12,125,130,125,130,0,0.0,1.0
1992-08-14,115,125,115,115,0,0.0,1.0
