date,open,high,low,close,volume,dividend,split
1992-03-02,52.5,57.5,50,57.5,0,0.0,1.0
1992-03-03,50,55,50,55,0,0.0,1.0
1992-03-10,50,55,50,55,0,0.0,1.0
1992-03-11,47.5,52.5,45,50,0,0.0,1.0
1992-03-12,47.5,55,47.5,52.5,0,0.0,1.0
1992-03-13,50,55,50,55,0,0.0,1.0
1992-03-17,50,55,50,55,0,0.0,1.0
1992-03-18,55,60,52.5,57.5,0,0.0,1.0
1992-03-20,57.5,65,57.5,62.5,0,0.0,1.0
1992-03-24,60,67.5,60,65,0,0.0,1.0
1992-03-25,70,80,60,80,0,0.0,1.0
1992-03-27,75,90,75,80,0,0.0,1.0
1992-03-30,80,110,80,110,0,0.0,1.0
1992-03-31,100,110,100,110,0,0.0,1.0
1995-05-04,100,100,100,100,0,0.0,1.0
1995-05-10,115,120,112.5,112.5,0,0.0,1.0
1995-05-12,117,117,117,117,0,0.0,1.0
1995-05-16,115,115,115,115,0,0.0,1.0
1995-05-18,120,120,115,115,0,0.0,1.0
1995-05-19,116,116,116,116,0,0.0,1.0
1995-05-22,125,125,115,125,0,0.0,1.0
1995-05-24,120,120,120,120,0,0.0,1.0
1995-05-25,120,120,120,120,0,0.0,1.0
1995-05-31,118.75,118.75,118.75,118.75,0,0.0,1.0
1996-04-16,55,55,55,55,100,0.0,1.0
1996-04-17,55,55,55,55,200,0.0,1.0
1996-04-18,54,59,54,59,400,0.0,1.0
1996-04-22,60,66,60,65,500,0.0,1.0
1996-04-23,65,65,65,65,200,0.0,1.0
1996-04-24,65,65,65,65,500,0.0,1.0
1996-04-25,64,65,64,65,200,0.0,1.0
1996-04-26,63,63,61,61,200,0.0,1.0
1996-04-30,61,63,61,61.5,700,0.0,1.0
1996-05-02,62,62,61,61,700,0.0,1.0
1996-05-03,62,62,62,62,100,0.0,1.0
1996-05-06,63,63,63,63,100,0.0,1.0
1996-05-08,62,62.5,61.5,62,1000,0.0,1.0
1996-05-09,62,63,62,62.5,500,0.0,1.0
1996-05-10,63,64,63,64,500,0.0,1.0
1996-05-13,63,63,63,63,100,0.0,1.0
1996-05-14,62.5,62.5,62,62,200,0.0,1.0
1996-05-15,62,62,62,62,200,0.0,1.0
1996-05-17,70.5,70.5,66,68,400,0.0,1.0
1996-05-21,65,65,65,65,100,0.0,1.0
1996-05-22,60.5,63,60.5,62,500,0.0,1.0
1996-05-23,60,60,60,60,100,0.0,1.0
1996-05-24,58.5,58.5,58.5,58.5,300,0.0,1.0
1996-05-27,60,60,60,60,200,0.0,1.0
1996-05-28,57.5,57.5,57.5,57.5,200,0.0,1.0
1996-05-30,47,57.5,47,57.5,200,0.0,1.0
1996-05-31,55.5,55.5,55,55,200,0.0,1.0
1996-06-03,56.5,56.5,56.5,56.5,200,0.0,1.0
1996-06-05,56.5,56.5,56.5,56.5,100,0.0,1.0
1996-06-06,58,58,58,58,300,0.0,1.0
1996-06-07,58,58,58,58,800,0.0,1.0
1996-06-11,56.5,56.5,56.5,56.5,100,0.0,1.0
1996-06-12,58,58,57.25,57.25,200,0.0,1.0
1996-06-13,57.25,57.75,55,55,1200,0.0,1.0
1996-06-14,56,57.5,56,57.5,200,0.0,1.0
1996-06-17,59,60,58.25,58.25,800,0.0,1.0
1996-06-18,59,59,58.25,59,300,0.0,1.0
1996-06-19,59,59,56,56,400,0.0,1.0
1996-06-20,56,56,56,56,200,0.0,1.0
1996-06-21,54.5,55,54.25,54.25,500,0.0,1.0
1996-06-24,60.75,61,59,59,900,0.0,1.0
1996-06-25,59.5,59.5,56.75,56.75,600,0.0,1.0
1996-06-26,56,56.25,56,56,300,0.0,1.0
1996-06-27,55.75,55.75,55.75,55.75,100,0.0,1.0
1996-06-28,55.25,56.25,55.25,55.25,400,0.0,1.0
1996-07-01,55.75,55.75,55.75,55.75,500,0.0,1.0
1996-07-02,52.5,52.5,52.5,52.5,100,0.0,1.0
1996-07-03,50.25,50.25,50.25,50.25,100,0.0,1.0
1996-07-04,50.75,53,50.5,53,300,0.0,1.0
1996-07-08,53,53,51,51,800,0.0,1.0
1996-07-09,49,49,48,48,200,0.0,1.0
1996-07-10,48.25,48.25,48.25,48.25,100,0.0,1.0
1996-07-11,46,51.5,46,49.5,500,0.0,1.0
1996-07-15,47,47,46.75,46.75,300,0.0,1.0
1996-07-16,47,49.25,47,48,600,0.0,1.0
1996-07-18,48.25,48.25,48.25,48.25,100,0.0,1.0
1996-07-19,48,54,48,52,900,0.0,1.0
1996-07-22,56.5,56.5,56.5,56.5,100,0.0,1.0
1996-07-24,53.75,53.75,51.5,51.5,200,0.0,1.0
1996-07-26,52.25,54.75,52,52.5,800,0.0,1.0
1996-07-29,51.75,51.75,51.75,51.75,100,0.0,1.0
1996-07-30,50,51.5,50,51.5,300,0.0,1.0
1996-07-31,50,51.5,50,51.5,400,0.0,1.0
1996-08-01,51.5,51.75,51.5,51.5,400,0.0,1.0
1996-08-02,51,51.5,50,51.5,400,0.0,1.0
1996-08-06,48.25,48.25,48,48,400,0.0,1.0
1996-08-07,48.75,52,48.75,52,300,0.0,1.0
1996-08-08,52,52,52,52,400,0.0,1.0
1996-08-09,50,50,50,50,200,0.0,1.0
1996-08-12,53,53,53,53,602,0.0,1.0
1996-08-13,52.5,53,52.5,52.5,505,0.0,1.0
1996-08-14,52,52,49,49,650,0.0,1.0
1996-08-16,50.25,50.25,48,48,1000,0.0,1.0
1996-08-20,48,48,48,48,250,0.0,1.0
1996-08-22,48,48,48,48,250,0.0,1.0
1996-08-27,45,45,45,45,120,0.0,1.0
1996-08-30,48,50.5,48,50.5,309,0.0,1.0
1996-09-04,48,49,48,49,305,0.0,1.0
1996-09-10,46.5,46.5,46.5,46.5,550,0.0,1.0
1996-09-11,45,45,45,45,159,0.0,1.0
1996-09-12,46,46,46,46,105,0.0,1.0
1996-09-13,46,47,46,47,250,0.0,1.0
1996-09-20,48,48,48,48,100,0.0,1.0
1996-09-24,47,47,47,47,100,0.0,1.0
1996-09-27,41,42,40,40,350,0.0,1.0
1996-09-30,47.5,47.5,47.5,47.5,100,0.0,1.0
1996-10-01,43,45,40,45,700,0.0,1.0
1996-10-03,40.5,40.5,40.5,40.5,100,0.0,1.0
1996-10-04,40.25,40.25,39,39,500,0.0,1.0
1996-10-08,40,42,40,42,450,0.0,1.0
1996-10-10,40.5,40.5,40.5,40.5,100,0.0,1.0
