date,open,high,low,close,volume,dividend,split
2006-03-17,48.200001,50,41.040001,46.599998,47838995,0.0,1.0
2006-03-20,46.799999,48.360001,45.799999,46.91,9441360,0.0,1.0
2006-03-21,47.18,50.779999,47,48.380001,17272570,0.0,1.0
2006-03-22,48.619999,48.939999,46.200001,46.77,3904215,0.0,1.0
2006-03-23,46.799999,49.580002,46.799999,48.23,6486715,0.0,1.0
2006-03-24,48.52,49.34,47.639999,48.5,3151725,0.0,1.0
2006-03-27,48.759998,49.799999,48.400002,49.299999,1901685,0.0,1.0
2006-03-28,49.200001,51.580002,48.970001,50.380001,5698575,0.0,1.0
2006-03-29,50.5,50.900002,48.799999,49.150002,1017480,0.0,1.0
2006-03-30,49.310001,50.369999,48.220001,48.689999,827985,0.0,1.0
2006-03-31,49.049999,49.240002,47.799999,48.27,643405,0.0,1.0
2006-04-03,48.700001,49.400002,47.630001,48.169998,1109295,0.0,1.0
2006-04-04,48.740002,49.799999,48.360001,49.16,899330,0.0,1.0
2006-04-05,49.200001,50,49.009998,49.709999,524285,0.0,1.0
2006-04-07,49.779999,50,47.709999,48.029999,405645,0.0,1.0
2006-04-10,48.279999,48.599998,47.200001,47.419998,239305,0.0,1.0
2006-04-12,47.799999,48,45.650002,45.970001,1331160,0.0,1.0
2006-04-13,46.400002,46.900002,44.869999,46.450001,528115,0.0,1.0
2006-04-17,46.599998,47,45.360001,45.610001,272855,0.0,1.0
2006-04-18,46,46.599998,45.009998,45.139999,144180,0.0,1.0
2006-04-19,46.200001,46.200001,44.82,44.919998,157130,0.0,1.0
2006-04-20,45.400002,45.799999,44.139999,44.689999,540720,0.0,1.0
2006-04-21,45.200001,46.619999,44.599998,45.099998,351475,0.0,1.0
2006-04-24,45.549999,46.200001,44.709999,45.77,190410,0.0,1.0
2006-04-25,45.25,46.599998,45.220001,46.130001,427090,0.0,1.0
2006-04-26,45.799999,47.07,45.639999,46.43,210820,0.0,1.0
2006-04-27,46.799999,47.5,46.099998,46.459999,206965,0.0,1.0
2006-04-28,46,47.799999,45.599998,46.700001,309545,0.0,1.0
2006-05-02,46.799999,47.490002,46.200001,46.810001,223490,0.0,1.0
2006-05-03,46.799999,49.799999,46.41,48.580002,509440,0.0,1.0
2006-05-04,48.400002,50.200001,48.200001,49.82,938815,0.0,1.0
2006-05-05,50,50.240002,49,49.720001,328660,0.0,1.0
2006-05-08,50.200001,52.200001,49.400002,51.82,835770,0.0,1.0
2006-05-09,51.400002,52.400002,51.400002,51.619999,436655,0.0,1.0
2006-05-10,51.799999,52,50.060001,50.580002,474930,0.0,1.0
2006-05-11,51,51,49.799999,50.66,143080,0.0,1.0
2006-05-12,50.200001,51,49.599998,50.57,731265,0.0,1.0
2006-05-15,50.200001,51.939999,45.720001,50.630001,320680,0.0,1.0
2006-05-16,50.43,50.599998,47.009998,49.41,233925,0.0,1.0
2006-05-17,49.799999,50.5,49.470001,49.98,145630,0.0,1.0
2006-05-18,49.400002,55.400002,47.599998,49.240002,678875,0.0,1.0
2006-05-19,52.400002,52.400002,46.799999,47.16,1360250,0.0,1.0
