date,open,high,low,close,volume,dividend,split
2000-04-13,17.25,17.25,15,16.85,49400,0.0,1.0
2000-04-14,16.85,16.85,16.85,16.85,0,0.0,1.0
2000-04-17,17.35,17.35,15.55,15.55,6800,0.0,1.0
2000-04-18,14.4,15,14.35,15,5700,0.0,1.0
2000-04-19,15,15,13.85,13.85,6500,0.0,1.0
2000-04-20,14,14,12.75,12.8,1100,0.0,1.0
2000-04-21,12.8,12.8,12.8,12.8,0,0.0,1.0
2000-04-24,12.8,12.8,12.8,12.8,0,0.0,1.0
2000-04-25,12,12,11.7,11.7,1200,0.0,1.0
2000-04-26,11.7,11.7,11.7,11.7,0,0.0,1.0
2000-04-27,12.6,13.55,12.6,13.55,800,0.0,1.0
2000-04-28,13.6,14.6,13.6,14.5,9400,0.0,1.0
2000-05-01,14.5,14.5,14.5,14.5,0,0.0,1.0
2000-05-02,14.5,14.5,13.35,13.4,2400,0.0,1.0
2000-05-03,13.4,13.4,13.4,13.4,0,0.0,1.0
2000-05-04,13.85,13.95,12.65,12.65,5300,0.0,1.0
2000-05-05,12.65,12.65,12.65,12.65,0,0.0,1.0
2000-05-08,12.75,12.75,12.75,12.75,10,0.0,1.0
2000-05-09,12.75,12.75,12.75,12.75,0,0.0,1.0
2000-05-10,13.5,13.5,12.8,13,1000,0.0,1.0
2000-05-11,12.8,12.8,12,12.25,7500,0.0,1.0
2000-05-12,12.2,12.2,12,12,5500,0.0,1.0
2000-05-15,12.5,12.9,12.5,12.65,1100,0.0,1.0
2000-05-16,12.55,12.55,12,12,1900,0.0,1.0
2000-05-17,11.25,12,11.25,11.85,1600,0.0,1.0
2000-05-18,10.95,12.5,10.95,11.1,900,0.0,1.0
2000-05-19,10.95,11.1,10.95,10.95,1800,0.0,1.0
2000-05-22,10.15,10.15,10.15,10.15,100,0.0,1.0
2000-05-23,10.3,10.3,10.05,10.3,1600,0.0,1.0
2000-05-24,10.9,11,10.1,10.3,800,0.0,1.0
2000-05-25,10.5,11.1,10.5,11.1,11700,0.0,1.0
2000-05-26,11,11.95,11,11.95,1100,0.0,1.0
2000-05-29,11,11.25,11,11.25,500,0.0,1.0
2000-05-30,11.25,12.1,10.4,11.3,2400,0.0,1.0
2000-05-31,12.1,12.1,11.5,11.5,1200,0.0,1.0
2000-06-01,12.25,12.25,11,11.1,500,0.0,1.0
2000-06-02,11,11.9,11,11.1,2400,0.0,1.0
2000-06-05,11,11,11,11,100,0.0,1.0
2000-06-06,10.55,11.1,10.55,11.1,1200,0.0,1.0
2000-06-07,10.25,11.5,10.25,11.4,14500,0.0,1.0
2000-06-08,11,12.1,11,12.05,3900,0.0,1.0
2000-06-09,12.05,13,12,13,163300,0.0,1.0
2000-06-12,12.4,13.5,12.4,12.4,8500,0.0,1.0
2000-06-13,12.5,12.5,11.75,11.75,3400,0.0,1.0
2000-06-14,12,12,11.6,11.75,3800,0.0,1.0
2000-06-15,11.7,11.7,11.5,11.5,400,0.0,1.0
2000-06-16,10.9,11.2,10.6,10.95,15100,0.0,1.0
2000-06-19,10.95,10.95,10.95,10.95,0,0.0,1.0
2000-06-20,11.75,12.5,11.75,12.25,3000,0.0,1.0
2000-06-21,12.1,12.1,11.3,12,1800,0.0,1.0
2000-06-22,11.55,11.55,11.05,11.05,1500,0.0,1.0
2000-06-23,10.2,11.25,10.2,11,1000,0.0,1.0
2000-06-26,10.65,10.65,10.5,10.55,2700,0.75853,1.0
2000-06-27,10.25,10.75,10.25,10.75,800,0.0,1.0
2000-06-28,10.5,10.5,9.9,10.25,2300,0.0,1.0
2000-06-29,10,10,9.5,10,11900,0.0,1.0
2000-06-30,10,10,9.9,10,51400,0.0,1.0
2000-07-03,10,10.25,9.9,9.95,25800,0.0,1.0
2000-07-04,9.9,10,9.75,9.85,5900,0.0,1.0
2000-07-05,10.25,10.25,9.8,9.8,9000,0.0,1.0
2000-07-06,10,10,9.85,10,1600,0.0,1.0
2000-07-07,10,10,10,10,0,0.0,1.0
2000-07-10,9.4,9.4,9.4,9.4,33,0.0,1.0
2000-07-11,10.15,10.4,10,10.1,29100,0.0,1.0
2000-07-12,10,10.85,10,10.85,18500,0.0,1.0
2000-07-13,11.55,11.7,11,11.7,19100,0.0,1.0
2000-07-14,12.5,12.6,12.25,12.6,24100,0.0,1.0
2000-07-17,13.4,13.55,12.5,12.9,21500,0.0,1.0
2000-07-18,12.7,13,12,12.7,9100,0.0,1.0
2000-07-19,12.7,12.7,11.7,12.15,5900,0.0,1.0
2000-07-20,11.7,12,11.55,11.75,5200,0.0,1.0
2000-07-21,11.65,12.05,11.6,11.8,8500,0.0,1.0
2000-07-24,11.8,11.8,11.8,11.8,0,0.0,1.0
2000-07-25,12.95,13.1,12.5,13.1,3600,0.0,1.0
2000-07-26,12.8,13.35,12.6,13.05,32900,0.0,1.0
2000-07-27,13.05,13.05,13.05,13.05,0,0.0,1.0
2000-07-28,12.8,14.5,12.8,14.4,4100,0.0,1.0
2000-07-31,14,14,13.25,13.25,2400,0.0,1.0
2000-08-01,13,13,12.2,12.5,27300,0.0,1.0
2000-08-02,12,13,12,13,14900,0.0,1.0
2000-08-03,13,13.25,12.85,13.1,2400,0.0,1.0
2000-08-04,12.3,13,12.3,12.5,9000,0.0,1.0
2000-08-07,11.6,12.6,11.6,12.3,3200,0.0,1.0
2000-08-08,12.25,13.25,12.25,12.5,21300,0.0,1.0
2000-08-09,13,13.2,12.6,12.8,16400,0.0,1.0
2000-08-10,12.8,13.3,12.2,13.2,15200,0.0,1.0
2000-08-11,13,13.4,12.75,13.05,36500,0.0,1.0
2000-08-14,14,14,12.5,13,29500,0.0,1.0
2000-08-15,13,13,13,13,0,0.0,1.0
2000-08-16,13.05,13.7,13.05,13.4,4900,0.0,1.0
2000-08-17,13.05,13.7,13,13.5,18800,0.0,1.0
