date,open,high,low,close,volume,dividend,split
2005-05-23,30,35.099998,27,34,9093926,0.0,1.0
2005-05-24,33.849998,35.200001,31.6,32.099998,2174300,0.0,1.0
2005-05-25,32.400002,32.700001,31,31.25,416400,0.0,1.0
2005-05-26,31.549999,31.75,29.799999,29.9,230900,0.0,1.0
2005-05-27,30.35,35.450001,29.4,34.150002,1854500,0.0,1.0
2005-05-30,34.5,35.049999,32.799999,33.150002,557400,0.0,1.0
2005-05-31,33.400002,33.400002,32,32.200001,139200,0.0,1.0
2005-06-01,33,34.5,32.5,33.900002,630900,0.0,1.0
2005-06-02,34,39.599998,33.049999,37.75,2489000,0.0,1.0
2005-06-03,37.950001,38.450001,35.849998,36.450001,1521660,0.0,1.0
2005-06-06,38.200001,40.200001,37.549999,38.349998,1293324,0.0,1.0
2005-06-07,38.900002,40.75,38.5,39.599998,1505700,0.0,1.0
2005-06-08,39.900002,40.549999,38.349998,38.849998,496300,0.0,1.0
2005-06-09,39.25,39.75,38.200001,38.549999,323700,0.0,1.0
2005-06-10,39,39.599998,38.049999,38.25,306200,0.0,1.0
2005-06-13,38.5,38.5,36.349998,36.599998,172900,0.0,1.0
2005-06-14,37,37,35.5,35.650002,116866,0.0,1.0
2005-06-15,36.400002,36.400002,35.5,35.75,105300,0.0,1.0
2005-06-16,36,36.299999,33.5,33.900002,94500,0.0,1.0
2005-06-17,34.400002,34.900002,32.099998,32.5,85700,0.0,1.0
2005-06-20,32.5,32.900002,29.450001,31.25,72400,0.0,1.0
2005-06-21,31.6,32.900002,31,32.299999,77100,0.0,1.0
2005-06-22,32.549999,32.549999,31,31.25,46400,0.0,1.0
2005-06-23,30.25,31.75,30,31.25,45227,0.0,1.0
2005-06-24,31,33.950001,31,32.299999,133800,0.0,1.0
2005-06-27,32.549999,32.900002,31.25,31.450001,65300,0.0,1.0
2005-06-28,32.450001,32.450001,30.4,30.6,51200,0.0,1.0
2005-06-29,30.5,31.4,30.5,30.75,31700,0.0,1.0
2005-06-30,31.799999,32,30.5,30.75,42800,0.0,1.0
2005-07-01,30.799999,31.299999,30.5,30.950001,38600,0.0,1.0
2005-07-04,31.4,31.85,30.5,31.1,35500,0.0,1.0
2005-07-05,31.950001,31.950001,30.5,31.049999,50000,0.0,1.0
2005-07-06,31.450001,31.950001,30.9,31.049999,52200,0.0,1.0
2005-07-07,31.799999,31.799999,30.549999,30.65,29573,0.0,1.0
2005-07-08,30.6,31.299999,30,30.450001,47400,0.0,1.0
2005-07-11,30.85,31.1,30.6,30.85,23711,0.0,1.0
2005-07-12,30.15,31,30.15,30.65,18500,0.0,1.0
2005-07-13,31,31,30,30.1,22800,0.0,1.0
2005-07-14,30.4,30.5,29.5,29.799999,27185,0.0,1.0
2005-07-15,30,31.25,29.700001,29.9,31500,0.0,1.0
2005-07-18,30,30.799999,29.65,29.9,34400,0.0,1.0
2005-07-19,32.599998,33.400002,30.049999,33,208800,0.0,1.0
2005-07-20,32,34.25,32,32.849998,129200,0.0,1.0
2005-07-21,33.700001,33.700001,31.5,31.700001,51200,0.0,1.0
2005-07-22,31.9,32.299999,31.75,31.9,34800,0.0,1.0
2005-07-25,32.650002,33,31.799999,31.950001,40400,0.0,1.0
2005-07-26,32.5,32.5,30.6,31.15,23630,0.0,1.0
2005-07-27,31.799999,31.799999,30.6,30.9,8400,0.0,1.0
2005-07-29,31,31.1,30.5,30.549999,17400,0.0,1.0
2005-08-01,30.9,30.9,29.1,29.799999,25452,0.0,1.0
2005-08-02,29.799999,30.450001,29.549999,29.799999,27800,0.0,1.0
2005-08-03,30.700001,30.700001,29.549999,29.799999,20100,0.0,1.0
2005-08-04,29.299999,30.4,29.299999,29.700001,23132,0.0,1.0
2005-08-05,30.5,30.75,29.799999,30.1,29600,0.0,1.0
2005-08-08,29.6,30.5,29.5,29.6,25800,0.0,1.0
2005-08-09,29.549999,29.950001,29.4,29.5,12790,0.0,1.0
2005-08-10,30,30,29.35,29.5,13215,0.0,1.0
2005-08-11,29.9,30.9,29.85,30.049999,33500,0.0,1.0
2005-08-12,30.200001,31,30.1,30.4,38700,0.0,1.0
2005-08-16,30.950001,32.650002,30.5,31.549999,78900,0.0,1.0
2005-08-17,31.75,32.5,31.200001,31.950001,60900,0.0,1.0
2005-08-18,32.099998,32.349998,31.200001,31.450001,36500,0.0,1.0
2005-08-19,32.400002,32.400002,31.049999,31.549999,31700,0.0,1.0
2005-08-22,32.549999,32.549999,31.5,31.700001,66100,0.0,1.0
2005-08-23,31.6,32,30.299999,30.5,43900,0.0,1.0
2005-08-24,30.9,30.9,29.1,29.75,27100,0.0,1.0
2005-08-25,29.65,30.549999,29.549999,30,14200,0.0,1.0
2005-08-26,30,31.4,30,31,61200,0.0,1.0
2005-08-29,31.5,31.9,31,31.4,54200,0.0,1.0
2005-08-30,31.4,33,31.4,32.200001,87500,0.17388,1.0
2005-08-31,32,33.5,32,33,72400,0.0,1.0
2005-09-01,33.799999,33.799999,32.799999,33,70900,0.0,1.0
2005-09-02,33.450001,35.400002,32.049999,33.799999,261800,0.0,1.0
2005-09-05,34.349998,35,33.349998,33.799999,143800,0.0,1.0
2005-09-06,34.25,36.75,33,36,379000,0.0,1.0
2005-09-08,36,37.400002,35,35.299999,167100,0.0,1.0
2005-09-09,36,36,33.700001,34.099998,59900,0.0,1.0
2005-09-12,34.75,36,34.200001,34.299999,49500,0.0,1.0
2005-09-13,34.599998,34.599998,33.549999,33.75,34100,0.0,1.0
2005-09-14,34.5,34.5,32.799999,33,56300,0.0,1.0
2005-09-15,33.950001,33.950001,32.900002,33.049999,32864,0.0,1.0
2005-09-16,33.799999,33.799999,32.799999,33.049999,41321,0.0,1.0
2005-09-19,33.5,33.700001,33.099998,33.200001,35000,0.0,1.0
2005-09-20,33.400002,33.599998,31.65,32,30600,0.0,1.0
2005-09-21,31.549999,31.9,28.5,30.5,46200,0.0,1.0
2005-09-22,28.35,29.450001,28,28.049999,81300,0.0,1.0
2005-09-23,29.35,29.4,27.5,27.950001,25637,0.0,1.0
2005-09-26,28.299999,29.9,28.299999,29.75,29300,0.0,1.0
2005-09-27,31.5,31.5,29.700001,29.799999,36400,0.0,1.0
2005-09-28,30.5,30.700001,29.6,30.049999,25800,0.0,1.0
2005-09-29,30,30,28.700001,29,29111,0.0,1.0
2005-09-30,29.85,29.85,27.5,28,34100,0.0,1.0
2005-10-03,29.299999,29.299999,28.049999,28.5,20793,0.0,1.0
2005-10-04,29.5,29.5,28.799999,28.9,15500,0.0,1.0
2005-10-05,27.6,29.299999,27.6,28.799999,10500,0.0,1.0
2005-10-06,28.9,29,28.25,28.700001,10849,0.0,1.0
2005-10-07,28.1,29.200001,28.1,28.299999,14400,0.0,1.0
2005-10-10,28.950001,28.950001,28,28.049999,10775,0.0,1.0
2005-10-11,28,28,27.049999,27.299999,23500,0.0,1.0
2005-10-13,27.5,27.85,26.700001,27.15,9500,0.0,1.0
2005-10-14,26.049999,27.299999,26.049999,26.200001,21245,0.0,1.0
2005-10-17,26.049999,26.049999,24.049999,24.450001,22200,0.0,1.0
2005-10-18,24.85,25.950001,24.85,24.950001,8059,0.0,1.0
2005-10-19,23.700001,25,23.5,23.700001,19386,0.0,1.0
2005-10-20,24,24,21.5,22.049999,20548,0.0,1.0
2005-10-21,22.549999,22.549999,20,21.4,22600,0.0,1.0
2005-10-24,22.450001,22.950001,21.299999,22.299999,11400,0.0,1.0
2005-10-25,22.85,23.200001,22.450001,23.049999,8217,0.0,1.0
2005-10-26,22.4,23.950001,22.4,23.25,10394,0.0,1.0
2005-10-27,22.9,23.5,22.9,23.200001,8599,0.0,1.0
2005-10-28,23.75,23.75,22.1,22.35,12436,0.0,1.0
2005-10-31,22.450001,22.75,22.1,22.6,2031,0.0,1.0
2005-11-02,22.450001,22.9,22.450001,22.9,2100,0.0,1.0
2005-11-07,23.700001,23.700001,22.75,23.5,8400,0.0,1.0
2005-11-08,23.75,24.1,23.5,23.950001,7347,0.0,1.0
2005-11-09,24.200001,24.6,23.950001,24.049999,6336,0.0,1.0
2005-11-10,23.950001,23.950001,23.25,23.5,1700,0.0,1.0
2005-11-11,24,24.049999,23.6,23.75,4200,0.0,1.0
2005-11-14,24.450001,24.450001,23.85,23.85,4900,0.0,1.0
2005-11-16,27,27,22.049999,24.15,10200,0.0,1.0
2005-11-17,24,24.15,23.549999,24,9188,0.0,1.0
2005-11-18,24,24.299999,23.6,23.700001,3500,0.0,1.0
2005-11-21,23.299999,23.65,22.75,23.15,5742,0.0,1.0
2005-11-22,22.75,23.15,22.049999,22.6,10600,0.0,1.0
2005-11-23,22.549999,22.65,22.200001,22.6,3800,0.0,1.0
2005-11-24,22.200001,23,22.200001,22.799999,9100,0.0,1.0
2005-11-25,22.799999,22.799999,22.4,22.450001,7700,0.0,1.0
2005-11-28,22.75,23.950001,22.75,23.15,8302,0.0,1.0
2005-11-29,22.1,23.5,22.1,22.85,5765,0.0,1.0
2005-11-30,23,24.049999,22.9,23.049999,10200,0.0,1.0
2005-12-01,22.25,23,22.200001,22.75,8357,0.0,1.0
2005-12-02,23.549999,23.549999,22.4,22.5,9600,0.0,1.0
2005-12-05,22.9,22.9,22.200001,22.4,5200,0.0,1.0
2005-12-06,18.65,23,18.65,22.25,11728,0.0,1.0
2005-12-07,22.299999,22.799999,22.15,22.35,6900,0.0,1.0
2005-12-08,22.5,22.75,22.200001,22.299999,8100,0.0,1.0
2005-12-09,22.4,22.75,22.1,22.299999,8400,0.0,1.0
2005-12-12,22,23,22,22.6,8206,0.0,1.0
2005-12-13,23.299999,23.299999,22.35,23,15912,0.0,1.0
2005-12-14,23,23.25,22.5,23.049999,13500,0.0,1.0
2005-12-15,23.299999,27.450001,23,25.9,142100,0.0,1.0
2005-12-16,26.299999,26.299999,24.4,24.75,49300,0.0,1.0
2005-12-19,25.65,25.65,24.200001,24.799999,33700,0.0,1.0
2005-12-20,24.25,24.25,23.549999,23.65,31500,0.0,1.0
2005-12-21,23.75,24.25,23.450001,23.799999,18221,0.0,1.0
2005-12-22,24,24.299999,23.799999,23.950001,4542,0.0,1.0
2005-12-23,23.049999,23.4,22.799999,23,18700,0.0,1.0
2005-12-26,22.5,23.700001,22,22.200001,6576,0.0,1.0
2005-12-27,22.5,22.799999,22,22.15,7580,0.0,1.0
2005-12-28,22.950001,23.200001,22.35,22.5,13300,0.0,1.0
2005-12-29,21.5,23,21.5,22.5,14266,0.0,1.0
2005-12-30,21.549999,23.5,21.549999,22.799999,17927,0.0,1.0
2006-01-02,22.65,23.5,22.549999,23.25,11200,0.0,1.0
2006-01-03,23,24.4,23,24.4,14800,0.0,1.0
2006-01-04,25.25,25.6,24.450001,24.700001,33601,0.0,1.0
2006-01-05,24.450001,24.799999,24.1,24.25,16407,0.0,1.0
2006-01-06,24.15,24.799999,23.65,23.85,4595,0.0,1.0
2006-01-09,23.5,24.15,22.9,23.5,11352,0.0,1.0
2006-01-10,24.6,24.6,22.35,23.5,11700,0.0,1.0
2006-01-12,23,23.5,22.700001,23.25,7162,0.0,1.0
2006-01-13,23.1,24,23.1,23.799999,10085,0.0,1.0
2006-01-16,23.1,23.4,23,23.15,3742,0.0,1.0
2006-01-17,22.5,23.299999,22.5,22.9,3700,0.0,1.0
2006-01-18,22.450001,23.15,22.450001,22.950001,3125,0.0,1.0
2006-01-19,23.75,23.75,22,23,11290,0.0,1.0
2006-01-20,22,23.299999,22,22.6,9200,0.0,1.0
2006-01-23,22.6,23.5,22.6,22.65,19600,0.0,1.0
2006-01-24,22.15,23.15,22.1,22.549999,9800,0.0,1.0
2006-01-25,23,23,22,22.1,16279,0.0,1.0
2006-01-27,22.1,22.9,22.1,22.35,7734,0.0,1.0
2006-01-30,23.450001,23.450001,21.5,21.6,12139,0.0,1.0
2006-01-31,21.85,21.85,20.75,20.799999,14695,0.0,1.0
2006-02-01,20.6,21.35,20.15,20.6,6505,0.0,1.0
2006-02-02,20,21,19.75,20,17378,0.0,1.0
2006-02-03,20,20.4,19.049999,19.1,15587,0.0,1.0
2006-02-06,20.049999,20.049999,19.799999,20.049999,5900,0.0,1.0
2006-02-07,20,20,19.5,19.549999,7956,0.0,1.0
2006-02-08,19.5,20.5,19.5,20.4,11475,0.0,1.0
2006-02-10,21.25,21.4,20.549999,21.200001,8843,0.0,1.0
2006-02-13,21.5,22.25,21.200001,21.700001,8101,0.0,1.0
2006-02-14,22.5,22.5,21.1,21.200001,6851,0.0,1.0
2006-02-15,22,22,20.4,20.75,7215,0.0,1.0
2006-02-16,20.6,21,20.4,20.799999,3851,0.0,1.0
2006-02-17,20.5,20.799999,20.15,20.35,7010,0.0,1.0
2006-02-20,20.4,20.4,19.5,19.75,8350,0.0,1.0
2006-02-21,19.5,20.6,19.1,19.1,10300,0.0,1.0
2006-02-22,18.6,19.85,18.6,19.549999,17471,0.0,1.0
2006-02-23,19,19.4,19,19.049999,6890,0.0,1.0
2006-02-24,19,19.5,19,19.299999,5795,0.0,1.0
2006-02-27,19.549999,19.549999,18.75,18.950001,13846,0.0,1.0
2006-02-28,19.25,19.450001,18.85,18.85,7100,0.0,1.0
2006-03-01,18.85,19.4,18.5,18.6,15812,0.0,1.0
2006-03-02,18.299999,19.299999,18,18.4,11400,0.0,1.0
2006-03-03,18,18.35,17.549999,17.549999,6000,0.0,1.0
2006-03-06,17.299999,18.1,17.299999,17.6,21992,0.0,1.0
2006-03-07,18.049999,18.049999,17.25,17.799999,11598,0.0,1.0
2006-03-08,17.9,18,17.299999,17.549999,9800,0.0,1.0
2006-03-09,17.5,17.6,17,17.549999,5625,0.0,1.0
2006-03-10,17.4,18.1,17.049999,17.5,14200,0.0,1.0
2006-03-13,17.5,17.75,17.35,17.450001,9395,0.0,1.0
2006-03-14,17.35,17.9,17.1,17.200001,25454,0.0,1.0
2006-03-16,17.5,17.5,16.9,16.950001,9482,0.0,1.0
2006-03-17,17,17,16.15,16.15,17200,0.0,1.0
2006-03-20,16.85,16.85,15.35,15.8,29424,0.0,1.0
2006-03-21,16.35,16.549999,15.55,15.95,20025,0.0,1.0
2006-03-22,15.95,16.4,15.8,16.15,16455,0.0,1.0
