date,open,high,low,close,volume,dividend,split
2000-01-03,24.75,24.75,22.200001,24.5,2550,0.0,1.0
2000-01-04,24.4,24.4,22.6,22.85,3700,0.0,1.0
2000-01-05,22.049999,22.049999,21.5,21.700001,2750,0.0,1.0
2000-01-06,22,22.5,21.25,21.5,6450,0.0,1.0
2000-01-07,22.75,22.75,21.4,22.75,6000,0.0,1.0
2000-01-10,22.75,23,21.1,21.200001,7550,0.0,1.0
2000-01-11,22,22.85,19.799999,19.799999,4500,0.0,1.0
2000-01-12,19.1,21.299999,19.1,21.15,4800,0.0,1.0
2000-01-13,21.4,21.5,20,21,3950,0.0,1.0
2000-01-14,21.4,22,20.6,22,7750,0.0,1.0
2000-01-17,23,23.75,23,23.75,850,0.0,1.0
2000-01-18,23.85,25.6,23.85,25.200001,5950,0.0,1.0
2000-01-19,24,25,23.700001,24.75,3700,0.0,1.0
2000-01-20,23.799999,26,23,25.15,11100,0.0,1.0
2000-01-21,25,27.15,23.75,27.15,18550,0.0,1.0
2000-01-24,28,28,26,27.1,5950,0.0,1.0
2000-01-25,26.5,27.5,25.25,27,4900,0.0,1.0
2000-01-26,27,27,27,27,0,0.0,1.0
2000-01-27,26,26.5,25.6,26.450001,3150,0.0,1.0
2000-01-28,25.5,28,24.5,27.049999,11450,0.0,1.0
2000-01-31,27.5,27.5,26,26,3150,0.0,1.0
2000-02-01,23.950001,25.25,23.950001,25.200001,2900,0.0,1.0
2000-02-02,24,25.25,23.700001,23.75,4000,0.0,1.0
2000-02-03,23.75,23.75,23.75,23.75,0,0.0,1.0
2000-02-04,24,24.75,22.1,23,42850,0.0,1.0
2000-02-07,22.5,24.799999,22.5,23.5,3350,0.0,1.0
2000-02-08,23.75,24,23.1,23.35,1750,0.0,1.0
2000-02-09,22.700001,23.25,22.6,22.6,7050,0.0,1.0
2000-02-10,23.5,23.5,22.5,23,4300,0.0,1.0
2000-02-11,23.5,23.5,22.6,23,8100,0.0,1.0
2000-02-14,21.75,22,21.75,22,9400,0.0,1.0
2000-02-15,21.5,21.5,20.549999,21,10550,0.0,1.0
2000-02-16,21,22.65,21,22.65,10700,0.0,1.0
2000-02-17,22.5,24.450001,22.5,24.450001,4050,0.0,1.0
2000-02-18,25.5,26.35,25.4,26.200001,26200,0.0,1.0
2000-02-21,28.25,28.25,27,27.25,29800,0.0,1.0
2000-02-22,25.25,27.950001,25.25,26,12250,0.0,1.0
2000-02-23,24,25.25,24,24.5,8850,0.0,1.0
2000-02-24,22.799999,24.200001,22.6,23.200001,22900,0.0,1.0
2000-02-25,23.450001,25,23,25,14650,0.0,1.0
2000-02-28,25,26.950001,25,26.950001,21900,0.0,1.0
2000-02-29,28.5,29.049999,27.1,29.049999,79850,0.0,1.0
2000-03-01,29.25,31.35,29.25,31.35,7650,0.0,1.0
2000-03-02,33.799999,33.799999,31,31.85,56100,0.0,1.0
2000-03-03,30,30.5,29.35,29.5,20600,0.0,1.0
2000-03-06,29.35,29.35,27.15,27.200001,16450,0.0,1.0
2000-03-07,25.5,26.5,25.5,26,8450,0.0,1.0
2000-03-08,25,26.25,23.950001,23.950001,22300,0.0,1.0
2000-03-09,22.1,24,22.049999,22.049999,209900,0.0,1.0
2000-03-10,21.5,23.799999,21.5,23.799999,8700,0.0,1.0
2000-03-13,23.799999,23.799999,23.799999,23.799999,0,0.0,1.0
2000-03-14,25,25.35,25,25.35,2650,0.0,1.0
2000-03-15,27.299999,27.35,25.549999,27.35,7100,0.0,1.0
2000-03-16,29.5,29.5,25.25,25.5,14700,0.0,1.0
2000-03-17,25.5,25.5,25.5,25.5,0,0.0,1.0
2000-03-20,25.5,25.5,25.5,25.5,0,0.0,1.0
2000-03-21,25,27.5,25,27.5,42500,0.0,1.0
2000-03-22,28,29.65,27.5,29.65,26600,0.0,1.0
2000-03-23,32,32,27.5,28.5,33000,0.0,1.0
2000-03-24,28,30.75,27,30.75,17450,0.0,1.0
2000-03-27,31.5,33.200001,31,33.200001,7550,0.0,1.0
2000-03-28,35.799999,35.799999,34.5,35.799999,35900,0.0,1.0
2000-03-29,36.5,37,35,36.049999,17500,0.0,1.0
2000-03-30,33.75,34.849998,33.200001,33.450001,6700,0.0,1.0
2000-03-31,32,33.5,31.049999,33.5,15300,0.0,1.0
2000-04-03,33,34.950001,33,33,3400,0.0,1.0
2000-04-04,31,32.5,30.4,30.4,4350,0.0,1.0
2000-04-05,28,30,28,30,113300,0.0,1.0
2000-04-06,30.049999,31,28.25,28.25,8850,0.0,1.0
2000-04-07,30.5,30.5,28.950001,30.5,8200,0.0,1.0
2000-04-10,30.700001,31.85,30,30.5,8350,0.0,1.0
2000-04-11,30.5,30.5,30.5,30.5,0,0.0,1.0
2000-04-12,29,29,28,29,4100,0.0,1.0
2000-04-13,28,28,27.15,27.65,3150,0.0,1.0
2000-04-14,27.65,27.65,27.65,27.65,0,0.0,1.0
2000-04-17,28,28.799999,27.799999,28.5,3000,0.0,1.0
2000-04-18,28.75,28.75,27,28,2800,0.0,1.0
2000-04-19,28.4,30.200001,28,29.5,8000,0.0,1.0
2000-04-20,29,29,27.200001,28.799999,2650,0.0,1.0
2000-04-21,28.799999,28.799999,28.799999,28.799999,0,0.0,1.0
2000-04-24,28.799999,28.799999,28.799999,28.799999,0,0.0,1.0
2000-04-25,25.4,26,25.4,26,4050,0.0,1.0
2000-04-26,26,26,26,26,0,0.0,1.0
2000-04-27,28,28,25.799999,26.6,2600,0.0,1.0
2000-04-28,26.049999,28,25.1,26.450001,2750,0.0,1.0
2000-05-01,26.450001,26.450001,26.450001,26.450001,0,0.0,1.0
2000-05-02,25.1,27.450001,25,25,15450,0.0,1.0
2000-05-03,25,25,25,25,0,0.0,1.0
2000-05-04,25,25.200001,25,25,600,0.0,1.0
2000-05-05,25,25,25,25,0,0.0,1.0
2000-05-08,27.450001,27.450001,26.1,26.1,7350,0.0,1.0
2000-05-09,26.1,26.1,26.1,26.1,0,0.0,1.0
2000-05-10,23.15,24.049999,23.15,24.049999,250,0.0,1.0
2000-05-11,22.85,22.85,22.700001,22.700001,500,0.0,1.0
2000-05-12,22.6,22.6,20.9,20.9,3050,0.0,1.0
2000-05-15,22.450001,22.549999,20,20,750,0.0,1.0
2000-05-16,18.5,21.549999,18.5,20.25,3650,0.0,1.0
2000-05-17,21,21,20.049999,20.049999,350,0.0,1.0
2000-05-18,20,20,19.700001,19.799999,400,0.0,1.0
2000-05-19,18.5,21,18.35,20.700001,2950,0.0,1.0
2000-05-22,19.299999,19.299999,19.299999,19.299999,50,0.0,1.0
2000-05-23,20.75,20.799999,19.6,19.6,2200,0.0,1.0
2000-05-24,19.6,21,19.6,21,3600,0.0,1.0
2000-05-25,22.4,22.4,22.4,22.4,100,0.0,1.0
2000-05-26,22.25,22.25,20.700001,20.85,4200,0.0,1.0
2000-05-29,21.85,21.85,21,21,1500,0.0,1.0
2000-05-30,19.6,21.5,19.6,20.700001,2150,0.0,1.0
2000-05-31,21,21,19.4,19.5,3650,0.0,1.0
