date,open,high,low,close,volume,dividend,split
2000-01-03,42,42,41,41.099998,3400,0.0,1.0
2000-01-04,44,44,43.049999,44,22500,0.0,1.0
2000-01-05,46,47.5,46,47.349998,16100,0.0,1.0
2000-01-06,51,51.099998,49,51,15400,0.0,1.0
2000-01-07,51,54.700001,47,47,8000,0.0,1.0
2000-01-10,50.200001,50.200001,47,47.5,5000,0.0,1.0
2000-01-11,49.799999,49.799999,43.75,43.75,2000,0.0,1.0
2000-01-12,44,45,44,44.799999,4600,0.0,1.0
2000-01-13,46,46,42.099998,43.900002,5700,0.0,1.0
2000-01-14,43,43,41.700001,41.950001,5900,0.0,1.0
2000-01-17,42.599998,42.700001,42.599998,42.599998,900,0.0,1.0
2000-01-18,41.950001,42,41.25,41.599998,4600,0.0,1.0
2000-01-19,40.200001,41,39,39.150002,8500,0.0,1.0
2000-01-20,40,40.400002,39.5,39.900002,3400,0.0,1.0
2000-01-21,39,40.25,39,40.25,2300,0.0,1.0
2000-01-24,41.5,42,40.5,40.5,2400,0.0,1.0
2000-01-25,38.049999,40.900002,38.049999,40.900002,600,0.0,1.0
2000-01-26,40.900002,40.900002,40.900002,40.900002,0,0.0,1.0
2000-01-27,38.400002,38.700001,38,38,1900,0.0,1.0
2000-01-28,39.5,40,35.599998,37.5,1300,0.0,1.0
2000-01-31,37.349998,37.349998,35.599998,35.599998,1300,0.0,1.0
2000-02-01,37,37.450001,36.5,37.450001,2200,0.0,1.0
2000-02-02,38,40.349998,38,40.349998,1400,0.0,1.0
2000-02-03,40.349998,40.349998,40.349998,40.349998,0,0.0,1.0
2000-02-04,40,41,38.099998,41,1600,0.0,1.0
2000-02-07,40,41,39,39.049999,2700,0.0,1.0
2000-02-08,39,39,38.049999,38.049999,600,0.0,1.0
2000-02-09,37.900002,38,37,37.650002,2000,0.0,1.0
2000-02-10,36,36,34.950001,34.950001,3400,0.0,1.0
2000-02-11,33.5,34.5,32.25,32.650002,6600,0.0,1.0
2000-02-14,32.25,34,32,33.5,2800,0.0,1.0
2000-02-15,32.5,33.450001,32.25,33,3100,0.0,1.0
2000-02-16,34,34,31.25,32.299999,2800,0.0,1.0
2000-02-17,31.5,33.849998,31.5,33.650002,6800,0.0,1.0
2000-02-18,33,35.5,32.099998,35.5,3600,0.0,1.0
2000-02-21,37,37,32.700001,32.700001,1600,0.0,1.0
2000-02-22,35,35,31,31.15,8500,0.0,1.0
2000-02-23,33.400002,33.400002,30,30,3300,0.0,1.0
2000-02-24,30,31.9,30,30,3100,0.0,1.0
2000-02-25,29,31.4,27.65,28.049999,7800,0.0,1.0
2000-02-28,30.1,30.200001,27,29,20900,0.0,1.0
2000-02-29,31,31.299999,30.1,31.299999,12200,0.0,1.0
2000-03-01,29,31,29,30.950001,2800,0.0,1.0
2000-03-02,30.5,30.5,28.5,28.6,3400,0.0,1.0
2000-03-03,28.5,29,27.450001,27.65,1400,0.0,1.0
2000-03-06,28.6,29,25.450001,25.5,3500,0.0,1.0
2000-03-07,26,26,24.1,25,8100,0.0,1.0
2000-03-08,24.5,25,23.200001,23.25,7100,0.0,1.0
2000-03-09,24.5,25,21.700001,21.700001,32500,0.0,1.0
2000-03-10,21,23.4,20.299999,23.4,13500,0.0,1.0
2000-03-13,23.4,23.4,23.4,23.4,0,0.0,1.0
2000-03-14,26,27.25,25.5,25.5,23800,0.0,1.0
