date,open,high,low,close,volume,dividend,split
2003-07-09,158.399994,170.25,156.100006,164.050003,16127441,0.0,1.0
2003-07-10,165.949997,168.25,164.350006,166.949997,3565356,0.0,1.0
2003-07-11,167.5,174.800003,166.25,173.399994,4566262,0.0,1.0
2003-07-14,175,179.199997,174.050003,178.199997,2336576,0.0,1.0
2003-07-15,179.800003,181.800003,173,176.350006,2368760,0.0,1.0
2003-07-16,178,179.149994,175.5,176.949997,1189605,0.0,1.0
2003-07-17,177.199997,178.25,170.399994,171.399994,1342358,0.0,1.0
2003-07-18,170,172,164.350006,167.449997,1742708,0.0,1.0
2003-07-21,168.399994,169.5,163.25,164.199997,1088860,0.0,1.0
2003-07-22,164,169.199997,162.149994,167.800003,1431617,0.0,1.0
2003-07-23,169.199997,178,169.050003,174.75,4618860,0.0,1.0
2003-07-24,174.5,176.75,172.649994,174.050003,1402123,0.0,1.0
2003-07-25,174.699997,175,172.300003,173.649994,885064,0.0,1.0
2003-07-28,175,180.449997,175,179.350006,2267998,0.0,1.0
2003-07-29,180.149994,182.800003,179.149994,180.199997,2731978,0.0,1.0
2003-07-30,180.800003,184.5,179.850006,180.899994,1859233,0.0,1.0
2003-07-31,181.899994,183.600006,180,180.649994,1320277,0.0,1.0
2003-08-01,181.699997,189,178.699997,187.800003,3109626,0.0,1.0
2003-08-04,187.149994,198.699997,186.550003,197.949997,4231872,0.0,1.0
2003-08-05,198.100006,203.5,192.800003,193.899994,3815277,0.0,1.0
2003-08-06,192.899994,197.350006,189.600006,191.75,2846180,0.0,1.0
2003-08-07,192,195.949997,190.800003,195.300003,1177791,0.0,1.0
2003-08-08,196.699997,198.5,196,197.050003,849252,0.0,1.0
2003-08-11,197.100006,204.100006,194.949997,202.649994,2587315,0.0,1.0
2003-08-12,203.399994,212,203.399994,210.850006,3348835,0.0,1.0
2003-08-13,212.300003,219.600006,211.25,218.050003,3055475,0.0,1.0
2003-08-14,221,224.550003,215,216.949997,2939304,0.0,1.0
2003-08-18,217.5,220.850006,215.399994,217.149994,1342983,0.0,1.0
2003-08-19,219.899994,220,215,215.850006,1152110,0.0,1.0
2003-08-20,218,228,216.399994,225.550003,2600305,0.0,1.0
2003-08-21,226.600006,228.800003,223.25,228,2220641,0.0,1.0
2003-08-22,228,232.800003,226,229.5,1960464,0.0,1.0
2003-08-25,230,231.699997,216.199997,220.5,1838844,0.0,1.0
2003-08-26,219.100006,235.449997,219.100006,233.850006,1665011,0.0,1.0
2003-08-27,235,237.449997,232.199997,233.850006,951134,0.0,1.0
