date,open,high,low,close,volume,dividend,split
2016-07-14,195,199.949997,185.25,185.25,80170,0.0,1.0
2016-07-15,176,176,176,176,2036,0.0,1.0
2016-07-18,167.199997,167.199997,167.199997,167.199997,6842,0.0,1.0
2016-07-19,158.850006,158.850006,158.850006,158.850006,1003,0.0,1.0
2016-07-20,150.949997,150.949997,150.949997,150.949997,997,0.0,1.0
2016-07-21,143.449997,143.449997,143.449997,143.449997,1385,0.0,1.0
2016-07-22,136.300003,136.300003,136.300003,136.300003,56633,0.0,1.0
2016-07-25,131.350006,143,129.5,140.25,1202508,0.0,1.0
2016-07-26,140,141.100006,133.5,134.149994,119456,0.0,1.0
2016-07-27,134.199997,140.850006,134.199997,140.850006,141275,0.0,1.0
2016-07-28,145,146.100006,134,137.649994,524462,0.0,1.0
2016-07-29,139.25,139.25,131.5,132.25,127584,0.0,1.0
2016-08-01,131,135.25,128.699997,130.350006,78837,0.0,1.0
2016-08-02,130.100006,131.800003,124,125.449997,112973,0.0,1.0
2016-08-03,123.599998,128,121.699997,123,115525,0.0,1.0
2016-08-04,125,125.949997,119.199997,120.300003,43107,0.0,1.0
2016-08-05,120.5,138.5,119.5,135.050003,306437,0.0,1.0
2016-08-08,137.899994,137.899994,130,130.850006,173388,0.0,1.0
2016-08-09,132,132,125.599998,127.849998,92658,0.0,1.0
2016-08-10,128,129.899994,122.199997,123.050003,71477,0.0,1.0
2016-08-11,124,129,122.75,127.900002,45506,0.0,1.0
2016-08-12,129.399994,130,125,125.849998,43753,0.0,1.0
2016-08-16,126,127.699997,124.849998,126.900002,28368,0.0,1.0
2016-08-17,126.300003,128.600006,125.599998,126.650002,52768,0.0,1.0
2016-08-18,127.900002,137.649994,127.599998,136.199997,1484740,0.0,1.0
2016-08-19,136.899994,152.800003,132.699997,147.199997,375891,0.0,1.0
2016-08-22,148.350006,153.600006,148,151.899994,290617,0.0,1.0
2016-08-23,152,152.949997,148.600006,149.899994,33547,0.0,1.0
2016-08-24,150,155,150,153.199997,83608,0.0,1.0
2016-08-25,154.300003,164.850006,151.5,163.449997,259058,0.0,1.0
2016-08-26,165,167,162.399994,164.5,108892,0.0,1.0
2016-08-29,164.899994,164.899994,154,155.199997,59747,0.0,1.0
2016-08-30,153.050003,163.25,153,161,99576,0.0,1.0
2016-08-31,160.050003,162,154,154.649994,51278,0.0,1.0
2016-09-01,155.149994,155.399994,147.800003,149.199997,41771,0.0,1.0
2016-09-02,149,149.600006,143,145.850006,28242,0.0,1.0
2016-09-06,147.350006,151,145.199997,146.100006,116949,0.0,1.0
2016-09-07,146,150.199997,145.600006,146.050003,48812,0.0,1.0
2016-09-08,146,148.300003,143.949997,144.800003,20224,0.0,1.0
2016-09-09,144.050003,144.949997,138.5,140.100006,58567,0.0,1.0
2016-09-12,138,141.75,135.5,139.149994,29015,0.0,1.0
2016-09-14,141.100006,143.800003,138,142.649994,26959,0.0,1.0
2016-09-15,143.949997,146.5,142,142.699997,40792,0.0,1.0
2016-09-16,144.850006,151.5,144.100006,148.550003,88372,0.0,1.0
2016-09-19,150.699997,153.5,150,151.050003,40967,0.0,1.0
2016-09-20,151.050003,151.050003,142,144.100006,31385,0.0,1.0
2016-09-21,145.050003,150.050003,145,147.350006,19309,0.0,1.0
2016-09-22,148.149994,150,145,146.850006,38862,0.0,1.0
2016-09-23,147.449997,149.199997,144,145.699997,16215,0.0,1.0
2016-09-26,145.199997,148,142,143.050003,58090,0.0,1.0
2016-09-27,143.850006,145,138,139.850006,19541,0.0,1.0
2016-09-28,141.550003,144.5,140.75,142.100006,18037,0.0,1.0
2016-09-29,142.050003,143.899994,133.050003,136.949997,69365,0.0,1.0
2016-09-30,137.5,141.75,135.350006,138.649994,49844,0.0,1.0
2016-10-03,139,142.350006,137.550003,138.949997,12647,0.0,1.0
2016-10-04,140.699997,141.899994,139.050003,140.199997,6138,0.0,1.0
2016-10-05,139.449997,141,138.399994,140.300003,52575,0.0,1.0
2016-10-06,140.399994,140.699997,139.050003,139.649994,4123,0.0,1.0
2016-10-07,140.949997,144.300003,140,142.899994,21217,0.0,1.0
2016-10-10,143.800003,144.399994,139.75,140.100006,23053,0.0,1.0
2016-10-13,140.100006,141.5,138.699997,140.300003,14379,0.0,1.0
2016-10-14,140.449997,141,138.949997,139.350006,12102,0.0,1.0
2016-10-17,138.5,140.5,135.600006,138.449997,11445,0.0,1.0
2016-10-18,139.899994,140.5,137.5,138,15416,0.0,1.0
2016-10-19,139.149994,139.899994,137.699997,138.75,36455,0.0,1.0
2016-10-20,139.399994,139.75,138.100006,138.25,12211,0.0,1.0
2016-10-21,139,140.5,138.050003,138.800003,59542,0.0,1.0
2016-10-24,139.399994,141.25,138,140.149994,18121,0.0,1.0
2016-10-25,140.149994,143.199997,139.199997,140.449997,52718,0.0,1.0
2016-10-26,139.350006,143.850006,138,141.75,1101042,0.0,1.0
2016-10-27,141.949997,141.949997,137,138.899994,18754,0.0,1.0
2016-10-28,138.5,139.949997,138.050003,139.800003,12059,0.0,1.0
2016-11-01,141.399994,141.5,136.550003,137,29361,0.0,1.0
