date,open,high,low,close,volume,dividend,split
2019-04-02,89,89.400002,87,88.550003,8583,0.0,1.0
2019-04-03,88.300003,89.75,87.449997,87.650002,5837,0.0,1.0
2019-04-04,87.900002,87.900002,85.349998,86.300003,5391,0.0,1.0
2019-04-05,86.849998,86.849998,85.150002,86.25,2212,0.0,1.0
2019-04-08,86.050003,86.25,82.900002,83.75,12547,0.0,1.0
2019-04-09,84.699997,84.699997,82.400002,83.650002,3823,0.0,1.0
2019-04-10,83.900002,84.900002,83.550003,84.150002,6241,0.0,1.0
2019-04-11,94,94,84.050003,85,8962,0.0,1.0
2019-04-12,85.050003,85.25,83.800003,83.949997,9504,0.0,1.0
2019-04-15,84.949997,86.599998,84.25,85.949997,12499,0.0,1.0
2019-04-16,89.5,89.5,84.599998,84.75,5579,0.0,1.0
2019-04-18,84.800003,84.849998,83.900002,84.099998,4653,0.0,1.0
2019-04-22,84,84.849998,82.099998,83,11092,0.0,1.0
2019-04-23,82.849998,83.849998,82.25,82.5,9278,0.0,1.0
2019-04-24,84.849998,84.849998,81.400002,81.650002,10463,0.0,1.0
2019-04-25,80.349998,81.5,77.699997,77.849998,14747,0.0,1.0
2019-04-26,79,79,76.099998,76.400002,7039,0.0,1.0
2019-04-30,75.099998,75.099998,61.150002,61.150002,111166,0.0,1.0
2019-05-02,58.75,58.75,48.950001,50.400002,1972432,0.0,1.0
2019-05-03,51.25,52.049999,45.450001,45.549999,1228648,0.0,1.0
2019-05-06,47.400002,47.400002,41.200001,41.549999,1019787,0.0,1.0
2019-05-07,41.099998,43,37.549999,37.849998,1440144,0.0,1.0
2019-05-08,37.799999,39.700001,37.549999,39.599998,259995,0.0,1.0
2019-05-09,40,40.400002,38.200001,38.650002,65879,0.0,1.0
2019-05-10,39.099998,39.099998,37.599998,37.950001,71392,0.0,1.0
2019-05-13,37.849998,38,36.099998,36.099998,44313,0.0,1.0
2019-05-14,34.700001,35.349998,34.299999,34.299999,31728,0.0,1.0
2019-05-15,33,33.5,32.599998,32.599998,128093,0.0,1.0
2019-05-16,31.799999,31.799999,31,31,107965,0.0,1.0
2019-05-17,29.450001,32.549999,29.450001,32.549999,259455,0.0,1.0
2019-05-20,34.150002,34.150002,30.950001,30.950001,458579,0.0,1.0
2019-05-21,29.85,31.549999,29.549999,30.200001,43951,0.0,1.0
2019-05-22,30,30.4,29.4,29.950001,31367,0.0,1.0
2019-05-23,30.5,30.5,28.5,28.6,70511,0.0,1.0
2019-05-24,28.6,30,28.6,30,139836,0.0,1.0
2019-05-27,30.799999,31.5,30,31.5,182090,0.0,1.0
2019-05-28,32.900002,33.049999,31.9,33.049999,125827,0.0,1.0
2019-05-29,34.700001,34.700001,33.400002,34.700001,354686,0.0,1.0
2019-05-30,35,35.650002,33.700001,34.25,116319,0.0,1.0
2019-05-31,33.5,35,32.799999,33.400002,72320,0.0,1.0
2019-06-03,33.5,34,33.049999,33.349998,34869,0.0,1.0
2019-06-04,33.299999,33.799999,33,33.400002,45910,0.0,1.0
2019-06-06,33.700001,33.700001,31.85,32,40367,0.0,1.0
2019-06-07,32,32.799999,30.65,30.9,39418,0.0,1.0
2019-06-10,30.5,30.549999,27.85,27.85,34856,0.0,1.0
2019-06-11,27.700001,28.049999,25.1,25.1,141997,0.0,1.0
2019-06-12,25.549999,27.6,23.700001,24.25,384924,0.0,1.0
2019-06-13,24.25,25.200001,23.049999,23.049999,82336,0.0,1.0
2019-06-14,22.65,22.9,21.9,21.9,46140,0.0,1.0
2019-06-17,21.25,22,20.85,20.85,76226,0.0,1.0
2019-06-18,19.85,20.1,19.85,19.85,62431,0.0,1.0
2019-06-19,19.1,20.200001,18.9,18.9,95814,0.0,1.0
2019-06-20,18,18,18,18,8514,0.0,1.0
2019-06-21,17.1,18.9,17.1,17.1,597831,0.0,1.0
2019-06-24,16.9,17.450001,16.25,16.25,63794,0.0,1.0
2019-06-25,15.45,15.45,15.45,15.45,15702,0.0,1.0
2019-06-26,14.8,16.200001,14.7,15.05,837396,0.0,1.0
2019-06-27,15.5,15.8,15.35,15.8,63293,0.0,1.0
2019-06-28,16.549999,16.549999,16.1,16.549999,63973,0.0,1.0
2019-07-01,15.75,16.25,15.75,15.75,186082,0.0,1.0
2019-07-02,15,15.05,15,15,41674,0.0,1.0
2019-07-03,14.25,15,14.25,14.25,271459,0.0,1.0
2019-07-04,13.55,13.85,13.55,13.6,155811,0.0,1.0
2019-07-05,13,13.4,12.95,12.95,147717,0.0,1.0
2019-07-08,12.7,13.15,12.35,12.6,92160,0.0,1.0
2019-07-09,12.85,12.85,12,12,100203,0.0,1.0
2019-07-10,11.7,11.9,11.4,11.4,53205,0.0,1.0
2019-07-11,11,11.25,10.85,11,57863,0.0,1.0
2019-07-12,11.2,11.55,10.9,11.55,25925,0.0,1.0
2019-07-15,12.1,12.1,12.05,12.1,49162,0.0,1.0
2019-07-16,12.7,12.7,12.7,12.7,5491,0.0,1.0
2019-07-17,13.3,13.3,12.7,13.3,143218,0.0,1.0
2019-07-18,13.95,13.95,12.65,12.65,114180,0.0,1.0
2019-07-19,12.35,13.2,12.05,12.05,154528,0.0,1.0
2019-07-22,12.25,12.65,11.45,11.55,78964,0.0,1.0
2019-07-23,11.25,11.55,11,11.05,31275,0.0,1.0
2019-07-24,11.25,11.3,10.5,10.55,79717,0.0,1.0
2019-07-25,10.65,10.65,10.05,10.05,18314,0.0,1.0
2019-07-26,9.7,9.75,9.55,9.6,39859,0.0,1.0
