date,open,high,low,close,volume,dividend,split
2012-03-09,1387,1426,1282.099976,1297.050049,6018818,0.0,1.0
2012-03-12,1306,1329.699951,1214,1233,1234551,0.0,1.0
2012-03-13,1246.099976,1309.400024,1238,1293.150024,1421903,0.0,1.0
2012-03-14,1289.699951,1329,1263.25,1270.849976,1269490,0.0,1.0
2012-03-15,1269.900024,1284.900024,1260,1266.75,268513,0.0,1.0
2012-03-16,1268,1324.5,1241.949951,1295.300049,837154,0.0,1.0
2012-03-19,1297,1308.5,1280.050049,1290.5,258077,0.0,1.0
2012-03-20,1290,1302,1272.150024,1278.199951,92187,0.0,1.0
2012-03-21,1278,1293.900024,1275.050049,1286.650024,81798,0.0,1.0
2012-03-22,1282.150024,1294.900024,1255.099976,1260.349976,69279,0.0,1.0
2012-03-23,1260.050049,1282.900024,1239.900024,1248.050049,111563,0.0,1.0
2012-03-26,1259,1264,1243.199951,1253.599976,69352,0.0,1.0
2012-03-27,1259.25,1269.300049,1254,1257.150024,46276,0.0,1.0
2012-03-28,1259,1260,1236.25,1240.150024,56091,0.0,1.0
2012-03-29,1243.75,1256,1235,1249.900024,40642,0.0,1.0
2012-03-30,1255,1280,1246,1269.75,59902,0.0,1.0
2012-04-02,1274,1315,1270,1306.400024,193889,0.0,1.0
2012-04-03,1312,1324,1300,1306.900024,129194,0.0,1.0
2012-04-04,1306.900024,1307.699951,1281.150024,1288.800049,50705,0.0,1.0
2012-04-09,1288,1288,1261,1264.099976,28329,0.0,1.0
2012-04-10,1270,1272.5,1251.099976,1257.25,49383,0.0,1.0
2012-04-11,1250,1294,1250,1268.400024,183667,0.0,1.0
2012-04-12,1276,1288,1262.5,1268.650024,51166,0.0,1.0
2012-04-13,1271,1279,1240,1246.150024,49162,0.0,1.0
2012-04-16,1247,1270,1247,1263.400024,36546,0.0,1.0
2012-04-17,1269.900024,1278.849976,1262.25,1266.699951,38169,0.0,1.0
2012-04-18,1273,1275.949951,1260,1265.300049,15997,0.0,1.0
2012-04-19,1265.300049,1267,1258,1260.800049,27945,0.0,1.0
2012-04-20,1257,1264,1246,1248.400024,16876,0.0,1.0
2012-04-23,1252,1255.949951,1210.099976,1214.099976,30510,0.0,1.0
2012-04-24,1215,1225,1205.25,1213.800049,39903,0.0,1.0
2012-04-25,1229,1245,1191.5,1197.75,44865,0.0,1.0
2012-04-26,1195,1204.699951,1152,1164,28920,15.71401,1.0
2012-04-27,1170,1171.5,1103,1111,60624,0.0,1.0
2012-04-30,1111,1111,1111,1111,0,0.0,1.0
2012-05-02,1095.25,1121,1095.25,1108.300049,49030,0.0,1.0
2012-05-03,1107,1110.949951,1051.099976,1056.5,59115,0.0,1.0
2012-05-04,1059.900024,1059.949951,1005.599976,1009.25,121902,0.0,1.0
2012-05-07,1010,1035,986,1029.449951,79208,0.0,1.0
2012-05-08,1045,1045,1017.299988,1021.849976,59634,0.0,1.0
2012-05-09,1022,1037.800049,1016,1032.550049,46207,0.0,1.0
2012-05-10,1035,1049,950.099976,1021.049988,23957,0.0,1.0
2012-05-11,1030,1031,1000,1002.799988,19934,0.0,1.0
2012-05-14,1010,1019,993,1001.799988,21377,0.0,1.0
2012-05-15,1001.799988,1005.549988,981,998,27600,0.0,1.0
2012-05-16,996,996,980,982.200012,19634,0.0,1.0
2012-05-17,985,997,963,965.549988,25587,0.0,1.0
2012-05-18,963.5,963.5,943,949.150024,14258,0.0,1.0
2012-05-21,950,958.599976,930.049988,935.150024,21172,0.0,1.0
2012-05-22,947.900024,951.900024,905.5,909.25,38900,0.0,1.0
2012-05-23,911,911,875,879.75,60872,0.0,1.0
2012-05-24,893.849976,922.400024,875,888.049988,168901,0.0,1.0
2012-05-25,907.75,912.599976,890,896.75,101926,0.0,1.0
2012-05-28,900,907.799988,886.5,893.049988,47301,0.0,1.0
2012-05-29,894,905.75,889.099976,895.25,40011,0.0,1.0
2012-05-30,898.25,899,860,862.049988,38363,0.0,1.0
2012-05-31,859,949,838,935.049988,587993,0.0,1.0
2012-06-01,933,996,930.099976,957.5,648351,0.0,1.0
2012-06-04,956,988.400024,928.349976,968.75,267068,0.0,1.0
2012-06-05,970,1007.700012,963.049988,992.25,258063,0.0,1.0
2012-06-06,1005,1017,990.049988,995.049988,140674,0.0,1.0
