date,open,high,low,close,volume,dividend,split
2007-06-28,33.25,34,26.15,26.65,47185073,0.0,1.0
2007-06-29,26.65,27.25,25.65,26.049999,765514,0.0,1.0
2007-07-02,26.049999,28.9,25.35,28.549999,1190213,0.0,1.0
2007-07-03,28.549999,29.799999,27.700001,27.85,4073247,0.0,1.0
2007-07-04,27.85,28.799999,26.5,26.65,484327,0.0,1.0
2007-07-05,26.75,26.799999,25.65,25.9,358436,0.0,1.0
2007-07-06,26.200001,27.75,25.450001,26.75,366974,0.0,1.0
2007-07-09,27,27.65,26.75,27.049999,430037,0.0,1.0
2007-07-10,27.200001,27.200001,25.85,26,347888,0.0,1.0
2007-07-11,25.9,26.75,25.75,25.85,295054,0.0,1.0
2007-07-12,27.5,27.5,26,26.1,313669,0.0,1.0
2007-07-13,26.5,26.65,25.15,25.4,243802,0.0,1.0
2007-07-16,26,26,25.049999,25.1,304049,0.0,1.0
2007-07-17,25.1,26.950001,24.85,25.700001,315352,0.0,1.0
2007-07-18,25.950001,26.549999,25.6,25.85,244810,0.0,1.0
2007-07-19,26.1,26.25,25.200001,25.35,322969,0.0,1.0
2007-07-20,25.5,26,24.25,24.4,369592,0.0,1.0
2007-07-23,24.25,24.65,23.65,23.75,207057,0.0,1.0
2007-07-24,23.950001,23.950001,22,22.5,360443,0.0,1.0
2007-07-25,22.6,22.700001,21.15,22.049999,348204,0.0,1.0
2007-07-26,22.25,22.950001,22.25,22.6,256231,0.0,1.0
2007-07-27,21.65,23.549999,21.65,22.15,250251,0.0,1.0
2007-07-30,22.4,22.799999,22.1,22.35,349845,0.0,1.0
2007-07-31,22.75,22.9,22.200001,22.35,224564,0.0,1.0
2007-08-01,22,23.35,21.85,22.75,301462,0.0,1.0
2007-08-02,23.15,24.200001,22.799999,23.4,249104,0.0,1.0
2007-08-03,24,24.25,23.4,23.65,251534,0.0,1.0
2007-08-06,23.25,24,22.6,23.700001,204266,0.0,1.0
2007-08-07,24.299999,24.299999,23.200001,23.4,211358,0.0,1.0
2007-08-08,23.85,24.1,23.35,23.75,224073,0.0,1.0
2007-08-09,24,24.1,22.799999,22.9,227800,0.0,1.0
2007-08-10,22,22.85,21.5,22.700001,253258,0.0,1.0
2007-08-13,22.700001,23.4,22.549999,22.799999,193734,0.0,1.0
2007-08-14,22.799999,22.950001,22.35,22.5,181082,0.0,1.0
2007-08-16,21.5,22.5,21.5,22,170021,0.0,1.0
2007-08-17,22,22.4,21.4,21.75,216628,0.0,1.0
2007-08-20,22.75,23,21.799999,21.950001,198722,0.0,1.0
2007-08-21,21.950001,22.1,20.75,20.9,196874,0.0,1.0
2007-08-22,20.9,21.5,20,20.75,242878,0.0,1.0
2007-08-23,21.25,21.85,20.200001,20.4,213313,0.0,1.0
2007-08-24,20.9,21.049999,20.299999,20.9,213782,0.0,1.0
2007-08-27,20.799999,21.5,20.799999,21.1,277058,0.0,1.0
2007-08-28,21.1,21.25,20.950001,21.049999,222375,0.0,1.0
2007-08-29,21.049999,21.1,20.4,21.049999,191084,0.0,1.0
2007-08-30,21.450001,23.200001,21,22.1,279914,0.0,1.0
2007-08-31,22.25,22.25,20.9,21.200001,422247,0.0,1.0
2007-09-03,21.4,21.65,21,21.4,316259,0.0,1.0
2007-09-04,21.450001,23.25,21.200001,22.950001,307582,0.0,1.0
2007-09-05,23.200001,23.200001,22.799999,23.049999,726466,0.0,1.0
2007-09-06,22.9,24.5,22.75,24.049999,1545841,0.0,1.0
2007-09-07,24.1,24.4,23.15,23.299999,516623,0.0,1.0
2007-09-10,22.799999,23.950001,22.799999,23.799999,424577,0.0,1.0
2007-09-11,23.950001,24.549999,23.299999,23.799999,724941,0.0,1.0
2007-09-12,24.4,24.4,23.700001,23.85,385693,0.0,1.0
2007-09-13,24.200001,24.200001,23.65,23.799999,292996,0.0,1.0
2007-09-14,24.4,25.6,24,24.1,1246029,0.0,1.0
2007-09-17,24.4,24.700001,23.799999,23.950001,314236,0.0,1.0
