date,open,high,low,close,volume,dividend,split
2000-06-05,329,329,328.75,328.75,1600,0.0,1.0
2000-06-06,325,325,315,321.25,1600,0.0,1.0
2000-06-07,318.75,318.75,318.75,318.75,400,0.0,1.0
2000-06-08,305,305,294,294,5200,0.0,1.0
2000-06-09,275.25,280,275,275,2808,0.0,1.0
2000-06-12,296.237,296.237,288.75,289.75,3200,0.0,1.0
2000-06-13,288.75,288.75,280,285,1600,0.0,1.0
2000-06-14,282,297.5,282,292.5,3200,0.0,1.0
2000-06-15,287.75,295,287.75,294.875,1600,0.0,1.0
2000-06-16,295.287994,295.287994,295.25,295.25,800,0.0,1.0
2000-06-19,295.25,295.25,295.25,295.25,0,0.0,1.0
2000-06-20,341.225006,344.362,329,334.649994,24000,0.0,1.0
2000-06-21,336.75,339.75,331.25,338.537994,6400,0.0,1.0
2000-06-22,335,335,325,326.662994,5212,0.0,1.0
2000-06-23,325,331.225006,325,325.25,2800,0.0,1.0
2000-06-26,329.725006,329.75,326.75,326.75,2000,0.0,1.0
2000-06-27,330.625,330.625,326.875,329.5,1200,0.0,1.0
2000-06-28,320.875,321,310.25,312.75,2800,0.0,1.0
2000-06-29,321.875,321.875,315,315,800,0.0,1.0
2000-06-30,317.5,318.75,312.75,318.687988,3600,0.0,1.0
2000-07-03,315,318.75,315,318.75,1200,0.0,1.0
2000-07-04,318.75,318.75,318.75,318.75,0,0.0,1.0
2000-07-05,310.024994,311.75,310.024994,311.524994,1200,0.0,1.0
2000-07-06,306.774994,314.912994,306.774994,313.475006,1200,0.0,1.0
2000-07-07,313.475006,313.475006,313.475006,313.475006,0,0.0,1.0
2000-07-10,313.475006,313.475006,313.475006,313.475006,0,0.0,1.0
2000-07-11,298.25,298.25,297.75,297.75,2400,0.0,1.0
2000-07-12,300.25,300.25,277.5,283.25,3200,0.0,1.0
2000-07-13,275,282.5,275,277.5,1200,0.0,1.0
2000-07-14,283.725006,284,278.312012,284,3200,0.0,1.0
2000-07-17,285.5,285.5,281.5,282.75,3200,0.0,1.0
2000-07-18,273,282.75,272.75,282.337006,3200,0.0,1.0
2000-07-19,284.5,285,282.5,285,2000,0.0,1.0
2000-07-20,285,287,283.125,283.125,2800,0.0,1.0
2000-07-21,287.5,290.25,278.5,280,7200,0.0,1.0
2000-07-24,280,280,280,280,0,0.0,1.0
2000-07-25,264.975006,269.5,264.975006,269.475006,2400,0.0,1.0
2000-07-26,271,271,261.25,261.25,1200,0.0,1.0
2000-07-27,261.25,261.25,261.25,261.25,0,0.0,1.0
