date,open,high,low,close,volume,dividend,split
2000-11-07,92.099998,95.5,92,92.949997,38261,0.0,1.0
2000-11-08,93.5,100.349998,92.699997,100.25,33784,0.0,1.0
2000-11-09,99.5,108.25,99.5,108.25,44782,0.0,1.0
2000-11-10,116.900002,116.900002,112.099998,116.900002,94723,0.0,1.0
2000-11-13,108,113.5,107.550003,107.550003,30497,0.0,1.0
2000-11-14,101,112,101,107.300003,63459,0.0,1.0
2000-11-15,109,114.199997,106.449997,107.949997,34487,0.0,1.0
2000-11-16,107,109,100.25,100.550003,18334,0.0,1.0
2000-11-17,100.099998,105,96.5,101.800003,21064,0.0,1.0
2000-11-20,104.900002,106,101.199997,102.800003,11131,0.0,1.0
2000-11-21,99.199997,103,99.099998,100.449997,14050,0.0,1.0
2000-11-22,102,102.900002,97.199997,100,10215,0.0,1.0
2000-11-23,98,102.5,96,101.599998,9216,0.0,1.0
2000-11-24,101,104.849998,101,104.150002,13468,0.0,1.0
2000-11-27,108.699997,108.75,103,103.599998,21775,0.0,1.0
2000-11-28,101.5,105.849998,100,100.300003,20339,0.0,1.0
2000-11-29,100,100.900002,96.150002,98,6889,0.0,1.0
2000-11-30,98.150002,98.150002,94,94.650002,13065,0.0,1.0
2000-12-01,99,102.199997,96,101,28037,0.0,1.0
2000-12-04,106.25,108,101,101.150002,27009,0.0,1.0
2000-12-05,101,103.400002,99,99.25,28046,0.0,1.0
2000-12-06,102.949997,106,101.5,102.199997,30410,0.0,1.0
2000-12-07,103,103.75,99,99.25,18810,0.0,1.0
2000-12-08,100,102.699997,99,101.550003,16813,0.0,1.0
2001-10-05,11.2,11.2,11.2,11.2,200,0.0,1.0
2001-10-30,13.25,13.25,13.25,13.25,2500,0.0,1.0
2001-11-01,13.5,13.5,13.5,13.5,500,0.0,1.0
2001-11-07,14,14,14,14,1101,0.0,1.0
2001-11-08,15.1,15.1,15.1,15.1,3000,0.0,1.0
2001-11-19,18.25,18.25,18.25,18.25,50,0.0,1.0
2001-11-23,18.5,18.5,18.5,18.5,300,0.0,1.0
2001-12-07,21.4,21.4,21.4,21.4,300,0.0,1.0
2001-12-10,23.1,23.1,23.1,23.1,1000,0.0,1.0
2001-12-11,24.9,24.9,23,23.799999,37855,0.0,1.0
2001-12-12,23.700001,25.85,22.85,25.75,10951,0.0,1.0
2001-12-13,23.75,23.75,23.75,23.75,1500,0.0,1.0
2001-12-14,24.35,24.5,24.35,24.5,350,0.0,1.0
2001-12-18,25.5,26.5,25.5,26.15,3500,0.0,1.0
