date,open,high,low,close,volume,dividend,split
2002-07-01,2.94,3.065,2.94,2.95,1518,0.0,1.0
2002-07-02,2.94,3.24,2.94,3.125,6700,0.0,1.0
2002-07-03,3.225,3.275,3.14,3.15,5000,0.0,1.0
2002-07-04,3.175,3.225,3,3,2808,0.0,1.0
2002-07-05,2.69,3.175,2.69,3.125,10702,0.0,1.0
2002-07-08,3.25,3.375,3,3.09,16702,0.0,1.0
2002-07-09,3,3.3,3,3.25,10600,0.0,1.0
2002-07-10,3.25,3.25,3,3.015,4818,0.0,1.0
2002-07-11,3.1,3.1,2.765,2.765,10300,0.0,1.0
2002-07-12,2.675,2.75,2.575,2.575,9630,0.0,1.0
2002-07-15,2.55,2.565,2.5,2.525,8384,0.0,1.0
2002-07-16,2.475,2.5,2.475,2.5,600,0.0,1.0
2002-07-17,2.5,2.55,2.175,2.175,2932,0.0,1.0
2002-07-18,1.825,2.59,1.825,2.565,8326,0.0,1.0
2002-07-19,2.39,2.49,2.35,2.375,2116,0.0,1.0
2002-07-22,2.525,2.75,2.425,2.475,6200,0.0,1.0
2002-07-23,2.5,2.575,2.29,2.5,3100,0.0,1.0
2002-07-24,2.3,2.3,2.125,2.275,9160,0.0,1.0
2002-07-25,2.275,2.275,2.25,2.275,2100,0.0,1.0
2002-07-26,2.25,2.25,2.1,2.225,3400,0.0,1.0
2002-07-29,1.94,1.99,1.89,1.89,4440,0.0,1.0
2002-07-30,2,2,1.815,1.815,600,0.0,1.0
2002-07-31,1.79,1.79,1.79,1.79,200,0.0,1.0
2002-08-01,1.89,1.89,1.89,1.89,400,0.0,1.0
2002-08-02,1.84,1.84,1.84,1.84,200,0.0,1.0
2002-08-05,1.89,1.9,1.825,1.825,4200,0.0,1.0
2002-08-06,1.85,1.85,1.85,1.85,200,0.0,1.0
2002-08-07,2.025,2.025,1.85,2,8800,0.0,1.0
2002-08-08,1.875,2,1.815,2,2200,0.0,1.0
2002-08-09,2.115,2.115,2.115,2.115,200,0.0,1.0
2002-08-12,1.85,1.975,1.765,1.965,3900,0.0,1.0
2002-08-13,2,2.05,1.9,1.95,3700,0.0,1.0
2002-08-14,2,2.05,2,2.025,1230,0.0,1.0
2002-08-16,2.065,2.115,2.065,2.075,3200,0.0,1.0
2002-08-19,2.065,2.075,2.065,2.075,800,0.0,1.0
2002-08-20,2.25,2.25,2.25,2.25,4000,0.0,1.0
2002-08-21,2.05,2.215,2.05,2.09,2800,0.0,1.0
2002-08-22,2.25,2.25,2.25,2.25,200,0.0,1.0
2002-08-23,2.075,2.225,2.015,2.225,1400,0.0,1.0
2002-08-26,2.04,2.04,2.015,2.015,4000,0.0,1.0
2002-08-27,2,2,2,2,200,0.0,1.0
2002-08-28,1.94,1.94,1.94,1.94,200,0.0,1.0
2002-08-29,1.89,1.99,1.875,1.99,1800,0.0,1.0
2002-08-30,1.9,1.9,1.9,1.9,200,0.0,1.0
2002-09-02,1.75,1.875,1.75,1.875,400,0.0,1.0
2002-09-03,1.875,1.875,1.85,1.85,1600,0.0,1.0
2002-09-04,1.875,1.9,1.85,1.85,6000,0.0,1.0
2002-09-05,1.825,1.825,1.825,1.825,800,0.0,1.0
2002-09-06,1.825,1.825,1.825,1.825,200,0.0,1.0
2002-09-09,1.775,1.775,1.775,1.775,200,0.0,1.0
2002-09-11,1.54,1.85,1.54,1.7,2000,0.0,1.0
2002-09-13,1.715,1.74,1.7,1.715,5800,0.0,1.0
2002-09-16,1.75,1.875,1.74,1.815,2200,0.0,1.0
2002-09-17,1.75,1.75,1.75,1.75,600,0.0,1.0
2002-09-19,1.79,1.815,1.775,1.775,7600,0.0,1.0
2002-09-23,1.775,1.775,1.75,1.75,8000,0.0,1.0
2002-09-24,1.69,1.75,1.675,1.7,17800,0.0,1.0
2002-09-25,1.65,1.65,1.65,1.65,400,0.0,1.0
2002-09-27,1.75,1.75,1.715,1.715,600,0.0,1.0
2002-09-30,1.75,1.75,1.75,1.75,200,0.0,1.0
2002-10-01,1.725,1.725,1.725,1.725,400,0.0,1.0
2002-10-03,1.75,1.875,1.725,1.725,1000,0.0,1.0
2002-10-04,1.425,1.75,1.425,1.725,13000,0.0,1.0
2002-10-07,1.75,1.75,1.7,1.7,5400,0.0,1.0
2002-10-08,1.775,1.775,1.7,1.7,7200,0.0,1.0
2002-10-09,1.75,1.75,1.675,1.675,3400,0.0,1.0
2002-10-14,1.7,1.75,1.675,1.725,6950,0.0,1.0
2002-10-16,1.75,1.775,1.525,1.75,1400,0.0,1.0
2002-10-17,1.825,1.825,1.65,1.815,2600,0.0,1.0
2002-10-18,1.7,1.7,1.7,1.7,200,0.0,1.0
2002-10-21,1.7,1.7,1.7,1.7,600,0.0,1.0
2002-10-23,1.625,1.625,1.625,1.625,200,0.0,1.0
2002-10-24,1.5,1.55,1.465,1.55,1200,0.0,1.0
2002-10-28,1.565,1.565,1.565,1.565,400,0.0,1.0
2002-10-29,1.575,1.575,1.575,1.575,600,0.0,1.0
2002-10-30,1.575,1.575,1.565,1.575,2600,0.0,1.0
2002-10-31,1.625,1.625,1.625,1.625,400,0.0,1.0
2002-11-07,1.625,1.625,1.625,1.625,200,0.0,1.0
2002-11-08,1.65,1.65,1.625,1.625,4600,0.0,1.0
2002-11-11,1.625,1.625,1.625,1.625,6800,0.0,1.0
2002-11-12,1.575,1.625,1.575,1.625,12200,0.0,1.0
2002-11-13,1.625,1.625,1.575,1.575,1400,0.0,1.0
2002-11-14,1.575,1.575,1.575,1.575,1200,0.0,1.0
2002-11-15,1.44,1.575,1.44,1.575,1200,0.0,1.0
2002-11-18,1.625,1.625,1.525,1.525,2200,0.0,1.0
2002-11-20,1.625,1.625,1.615,1.615,3000,0.0,1.0
2002-11-22,1.615,1.625,1.6,1.6,6600,0.0,1.0
2002-11-25,1.575,1.74,1.575,1.69,2800,0.0,1.0
2002-11-26,1.65,1.65,1.65,1.65,400,0.0,1.0
2002-11-27,1.65,1.715,1.65,1.675,32800,0.0,1.0
2002-11-28,1.625,1.675,1.625,1.675,9418,0.0,1.0
2002-11-29,1.625,1.74,1.625,1.69,27038,0.0,1.0
2002-12-02,1.65,1.75,1.65,1.75,10100,0.0,1.0
2002-12-03,1.775,1.775,1.715,1.725,7500,0.0,1.0
2002-12-04,1.6,1.75,1.6,1.75,2000,0.0,1.0
2002-12-05,1.7,1.74,1.675,1.69,15862,0.0,1.0
2002-12-06,1.74,1.74,1.675,1.7,13000,0.0,1.0
2002-12-09,1.765,1.815,1.725,1.725,30200,0.0,1.0
2002-12-10,1.7,1.75,1.7,1.715,1000,0.0,1.0
2002-12-11,1.715,1.715,1.665,1.7,15000,0.0,1.0
2002-12-12,1.94,1.94,1.75,1.75,50,0.0,1.0
2002-12-13,1.765,1.775,1.675,1.7,3406,0.0,1.0
2002-12-16,1.675,1.675,1.675,1.675,10,0.0,1.0
2002-12-17,1.69,1.74,1.69,1.715,2992,0.0,1.0
2002-12-18,1.69,1.69,1.665,1.69,10200,0.0,1.0
2002-12-19,1.55,1.675,1.55,1.675,8802,0.0,1.0
2002-12-20,1.54,1.6,1.54,1.6,950,0.0,1.0
2002-12-23,1.725,1.725,1.59,1.59,12630,0.0,1.0
2002-12-26,1.6,1.675,1.59,1.675,1600,0.0,1.0
2002-12-27,1.625,1.75,1.625,1.675,1800,0.0,1.0
2002-12-30,1.875,1.875,1.69,1.69,9140,0.0,1.0
2002-12-31,1.64,1.74,1.64,1.675,3600,0.0,1.0
2003-01-01,1.575,1.625,1.575,1.625,600,0.0,1.0
2003-01-02,1.625,1.625,1.525,1.625,16244,0.0,1.0
2003-01-03,1.65,1.69,1.625,1.69,82120,0.0,1.0
2003-01-06,2,2.025,1.925,2.025,203424,0.0,1.0
2003-01-07,2.125,2.265,2,2.2,135206,0.0,1.0
2003-01-08,2.125,2.25,2.125,2.24,57074,0.0,1.0
2003-01-09,2.35,2.35,2.165,2.19,30412,0.0,1.0
2003-01-10,2.25,2.25,2.14,2.175,17100,0.0,1.0
2003-01-13,2.025,2.275,2.025,2.15,8900,0.0,1.0
2003-01-14,1.94,2.19,1.94,2.125,23700,0.0,1.0
