date,open,high,low,close,volume,dividend,split
2008-03-11,151.25,151.25,151.25,151.25,7924,0.0,1.0
2008-03-12,121.050003,121.050003,121.050003,121.050003,3500,0.0,1.0
2008-03-13,96.849998,96.849998,96.849998,96.849998,666,0.0,1.0
2008-03-14,77.5,87.050003,77.5,77.5,843927,0.0,1.0
2008-03-17,75,77.449997,68.099998,71.949997,105249,0.0,1.0
2008-03-18,72.050003,74.849998,68.25,71.150002,38931,0.0,1.0
2008-03-19,72,74.5,64.050003,66.099998,39327,0.0,1.0
2008-03-24,61.049999,65.199997,61,62,29185,0.0,1.0
2008-03-25,61.200001,61.349998,56.599998,57.849998,32515,0.0,1.0
2008-03-26,58.5,63,58,60,13042,0.0,1.0
2008-03-27,56.099998,64,56,58.700001,6750,0.0,1.0
2008-03-28,61.799999,62.849998,59.450001,61.150002,11693,0.0,1.0
2008-03-31,59.400002,61.349998,59.400002,60.049999,5740,0.0,1.0
2008-04-01,60,63.5,59,60,7613,0.0,1.0
2008-04-02,61.200001,62.900002,60,60,5159,0.0,1.0
2008-04-03,60.5,61.700001,57.5,58.799999,7233,0.0,1.0
2008-04-04,59,59,57.299999,58.25,3778,0.0,1.0
2008-04-07,58.299999,59,57.75,57.75,5179,0.0,1.0
2008-04-08,57.799999,58.349998,56.700001,57.299999,4408,0.0,1.0
2008-04-09,56.700001,58.5,56.700001,57,13446,0.0,1.0
2008-04-10,57.349998,61,57.349998,59.599998,6894,0.0,1.0
2008-04-11,58.049999,60.700001,58.049999,58.450001,3223,0.0,1.0
2008-04-15,58,60,55,57.450001,6862,0.0,1.0
2008-04-16,59.650002,60,58.799999,58.799999,7435,0.0,1.0
2008-04-17,59.5,62,59,60,14794,0.0,1.0
2008-04-21,61.900002,62,58.299999,61,14151,0.0,1.0
2008-04-22,61,61.799999,59.299999,59.299999,14803,0.0,1.0
2008-04-23,60.25,61.799999,59.25,59.599998,16521,0.0,1.0
2008-04-24,60.849998,60.900002,59.25,59.25,11388,0.0,1.0
2008-04-25,60,60.349998,59.599998,59.700001,2563,0.0,1.0
2008-04-28,59.950001,59.950001,58.5,58.599998,10336,0.0,1.0
2008-04-29,60,61.349998,58,59.450001,11156,0.0,1.0
2008-04-30,58.450001,59.950001,58,58.799999,15123,0.0,1.0
2008-05-02,59.349998,59.349998,57.700001,57.849998,7519,0.0,1.0
2008-05-05,58.650002,60.200001,58.650002,60,19277,0.0,1.0
2008-05-06,59.849998,60,58,58,9884,0.0,1.0
2008-05-07,57.400002,59,57.099998,58,7128,0.0,1.0
2008-05-08,56.049999,58.950001,56.049999,57.799999,1866,0.0,1.0
2008-05-09,58.900002,61.5,55.650002,57,40111,0.0,1.0
2008-05-12,54.5,58.349998,54.5,57.200001,35303,0.0,1.0
2008-05-13,59.299999,59.299999,56,56.5,36467,0.0,1.0
2008-05-14,57.900002,58.5,56.900002,58,35031,0.0,1.0
2008-05-15,58,58.799999,56,56.549999,10249,0.0,1.0
2008-05-16,57.900002,57.900002,56,56,32007,0.0,1.0
2008-05-20,56.650002,57.799999,56.5,56.5,30330,0.0,1.0
2008-05-21,56.099998,58.349998,56.099998,58,31508,0.0,1.0
