date,open,high,low,close,volume,dividend,split
2014-01-28,50,50,47.549999,47.549999,26886,0.0,1.0
2014-01-29,45.5,45.5,45.200001,45.200001,15891,0.0,1.0
2014-01-30,42.950001,42.950001,42.950001,42.950001,101,0.0,1.0
2014-01-31,40.849998,40.849998,40.849998,40.849998,35541,0.0,1.0
2014-02-03,39.549999,42.849998,38.900002,42.849998,55703,0.0,1.0
2014-02-04,43,44.950001,43,44.950001,15779,0.0,1.0
2014-02-05,47.150002,47.150002,47.150002,47.150002,5209,0.0,1.0
2014-02-06,49.5,49.5,49.5,49.5,2615,0.0,1.0
2014-02-07,51.950001,51.950001,51.950001,51.950001,2930,0.0,1.0
2014-02-10,54.5,54.5,54.5,54.5,2282,0.0,1.0
2014-02-11,57.200001,57.200001,57.200001,57.200001,2042,0.0,1.0
2014-02-12,60.049999,60.049999,60.049999,60.049999,3596,0.0,1.0
2014-02-13,63.049999,63.049999,63.049999,63.049999,55412,0.0,1.0
2014-02-14,66.199997,66.199997,60.599998,66.199997,139364,0.0,1.0
2014-02-17,69.5,69.5,69.5,69.5,19569,0.0,1.0
2014-02-18,72.949997,72.949997,72.949997,72.949997,16545,0.0,1.0
2014-02-19,76.550003,76.550003,76.550003,76.550003,6522,0.0,1.0
2014-02-20,80.349998,80.349998,80.349998,80.349998,13116,0.0,1.0
2014-02-21,84.349998,84.349998,84.349998,84.349998,5229,0.0,1.0
2014-02-24,88.550003,88.550003,80.150002,88.550003,212590,0.0,1.0
2014-02-25,92.949997,92.949997,85.099998,87.150002,55636,0.0,1.0
2014-02-26,91.5,91.5,82.800003,84.150002,54977,0.0,1.0
2014-02-28,84,84.599998,79.949997,80,40182,0.0,1.0
2014-03-03,80.900002,84,80.900002,84,18984,0.0,1.0
2014-03-04,88.199997,88.199997,88.199997,88.199997,7375,0.0,1.0
2014-03-05,92.599998,92.599998,92.599998,92.599998,4878,0.0,1.0
2014-03-06,97.199997,97.199997,97.199997,97.199997,9165,0.0,1.0
2014-03-07,102.050003,102.050003,95.599998,102,120574,0.0,1.0
2014-03-10,107.099998,107.099998,97.5,102.5,40700,0.0,1.0
2014-03-11,102,105.5,97.400002,97.449997,22683,0.0,1.0
2014-03-12,92.599998,97,92.599998,93.25,33888,0.0,1.0
2014-03-13,92,94.900002,88.599998,88.75,15799,0.0,1.0
2014-03-14,86.599998,87,84.349998,85.099998,20293,0.0,1.0
2014-03-18,85,85,82,83.300003,8803,0.0,1.0
2014-03-19,80.349998,81.599998,79.150002,79.150002,9476,0.0,1.0
2014-03-20,76.550003,81,75.199997,78.199997,12511,0.0,1.0
2014-03-21,81,82.099998,79.699997,82.099998,5170,0.0,1.0
2014-03-24,90.5,90.5,87.550003,90.5,17764,0.0,1.0
2014-03-25,93.900002,93.900002,86,86.900002,22486,0.0,1.0
2014-03-26,86,90,83.099998,84.449997,15269,0.0,1.0
2014-03-27,81.599998,88.650002,81.599998,88.650002,8923,0.0,1.0
2014-03-28,91,93.050003,91,93.050003,9149,0.0,1.0
2014-03-31,97.699997,97.699997,97.699997,97.699997,3488,0.0,1.0
2014-04-01,102.550003,102.550003,94,94.599998,23392,0.0,1.0
2014-04-02,93,95.900002,89.900002,91,13181,0.0,1.0
2014-04-03,87.099998,89,86.75,87.800003,8046,0.0,1.0
2014-04-04,85,91,84.5,88.800003,12027,0.0,1.0
2014-04-07,85,91.5,85,87.550003,2624,0.0,1.0
2014-04-09,89.5,89.5,83.25,85.5,7427,0.0,1.0
2014-04-10,89.449997,89.75,86,88.449997,11980,0.0,1.0
2014-04-11,89,89,84.050003,84.199997,24154,0.0,1.0
2014-04-15,83.300003,83.300003,80.199997,83.099998,5569,0.0,1.0
2014-04-16,82.949997,85.900002,81.5,81.5,9973,0.0,1.0
2014-04-17,81.050003,85,80,84.400002,9071,0.0,1.0
2014-04-21,85,85,82,83.650002,2813,0.0,1.0
2014-04-22,84,85,80.75,81,4783,0.0,1.0
2014-04-23,80.099998,83,78,79.199997,6585,0.0,1.0
2014-04-24,79.199997,79.199997,79.199997,79.199997,0,0.0,1.0
2014-04-25,78,83,76,78.5,10331,0.0,1.0
2014-04-28,78.099998,82.400002,78.099998,82.400002,28170,0.0,1.0
2014-04-29,82,86.400002,80.349998,83.449997,10525,0.0,1.0
2014-04-30,86.150002,86.150002,79.300003,80.150002,10464,0.0,1.0
2014-05-02,78.5,83.5,78.5,81.550003,2530,0.0,1.0
2014-05-05,80.099998,83.449997,78.099998,78.300003,3316,0.0,1.0
2014-05-06,80.449997,81.400002,78.099998,80.550003,4030,0.0,1.0
2014-05-07,79.099998,79.25,77.050003,79.25,4072,0.0,1.0
2014-05-08,77.699997,80,77,77.550003,3413,0.0,1.0
2014-05-09,75.650002,78,74,76.599998,6077,0.0,1.0
2014-05-12,76.849998,77,72.800003,73.050003,8493,0.0,1.0
2014-05-13,73,75.599998,71,71.650002,6620,0.0,1.0
2014-05-14,71,73.400002,69.150002,72.25,3541,0.0,1.0
2014-05-15,71.349998,73.650002,69.199997,69.849998,5227,0.0,1.0
2014-05-16,67.050003,71.900002,67,70.349998,6298,0.0,1.0
2014-05-19,71,73.849998,68,73.150002,11144,0.0,1.0
2014-05-20,75.949997,76.800003,72.050003,76.800003,2685,0.0,1.0
2014-05-21,76.25,80.599998,76.25,80.599998,5293,0.0,1.0
2014-05-22,84.599998,84.599998,82,83.800003,3787,0.0,1.0
2014-05-23,84,86.800003,80.300003,83.150002,7119,0.0,1.0
2014-05-26,83,85.550003,79,79.699997,4941,0.0,1.0
2014-05-27,77,80.599998,75.75,78.050003,10363,0.0,1.0
2014-05-28,75.5,79.650002,75.5,77.449997,2632,0.0,1.0
2014-05-29,76.25,81,76,79.650002,4183,0.0,1.0
2014-05-30,79.5,81,78,79.900002,3681,0.0,1.0
2014-06-02,75.949997,80.949997,75.949997,78.550003,11797,0.0,1.0
2014-06-03,81.800003,81.800003,77,78.900002,3275,0.0,1.0
2014-06-04,77.5,80,77.5,77.75,4793,0.0,1.0
2014-06-05,78.5,80,75.400002,77.050003,20115,0.0,1.0
2014-06-06,77,80.800003,75.349998,80.150002,11646,0.0,1.0
2014-06-09,77,84.099998,77,82.400002,10516,0.0,1.0
2014-06-10,82.650002,82.849998,79.099998,81.400002,5819,0.0,1.0
2014-06-11,85,85,80.5,81.150002,8714,0.0,1.0
2014-06-12,84.199997,84.199997,77.599998,78.550003,12945,0.0,1.0
