date,open,high,low,close,volume,dividend,split
2006-11-21,120,155.949997,120,148.300003,31204376,0.0,1.0
2006-11-22,150.949997,153.425003,137.5,146.649994,19811200,0.0,1.0
2006-11-23,147.5,156.875,147.5,153.574997,14287432,0.0,1.0
2006-11-24,154.5,154.850006,143.774994,145.850006,6795760,0.0,1.0
2006-11-27,146.25,153.199997,141.300003,150.438004,8885828,0.0,1.0
2006-11-28,148.587006,150.5,144.311996,148.850006,4380924,0.0,1.0
2006-11-29,151.212006,158.5,151.212006,154.811996,9644352,0.0,1.0
2006-11-30,155.725006,160.949997,153.261993,157.425003,7149296,0.0,1.0
2006-12-01,158,161.725006,156.899994,158.162994,3449912,0.0,1.0
2006-12-04,158.774994,159.113007,149.261993,150.863007,1900248,0.0,1.0
2006-12-05,151.125,153.75,148,149.087006,3133032,0.0,1.0
2006-12-06,149.975006,153.475006,146.561996,147.662994,2359720,0.0,1.0
2006-12-07,148.675003,151.587006,146.311996,149.087006,2851776,0.0,1.0
2006-12-08,148.75,151.25,144.300003,145.438004,1370532,0.0,1.0
2006-12-11,145,147.5,133.75,139.649994,1500164,0.0,1.0
2006-12-12,139.649994,142.199997,128,134.125,1508196,0.0,1.0
2006-12-13,134.5,137.25,129.011993,133.087006,1359428,0.0,1.0
2006-12-14,135.824997,137.350006,134,135.600006,690892,0.0,1.0
2006-12-15,137,144.75,136.274994,143.738007,2358652,0.0,1.0
2006-12-18,145,146.175003,136.75,141.399994,1762528,0.0,1.0
2006-12-19,140,142.25,137.5,141.087006,984140,0.0,1.0
2006-12-20,144.975006,147.5,139.25,144.087006,1930308,0.0,1.0
2006-12-21,143.675003,150.699997,140.061996,146.636993,1888212,0.0,1.0
2006-12-22,148.675003,154.199997,147,148.675003,1463864,0.0,1.0
2006-12-26,148.75,153,146.850006,148.024994,723704,0.0,1.0
2006-12-27,149.375,151.25,146.25,147.274994,464308,0.0,1.0
2006-12-28,148.75,149.425003,141.75,142.912994,414608,0.0,1.0
2006-12-29,144.311996,146.5,143.75,145.113007,395160,0.0,1.0
2007-01-02,146.350006,148.5,144.449997,146.625,340672,0.0,1.0
2007-01-03,149.199997,157.75,148,154.087006,3789596,0.0,1.0
2007-01-04,154.975006,170,154.5,165.261993,7358568,0.0,1.0
