date,open,high,low,close,volume,dividend,split
2000-01-03,4.18,4.18,3.8,4,16000,0.0,1.0
2000-01-04,3.7,3.7,3.15,3.15,2500,0.0,1.0
2000-01-05,3.9,3.9,3.8,3.8,1500,0.0,1.0
2000-01-06,3.4,3.6,3.3,3.6,6000,0.0,1.0
2000-01-07,3.4,3.56,3.4,3.56,10500,0.0,1.0
2000-01-10,3.84,3.84,3.6,3.65,5500,0.0,1.0
2000-01-11,3.65,3.65,3.65,3.65,0,0.0,1.0
2000-01-12,3.41,3.41,3.41,3.41,1500,0.0,1.0
2000-01-13,3.41,3.41,3.41,3.41,0,0.0,1.0
2000-01-14,3.59,3.59,3.59,3.59,1500,0.0,1.0
2000-01-17,3.32,3.32,3.31,3.31,4000,0.0,1.0
2000-01-18,3.56,3.56,3.2,3.56,20500,0.0,1.0
2000-01-19,3.6,3.6,3.6,3.6,1000,0.0,1.0
2000-01-20,3.4,3.52,3.35,3.35,5500,0.0,1.0
2000-01-21,3.36,3.36,3.36,3.36,1000,0.0,1.0
2000-01-24,3.6,3.6,3.6,3.6,2500,0.0,1.0
2000-01-25,3.54,3.54,3.54,3.54,500,0.0,1.0
2000-01-26,3.54,3.54,3.54,3.54,0,0.0,1.0
2000-01-27,3.5,3.5,3.5,3.5,2500,0.0,1.0
2000-01-28,3.3,3.49,3.3,3.31,3000,0.0,1.0
2000-01-31,3.06,3.06,3.05,3.05,3000,0.0,1.0
2000-02-01,3.29,3.29,3.29,3.29,3500,0.0,1.0
2000-02-02,3.42,3.52,3.42,3.5,11500,0.0,1.0
2000-02-03,3.5,3.5,3.5,3.5,0,0.0,1.0
2000-02-04,3.77,4.06,3.5,3.87,28000,0.0,1.0
2000-02-07,3.6,3.99,3.6,3.7,4500,0.0,1.0
2000-02-08,3.8,3.88,3.8,3.86,8500,0.0,1.0
2000-02-09,3.65,3.8,3.61,3.68,6000,0.0,1.0
2000-02-10,3.8,3.85,3.4,3.5,18000,0.0,1.0
2000-02-11,3.32,3.6,3.32,3.6,4500,0.0,1.0
2000-02-14,3.4,3.65,3.4,3.45,29500,0.0,1.0
2000-02-15,3.7,3.7,3.4,3.4,8000,0.0,1.0
2000-02-16,3.54,3.6,3.41,3.41,10500,0.0,1.0
2000-02-17,3.5,3.64,3.35,3.5,9500,0.0,1.0
2000-02-18,3.3,3.7,3.3,3.42,9000,0.0,1.0
2000-02-21,3.35,3.6,3.2,3.2,12000,0.0,1.0
2000-02-22,3.4,3.4,2.96,3.18,6000,0.0,1.0
2000-02-23,3.34,3.34,3.34,3.34,500,0.0,1.0
2000-02-24,3.2,3.2,3.2,3.2,1000,0.0,1.0
2000-02-25,3.11,3.11,2.96,2.96,7000,0.0,1.0
2000-02-28,2.97,3.12,2.92,3.12,10500,0.0,1.0
2000-02-29,3.1,3.36,3.1,3.1,4000,0.0,1.0
2000-03-01,3,3,3,3,500,0.0,1.0
2000-03-02,2.97,2.97,2.86,2.9,12500,0.0,1.0
2000-03-03,2.98,2.98,2.7,2.7,10500,0.0,1.0
2000-03-06,2.9,2.9,2.9,2.9,7000,0.0,1.0
2000-03-07,2.94,3.13,2.94,3.1,14000,0.0,1.0
2000-03-08,2.87,3.3,2.86,3.3,22500,0.0,1.0
2000-03-09,3.05,3.05,3.04,3.04,2500,0.0,1.0
2000-03-10,3.1,3.28,3,3.25,11500,0.0,1.0
2000-03-13,3.25,3.25,3.25,3.25,0,0.0,1.0
2000-03-14,3.4,3.49,3.4,3.49,1000,0.0,1.0
2000-03-15,3.72,3.72,3.5,3.5,4000,0.0,1.0
2000-03-16,3.3,3.3,3.23,3.23,2500,0.0,1.0
2000-03-17,3.23,3.23,3.23,3.23,0,0.0,1.0
2000-03-20,3.23,3.23,3.23,3.23,0,0.0,1.0
2000-03-21,3.23,3.23,3.23,3.23,0,0.0,1.0
2000-03-22,3.48,3.48,3.3,3.3,1500,0.0,1.0
2000-03-23,3.3,3.3,3.3,3.3,0,0.0,1.0
2000-03-24,3.04,3.04,3.04,3.04,1500,0.0,1.0
2000-03-27,3.1,3.1,3.1,3.1,500,0.0,1.0
2000-03-28,3.1,3.1,3.1,3.1,0,0.0,1.0
2000-03-29,3.1,3.1,3.1,3.1,0,0.0,1.0
2000-03-30,3.2,3.2,2.95,2.96,3500,0.0,1.0
2000-03-31,3,3,2.95,3,5000,0.0,1.0
2000-04-03,3,3,3,3,0,0.0,1.0
2000-04-04,3,3,3,3,1500,0.0,1.0
2000-04-05,2.8,2.8,2.77,2.77,1500,0.0,1.0
2000-04-06,2.8,2.8,2.68,2.68,6000,0.0,1.0
2000-04-07,2.86,2.86,2.86,2.86,2500,0.0,1.0
2000-04-10,2.86,2.86,2.86,2.86,0,0.0,1.0
2000-04-11,2.86,2.86,2.86,2.86,0,0.0,1.0
2000-04-12,2.86,2.86,2.86,2.86,0,0.0,1.0
2000-04-13,2.76,2.76,2.72,2.72,2000,0.0,1.0
2000-04-14,2.72,2.72,2.72,2.72,0,0.0,1.0
2000-04-17,2.72,2.72,2.72,2.72,0,0.0,1.0
2000-04-18,2.72,2.72,2.72,2.72,0,0.0,1.0
2000-04-19,2.72,2.72,2.72,2.72,0,0.0,1.0
2000-04-20,2.55,2.55,2.55,2.55,3500,0.0,1.0
2000-04-21,2.55,2.55,2.55,2.55,0,0.0,1.0
2000-04-24,2.55,2.55,2.55,2.55,0,0.0,1.0
2000-04-25,2.6,2.6,2.6,2.6,1000,0.0,1.0
2000-04-26,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-04-27,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-04-28,2.42,2.42,2.4,2.41,6500,0.0,1.0
2000-05-01,2.41,2.41,2.41,2.41,0,0.0,1.0
2000-05-02,2.4,2.4,2.4,2.4,1000,0.0,1.0
2000-05-03,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-04,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-05,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-08,2.45,2.45,2.45,2.45,500,0.0,1.0
2000-05-09,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-05-10,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-05-11,2.36,2.4,2.36,2.4,3000,0.0,1.0
2000-05-12,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-15,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-16,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-17,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-18,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-19,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-05-22,2.33,2.33,2.32,2.32,1500,0.0,1.0
2000-05-23,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-05-24,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-05-25,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-05-26,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-05-29,2.32,2.32,2.32,2.32,0,0.0,1.0
2000-05-30,2.16,2.16,2.16,2.16,500,0.0,1.0
2000-05-31,2.28,2.28,2.28,2.28,500,0.0,1.0
2000-06-01,2.28,2.28,2.28,2.28,0,0.0,1.0
2000-06-02,2.28,2.28,2.28,2.28,0,0.0,1.0
2000-06-05,2.28,2.28,2.28,2.28,0,0.0,1.0
2000-06-06,2.28,2.28,2.28,2.28,0,0.0,1.0
2000-06-07,2.4,2.4,2.4,2.4,1000,0.0,1.0
2000-06-08,2.49,2.5,2.49,2.5,1000,0.0,1.0
2000-06-09,2.31,2.4,2.31,2.4,1500,0.0,1.0
2000-06-12,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-13,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-14,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-15,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-16,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-19,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-20,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-21,2.4,2.4,2.4,2.4,0,0.0,1.0
2000-06-22,2.5,2.5,2.5,2.5,1500,0.0,1.0
2000-06-23,2.58,2.58,2.32,2.32,4500,0.0,1.0
2000-06-26,2.5,2.5,2.5,2.5,500,0.0,1.0
2000-06-27,2.6,2.62,2.6,2.61,1500,0.0,1.0
2000-06-28,2.61,2.78,2.61,2.78,2500,0.0,1.0
2000-06-29,2.85,2.85,2.78,2.8,1500,0.0,1.0
2000-06-30,2.8,2.8,2.8,2.8,0,0.0,1.0
2000-07-03,2.8,2.8,2.8,2.8,0,0.0,1.0
