date,open,high,low,close,volume,dividend,split
2005-06-13,24,32.5,24,25.1,941008,0.0,1.0
2005-06-14,25,25.5,20.299999,20.5,207407,0.0,1.0
2005-06-15,20.6,23.4,20.5,22.200001,117173,0.0,1.0
2005-06-16,22.4,22.4,19.4,19.700001,47724,0.0,1.0
2005-06-17,20,20.700001,18.1,18.4,57977,0.0,1.0
2005-06-20,18.799999,22.1,17,22.1,207145,0.0,1.0
2005-06-21,22.799999,23,20.6,20.9,55273,0.0,1.0
2005-06-22,20.799999,22.5,19.799999,20.5,40967,0.0,1.0
2005-06-23,21,21.5,20.299999,20.6,21432,0.0,1.0
2005-06-24,20.5,24.799999,20.4,24.799999,176604,0.0,1.0
2005-06-27,25,26.299999,24,25,74081,0.0,1.0
2005-06-28,25.200001,25.5,22,23.1,31723,0.0,1.0
2005-06-29,23.200001,24,22.5,23.6,20959,0.0,1.0
2005-06-30,24.9,25.1,23.5,24.6,24348,0.0,1.0
2005-07-01,24.299999,29.1,24,28.799999,139500,0.0,1.0
2005-07-04,29.5,30,28.1,28.6,39292,0.0,1.0
2005-07-05,27.5,28.9,26.4,26.700001,17752,0.0,1.0
2005-07-06,27.700001,27.700001,26.6,26.799999,10930,0.0,1.0
2005-07-07,27.4,30.5,26.4,29.4,72123,0.0,1.0
2005-07-08,29,31,28.1,29.299999,34350,0.0,1.0
2005-07-11,29.799999,31.200001,29.299999,29.9,37475,0.0,1.0
2005-07-12,30,30.5,29.1,29.700001,24944,0.0,1.0
2005-07-13,30,31,29.4,29.6,23562,0.0,1.0
2005-07-14,30.1,30.4,28.799999,29.200001,19585,0.0,1.0
2005-07-15,29.5,35,29.5,34.599998,76003,0.0,1.0
2005-07-18,35,37.200001,32.099998,33.400002,49013,0.0,1.0
2005-07-19,34,40,30,39.599998,117930,0.0,1.0
2005-07-20,40,43.5,37.599998,38.299999,82017,0.0,1.0
2005-07-21,40.5,45.400002,38.299999,44.099998,109015,0.0,1.0
2005-07-22,45,52.400002,44.099998,49.700001,157822,0.0,1.0
2005-07-25,50.200001,53.200001,44.799999,45.200001,216249,0.0,1.0
2005-07-26,46,48,40.799999,41.099998,133802,0.0,1.0
2005-07-27,41.799999,42.5,38.700001,39.799999,47099,0.0,1.0
2005-07-29,38.5,42,38.5,39.799999,61336,0.0,1.0
2005-08-01,40.5,40.5,37.5,37.5,51274,0.0,1.0
2005-08-02,38.200001,41.299999,37.799999,41.200001,104134,0.0,1.0
2005-08-03,41.700001,42,37.599998,38.099998,41367,0.0,1.0
2005-08-04,38.5,38.900002,36,36.299999,42344,0.0,1.0
2005-08-05,36.5,38,36.099998,37.700001,75237,0.0,1.0
2005-08-08,37.900002,37.900002,36.599998,37.099998,15354,0.0,1.0
2005-08-09,37.099998,37.400002,36.5,36.900002,18736,0.0,1.0
2005-08-10,37.299999,38.200001,36.900002,38,30355,0.0,1.0
