date,open,high,low,close,volume,dividend,split
2007-06-27,50.41,56.939999,40.619999,41.25,30475665,0.0,1.0
2007-06-28,41.25,42.200001,38.540001,38.849998,995790,0.0,1.0
2007-06-29,38.849998,39.849998,37.310001,37.759998,1096725,0.0,1.0
2007-07-02,37.849998,40.709999,36.860001,38.799999,426795,0.0,1.0
2007-07-03,38.799999,39.939999,38.220001,38.450001,737040,0.0,1.0
2007-07-04,38.759998,38.959999,37.099998,37.389999,416895,0.0,1.0
2007-07-05,37.48,37.669998,35.599998,35.830002,366125,0.0,1.0
2007-07-06,35.799999,37.259998,35.049999,35.310001,366595,0.0,1.0
2007-07-09,36.799999,37.380001,35.599998,36.43,425865,0.0,1.0
2007-07-10,36.400002,36.610001,35.360001,35.549999,292895,0.0,1.0
2007-07-11,35.240002,36.150002,35.200001,35.540001,256760,0.0,1.0
2007-07-12,35.740002,36.400002,35.740002,35.91,250085,0.0,1.0
2007-07-13,36.200001,36.470001,34.549999,34.77,219120,0.0,1.0
2007-07-16,35.279999,36.02,34.799999,35.209999,333080,0.0,1.0
2007-07-17,35.75,36.099998,34.599998,34.77,298405,0.0,1.0
2007-07-18,34.77,35.099998,34.23,34.43,256820,0.0,1.0
2007-07-19,34.43,34.779999,33.759998,33.93,200530,0.0,1.0
2007-07-20,33.93,34.400002,33.009998,33.169998,274280,0.0,1.0
2007-07-23,33.169998,33.880001,32.860001,33.029999,268775,0.0,1.0
2007-07-24,33.68,33.68,31.42,31.57,214060,0.0,1.0
2007-07-25,30.540001,30.91,29.35,29.459999,312310,0.0,1.0
2007-07-26,29.6,35.290001,29.25,34.060001,294145,0.0,1.0
2007-07-27,31.92,33.599998,31.299999,31.83,248155,0.0,1.0
2007-07-30,31.6,34.599998,31.16,31.559999,440830,0.0,1.0
2007-07-31,32,32.66,31.43,31.75,215935,0.0,1.0
2007-08-01,31.549999,33.080002,30.809999,31.030001,249935,0.0,1.0
2007-08-02,31.280001,32.299999,30.620001,30.809999,208340,0.0,1.0
2007-08-03,31.290001,32.27,30.719999,30.799999,190600,0.0,1.0
2007-08-06,30.799999,30.799999,30.040001,30.280001,210720,0.0,1.0
2007-08-07,30.98,31.5,30.43,30.66,205115,0.0,1.0
2007-08-08,30.66,33.400002,30.66,31.879999,258050,0.0,1.0
2007-08-09,32.369999,32.799999,31,31.18,211895,0.0,1.0
2007-08-10,30.24,30.780001,30.120001,30.59,220595,0.0,1.0
2007-08-13,31,32,31,31.6,211805,0.0,1.0
2007-08-14,31.6,31.9,31.200001,31.27,183680,0.0,1.0
2007-08-16,30,30.690001,29.959999,30.17,134300,0.0,1.0
2007-08-17,30.299999,30.74,28.58,29.190001,174855,0.0,1.0
2007-08-20,30,30.4,28.9,29.1,121235,0.0,1.0
2007-08-21,29.1,29.5,28.33,28.43,221575,0.0,1.0
2007-08-22,28.43,28.74,27,27.43,179000,0.0,1.0
2007-08-23,28,28.879999,27,27.110001,184705,0.0,1.0
2007-08-24,27.4,27.799999,26.799999,26.98,144875,0.0,1.0
2007-08-27,27.559999,28,27.24,27.780001,150410,0.0,1.0
2007-08-28,27.700001,30.4,27.440001,30.040001,161255,0.0,1.0
2007-08-29,29.4,30.799999,29.200001,29.49,162460,0.0,1.0
2007-08-30,30.6,30.6,29.200001,29.870001,162680,0.0,1.0
2007-08-31,29.870001,30.58,29.299999,29.4,115280,0.0,1.0
2007-09-03,29.4,30.280001,29.4,29.52,98500,0.0,1.0
2007-09-04,29.52,30.299999,29.52,29.969999,140190,0.0,1.0
2007-09-05,30.18,30.799999,29.82,30.530001,270250,0.0,1.0
2007-09-06,30.4,31.780001,30.4,31.15,338195,0.0,1.0
2007-09-07,31.4,32.580002,31.02,31.309999,525010,0.0,1.0
2007-09-10,30.77,31.790001,30.42,31.469999,229230,0.0,1.0
2007-09-11,31.719999,31.950001,30.620001,30.85,129615,0.0,1.0
2007-09-12,31.200001,31.280001,30.5,30.700001,103530,0.0,1.0
2007-09-13,30.9,31.1,30.559999,30.629999,85990,0.0,1.0
2007-09-14,30.67,31.16,29.4,29.82,142240,0.0,1.0
2007-09-17,30.6,30.6,29.15,29.290001,94710,0.0,1.0
2007-09-18,29.030001,30.200001,29.030001,29.65,171430,0.0,1.0
2007-09-19,30,30.68,30,30.379999,187265,0.0,1.0
2007-09-20,30.35,32.470001,30.18,31.08,612345,0.0,1.0
2007-09-21,31.6,34.189999,31.379999,33.43,1463595,0.0,1.0
2007-09-24,34,34.759998,33.18,33.369999,433405,0.0,1.0
