date,open,high,low,close,volume,dividend,split
2000-02-29,74.099998,75.300003,66.75,66.800003,73050,0.0,1.0
2000-03-01,68,72.099998,63.5,72.099998,38900,0.0,1.0
2000-03-02,75,77.849998,73.199997,77.699997,85450,0.0,1.0
2000-03-03,77.849998,83.900002,71.5,72.650002,88150,0.0,1.0
2000-03-06,75,76,70.099998,71,35750,0.0,1.0
2000-03-07,70,70,65.349998,66.849998,45350,0.0,1.0
2000-03-08,66,68.699997,64.150002,65.400002,28550,0.0,1.0
2000-03-09,67,67,60.200001,60.799999,24200,0.0,1.0
2000-03-10,61,63,55.950001,56.049999,51450,0.0,1.0
2000-03-13,56.049999,56.049999,56.049999,56.049999,0,0.0,1.0
2000-03-14,51,53,47.799999,52.150002,28750,0.0,1.0
2000-03-15,48.549999,56.299999,48.5,55.299999,38950,0.0,1.0
2000-03-16,54.5,56,50.900002,50.900002,37150,0.0,1.0
2000-03-17,50.900002,50.900002,50.900002,50.900002,0,0.0,1.0
2000-03-20,50.900002,50.900002,50.900002,50.900002,0,0.0,1.0
2000-03-21,53,54.25,46.849998,47,29450,0.0,1.0
2000-03-22,47.900002,50.75,45.849998,50.75,16400,0.0,1.0
2000-03-23,53,53,46.700001,46.799999,21950,0.0,1.0
2000-03-24,46,46,43.150002,43.650002,30650,0.0,1.0
2000-03-27,47.099998,47.099998,47.099998,47.099998,2850,0.0,1.0
2000-03-28,49.900002,50,44,47.150002,38000,0.0,1.0
2000-03-29,47.950001,49,47.299999,48.049999,15150,0.0,1.0
2000-03-30,45.099998,46.5,44.599998,45.200001,17850,0.0,1.0
2000-03-31,43,45,42,42,27650,0.0,1.0
2000-04-03,45.299999,45.299999,39,39.150002,21600,0.0,1.0
2000-04-04,38,38,36.049999,36.049999,9550,0.0,1.0
2000-04-05,33.200001,38.599998,33.200001,37.700001,14100,0.0,1.0
2000-04-06,38,38.849998,34.700001,36,14850,0.0,1.0
2000-04-07,38,38.849998,36.299999,38.849998,8050,0.0,1.0
2000-04-10,41.900002,41.900002,41.900002,41.900002,3200,0.0,1.0
2000-04-11,41.900002,41.900002,41.900002,41.900002,0,0.0,1.0
2000-04-12,40.049999,41.849998,38.700001,39.5,13400,0.0,1.0
2000-04-13,36.349998,38,36.349998,36.450001,23050,0.0,1.0
2000-04-14,36.450001,36.450001,36.450001,36.450001,0,0.0,1.0
2000-04-17,33.599998,35.200001,33.599998,34.349998,5800,0.0,1.0
2000-04-18,35.900002,36,34,34.150002,18650,0.0,1.0
2000-04-19,36.450001,36.450001,33,33.950001,12950,0.0,1.0
2000-04-20,32.549999,32.549999,31.25,31.299999,19600,0.0,1.0
2000-04-21,31.299999,31.299999,31.299999,31.299999,0,0.0,1.0
2000-04-24,31.299999,31.299999,31.299999,31.299999,0,0.0,1.0
2000-04-25,27.5,28.75,27,27.799999,14250,0.0,1.0
2000-04-26,27.799999,27.799999,27.799999,27.799999,0,0.0,1.0
2000-04-27,29.5,32.099998,29,30.799999,15600,0.0,1.0
2000-04-28,31,31.4,29.75,30.950001,13350,0.0,1.0
2000-05-01,30.950001,30.950001,30.950001,30.950001,0,0.0,1.0
2000-05-02,29.9,29.9,27.5,28,16700,0.0,1.0
2000-05-03,28,28,28,28,0,0.0,1.0
2000-05-04,25.9,28.799999,25.9,28.799999,9150,0.0,1.0
2000-05-05,28.799999,28.799999,28.799999,28.799999,0,0.0,1.0
2000-05-08,34.700001,35.950001,33.049999,33.75,15500,0.0,1.0
2000-05-09,33.75,33.75,33.75,33.75,0,0.0,1.0
2000-05-10,33.400002,37.950001,33.400002,35.75,13150,0.0,1.0
2000-05-11,34.799999,34.799999,31.5,31.5,13900,0.0,1.0
2000-05-12,32,32.900002,28.5,28.85,19450,0.0,1.0
2000-05-15,27,30.4,26.85,29.450001,10700,0.0,1.0
2000-05-16,29.1,29.1,28.5,28.65,6300,0.0,1.0
2000-05-17,29.950001,31,29.5,29.700001,7550,0.0,1.0
2000-05-18,28.549999,28.85,27.35,28,6900,0.0,1.0
2000-05-19,27.200001,28,27,27.4,7000,0.0,1.0
2000-05-22,26.299999,26.4,25.75,25.9,6050,0.0,1.0
2000-05-23,24.299999,25.85,24,25.200001,13150,0.0,1.0
