date,open,high,low,close,volume,dividend,split
2000-02-01,0.95,0.95,0.925,0.925,66000,0.0,1.0
2000-02-02,0.925,0.9725,0.925,0.93,7000,0.0,1.0
2000-02-03,0.93,0.95,0.925,0.9255,15000,0.0,1.0
2000-02-04,0.97,0.97,0.93,0.965,26000,0.0,1.0
2000-02-08,0.93,0.93,0.93,0.93,10000,0.0,1.0
2000-02-09,0.93,0.93,0.93,0.93,1000,0.0,1.0
2000-02-10,0.93475,0.95,0.925,0.925,26000,0.0,1.0
2000-02-11,0.925,0.95,0.925,0.95,10000,0.0,1.0
2000-02-16,0.92,0.92,0.92,0.92,1000,0.0,1.0
2000-02-17,9.85,9.85,9.85,9.85,300,0.0,1.0
2000-02-18,9.85,9.85,9.85,9.85,0,0.0,1.0
2000-02-21,0.945,0.945,0.945,0.945,1000,0.0,1.0
2000-02-22,0.9,0.92,0.9,0.91,20000,0.0,1.0
2000-02-23,0.8725,0.8725,0.8725,0.8725,1000,0.0,1.0
2000-02-24,0.875,0.875,0.87,0.87,2000,0.0,1.0
2000-02-25,0.9,0.9,0.9,0.9,4000,0.0,1.0
2000-02-28,9.85,9.85,9.85,9.85,0,0.0,1.0
2000-02-29,9.85,9.85,9.85,9.85,0,0.0,1.0
2000-03-01,0.9,0.9,0.9,0.9,40000,0.0,1.0
2000-03-02,0.83,0.8325,0.83,0.83,12000,0.0,1.0
2000-03-03,0.895,0.895,0.895,0.895,1000,0.0,1.0
2000-03-06,0.875,0.875,0.875,0.875,1000,0.0,1.0
2000-03-07,9.25,9.425,9.25,9.425,100,0.0,1.0
2000-03-08,9.475,9.475,9.475,9.475,50,0.0,1.0
2000-03-09,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-10,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-13,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-14,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-15,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-16,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-17,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-20,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-21,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-22,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-23,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-24,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-27,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-28,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-29,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-30,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-03-31,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-03,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-04,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-05,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-06,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-07,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-10,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-11,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-12,9.475,9.475,9.475,9.475,0,0.0,1.0
2000-04-13,9.45,9.45,9.45,9.45,100,0.0,1.0
2000-04-14,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-17,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-18,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-19,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-20,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-21,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-24,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-25,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-26,0.825,0.825,0.825,0.825,2000,0.0,1.0
2000-04-27,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-04-28,0.825,0.825,0.825,0.825,20000,0.0,1.0
2000-05-01,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-05-02,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-05-03,9.45,9.45,9.45,9.45,0,0.0,1.0
2000-05-04,0.7625,0.7625,0.7625,0.7625,20000,0.0,1.0
2000-05-05,0.82325,0.82325,0.82325,0.82325,2000,0.0,1.0
2000-05-08,9.45,9.45,9.45,9.45,0,0.0,1.0
