date,open,high,low,close,volume,dividend,split
2000-02-21,2003.25,2093.939941,2003.25,2093.939941,12937,0.0,1.0
2000-02-22,2261.409912,2261.409912,2095.48999,2261.409912,165975,0.0,1.0
2000-02-23,2316.350098,2323.330078,2080.530029,2089,89606,0.0,1.0
2000-02-24,2143.850098,2153.820068,1960.369995,2077.48999,50144,0.0,1.0
2000-02-25,2093.98999,2128.889893,1911.310059,1911.310059,87250,0.0,1.0
2000-02-28,1944.420044,1944.420044,1758.449951,1793.599976,95624,0.0,1.0
2000-02-29,1849.689941,1874.619995,1650.160034,1650.160034,82536,0.0,1.0
2000-03-01,1694.140015,1782.140015,1518.189941,1678.630005,128718,0.0,1.0
2000-03-02,1702.109985,1773.910034,1545.560059,1565.810059,104649,0.0,1.0
2000-03-03,1550.550049,1585.449951,1455.869995,1472.319946,71906,0.0,1.0
2000-03-06,1495.709961,1535.589966,1356.109985,1414.189941,83439,0.0,1.0
2000-03-07,1395.98999,1434.880005,1301.069946,1301.069946,83990,0.0,1.0
2000-03-08,1255.400024,1395.98999,1197.01001,1318.27002,193403,0.0,1.0
2000-03-09,1330.180054,1358.099976,1266.369995,1307.800049,170789,0.0,1.0
2000-03-10,1328.189941,1412.400024,1286.310059,1412.400024,97780,0.0,1.0
2000-03-13,1412.400024,1412.400024,1412.400024,1412.400024,0,0.0,1.0
2000-03-14,1395.98999,1412.939941,1300.420044,1300.420044,208798,0.0,1.0
2000-03-15,1221.48999,1320.209961,1196.420044,1278.430054,62078,0.0,1.0
2000-03-16,1216.560059,1276.339966,1176.170044,1180.560059,83088,0.0,1.0
2000-03-17,1180.560059,1180.560059,1180.560059,1180.560059,0,0.0,1.0
2000-03-20,1180.560059,1180.560059,1180.560059,1180.560059,0,0.0,1.0
2000-03-21,1186.589966,1274.98999,1181.609985,1246.420044,60924,0.0,1.0
2000-03-22,1256.390015,1346.089966,1253.5,1346.089966,61225,0.0,1.0
2000-03-23,1395.98999,1453.72998,1367.079956,1453.72998,121247,0.0,1.0
2000-03-24,1465.790039,1530.609985,1397.98999,1497.400024,59219,0.0,1.0
2000-03-27,1555.540039,1570.48999,1432.890015,1459.51001,34749,0.0,1.0
2000-03-28,1426.900024,1454.819946,1361.089966,1431.839966,32794,0.0,1.0
2000-03-29,1420.920044,1445.849976,1317.319946,1320.660034,27228,0.0,1.0
2000-03-30,1276.339966,1336.170044,1246.469971,1319.609985,18202,0.0,1.0
2000-03-31,1296.280029,1296.280029,1214.069946,1214.069946,16648,0.0,1.0
2000-04-03,1176.619995,1251.310059,1116.939941,1116.939941,14191,0.0,1.0
2000-04-04,1027.599976,1027.599976,1027.599976,1027.599976,451,0.0,1.0
2000-04-05,945.437012,945.437012,945.437012,945.437012,953,0.0,1.0
2000-04-06,869.804016,949.276001,869.804016,869.804016,61376,0.0,1.0
2000-04-07,937.309998,939.354004,912.380981,939.354004,55509,0.0,1.0
2000-04-10,1014.48999,1014.48999,907.395996,973.85498,73410,0.0,1.0
2000-04-11,973.85498,973.85498,973.85498,973.85498,0,0.0,1.0
2000-04-12,922.403015,984.174988,922.403015,942.544983,39563,0.0,1.0
2000-04-13,923.848999,923.848999,867.161011,891.791016,38861,0.0,1.0
2000-04-14,891.791016,891.791016,891.791016,891.791016,0,0.0,1.0
2000-04-17,820.494995,820.494995,820.494995,820.494995,702,0.0,1.0
2000-04-18,846.570007,846.570007,754.882996,754.882996,37206,0.0,1.0
2000-04-19,772.781982,785.744995,694.507019,694.507019,22966,0.0,1.0
2000-04-20,638.966003,667.085022,638.966003,639.614014,39814,0.0,1.0
2000-04-21,639.614014,639.614014,639.614014,639.614014,0,0.0,1.0
2000-04-24,610.249023,610.249023,598.28302,598.28302,50,0.0,1.0
2000-04-25,587.314026,628.197021,545.633972,627.299988,52500,0.0,1.0
2000-04-26,663.096985,677.455994,646.992981,677.455994,549,0.0,1.0
2000-04-27,677.057007,677.057007,623.260986,629.593018,36103,0.0,1.0
2000-04-28,629.593018,648.140015,602.270996,625.554993,27479,0.0,1.0
2000-05-01,625.554993,625.554993,625.554993,625.554993,0,0.0,1.0
2000-05-02,663.096985,668.083008,550.52002,576.245972,30036,0.0,1.0
2000-05-03,530.478027,622.314026,530.478027,604.265991,100,0.0,1.0
2000-05-04,611.245972,695.354004,590.30603,695.354004,46774,0.0,1.0
2000-05-05,695.354004,695.354004,695.354004,695.354004,0,0.0,1.0
2000-05-08,785.744995,817.554016,701.984985,728.010986,54305,0.0,1.0
2000-05-09,728.010986,728.010986,728.010986,728.010986,0,0.0,1.0
2000-05-10,783.750977,797.710999,718.987,728.210022,29434,0.0,1.0
2000-05-11,701.286987,701.286987,640.861023,640.861023,28933,0.0,1.0
2000-05-12,634.179993,634.179993,563.981018,563.981018,21010,0.0,1.0
2000-05-15,520.505981,631.388,496.325989,614.437012,66992,0.0,1.0
2000-05-16,631.388,631.388,554.359009,598.28302,47536,0.0,1.0
2000-05-17,607.257019,642.156982,573.354004,589.40802,42672,0.0,1.0
2000-05-18,587.265015,598.28302,552.414978,569.315979,15093,0.0,1.0
2000-05-19,554.408997,578.340027,538.455017,561.439026,29033,0.0,1.0
2000-05-22,550.419983,553.411987,521.502991,548.724976,26576,0.0,1.0
2000-05-23,538.455017,542.442993,488.597992,498.669006,53152,0.0,1.0
2000-05-24,463.868988,488.597992,458.78299,464.416992,26275,0.0,1.0
2000-05-25,478.626007,490.59201,458.68399,464.167999,17801,0.0,1.0
2000-05-26,460.678009,460.678009,410.821014,423.882996,28582,0.0,1.0
2000-05-29,409.824005,453.697998,388.884003,446.419006,51548,0.0,1.0
2000-05-30,443.825989,465.664001,436.747009,460.578003,79879,0.0,1.0
2000-05-31,467.856995,515.820007,467.856995,515.820007,73410,0.0,1.0
2000-06-01,518.512024,571.359985,510.085999,551.268005,72156,0.0,1.0
2000-06-02,573.354004,617.377991,573.354004,617.377991,33496,0.0,1.0
2000-06-05,666.736023,691.416016,653.125977,658.361023,47787,0.0,1.0
2000-06-06,661.103027,697.997009,638.16803,693.409973,30287,0.0,1.0
2000-06-07,684.335999,737.882019,667.085022,684.984009,60473,0.0,1.0
2000-06-08,697.997009,717.890015,690.02002,703.281982,31841,0.0,1.0
2000-06-09,703.97998,703.97998,649.137024,677.156982,31440,0.0,1.0
2000-06-12,688.025024,688.025024,628.197021,639.564026,32443,0.0,1.0
2000-06-13,631.786987,634.677979,589.557983,601.822998,39463,0.0,1.0
2000-06-14,606.26001,623.210999,580.434021,588.112,22514,0.0,1.0
2000-06-15,597.286011,608.155029,573.354004,575.148987,13188,0.0,1.0
2000-06-16,578.340027,608.254028,573.354004,604.61499,24269,0.0,1.0
2000-06-19,604.61499,604.61499,604.61499,604.61499,0,0.0,1.0
2000-06-20,637.072021,668.083008,636.174011,658.409973,52156,0.0,1.0
2000-06-21,673.067993,683.289001,618.226013,635.575989,51112,0.0,1.0
2000-06-22,621.815002,653.026001,618.226013,628.197021,21960,0.0,1.0
2000-06-23,613.390015,623.112,601.77301,610.297974,37313,0.0,1.0
2000-06-26,581.33197,612.741028,580.333984,606.060974,104105,0.0,1.0
2000-06-27,608.254028,623.210999,588.312012,595.242004,21556,0.0,1.0
2000-06-28,587.065002,603.268982,581.33197,601.424011,5860,0.0,1.0
