date,open,high,low,close,volume,dividend,split
2000-01-03,293.208008,297.338013,280.819,285.196014,15376,0.0,1.0
2000-01-04,289.078003,289.078003,262.64801,262.64801,7507,0.0,1.0
2000-01-05,242.826004,251.910995,242,243.651993,11139,0.0,1.0
2000-01-06,243.569,263.061005,228.867004,261.492004,27968,0.0,1.0
2000-01-07,250.259003,250.259003,240.595993,241.091003,11260,0.0,1.0
2000-01-10,237.869995,237.869995,226.307007,228.908997,5206,0.0,1.0
2000-01-11,237.869995,237.869995,210.613998,210.613998,1332,0.0,1.0
2000-01-12,202.354996,205.740997,193.806,193.806,4117,0.0,1.0
2000-01-13,188.313995,199.876999,185.835999,190.832993,4238,0.0,1.0
2000-01-14,189.966003,189.966003,181.705994,186.869003,2785,0.0,1.0
2000-01-17,181.705994,194.013,181.705994,187.570999,3148,0.0,1.0
2000-01-18,178.403,186.248993,176.007004,183.854004,3390,0.0,1.0
2000-01-19,181.705994,198.473007,181.705994,198.473007,2664,0.0,1.0
2000-01-20,213.009003,214.330994,208.136002,214.330994,2421,0.0,1.0
2000-01-21,222.755997,231.468994,211.440002,229.981995,5327,0.0,1.0
2000-01-24,247.781006,247.781006,213.091995,217.511002,10049,0.0,1.0
2000-01-25,206.485001,206.485001,200.125,203.222,7264,0.0,1.0
2000-01-26,203.222,203.222,203.222,203.222,0,0.0,1.0
2000-01-27,207.970993,210.613998,201.529007,201.694,8233,0.0,1.0
2000-01-28,213.917999,213.917999,194.095001,196.615005,8838,0.0,1.0
2000-01-31,198.225006,205.658997,180.921997,180.921997,5206,0.0,1.0
2000-02-01,170.143005,189.139999,166.839996,181.251999,9202,0.0,1.0
2000-02-02,189.966003,191.617996,185.919006,189.759003,6417,0.0,1.0
2000-02-03,189.759003,189.759003,189.759003,189.759003,0,0.0,1.0
2000-02-04,189.966003,189.966003,173.612,173.819,11139,0.0,1.0
2000-02-07,178.567993,178.567993,159.942993,159.942993,9081,0.0,1.0
2000-02-08,152.798996,155.276001,147.843002,153.212006,9686,0.0,1.0
2000-02-09,148.669006,161.057999,148.669006,153.087997,7507,0.0,1.0
2000-02-10,156.927994,159.406006,149.494995,154.449997,8596,0.0,1.0
2000-02-11,153.623993,156.927994,142.102997,144.703995,18403,0.0,1.0
2000-02-14,142.886993,153.623993,133.141006,133.677994,11623,0.0,1.0
2000-02-15,124.717003,130.498001,123.477997,126.698997,8475,0.0,1.0
2000-02-16,130.416,136.817001,130.416,136.279999,3995,0.0,1.0
2000-02-17,140.408997,147.141006,140.408997,147.141006,2179,0.0,1.0
2000-02-18,156.927994,158.869003,152.798996,154.863007,12471,0.0,1.0
2000-02-21,165.188004,165.188004,152.798996,156.268005,11986,0.0,1.0
2000-02-22,156.927994,158.580002,146.231995,147.925995,5812,0.0,1.0
2000-02-23,148.669006,152.757004,146.604004,146.604004,2664,0.0,1.0
2000-02-24,140.408997,145.365005,136.279999,136.279999,1211,0.0,1.0
2000-02-25,127.194,135.453995,125.418999,125.459999,12107,0.0,1.0
2000-02-28,132.149994,135.453995,128.845993,135.453995,1816,0.0,1.0
2000-02-29,146.190994,146.274002,132.149994,132.893005,13802,0.0,1.0
2000-03-01,123.973,138.964005,123.973,138.427002,2906,0.0,1.0
2000-03-02,137.106003,137.932007,127.401001,128.020004,3874,0.0,1.0
2000-03-03,118.027,123.065002,118.027,119.264999,4601,0.0,1.0
2000-03-06,118.109001,123.065002,109.725998,109.725998,4601,0.0,1.0
2000-03-07,102.002998,118.481003,101.589996,118.481003,8475,0.0,1.0
2000-03-08,120.586998,126.369003,114.805,114.888,6659,0.0,1.0
2000-03-09,111.501999,115.630997,110.263,111.708,3148,0.0,1.0
