date,open,high,low,close,volume,dividend,split
2000-01-03,114.5,115,111,115,3400,0.0,1.0
2000-01-04,114,116,110,114.300003,10200,0.0,1.0
2000-01-05,106.050003,115,106.050003,111.199997,11400,0.0,1.0
2000-01-06,109.25,112,109.25,111.25,3840,0.0,1.0
2000-01-07,111,111.900002,105.050003,110.099998,11500,0.0,1.0
2000-01-10,113.5,114,110,110.400002,4400,0.0,1.0
2000-01-11,108.099998,113.5,104,104.099998,5800,0.0,1.0
2000-01-12,104,108,103.5,106.050003,6900,0.0,1.0
2000-01-13,108.5,108.5,103.5,103.650002,22700,0.0,1.0
2000-01-14,102,105,101,104,9400,0.0,1.0
2000-01-17,107,107,106,106,800,0.0,1.0
2000-01-18,105,105.949997,102,105.199997,11340,0.0,1.0
2000-01-19,107,110,101.050003,109.900002,7100,0.0,1.0
2000-01-20,107,110,105,108.449997,3300,0.0,1.0
2000-01-21,102,108,102,104.800003,24600,0.0,1.0
2000-01-24,107,110.150002,105.5,105.5,8600,0.0,1.0
2000-01-25,105,105.900002,101,101.099998,13600,0.0,1.0
2000-01-26,101.099998,101.099998,101.099998,101.099998,0,0.0,1.0
2000-01-27,102.099998,105.75,100,105.400002,5300,0.0,1.0
2000-01-28,99,105,99,101.400002,10100,0.0,1.0
2000-01-31,108,108,96.050003,97.550003,84400,0.0,1.0
2000-02-01,102.900002,102.900002,95,98,6110,0.0,1.0
2000-02-02,96,99.900002,96,97.75,28200,0.0,1.0
2000-02-03,97.75,97.75,97.75,97.75,0,0.0,1.0
2000-02-04,91,91.900002,86,86.150002,17200,0.0,1.0
2000-02-07,89,89,83,85,8700,0.0,1.0
2000-02-08,84,85,82.5,82.550003,2800,0.0,1.0
2000-02-09,80,83.5,79,81.75,12800,0.0,1.0
2000-02-10,77.099998,81,76.400002,77.099998,6200,0.0,1.0
2000-02-11,76.199997,80,76,77.349998,15800,0.0,1.0
2000-02-14,75,83.449997,75,78.900002,4300,0.0,1.0
2000-02-15,79.5,82,79.5,81.099998,12000,0.0,1.0
2000-02-16,80.050003,81,79.5,81,9100,0.0,1.0
2000-02-17,81.5,81.75,78,78.050003,6400,0.0,1.0
2000-02-18,77,77,74.5,75.5,3900,0.0,1.0
2000-02-21,73,81,73,77.75,4100,0.0,1.0
2000-02-22,81,81,73,73,2500,0.0,1.0
2000-02-23,72,75,70.099998,72,800,0.0,1.0
2000-02-24,70,73,69,71,800,0.0,1.0
2000-02-25,70,70,67.400002,68.400002,9800,0.0,1.0
2000-02-28,68,70,66,69.900002,3000,0.0,1.0
2000-02-29,72.949997,75,67,67.199997,5300,0.0,1.0
2000-03-01,69.599998,70,68.199997,70,2600,0.0,1.0
2000-03-02,71.800003,74,65.050003,67.25,19000,0.0,1.0
2000-03-03,67,68,61.900002,62.099998,10100,0.0,1.0
2000-03-06,63,64.300003,60,60.5,4700,0.0,1.0
2000-03-07,61,61,55.700001,55.75,7500,0.0,1.0
2000-03-08,55.099998,56,51.299999,52.299999,4700,0.0,1.0
2000-03-09,51.5,51.5,48.75,48.75,4000,0.0,1.0
2000-03-10,46,52.5,46,52.5,6900,0.0,1.0
2000-03-13,52.5,52.5,52.5,52.5,0,0.0,1.0
2000-03-14,61.150002,61.150002,58,61,8400,0.0,1.0
2000-03-15,63,65.849998,56.150002,63,28250,0.0,1.0
2000-03-16,62,65,61.049999,63,9450,0.0,1.0
2000-03-17,63,63,63,63,0,0.0,1.0
2000-03-20,63,63,63,63,0,0.0,1.0
2000-03-21,62,67,62,66.5,7900,0.0,1.0
2000-03-22,68,71.800003,68,71,7800,0.0,1.0
2000-03-23,76.5,76.599998,71.550003,72.900002,10700,0.0,1.0
2000-03-24,74,75.5,67.25,71.900002,6450,0.0,1.0
2000-03-27,70.300003,73.900002,69,69,14710,0.0,1.0
2000-03-28,67,70.949997,67,70.949997,24800,0.0,1.0
2000-03-29,69,71,68.75,70.199997,2125,0.0,1.0
2000-03-30,68,69,64.599998,67,2200,0.0,1.0
2000-03-31,67,69.900002,64.5,66,6165,0.0,1.0
2000-04-03,70,71.25,70,70,5750,0.0,1.0
2000-04-04,64.449997,68,64.449997,65,2270,0.0,1.0
2000-04-05,65,68.75,64,66.5,10450,0.0,1.0
2000-04-06,68,68,65.050003,65.050003,3400,0.0,1.0
2000-04-07,70,70,64.599998,67,10895,0.0,1.0
2000-04-10,70,71.900002,69.25,70.650002,27736,0.0,1.0
2000-04-11,70.650002,70.650002,70.650002,70.650002,0,0.0,1.0
2000-04-12,68.150002,69.949997,67.150002,69.150002,1900,0.0,1.0
2000-04-13,67,69,66.650002,66.900002,4685,0.0,1.0
2000-04-14,66.900002,66.900002,66.900002,66.900002,0,0.0,1.0
2000-04-17,68,68,65.400002,67.599998,1505,0.0,1.0
2000-04-18,65.050003,67.5,65,67.5,1100,0.0,1.0
2000-04-19,68.900002,68.900002,64.5,66.099998,6825,0.0,1.0
2000-04-20,65.900002,71.349998,64.050003,71.349998,3900,0.0,1.0
2000-04-21,71.349998,71.349998,71.349998,71.349998,0,0.0,1.0
2000-04-24,71.349998,71.349998,71.349998,71.349998,0,0.0,1.0
