date,open,high,low,close,volume,dividend,split
2000-06-27,330,340,330,340,700,0.0,1.0
2000-06-28,340,340,340,340,50,0.0,1.0
2000-06-29,340,340,340,340,400,0.0,1.0
2000-06-30,340,340,340,340,100,0.0,1.0
2000-07-03,340,340,340,340,0,0.0,1.0
2000-07-04,340,340,340,340,0,0.0,1.0
2000-07-05,340,340,340,340,0,0.0,1.0
2000-07-06,340,340,340,340,500,0.0,1.0
2000-07-07,340,340,340,340,0,0.0,1.0
2000-07-10,340,340,340,340,0,0.0,1.0
2000-07-11,349,349,349,349,50,0.0,1.0
2000-07-12,340,340,340,340,100,0.0,1.0
2000-07-13,331,331,331,331,50,0.0,1.0
2000-07-14,331,331,331,331,0,0.0,1.0
2000-07-17,327,348,326,348,200,0.0,1.0
2000-07-18,340,340,340,340,50,0.0,1.0
2000-07-19,340,340,340,340,0,0.0,1.0
2000-07-20,340,340,340,340,0,0.0,1.0
2000-07-21,340,340,340,340,0,0.0,1.0
2000-07-24,340,340,340,340,0,0.0,1.0
2000-07-25,302,302,301,301,100,0.0,1.0
2000-07-26,285,285,285,285,50,0.0,1.0
2000-07-27,285,285,285,285,0,0.0,1.0
2000-07-28,285,285,285,285,0,0.0,1.0
2000-07-31,271,271,271,271,100,0.0,1.0
2000-08-01,271,271,271,271,0,0.0,1.0
2000-08-02,271,289,271,281,200,0.0,1.0
2000-08-03,285,285,281,281,100,0.0,1.0
2000-08-04,281,281,281,281,0,0.0,1.0
2000-08-07,289,289,289,289,50,0.0,1.0
2000-08-08,268,268,268,268,50,0.0,1.0
2000-08-09,268,268,268,268,0,0.0,1.0
2000-08-10,255,255,255,255,50,0.0,1.0
2000-08-11,255,255,255,255,0,0.0,1.0
2000-08-14,250,250,243,243,200,0.0,1.0
2000-08-15,243,243,243,243,0,0.0,1.0
2000-08-16,240,240,233.25,233.25,100,0.0,1.0
2000-08-17,233.25,233.25,233.25,233.25,0,0.0,1.0
2000-08-18,243,244,243,244,100,0.0,1.0
2000-08-21,244,244,244,244,0,0.0,1.0
2000-08-22,244,244,244,244,0,0.0,1.0
2000-08-23,232,232,231,231.5,100,0.0,1.0
2000-08-24,230,230,230,230,50,0.0,1.0
2000-08-25,235,235,230,230.5,300,0.0,1.0
2000-08-28,243,243,243,243,50,0.0,1.0
2000-08-29,259,260,259,260,62,0.0,1.0
2000-08-30,260,260,260,260,0,0.0,1.0
2000-08-31,260,260,251.550003,251.550003,70,0.0,1.0
2000-09-01,251.550003,251.550003,251.550003,251.550003,0,0.0,1.0
2000-09-04,251.550003,251.550003,251.550003,251.550003,0,0.0,1.0
2000-09-05,240,240,239,239.25,200,0.0,1.0
2000-09-06,239.25,239.25,239.25,239.25,0,0.0,1.0
2000-09-07,231.050003,245,231.050003,245,100,0.0,1.0
2000-09-08,245,245,245,245,0,0.0,1.0
2000-09-11,245,245,245,245,0,0.0,1.0
2000-09-12,245,245,245,245,0,0.0,1.0
2000-09-13,245,245,245,245,0,0.0,1.0
2000-09-14,245,245,245,245,0,0.0,1.0
2000-09-15,245,245,245,245,0,0.0,1.0
2000-09-18,245,245,245,245,0,0.0,1.0
2000-09-19,245,245,245,245,0,0.0,1.0
2000-09-20,245,245,245,245,0,0.0,1.0
2000-09-21,245,245,245,245,0,0.0,1.0
2000-09-22,245,245,245,245,0,0.0,1.0
2000-09-25,245,245,245,245,0,0.0,1.0
