date,open,high,low,close,volume,dividend,split
2006-02-02,28.049999,31,25.299999,26.200001,18285100,0.0,1.0
2006-02-03,26.35,26.4,25.15,25.299999,5009100,0.0,1.0
2006-02-06,24.950001,27.700001,24.25,26.200001,6265200,0.0,1.0
2006-02-07,27.4,29.5,25.700001,28.75,14466600,0.0,1.0
2006-02-08,28.950001,29.35,27.65,27.85,4726400,0.0,1.0
2006-02-10,28.1,28.65,27.1,27.25,1784100,0.0,1.0
2006-02-13,27.450001,28.299999,26.75,27.049999,2440700,0.0,1.0
2006-02-14,27.5,27.799999,26.1,26.299999,1201700,0.0,1.0
2006-02-15,26.6,26.85,25.5,25.6,994000,0.0,1.0
2006-02-16,25.85,26.450001,25.15,25.35,1035500,0.0,1.0
2006-02-17,27,27,23.25,23.6,1160100,0.0,1.0
2006-02-20,24,24,22.85,23.65,654200,0.0,1.0
2006-02-21,24.700001,24.9,23.5,24.1,686500,0.0,1.0
2006-02-22,24.25,24.450001,23,23.200001,851700,0.0,1.0
2006-02-23,23.200001,23.4,21.65,22.4,1133100,0.0,1.0
2006-02-24,22.200001,22.700001,21.700001,21.950001,397300,0.0,1.0
2006-02-27,22,22.35,21.5,21.65,252700,0.0,1.0
2006-02-28,21.549999,22.200001,21.15,21.450001,250200,0.0,1.0
2006-03-01,21.75,23.200001,21.15,21.85,792700,0.0,1.0
2006-03-02,22.15,22.4,21.200001,21.549999,817000,0.0,1.0
2006-03-03,21.700001,21.700001,21,21.25,296400,0.0,1.0
2006-03-06,21.4,22.15,20.4,21.6,1344600,0.0,1.0
2006-03-07,21.549999,23.25,20.9,22.4,1136800,0.0,1.0
2006-03-08,22.5,22.950001,21.200001,21.4,309800,0.0,1.0
2006-03-09,21.9,21.9,21,21.1,144500,0.0,1.0
2006-03-10,21.1,21.5,20.85,20.9,186100,0.0,1.0
2006-03-13,21,21.25,20.200001,20.4,225400,0.0,1.0
2006-03-14,20.4,20.549999,19.450001,19.6,463900,0.0,1.0
2006-03-16,19.6,19.9,18.700001,19.299999,575300,0.0,1.0
2006-03-17,19.5,19.5,17.75,17.950001,237000,0.0,1.0
2006-03-20,18,21.450001,17,17.700001,234400,0.0,1.0
2006-03-21,18,18.5,17.5,17.549999,375600,0.0,1.0
2006-03-22,17.549999,17.65,16.5,16.799999,273600,0.0,1.0
2006-03-23,17,19.799999,16.75,18.049999,1418700,0.0,1.0
2006-03-24,18.15,19.200001,17.6,17.950001,773200,0.0,1.0
2006-03-27,18.1,18.75,17.65,17.950001,556900,0.0,1.0
2006-03-28,17.65,18.15,16.25,16.549999,424100,0.0,1.0
2006-03-29,16.75,18.200001,16.6,17.1,604400,0.0,1.0
2006-03-30,17.6,17.75,17,17.15,222200,0.0,1.0
2006-03-31,17.5,17.5,16.799999,17,143500,0.0,1.0
2006-04-03,17.15,17.9,17,17.6,166300,0.0,1.0
2006-04-04,17.299999,20,17.299999,19.25,1462400,0.0,1.0
2006-04-05,20.299999,20.299999,18.549999,19.25,217400,0.0,1.0
2006-04-07,19.5,19.65,17.85,18.049999,227700,0.0,1.0
2006-04-10,18.4,18.450001,17.6,17.950001,79000,0.0,1.0
2006-04-12,17.75,18,17.15,17.4,214000,0.0,1.0
2006-04-13,17.5,17.5,16.75,16.85,255500,0.0,1.0
2006-04-17,17.1,17.35,16.6,16.799999,85200,0.0,1.0
2006-04-18,20.15,20.15,16.5,16.6,91400,0.0,1.0
2006-04-19,16.700001,17,16.6,16.700001,51600,0.0,1.0
2006-04-20,17.25,17.25,16.25,16.450001,94400,0.0,1.0
2006-04-21,16.5,16.950001,15.85,16,126700,0.0,1.0
2006-04-24,16.950001,17.75,16.049999,16.9,177900,0.0,1.0
2006-04-25,17.4,17.6,16.799999,17.15,131300,0.0,1.0
2006-04-26,17.299999,17.299999,16.25,16.799999,78100,0.0,1.0
2006-04-27,17,17.549999,16.75,16.9,108300,0.0,1.0
2006-04-28,16.200001,16.799999,16.15,16.25,88600,0.0,1.0
2006-05-02,17,17.25,16.549999,16.85,90200,0.0,1.0
2006-05-03,17.950001,18.25,17.299999,17.700001,321600,0.0,1.0
2006-05-04,17.9,18.799999,17.1,18.049999,765300,0.0,1.0
2006-05-05,18.5,19.4,18.049999,18.200001,175200,0.0,1.0
