date,open,high,low,close,volume,dividend,split
2000-03-30,159.949997,160,153.600006,154,3000,0.0,1.0
2000-03-31,146.100006,149,142.100006,145.899994,4100,0.0,1.0
2000-04-03,137.5,140,134.5,134.5,2500,0.0,1.0
2000-04-04,126,126,123.75,123.75,500,0.0,1.0
2000-04-05,121,125.050003,113.900002,113.900002,4200,0.0,1.0
2000-04-06,120,120,104.800003,104.800003,1500,0.0,1.0
2000-04-07,108.099998,113.150002,108.099998,113.150002,2500,0.0,1.0
2000-04-10,122.150002,122.150002,122.150002,122.150002,200,0.0,1.0
2000-04-11,61.075001,61.075001,61.075001,61.075001,0,0.0,1.0
2000-04-12,130.050003,130.050003,125.199997,126.900002,2900,0.0,1.0
2000-04-13,117.050003,122,116.800003,122,3700,0.0,1.0
2000-04-14,61,61,61,61,0,0.0,1.0
2000-04-17,112.25,112.25,112.25,112.25,1800,0.0,1.0
2000-04-18,110,110,103.300003,103.300003,2200,0.0,1.0
2000-04-19,97.5,107,95.550003,98.199997,9700,0.0,1.0
2000-04-20,91.5,99,90.349998,91.5,2800,0.0,1.0
2000-04-21,45.75,45.75,45.75,45.75,0,0.0,1.0
2000-04-24,45.75,45.75,45.75,45.75,0,0.0,1.0
2000-04-25,77.5,77.5,77.5,77.5,2200,0.0,1.0
2000-04-26,38.75,38.75,38.75,38.75,0,0.0,1.0
2000-04-27,78.099998,84.449997,78.099998,82,2700,0.0,1.0
2000-04-28,79,84,75.699997,76.550003,3200,0.0,1.0
2000-05-01,38.275002,38.275002,38.275002,38.275002,0,0.0,1.0
2000-05-02,72.25,77.949997,72.199997,76.650002,1100,0.0,1.0
2000-05-03,38.325001,38.325001,38.325001,38.325001,0,0.0,1.0
2000-05-04,76.900002,77.75,75,77.150002,3000,0.0,1.0
2000-05-05,38.575001,38.575001,38.575001,38.575001,0,0.0,1.0
2000-05-08,38.575001,38.575001,38.575001,38.575001,0,0.0,1.0
2000-05-09,38.575001,38.575001,38.575001,38.575001,0,0.0,1.0
2000-05-10,90,90,88,88,600,0.0,1.0
2000-05-11,83.099998,84,81,81,1100,0.0,1.0
2000-05-12,80,80.900002,74.550003,76,2600,0.0,1.0
2000-05-15,70.099998,74.5,70,72.150002,1900,0.0,1.0
2000-05-16,71.5,73,71.5,73,400,0.0,1.0
2000-05-17,74.099998,74.099998,71,71,700,0.0,1.0
2000-05-18,69.25,69.550003,69,69.550003,300,0.0,1.0
2000-05-19,68,71.949997,64.25,65.5,1700,0.0,1.0
2000-05-22,61.099998,61.950001,60.299999,60.5,1700,0.0,1.0
2000-05-23,61.75,61.900002,58.099998,61.549999,1100,0.0,1.0
2000-05-24,60,62.799999,58.25,62.799999,600,0.0,1.0
2000-05-25,67.75,67.75,58.5,60,1600,0.0,1.0
2000-05-26,59.799999,60.25,59.799999,60.25,700,0.0,1.0
2000-05-29,63.900002,64,58.049999,63.849998,1700,0.0,1.0
2000-05-30,65.900002,68.900002,63.25,68.900002,2300,0.0,1.0
2000-05-31,74.400002,74.400002,74,74.400002,800,0.0,1.0
2000-06-01,75,80,74,79.900002,1800,0.0,1.0
2000-06-02,80.300003,86.25,80.300003,85.75,1700,0.0,1.0
2000-06-05,90.050003,92.599998,90.050003,92.599998,2800,0.0,1.0
2000-06-06,95,99,92.199997,95.050003,2300,0.0,1.0
2000-06-07,93.199997,96,93.199997,94.650002,1900,0.0,1.0
2000-06-08,98,98,87.099998,87.099998,1500,0.0,1.0
2000-06-09,81.349998,84.800003,80.150002,82.099998,2700,0.0,1.0
2000-06-12,86,86,78.050003,80,1000,0.0,1.0
2000-06-13,76.099998,81,76.099998,81,600,0.0,1.0
2000-06-14,84,84,82.5,83,500,0.0,1.0
2000-06-15,81,81.900002,78.550003,81.400002,800,0.0,1.0
2000-06-16,80,87.800003,80,85.25,2100,0.0,1.0
2000-06-19,42.625,42.625,42.625,42.625,0,0.0,1.0
2000-06-20,98.449997,98.449997,92.5,95,2300,0.0,1.0
2000-06-21,95,95,87.449997,88.949997,1500,0.0,1.0
2000-06-22,90,90,81.900002,82,2600,0.0,1.0
2000-06-23,80,80,76,76.199997,2400,0.0,1.0
2000-06-26,73.599998,81,73.5,77.75,1400,0.0,1.0
2000-06-27,81.5,83.949997,81.5,82.050003,900,0.0,1.0
2000-06-28,80,87,80,86.949997,2400,0.0,1.0
2000-06-29,93.849998,93.849998,91.050003,93.25,3400,0.0,1.0
2000-06-30,93,100,88.099998,95.5,3800,0.0,1.0
2000-07-03,97.5,103.099998,93.75,101.5,3500,0.0,1.0
2000-07-04,104,106,98.300003,99.599998,2800,0.0,1.0
2000-07-05,101,102.949997,95,95.199997,2200,0.0,1.0
2000-07-06,91.5,95,88.25,89.449997,2200,0.0,1.0
2000-07-07,44.724998,44.724998,44.724998,44.724998,0,0.0,1.0
2000-07-10,44.724998,44.724998,44.724998,44.724998,0,0.0,1.0
2000-07-11,106.699997,106.699997,102,106.699997,5300,0.0,1.0
2000-07-12,108,114.75,106.5,112.5,6500,0.0,1.0
2000-07-13,108.050003,111,103.550003,103.550003,3700,0.0,1.0
2000-07-14,103.75,103.900002,96.25,101.300003,5600,0.0,1.0
2000-07-17,109.349998,109.349998,109.349998,109.349998,1300,0.0,1.0
2000-07-18,114.949997,118.050003,114.949997,118.050003,3700,0.0,1.0
2000-07-19,124,127.449997,124,127.449997,1400,0.0,1.0
2000-07-20,126.550003,137.600006,123,137.600006,4258,0.0,1.0
2000-07-21,148,148.550003,140.149994,148.550003,5270,0.0,1.0
2000-07-24,74.275002,74.275002,74.275002,74.275002,0,0.0,1.0
2000-07-25,157,173.199997,157,173,3416,0.0,1.0
2000-07-26,186,186.800003,184,186.800003,955,0.0,1.0
2000-07-27,93.400002,93.400002,93.400002,93.400002,0,0.0,1.0
2000-07-28,173,185,163.100006,169.399994,4584,0.0,1.0
2000-07-31,161.199997,161.199997,155.850006,155.850006,1351,0.0,1.0
2000-08-01,148,148,143.399994,143.399994,2045,0.0,1.0
