date,open,high,low,close,volume,dividend,split
2017-12-06,155,158,155,158,641,0.0,1.0
2017-12-07,160,163.949997,160,160.149994,503,0.0,1.0
2017-12-08,161.199997,172.850006,161.199997,164,880,0.0,1.0
2017-12-11,164,164,163,163,350,0.0,1.0
2017-12-12,160.050003,160.050003,160,160,211,0.0,1.0
2017-12-13,160,160,160,160,177,0.0,1.0
2017-12-14,160,160,160,160,0,0.0,1.0
2017-12-15,166,167.5,161,162,321,0.0,1.0
2017-12-18,165.100006,169,164.399994,164.449997,164,0.0,1.0
2017-12-19,173,176.649994,168.399994,173,2068,0.0,1.0
2017-12-20,177.5,184,177.5,184,640,0.0,1.0
2017-12-21,183,185.25,176,176,890,0.0,1.0
2017-12-22,178.100006,183,170.149994,183,253,0.0,1.0
2017-12-26,181,198.550003,181,195.899994,1078,0.0,1.0
2017-12-27,196.300003,215.449997,196.300003,212.600006,14288,0.0,1.0
2017-12-28,220,228,215,225.050003,33985,0.0,1.0
2017-12-29,225.100006,225.100006,213.800003,214.050003,27369,0.0,1.0
2018-01-01,214.449997,219,213.800003,216.649994,26302,0.0,1.0
2018-01-02,215,215,205.850006,205.850006,4980,0.0,1.0
2018-01-03,210,210,195.699997,197.699997,570,0.0,1.0
2018-01-04,197.699997,197.699997,197.699997,197.699997,0,0.0,1.0
2018-01-05,190,190,188.199997,188.25,50,0.0,1.0
2018-01-08,197.649994,197.649994,196.399994,196.449997,89,0.0,1.0
2018-01-09,188.600006,190,187,190,340,0.0,1.0
2018-01-10,185,185,180.5,180.800003,450,0.0,1.0
2018-01-11,189.800003,189.800003,189.800003,189.800003,2122,0.0,1.0
2018-01-12,199.25,199.25,199.25,199.25,62,0.0,1.0
2018-01-15,209.199997,209.199997,209.199997,209.199997,1267,0.0,1.0
2018-01-16,218.5,218.5,198.75,199.5,3065,0.0,1.0
2018-01-17,189.550003,198.649994,189.550003,190,1649,0.0,1.0
2018-01-18,189,190,188.699997,190,173,0.0,1.0
2018-01-19,190,192,188.850006,190,431,0.0,1.0
2018-01-22,195,195,191,192.149994,598,0.0,1.0
2018-01-23,199.600006,201.75,199.600006,201.75,1678,0.0,1.0
2018-01-24,200,200,200,200,1349,0.0,1.0
2018-01-25,200,201,200,201,130,0.0,1.0
2018-01-29,205,205,200,200,800,0.0,1.0
2018-01-30,202,205.550003,200,205,1350,0.0,1.0
2018-01-31,205,209.550003,200.100006,200.100006,260,0.0,1.0
2018-02-01,201.050003,208.850006,201,201,351,0.0,1.0
2018-02-02,200,204,192.050003,199.5,736,0.0,1.0
2018-02-05,199.5,199.5,199.5,199.5,0,0.0,1.0
2018-02-06,193.800003,200,193.800003,198,245,0.0,1.0
2018-02-07,200.199997,207.899994,200.149994,207.899994,2894,0.0,1.0
2018-02-08,208,218.25,207,211.199997,8347,0.0,1.0
2018-02-09,211.5,211.5,209,209,1216,0.0,1.0
2018-02-12,206,218,206,212,18431,0.0,1.0
2018-02-14,212,215.949997,212,215.949997,6042,0.0,1.0
2018-02-15,213.050003,226.699997,213.050003,220.050003,2143,0.0,1.0
2018-02-16,231,231,215,217.300003,10090,0.0,1.0
2018-02-19,221.949997,228.149994,221.949997,228.149994,1242,0.0,1.0
2018-02-20,229,239.5,226.899994,229.350006,3996,0.0,1.0
2018-02-21,227,234.899994,226,226,871,0.0,1.0
2018-02-22,226.100006,229.899994,225.699997,225.899994,1760,0.0,1.0
2018-02-23,225,237.149994,225,237.149994,2495,0.0,1.0
2018-02-26,240,249,234.949997,235.649994,1260,0.0,1.0
2018-02-27,233,238,230,236.949997,635,0.0,1.0
2018-02-28,233,233,231.899994,232,1044,0.0,1.0
2018-03-01,233.5,233.5,229.899994,232,1000,0.0,1.0
2018-03-05,237.100006,237.100006,231,231.800003,1609,0.0,1.0
2018-03-06,232.149994,243.350006,231.899994,243.350006,3974,0.0,1.0
2018-03-07,250.199997,252.449997,241.949997,242,8177,0.0,1.0
2018-03-08,241.050003,254.100006,240.800003,242.149994,14761,0.0,1.0
2018-03-09,244.949997,246.300003,242,242.199997,11283,0.0,1.0
2018-03-12,243.699997,246.949997,241,241.100006,3006,0.0,1.0
2018-03-13,240.199997,241,240.149994,241,1061,0.0,1.0
2018-03-14,240.399994,253.050003,240.25,250,11062,0.0,1.0
2018-03-15,254,254,248.899994,249.699997,6518,0.0,1.0
2018-03-16,250.949997,254,248.800003,249.649994,4704,0.0,1.0
2018-03-19,248,251.899994,246.899994,247.550003,14889,0.0,1.0
2018-03-20,249,253,246.899994,248.350006,10773,0.0,1.0
2018-03-21,248.399994,260.75,247.800003,260.75,8052,0.0,1.0
2018-03-22,263,263.100006,255,258.399994,34600,0.0,1.0
2018-03-23,262.950012,263,258,258.049988,5980,0.0,1.0
2018-03-26,260.899994,260.899994,258,258.5,3885,0.0,1.0
2018-03-27,260,271.399994,260,263.75,22886,0.0,1.0
2018-03-28,262.899994,263.950012,260,260.049988,6422,0.0,1.0
2018-04-02,264,267.049988,263.75,267.049988,2631,0.0,1.0
2018-04-03,270.049988,273,270,271.799988,3427,0.0,1.0
2018-04-04,274,274.100006,270,271,5626,0.0,1.0
2018-04-05,272.700012,273.5,271.799988,273,3607,0.0,1.0
2018-04-06,283,285,280,280.100006,5421,0.0,1.0
2018-04-09,280,282,275.5,275.950012,8472,0.0,1.0
2018-04-10,271.049988,275,268.149994,274.950012,8579,0.0,1.0
2018-04-11,272.399994,273.799988,269,270.049988,10288,0.0,1.0
2018-04-12,275,288.450012,271,286.299988,12092,0.0,1.0
2018-04-13,291,291,282,286.850006,11396,0.0,1.0
2018-04-16,295,315.5,287,299,6155,0.0,1.0
2018-04-17,300,304.950012,300,300.200012,8752,0.0,1.0
2018-04-18,300,304.649994,300,301,21213,0.0,1.0
2018-04-19,300,304.950012,300,300.450012,13756,0.0,1.0
2018-04-20,300.5,311,299.700012,309.950012,41237,0.0,1.0
2018-04-23,313,319,313,318.049988,16926,0.0,1.0
2018-04-24,330,330,325,325.350006,23286,0.0,1.0
2018-04-25,328.399994,328.75,323,323.100006,16006,0.0,1.0
2018-04-26,326.100006,329.899994,322,322.200012,21973,0.0,1.0
2018-04-27,323,324.950012,319.950012,321.799988,15529,0.0,1.0
2018-04-30,332.5,334.950012,325.299988,326.149994,22906,0.0,1.0
2018-05-02,330,335.049988,330,331.950012,18350,0.0,1.0
2018-05-03,333,354.350006,332,340,17167,0.0,1.0
2018-05-04,339,356,329.700012,347.700012,7927,0.0,1.0
2018-05-07,341,353.799988,341,348.899994,9351,0.0,1.0
2018-05-08,339.450012,360,339.450012,350.850006,1787,0.0,1.0
2018-05-09,352.299988,352.950012,344.75,348.25,3357,0.0,1.0
2018-05-10,350,350,339.799988,341,3458,0.0,1.0
2018-05-11,355,375.100006,354.5,360.549988,4976,0.0,1.0
2018-05-14,361,374.200012,355.049988,358.850006,6092,0.0,1.0
2018-05-15,361,364.75,359.899994,360,6279,0.0,1.0
2018-05-16,362,364.299988,359.5,359.5,2635,0.0,1.0
2018-05-17,361.049988,385,361.049988,370,3433,0.0,1.0
2018-05-18,371.649994,386.450012,368.950012,377.950012,5051,0.0,1.0
2018-05-21,382.5,400.200012,371.200012,388.25,24010,0.0,1.0
2018-05-22,385.100006,395,375.5,377.049988,6846,0.0,1.0
2018-05-23,377,378.799988,374.5,374.950012,3227,0.0,1.0
2018-05-24,374.200012,388.200012,362.5,376.950012,20538,0.0,1.0
2018-05-25,389.899994,400,377.100006,388.450012,5524,0.0,1.0
2018-05-28,389.049988,419.799988,387.200012,391.600006,6989,0.0,1.0
2018-05-29,395.600006,404.950012,390,393.950012,5548,0.0,1.0
2018-05-30,385,385.600006,375.049988,385,11434,0.0,1.0
2018-05-31,380.149994,394.850006,379.600006,380,13757,0.0,1.0
2018-06-01,379,379,374.299988,374.600006,14959,0.0,1.0
2018-06-04,369,369,363.75,364.399994,17283,0.0,1.0
2018-06-05,365,368.100006,343.200012,349.850006,31358,0.0,1.0
2018-06-06,350.100006,362.950012,350,355.850006,12240,0.0,1.0
2018-06-07,375,375,368.100006,371.299988,20767,0.0,1.0
2018-06-08,370.799988,379.75,370,370.100006,19633,0.0,1.0
2018-06-11,371.5,384.950012,371.5,382.600006,24739,0.0,1.0
2018-06-12,384,394.899994,381.950012,382,22781,0.0,1.0
2018-06-13,382.299988,388.450012,379.600006,380.049988,22648,0.0,1.0
2018-06-14,381.600006,408,380,382.299988,8387,0.0,1.0
2018-06-15,382.299988,398.25,380.049988,382.100006,8216,0.0,1.0
2018-06-18,384,385.75,370.700012,373.200012,2300,0.0,1.0
2018-06-19,370.5,370.5,350.100006,353.950012,1396,0.0,1.0
2018-06-20,355,371.299988,350,364.299988,3203,0.0,1.0
2018-06-21,370,377,350.5,356.149994,4938,0.0,1.0
2018-06-22,355,355.799988,338.799988,340.600006,4957,0.0,1.0
2018-06-25,335,335,320.25,322.049988,12227,0.0,1.0
2018-06-26,322,344.799988,320.100006,336.649994,12362,0.0,1.0
2018-06-27,337.600006,359.950012,333.549988,337.799988,3454,0.0,1.0
2018-06-28,342,354.950012,342,348.649994,2839,0.0,1.0
2018-06-29,350.100006,380,350.100006,365,11947,0.0,1.0
2018-07-02,365.200012,367.950012,349.399994,349.799988,4081,0.0,1.0
2018-07-03,349.5,350,340,346.399994,1903,0.0,1.0
2018-07-04,355,360,346.350006,349.049988,4805,0.0,1.0
2018-07-05,348.899994,365.5,341.100006,363.350006,4429,0.0,1.0
2018-07-06,363,375,360.100006,368.399994,4257,0.0,1.0
2018-07-09,373.950012,382,371.200012,376.049988,11361,0.0,1.0
2018-07-10,374,376,360.049988,360.399994,3844,0.0,1.0
2018-07-11,365,368.25,359.700012,361.799988,3593,0.0,1.0
2018-07-12,361.850006,378,361.399994,371.649994,1823,0.0,1.0
2018-07-13,372,445.950012,370.049988,372.850006,11987,0.0,1.0
2018-07-16,372,372,359.25,359.950012,4810,0.0,1.0
2018-07-17,358,358.899994,350.049988,352,3059,0.0,1.0
2018-07-18,351.799988,356,340,343.600006,3021,0.0,1.0
2018-07-19,343.600006,343.600006,330,338.5,2748,0.0,1.0
2018-07-20,339,350,320.350006,321.399994,3908,0.0,1.0
2018-07-23,322.5,330,320,320.049988,2649,0.0,1.0
2018-07-24,310.100006,320.5,309.450012,309.700012,4248,0.0,1.0
2018-07-25,310,320,305.100006,305.100006,3328,0.0,1.0
2018-07-26,305.149994,306.100006,299.899994,303.200012,2845,0.0,1.0
2018-07-27,303.25,337,301.5,309.950012,3276,0.0,1.0
2018-07-30,310,330,308.100006,310,3846,0.0,1.0
2018-07-31,310.100006,310.149994,300,300.049988,4468,0.0,1.0
2018-08-01,300.200012,302.5,299.450012,299.549988,3244,0.0,1.0
2018-08-02,300.100006,307.899994,300.049988,300.350006,6659,0.0,1.0
2018-08-03,301,313.950012,300.149994,302,4470,0.0,1.0
2018-08-06,303.299988,307.850006,299.899994,300.450012,4600,0.0,1.0
2018-08-07,301.5,309.149994,299.899994,304.350006,6030,0.0,1.0
2018-08-08,303,307,301,302.799988,3553,0.0,1.0
2018-08-09,303,310,300.049988,300.899994,2479,0.0,1.0
2018-08-10,301.5,303,300,300.25,2502,0.0,1.0
2018-08-13,299.899994,299.899994,275,280,3373,0.0,1.0
