date,open,high,low,close,volume,dividend,split
2002-07-01,0.79986,0.91818,0.79986,0.89185,791479,0.0,1.0
2002-07-02,0.91818,0.977,0.88535,0.88843,935294,0.0,1.0
2002-07-03,0.93938,0.97529,0.91818,0.92776,906870,0.0,1.0
2002-07-04,0.95101,0.95238,0.91818,0.92639,275611,0.0,1.0
2002-07-05,0.94759,0.96708,0.92776,0.9493,751358,0.0,1.0
2002-07-08,0.98042,1.04608,0.96708,0.99513,840138,0.0,1.0
2002-07-09,1.12952,1.12952,0.93596,0.95101,627984,0.0,1.0
2002-07-10,0.99991,1.01325,0.90177,0.90998,614123,0.0,1.0
2002-07-11,0.91818,0.91818,0.88535,0.89185,267774,0.0,1.0
2002-07-12,0.93596,0.9428,0.89356,0.90177,139487,0.0,1.0
2002-07-15,0.87886,0.88535,0.82448,0.86894,347665,0.0,1.0
2002-07-16,0.86894,0.87886,0.82312,0.83611,68720,0.0,1.0
2002-07-17,0.83611,0.83611,0.75917,0.81491,140364,0.0,1.0
2002-07-18,0.84432,0.84432,0.80328,0.80328,20587,0.0,1.0
2002-07-19,0.85252,0.85252,0.79029,0.792,92114,0.0,1.0
2002-07-22,0.80328,0.80328,0.73933,0.75404,73837,0.0,1.0
2002-07-23,0.75404,0.77045,0.75404,0.76567,38015,0.0,1.0
2002-07-24,0.75404,0.75404,0.72634,0.75404,40940,0.0,1.0
2002-07-25,0.73762,0.73762,0.70479,0.71471,325908,0.0,1.0
2002-07-26,0.71813,0.71813,0.62477,0.62614,114046,0.0,1.0
2002-07-29,0.59195,0.59195,0.52458,0.54749,90652,0.0,1.0
2002-07-30,0.55741,0.59024,0.55741,0.58682,52637,0.0,1.0
2002-07-31,0.5557,0.55741,0.50167,0.54578,70182,0.0,1.0
2002-08-01,0.55741,0.56732,0.52629,0.55091,97027,0.0,1.0
2002-08-02,0.54099,0.54099,0.53279,0.54099,8773,0.0,1.0
2002-08-05,0.54578,0.60665,0.54578,0.5639,41817,0.0,1.0
2002-08-06,0.54441,0.58682,0.54441,0.55912,50882,0.0,1.0
2002-08-07,0.59673,0.6706,0.59673,0.6706,74569,0.0,1.0
2002-08-08,0.73762,0.78379,0.60152,0.60152,168232,0.0,1.0
2002-08-09,0.64905,0.65076,0.61657,0.61657,43864,0.0,1.0
2002-08-12,0.62306,0.65589,0.62306,0.63264,73106,0.0,1.0
2002-08-13,0.61486,0.63948,0.61486,0.62956,23102,0.0,1.0
2002-08-14,0.63948,0.63948,0.61794,0.61794,47519,0.0,1.0
2002-08-16,0.61657,0.61657,0.60665,0.60665,7018,0.0,1.0
2002-08-19,0.61486,0.61486,0.60973,0.60973,55707,0.0,1.0
2002-08-20,0.60152,0.61315,0.59673,0.61315,19008,0.0,1.0
2002-08-21,0.68052,0.68052,0.62306,0.62306,38746,0.0,1.0
2002-08-22,0.61486,0.61486,0.61315,0.61315,292,0.0,1.0
2002-08-23,0.60973,0.60973,0.59024,0.59024,79510,0.0,1.0
2002-08-26,0.59024,0.59331,0.59024,0.59195,17867,0.0,1.0
