date,open,high,low,close,volume,dividend,split
2002-07-01,3.67,3.68,3.67,3.67,790,0.0,1.0
2002-07-02,3.55,3.55,3.54,3.544,500,0.0,1.0
2002-07-03,3.6,3.6,3.49,3.55,970,0.0,1.0
2002-07-04,3.6,3.6,3.553,3.553,650,0.0,1.0
2002-07-05,3.625,3.68,3.625,3.68,1110,0.0,1.0
2002-07-08,3.75,3.75,3.71,3.73,1800,0.0,1.0
2002-07-09,3.89,3.97,3.89,3.964,2450,0.0,1.0
2002-07-10,3.998,3.998,3.84,3.84,2350,0.0,1.0
2002-07-11,3.9,3.9,3.7,3.75,1300,0.0,1.0
2002-07-12,3.9,3.9,3.9,3.9,100,0.0,1.0
2002-07-15,3.75,3.795,3.75,3.795,100,0.0,1.0
2002-07-16,3.85,3.85,3.601,3.601,400,0.0,1.0
2002-07-17,3.54,3.54,3.54,3.54,100,0.0,1.0
2002-07-18,3.401,3.84,3.401,3.84,2000,0.0,1.0
2002-07-22,3.7,3.7,3.58,3.6,550,0.0,1.0
2002-07-23,3.69,3.69,3.69,3.69,1000,0.0,1.0
2002-07-24,3.573,3.6,3.4,3.4,3200,0.0,1.0
2002-07-25,3.451,3.5,3.451,3.451,950,0.0,1.0
2002-07-26,3.451,3.451,3.4,3.45,1260,0.0,1.0
2002-07-29,3.4,3.4,3.4,3.4,250,0.0,1.0
2002-07-30,3.311,3.311,3.303,3.303,550,0.0,1.0
2002-07-31,3.31,3.321,3.26,3.26,700,0.0,1.0
2002-08-02,3.3,3.44,3.3,3.44,400,0.0,1.0
2002-08-05,3.215,3.27,3.215,3.27,290,0.0,1.0
2002-08-06,3.35,3.35,3.33,3.33,750,0.0,1.0
2002-08-07,3.399,3.465,3.399,3.465,150,0.0,1.0
2002-08-08,3.45,3.45,3.45,3.45,100,0.0,1.0
2002-08-19,3.39,3.39,3.39,3.39,200,0.0,1.0
2002-08-23,3.26,3.26,3.2,3.25,600,0.0,1.0
2002-08-26,3.214,3.25,3.199,3.223,2750,0.0,1.0
2002-09-04,3.48,3.5,3.48,3.494,500,0.0,1.0
2002-09-05,3.44,3.45,3.31,3.31,200,0.0,1.0
2002-09-06,3.215,3.215,3.215,3.215,100,0.0,1.0
2002-09-09,3.201,3.399,3.201,3.378,750,0.0,1.0
2002-09-11,3.167,3.49,3.167,3.21,200,0.0,1.0
2002-09-12,3.221,3.221,3.221,3.221,200,0.0,1.0
2002-09-13,3.26,3.26,3.26,3.26,90,0.0,1.0
2002-09-16,3.201,3.324,3.15,3.324,1760,0.0,1.0
2002-09-17,3.35,3.35,3.35,3.35,50,0.0,1.0
2002-09-19,3.158,3.3,3.158,3.3,480,0.0,1.0
2002-10-01,3.171,3.171,3.15,3.15,900,0.0,1.0
2002-10-03,3.13,3.13,3.13,3.13,250,0.0,1.0
2002-10-04,2.975,2.975,2.975,2.975,250,0.0,1.0
2002-10-07,3.02,3.04,3.02,3.03,250,0.0,1.0
2002-10-08,3.33,3.33,3.299,3.299,160,0.0,1.0
2002-10-09,3.105,3.199,3.1,3.179,820,0.0,1.0
2002-10-11,3.071,3.09,3.071,3.09,200,0.0,1.0
2002-10-14,3.297,3.297,3.1,3.1,230,0.0,1.0
2002-10-16,3.269,3.269,3.1,3.1,460,0.0,1.0
2002-10-18,3.1,3.1,3.069,3.07,550,0.0,1.0
2002-10-21,3.37,3.37,3.37,3.37,120,0.0,1.0
2002-10-22,3.2,3.2,3.159,3.159,1200,0.0,1.0
2002-10-24,3.112,3.112,3.1,3.11,370,0.0,1.0
2002-10-25,3.05,3.05,3.05,3.05,100,0.0,1.0
2002-10-29,3.061,3.061,3.05,3.05,550,0.0,1.0
2002-10-30,3.07,3.07,2.985,2.986,1360,0.0,1.0
2002-10-31,3.01,3.01,2.901,2.935,3320,0.0,1.0
2002-11-01,2.95,2.95,2.95,2.95,1750,0.0,1.0
2002-11-04,3.183,3.183,3.183,3.183,100,0.0,1.0
2002-11-05,3.001,3.001,3.001,3.001,100,0.0,1.0
2002-11-07,2.907,2.907,2.9,2.901,620,0.0,1.0
2002-11-08,2.911,3,2.9,2.967,2100,0.0,1.0
2002-11-11,2.99,2.99,2.9,2.9,110,0.0,1.0
2002-11-12,2.9,2.9,2.9,2.9,100,0.0,1.0
2002-11-14,2.89,2.89,2.89,2.89,200,0.0,1.0
2002-11-15,2.88,2.88,2.845,2.85,1720,0.0,1.0
2002-11-20,2.86,2.86,2.701,2.799,1050,0.0,1.0
2002-11-21,2.88,2.88,2.88,2.88,500,0.0,1.0
2002-11-22,2.7,2.7,2.7,2.7,100,0.0,1.0
2002-11-25,2.8,2.8,2.8,2.8,100,0.0,1.0
2002-11-26,2.801,2.898,2.78,2.78,300,0.0,1.0
2002-11-28,2.8,2.85,2.8,2.85,480,0.0,1.0
2002-11-29,2.86,2.86,2.85,2.85,150,0.0,1.0
2002-12-02,2.9,2.999,2.9,2.999,1150,0.0,1.0
2002-12-03,3,3,3,3,20,0.0,1.0
2002-12-04,3.09,3.09,3.08,3.08,40,0.0,1.0
2002-12-05,2.95,3.039,2.88,2.88,450,0.0,1.0
2002-12-06,2.593,2.593,2.593,2.593,10,0.0,1.0
2002-12-10,0.2334,0.2852,0.2334,0.2852,5200,0.0,1.0
2002-12-11,3.05,3.05,2.939,2.94,110,0.0,1.0
2002-12-12,2.65,2.95,2.65,2.95,360,0.0,1.0
2002-12-13,2.98,2.98,2.98,2.98,150,0.0,1.0
2002-12-16,2.88,2.88,2.88,2.88,100,0.0,1.0
2002-12-17,2.73,2.73,2.73,2.73,10,0.0,1.0
2002-12-18,2.9,2.9,2.751,2.8,3120,0.0,1.0
2002-12-19,2.9,2.9,2.8,2.8,1290,0.0,1.0
2002-12-26,2.85,2.86,2.76,2.76,890,0.0,1.0
2002-12-30,2.81,2.81,2.65,2.661,3500,0.0,1.0
2002-12-31,2.808,2.9,2.705,2.875,820,0.0,1.0
2003-01-01,2.81,2.83,2.8,2.8,1150,0.0,1.0
2003-01-02,2.8,2.8,2.773,2.78,3400,0.0,1.0
2003-01-03,2.795,2.795,2.77,2.77,1840,0.0,1.0
2003-01-06,2.771,2.84,2.771,2.84,600,0.0,1.0
2003-01-07,2.909,2.92,2.899,2.901,1720,0.0,1.0
2003-01-08,2.9,2.925,2.9,2.9,7450,0.0,1.0
2003-01-09,2.87,2.875,2.841,2.85,6950,0.0,1.0
2003-01-10,2.82,2.825,2.82,2.82,540,0.0,1.0
2003-01-13,2.9,2.9,2.88,2.9,5250,0.0,1.0
2003-01-14,2.81,2.81,2.81,2.81,50,0.0,1.0
2003-01-15,2.75,2.8,2.75,2.779,950,0.0,1.0
2003-01-16,2.77,2.77,2.77,2.77,150,0.0,1.0
2003-01-17,2.75,2.8,2.75,2.8,1000,0.0,1.0
2003-01-20,2.8,2.8,2.8,2.8,200,0.0,1.0
2003-01-22,2.731,2.731,2.73,2.73,450,0.0,1.0
2003-01-23,2.76,2.795,2.753,2.755,2140,0.0,1.0
2003-01-24,2.799,2.799,2.652,2.689,1600,0.0,1.0
2003-01-27,2.73,2.8,2.55,2.695,17110,0.0,1.0
2003-01-28,2.655,2.7,2.655,2.662,950,0.0,1.0
2003-01-30,2.691,2.74,2.672,2.672,600,0.0,1.0
2003-02-05,29.35,29.35,29.35,29.35,30,0.0,1.0
2003-02-06,32.200001,32.200001,32.200001,32.200001,312,0.0,1.0
2003-02-07,35.400002,35.400002,35.400002,35.400002,50,0.0,1.0
