date,open,high,low,close,volume,dividend,split
2006-11-30,270,289.5,240.75,263.149994,32030082,0.0,1.0
2006-12-01,262.225006,268.850006,252.774994,255.425003,8392678,0.0,1.0
2006-12-04,256.725006,258.200012,240.050003,247.5,12206138,0.0,1.0
2006-12-05,249.425003,262.299988,248.274994,260.799988,9850936,0.0,1.0
2006-12-06,270.325012,272.5,259,260.475006,7377126,0.0,1.0
2006-12-07,260,262,256.674988,259.174988,3133032,0.0,1.0
2006-12-08,260,260.850006,249.5,251.149994,4339648,0.0,1.0
2006-12-11,252.449997,253.199997,233,236.75,3457982,0.0,1.0
2006-12-12,236.399994,239.199997,195.050003,210.024994,7250360,0.0,1.0
2006-12-13,211,226.5,202.5,222.399994,7948102,0.0,1.0
2006-12-14,225,236,224.600006,234.449997,4780180,0.0,1.0
2006-12-15,237.675003,238.449997,229,230.524994,3818790,0.0,1.0
2006-12-18,232.199997,232.199997,219.625,222.324997,3379246,0.0,1.0
2006-12-19,222.5,229.625,217.050003,218.875,4057556,0.0,1.0
2006-12-20,221,224.5,209.625,211.925003,2936116,0.0,1.0
2006-12-21,213,215.375,208.050003,211.949997,2709020,0.0,1.0
2006-12-22,214.5,220,212,218.949997,2513612,0.0,1.0
2006-12-26,219.925003,222.5,215.649994,216.649994,1730626,0.0,1.0
2006-12-27,218,219.449997,213.875,215.425003,1108420,0.0,1.0
2006-12-28,215.949997,222.5,211.149994,217.875,2289666,0.0,1.0
2006-12-29,222,231.800003,220,229.574997,3504360,0.0,1.0
2007-01-02,235.324997,235.324997,228.625,231.399994,1840802,0.0,1.0
2007-01-03,232.550003,237.5,228.774994,234.149994,2296826,0.0,1.0
2007-01-04,235.75,236.949997,226.574997,228.050003,1483398,0.0,1.0
2007-01-05,227.5,231.449997,222.050003,223.574997,1338802,0.0,1.0
2007-01-08,224,224.25,217.199997,220.125,1423514,0.0,1.0
2007-01-09,221,224.25,215.074997,216.524994,926002,0.0,1.0
2007-01-10,215,216,207.574997,209,1003070,0.0,1.0
2007-01-11,210,212.899994,207.050003,211.649994,1245770,0.0,1.0
2007-01-12,213.75,215.949997,208.824997,209.899994,861922,0.0,1.0
2007-01-15,212.975006,215.850006,211,211.600006,940150,0.0,1.0
2007-01-16,212.5,213.425003,209.25,210,491078,0.0,1.0
2007-01-17,211.050003,214.949997,210,211.350006,726000,0.0,1.0
2007-01-18,211.600006,217.600006,211.600006,212.5,1360204,0.0,1.0
2007-01-19,214.425003,214.449997,210.074997,211.649994,625108,0.0,1.0
2007-01-22,212.5,213.75,207.774994,208.649994,448392,0.0,1.0
2007-01-23,209,210.925003,202.5,203.925003,663534,0.0,1.0
2007-01-24,205,211.449997,204.5,209.100006,1270506,0.0,1.0
2007-01-25,211,211.425003,207.899994,209.449997,810890,0.0,1.0
2007-01-29,210,211.449997,203,204.225006,550826,0.0,1.0
2007-01-31,205,206.75,196.600006,198.5,1196620,0.0,1.0
2007-02-01,200,202,193,195.925003,920124,0.0,1.0
2007-02-02,197.274994,203.699997,196.25,201.800003,1254372,0.0,1.0
2007-02-05,202.5,203.699997,197.050003,198.125,575904,0.0,1.0
2007-02-06,199,199.100006,192.5,193.199997,739204,0.0,1.0
2007-02-07,193.5,194.899994,182.774994,183.975006,1535996,0.0,1.0
2007-02-08,185,188.449997,179,180.425003,1246562,0.0,1.0
2007-02-09,182.5,182.5,168,169.600006,1942428,0.0,1.0
2007-02-12,168,168,150,150.850006,2270614,0.0,1.0
2007-02-13,151,157.199997,144.100006,149.149994,4147766,0.0,1.0
2007-02-14,145.5,149,138,147,1754136,0.0,1.0
2007-02-15,150.5,162.774994,149.550003,160.774994,2125376,0.0,1.0
2007-02-19,162.5,168.449997,159.100006,165.225006,2036312,0.0,1.0
2007-02-20,165.949997,166.949997,155.550003,157.125,1408206,0.0,1.0
2007-02-21,155,158,152.25,154.375,1064634,0.0,1.0
2007-02-22,152.274994,155,147.25,148.399994,1262774,0.0,1.0
2007-02-23,147.5,150,141.25,142.899994,1756458,0.0,1.0
2007-02-26,146,146.75,141,144.975006,1073586,0.0,1.0
2007-02-27,145.550003,153,143.75,148.175003,1568506,0.0,1.0
2007-02-28,140,147.399994,132.5,139.975006,1629424,0.0,1.0
2007-03-01,140.25,143.5,133.25,138.199997,1442602,0.0,1.0
2007-03-02,139,141.225006,133,134.574997,1068132,0.0,1.0
2007-03-05,132.75,133,123.275002,124.875,1071062,0.0,1.0
2007-03-06,125.650002,131,119.525002,121.050003,1601272,0.0,1.0
2007-03-07,122.5,125.074997,110.800003,113.375,1767574,0.0,1.0
2007-03-08,114,122.449997,113.525002,121.349998,1969258,0.0,1.0
2007-03-09,122.5,123.425003,115.050003,118.275002,1531528,0.0,1.0
2007-03-12,118.5,123.974998,117.525002,122.199997,1445284,0.0,1.0
2007-03-13,121.5,145,121.099998,142.199997,5708198,0.0,1.0
2007-03-14,140,149.75,130.5,139.050003,9074312,0.0,1.0
2007-03-15,142.5,147.449997,136.550003,138.024994,3609974,0.0,1.0
2007-03-16,138.949997,141,132.600006,135.625,3045442,0.0,1.0
2007-03-19,137.5,141.225006,135.550003,138.274994,2107712,0.0,1.0
2007-03-20,140,141.449997,137.050003,138.074997,1230618,0.0,1.0
2007-03-21,139,139.75,137.199997,137.975006,905898,0.0,1.0
2007-03-22,139.975006,143.350006,139.25,141.074997,1266932,0.0,1.0
2007-03-23,141.25,142.399994,137.050003,137.675003,853568,0.0,1.0
2007-03-26,138,139.375,132.25,132.649994,747140,0.0,1.0
2007-03-28,131.5,131.5,125.949997,126.775002,1077128,0.0,1.0
2007-03-29,127.5,132.350006,125.550003,131.100006,1271954,0.0,1.0
2007-03-30,131,135.5,128.824997,129.5,1379628,0.0,1.0
2007-04-02,125.025002,127,119.650002,120.625,1021746,0.0,1.0
2007-04-03,121,122.75,117.525002,119.949997,1291864,0.0,1.0
2007-04-04,121.050003,123.474998,120.025002,120.875,620826,0.0,1.0
2007-04-05,121,127.25,119.5,124.75,1949510,0.0,1.0
2007-04-09,126,134.899994,125.800003,133.75,2544888,0.0,1.0
2007-04-10,134.975006,138.399994,133.774994,134.625,2241068,0.0,1.0
2007-04-11,135.25,137,131.274994,131.850006,982606,0.0,1.0
2007-04-12,130.25,143.350006,129.5,142.225006,4644042,0.0,1.0
2007-04-13,144.5,147.449997,141.774994,145.125,2766378,0.0,1.0
2007-04-16,146.5,149.949997,145.5,146.375,1499462,0.0,1.0
2007-04-17,146.875,148.25,142.5,143.725006,1668988,0.0,1.0
2007-04-18,144.550003,150.899994,144.5,146.899994,2077676,0.0,1.0
2007-04-19,143.5,154,142.100006,151.725006,3859912,0.0,1.0
2007-04-20,154,156.699997,150.5,151.675003,3207738,0.0,1.0
2007-04-23,152.375,153.949997,147.574997,148.425003,1366766,0.0,1.0
2007-04-24,149.449997,162,148,161.149994,5033286,0.0,1.0
2007-04-25,162.5,173.5,161.449997,168.375,5410516,0.0,1.0
2007-04-26,170.050003,171.800003,161,162.625,2740690,0.0,1.0
2007-04-27,163,167.25,159.899994,165.625,3985266,0.0,1.0
2007-04-30,166.5,167.5,162,163.074997,1863258,0.0,1.0
2007-05-03,164.125,166.324997,161.300003,162.850006,1225578,0.0,1.0
2007-05-04,163.949997,169.324997,160.5,161.675003,2776234,0.0,1.0
2007-05-07,165,165,153.899994,155.875,2578060,0.0,1.0
2007-05-08,157.5,161.175003,153.149994,154.024994,1992118,0.0,1.0
2007-05-09,155,160,153.050003,158.524994,1964618,0.0,1.0
2007-05-10,160.949997,161.725006,154.524994,155.774994,1620868,0.0,1.0
2007-05-11,152.75,156.949997,151.050003,155.824997,1043148,0.0,1.0
2007-05-14,158.399994,159,154.574997,155.225006,609456,0.0,1.0
2007-05-15,156,157.949997,153.699997,154.600006,684850,0.0,1.0
2007-05-16,155.5,166.5,155,164.100006,3191634,0.0,1.0
2007-05-17,167.225006,172.5,166.550003,170.800003,3878934,0.0,1.0
2007-05-18,169.850006,176,167.550003,172.100006,2493798,0.0,1.0
2007-05-21,173.5,174.925003,168.75,169.875,2440458,0.0,1.0
2007-05-22,167.774994,172.225006,163.5,165.375,1352636,0.0,1.0
2007-05-23,166.699997,169,158.024994,159.100006,1775340,0.0,1.0
2007-05-24,158.850006,160,155.524994,156.25,945418,0.0,1.0
2007-05-25,157,158,153,156.050003,1073600,0.0,1.0
2007-05-28,158,160.850006,157.5,158.5,917148,0.0,1.0
2007-05-29,159.949997,163.375,159,160.125,1161684,0.0,1.0
2007-05-30,160.425003,162.399994,156.574997,157.25,885788,0.0,1.0
2007-05-31,159.449997,161.100006,157.050003,158.699997,1131678,0.0,1.0
