date,open,high,low,close,volume,dividend,split
2014-10-21,248,248,235.600006,235.600006,14524,0.0,1.0
2014-10-22,223.850006,223.850006,223.850006,223.850006,25,0.0,1.0
2014-10-27,212.699997,212.699997,212.699997,212.699997,8,0.0,1.0
2014-10-28,202.100006,202.100006,202.100006,202.100006,1002,0.0,1.0
2014-10-29,192,192,192,192,500,0.0,1.0
2014-10-30,182.399994,182.399994,182.399994,182.399994,100,0.0,1.0
2014-10-31,173.300003,178,173.300003,173.300003,42836,0.0,1.0
2014-11-03,164.649994,164.649994,164.649994,164.649994,1708,0.0,1.0
2014-11-05,156.449997,157,156.449997,156.449997,13869,0.0,1.0
2014-11-07,130.050003,148.399994,130.050003,140.949997,14658,0.0,1.0
2014-11-10,142,144,134.5,142.050003,15471,0.0,1.0
2014-11-11,141,151,141,145.300003,8469,0.0,1.0
2014-11-12,150,150,141.5,143.399994,2708,0.0,1.0
2014-11-13,147.5,147.5,141.5,143.5,1658,0.0,1.0
2014-11-14,142,144.899994,133.149994,136.399994,7250,0.0,1.0
2014-11-17,130,134.949997,124,125.099998,12578,0.0,1.0
2014-11-18,128,149.399994,127.5,135.399994,7568,0.0,1.0
2014-11-19,135,144.75,135,138.100006,5422,0.0,1.0
2014-11-20,142,143.5,133.300003,138.25,12328,0.0,1.0
2014-11-21,136.199997,141.5,135,138,4103,0.0,1.0
2014-11-24,140,142,131.100006,138.350006,3924,0.0,1.0
2014-11-25,138.5,138.5,135,136.100006,2884,0.0,1.0
2014-11-26,135,146.899994,135,145.600006,2809,0.0,1.0
2014-11-27,148,154,148,150.899994,4256,0.0,1.0
2014-11-28,154.5,162.300003,152,161,11024,0.0,1.0
2014-12-01,160,165.800003,158,164.899994,9346,0.0,1.0
2014-12-02,163.25,170.899994,163,168,3897,0.0,1.0
2014-12-03,169,176,169,174.649994,2872,0.0,1.0
2014-12-04,174,189.399994,174,185.949997,10934,0.0,1.0
2014-12-05,190,206.050003,190,193.100006,10679,0.0,1.0
2014-12-08,186.100006,196.149994,186.100006,193.25,3266,0.0,1.0
2014-12-09,197,200,190,191,3602,0.0,1.0
2014-12-10,191,197.699997,191,195.300003,5689,0.0,1.0
2014-12-11,198,200,197,198,2576,0.0,1.0
2014-12-12,200,201,198,198.600006,1884,0.0,1.0
2014-12-15,200,201,197,199.899994,4825,0.0,1.0
2014-12-16,200,200,192,195.949997,8033,0.0,1.0
2014-12-17,196,199,195,198.5,8711,0.0,1.0
2014-12-18,200,203.899994,198,200.399994,4402,0.0,1.0
2014-12-19,203.949997,207,199,199,3280,0.0,1.0
2014-12-22,202,203,199,201.550003,2826,0.0,1.0
2014-12-23,202,203,197.050003,198.199997,20427,0.0,1.0
2014-12-24,201,201,195,198.800003,12196,0.0,1.0
2014-12-26,200,204.949997,199,203.350006,5479,0.0,1.0
2014-12-29,203,206,202,203.949997,3479,0.0,1.0
2014-12-30,204,204.800003,202,202,1277,0.0,1.0
2014-12-31,202.5,210,202,204.300003,980,0.0,1.0
2015-01-01,205.350006,208.800003,203,205,1585,0.0,1.0
2015-01-02,207,208,203.199997,205.800003,3805,0.0,1.0
2015-01-05,206,212,206,210,5085,0.0,1.0
2015-01-06,205,205,202,202.949997,1991,0.0,1.0
2015-01-07,204,205.449997,200,202.949997,2790,0.0,1.0
2015-01-08,200,209,200,207.399994,1709,0.0,1.0
2015-01-09,208,209,206,206.100006,1729,0.0,1.0
2015-01-12,204,212.5,204,209.399994,3583,0.0,1.0
2015-01-13,214.899994,215,210,213.350006,6045,0.0,1.0
2015-01-14,215.449997,216.449997,209.899994,211.800003,2931,0.0,1.0
2015-01-15,210.699997,214,209,209.800003,1483,0.0,1.0
2015-01-16,211,211,209,209.800003,686,0.0,1.0
2015-01-19,211,211,208,209.75,632,0.0,1.0
2015-01-20,210,219.850006,207.399994,218.350006,7346,0.0,1.0
2015-01-21,220,222.899994,205.399994,214.5,5338,0.0,1.0
2015-01-22,214,214,171.600006,209.300003,10531,0.0,1.0
