date,open,high,low,close,volume,dividend,split
2004-03-26,8.25,8.55,7.275,7.325,14718240,0.0,1.0
2004-03-29,7.375,7.475,7.225,7.275,5103616,0.0,1.0
2004-03-30,7.325,7.575,7.3,7.375,2832946,0.0,1.0
2004-03-31,7.4,7.5,7.325,7.375,1917666,0.0,1.0
2004-04-01,7.425,7.69,7.4,7.62,2983228,0.0,1.0
2004-04-02,7.65,8.6,7.65,8.455,12163278,0.0,1.0
2004-04-05,8.75,10.05,8.505,9.52,29924826,0.0,1.0
2004-04-06,10,10.37,9.5,9.86,18376864,0.0,1.0
2004-04-07,10,10.14,9.705,9.99,14417662,0.0,1.0
2004-04-08,10.045,10.05,9.7,9.865,8200026,0.0,1.0
2004-04-12,10,11.025,9.9,10.575,20821094,0.0,1.0
2004-04-13,10.695,10.75,10.075,10.395,9161668,0.0,1.0
2004-04-15,10.595,10.8,10.33,10.575,8316646,0.0,1.0
2004-04-16,10.725,11.05,10.575,10.975,9672038,0.0,1.0
2004-04-19,12.6,13.375,12.48,12.9,28531980,0.0,1.0
2004-04-20,13.045,13.15,12.2,12.41,15252102,0.0,1.0
2004-04-21,12.345,12.75,12.145,12.62,8804604,0.0,1.0
2004-04-22,12.65,12.725,12.375,12.46,5396038,0.0,1.0
2004-04-23,12.6,12.75,12.035,12.14,5758772,0.0,1.0
2004-04-27,12.025,12.125,10.5,11.055,7757632,0.0,1.0
2004-04-28,11.225,11.675,10.775,11.545,8832794,0.0,1.0
2004-04-29,11.49,12.045,11.45,11.795,6952030,0.0,1.0
2004-04-30,11.8,12.045,11.5,11.565,4661036,0.0,1.0
2004-05-03,11.6,11.6,10.85,11.15,6426008,0.0,1.0
2004-05-04,11.275,11.85,11.25,11.65,4079456,0.0,1.0
2004-05-05,11.825,11.95,11.6,11.825,3787472,0.0,1.0
2004-05-06,12.225,12.325,12.025,12.15,3593754,0.0,1.0
2004-05-07,12.275,12.275,11.75,12,5374698,0.0,1.0
2004-05-10,11.75,12,11.275,11.95,3548310,0.0,1.0
2004-05-11,11.725,11.725,11.25,11.325,3490434,0.0,1.0
2004-05-12,11.35,11.75,10.75,11.6,4839526,0.0,1.0
2004-05-13,11,12.125,10.75,11.6,6575866,0.0,1.0
2004-05-14,11.675,11.675,10.25,10.55,7684658,0.0,1.0
2004-05-17,10.5,10.5,8.45,10.05,9345800,0.0,1.0
2004-05-18,10,11.05,9.775,10.95,4974326,0.0,1.0
2004-05-19,11,11.85,11,11.775,6948558,0.0,1.0
2004-05-20,12.1,12.15,11.75,11.825,4561186,0.0,1.0
2004-05-21,11.65,12.325,11.25,11.825,8600380,0.0,1.0
2004-05-24,12.1,12.25,11.8,11.825,3401890,0.0,1.0
2004-05-25,11.875,11.975,11.575,11.85,2191758,0.0,1.0
2004-05-26,11.975,12.1,11.8,11.8,1390394,0.0,1.0
2004-05-27,11.825,12.125,11.8,11.825,4604018,0.0,1.0
2004-05-28,11.725,11.975,11.5,11.625,2912988,0.0,1.0
2004-05-31,11.575,11.625,11.125,11.425,3881916,0.0,1.0
2004-06-01,11.7,11.95,11.5,11.825,3115206,0.0,1.0
2004-06-02,11.9,12,11.8,11.825,1203996,0.0,1.0
2004-06-03,12,12,11.4,11.5,2326532,0.0,1.0
2004-06-04,11.4,11.6,11.3,11.475,1211676,0.0,1.0
2004-06-07,11.55,11.575,11.35,11.475,1264970,0.0,1.0
2004-06-08,11.5,11.625,11.3,11.325,680938,0.0,1.0
2004-06-09,11.4,11.45,11.25,11.275,606734,0.0,1.0
2004-06-10,11.3,11.35,11.2,11.25,542240,0.0,1.0
2004-06-11,11.3,11.325,11,11.075,1188554,0.0,1.0
