date,open,high,low,close,volume,dividend,split
2006-06-20,37.400002,37.400002,29.1,32.535,30529300,0.0,1.0
2006-06-21,33,34.490002,31.6,33.334999,8671170,0.0,1.0
2006-06-22,34.09,34.599998,32.700001,32.974998,3182230,0.0,1.0
2006-06-23,32.700001,33.099998,31.700001,32.115002,992080,0.0,1.0
2006-06-26,32.400002,32.400002,29.1,29.49,1253270,0.0,1.0
2006-06-27,29.6,30.5,27.405001,29.375,781670,0.0,1.0
2006-06-28,29.4,29.9,28.1,29.305,465350,0.0,1.0
2006-06-29,29.6,30,27.700001,28.299999,274380,0.0,1.0
2006-06-30,29.6,29.6,28.325001,28.764999,196630,0.0,1.0
2006-07-03,29.1,33.09,28.5,32.014999,5621020,0.0,1.0
2006-07-04,32.189999,32.544998,31,31.584999,3090650,0.0,1.0
2006-07-05,31.1,32.650002,30.700001,32.32,1354630,0.0,1.0
2006-07-06,32,34.200001,31.5,32.709999,2240980,0.0,1.0
2006-07-07,33.389999,33.474998,32.099998,32.470001,676110,0.0,1.0
2006-07-10,31.950001,32.700001,31.565001,32.294998,643190,0.0,1.0
2006-07-11,32.099998,34.099998,32.005001,33.724998,1597830,0.0,1.0
2006-07-12,33.799999,34.700001,33.009998,34.369999,1504350,0.0,1.0
2006-07-13,34.200001,39.105,34.200001,36.310001,5429520,0.0,1.0
2006-07-14,36.435001,37.299999,34.810001,36.575001,1713600,0.0,1.0
2006-07-17,36.5,38,36,36.68,1516840,0.0,1.0
2006-07-18,36.68,38,36.32,37.195,1248920,0.0,1.0
2006-07-19,37.610001,38.799999,35.200001,37.365002,2532180,0.0,1.0
2006-07-20,37.400002,37.799999,35.154999,35.544998,621640,0.0,1.0
2006-07-21,34.939999,34.939999,32.115002,32.639999,421020,0.0,1.0
2006-07-24,31.200001,32.400002,30.6,32.185001,400330,0.0,1.0
2006-07-25,32.900002,33.470001,32.005001,32.720001,201570,0.0,1.0
2006-07-26,32.695,33.650002,31.700001,32.994999,231820,0.0,1.0
2006-07-27,33.049999,33.700001,32.5,32.740002,147350,0.0,1.0
2006-07-28,31.940001,33.099998,31.940001,32.77,78130,0.0,1.0
2006-07-31,32.740002,33.5,32.5,32.700001,50750,0.0,1.0
2006-08-01,32.619999,33.299999,32.16,32.66,63990,0.0,1.0
2006-08-02,32.224998,32.595001,32.169998,32.400002,26490,0.0,1.0
2006-08-03,32.25,34.650002,32.25,33.564999,229380,0.0,1.0
2006-08-04,33,33.900002,33,33.205002,41700,0.0,1.0
2006-08-07,33.134998,33.134998,31.805,32.505001,28850,0.0,1.0
2006-08-08,33,33.189999,32.509998,32.645,28580,0.0,1.0
2006-08-09,32.599998,33.599998,32.599998,33.43,47980,0.0,1.0
2006-08-10,33.5,33.669998,33.16,33.310001,26840,0.0,1.0
2006-08-11,33.599998,37.099998,33.299999,35.75,902890,0.0,1.0
