date,open,high,low,close,volume,dividend,split
2011-09-26,200,490,175.050003,411.649994,29249235,0.0,1.0
2011-09-27,439,493.950012,376.25,493.950012,7395520,0.0,1.0
2011-09-28,469.899994,548,395.200012,395.200012,6789408,0.0,1.0
2011-09-29,316.200012,414,316.200012,323.549988,3585863,0.0,1.0
2011-09-30,260.049988,364,258.850006,312.049988,3924180,0.0,1.0
2011-10-03,249.649994,276.5,249.649994,250.899994,1449519,0.0,1.0
2011-10-04,230,249,225.850006,225.949997,329063,0.0,1.0
2011-10-05,224,224,203.399994,212.899994,655151,0.0,1.0
2011-10-07,212.899994,224,202,216.550003,513851,0.0,1.0
2011-10-10,216,218.399994,206.100006,211.5,253587,0.0,1.0
2011-10-11,210,223,206,217.699997,257306,0.0,1.0
2011-10-12,221.5,232,214.649994,230.050003,245090,0.0,1.0
2011-10-13,230.300003,236,226,227.399994,175931,0.0,1.0
2011-10-14,225.5,233,221,228.050003,143940,0.0,1.0
2011-10-17,236,236,224,233.300003,112582,0.0,1.0
2011-10-18,230,245.850006,226,228.300003,431669,0.0,1.0
2011-10-19,229.899994,233.5,217.899994,225.199997,27113,0.0,1.0
2011-10-20,222.100006,227.800003,220.449997,223.75,150694,0.0,1.0
2011-10-21,222.100006,230.850006,212,216.100006,136767,0.0,1.0
2011-10-24,218.300003,225,215,221.149994,88220,0.0,1.0
2011-10-25,221,222.949997,214.5,217.25,64492,0.0,1.0
2011-10-28,224,224.800003,209.899994,216.600006,10635,0.0,1.0
2011-10-31,216.649994,220,214.050003,215.5,98201,0.0,1.0
2011-11-01,215.600006,218,213.050003,214,66650,0.0,1.0
2011-11-02,212.899994,212.899994,205.050003,208.100006,85976,0.0,1.0
2011-11-03,222,222,206,212.149994,86732,0.0,1.0
2011-11-04,213,219.5,209,212.199997,18661,0.0,1.0
2011-11-08,212.899994,219.199997,207.600006,215.25,69368,0.0,1.0
2011-11-09,213.600006,216.149994,210.25,210.949997,2926,0.0,1.0
2011-11-11,211,216,200.399994,206.699997,11427,0.0,1.0
2011-11-14,211,226.100006,205,208.649994,59555,0.0,1.0
2011-11-15,214.100006,214.350006,202,204.699997,3654,0.0,1.0
2011-11-16,205,209,198.199997,204.949997,19261,0.0,1.0
2011-11-17,203.5,206,194.100006,200,15106,0.0,1.0
2011-11-18,196.100006,198.75,185.149994,190.25,21018,0.0,1.0
2011-11-21,184.25,191,182,188.050003,21767,0.0,1.0
2011-11-22,180,186.449997,175.75,180.300003,32629,0.0,1.0
2011-11-23,199.850006,199.850006,165,167,5613,0.0,1.0
2011-11-24,163.5,166.899994,148.5,162.600006,53307,0.0,1.0
2011-11-25,160,165,159,164.149994,5450,0.0,1.0
2011-11-28,165.5,184,164.199997,180.149994,23024,0.0,1.0
2011-11-29,182,182,176.550003,180.600006,38565,0.0,1.0
2011-11-30,181,193.5,177.100006,190.100006,6393,0.0,1.0
2011-12-01,196,196,180.100006,190.5,6251,0.0,1.0
2011-12-02,188.5,197.949997,186,194.399994,4394,0.0,1.0
2011-12-05,197,203.75,196.600006,199.949997,2047,0.0,1.0
2011-12-07,188,203,188,201.199997,28858,0.0,1.0
2011-12-08,194.899994,196.850006,190.149994,195.050003,9743,0.0,1.0
2011-12-09,197.899994,201,190,196.649994,43761,0.0,1.0
2011-12-12,197.050003,223.399994,196,212,78326,0.0,1.0
2011-12-13,212,233.300003,212,226.800003,81369,0.0,1.0
2011-12-14,231,234,218.100006,221.800003,25199,0.0,1.0
2011-12-15,218.399994,221,212,218.149994,9729,0.0,1.0
2011-12-16,215.399994,222.800003,211.050003,214.350006,21094,0.0,1.0
2011-12-19,212.949997,213,206.25,209.199997,3175,0.0,1.0
2011-12-20,213.5,215,202.100006,211.899994,2849,0.0,1.0
2011-12-21,214,230,205.100006,209.5,17899,0.0,1.0
2011-12-22,208.5,212,196,202.699997,5483,0.0,1.0
2011-12-23,200.449997,201,193,195.350006,3551,0.0,1.0
2011-12-26,195.100006,204,195.100006,199.100006,17467,0.0,1.0
2011-12-27,200,202.949997,194,195.699997,468,0.0,1.0
2011-12-28,195,200.850006,181,190.75,8965,0.0,1.0
2011-12-29,152.649994,170,152.649994,157.800003,75037,0.0,1.0
2011-12-30,149,152,140.350006,145.100006,42756,0.0,1.0
2012-01-02,144,144,131.050003,135.050003,17472,0.0,1.0
2012-01-03,135,141.75,134.25,136.300003,8283,0.0,1.0
2012-01-04,132.649994,136.75,129.75,135.550003,4283,0.0,1.0
2012-01-05,125.099998,135,125.099998,127.75,1334,0.0,1.0
