date,open,high,low,close,volume,dividend,split
2011-10-31,2639.75,2639.75,2405,2417.199951,2243,0.0,1.0
2011-11-01,2420,2448.949951,2296.350098,2296.350098,932,0.0,1.0
2011-11-02,2185,2250,2181.550049,2181.550049,895,0.0,1.0
2011-11-03,2080,2100,2072.5,2072.5,780,0.0,1.0
2011-11-04,2070,2075,2040,2066.600098,675,0.0,1.0
2011-11-08,2169,2169,2000,2053,382,0.0,1.0
2011-11-09,2029.25,2071.5,2003.050049,2022.300049,293,0.0,1.0
2011-11-11,2059.949951,2059.949951,1940,1952.449951,829,0.0,1.0
2011-11-14,1935,2000,1900,1914.800049,368,0.0,1.0
2011-11-15,1900,1939.800049,1819.099976,1820.650024,643,0.0,1.0
2011-11-16,1742,1760,1729.650024,1729.650024,688,0.0,1.0
2011-11-17,1705,1705,1645,1654.099976,391,0.0,1.0
2011-11-18,1605,1629,1571.5,1587.150024,404,0.0,1.0
2011-11-21,1589,1620,1572.050049,1594.150024,68,0.0,1.0
2011-11-22,1619,1638.5,1572,1620.650024,230,0.0,1.0
2011-11-23,1610,1618.5,1549,1565.449951,317,0.0,1.0
2011-11-24,1595,1600,1550,1572.25,240,0.0,1.0
2011-11-25,1595,1597,1550,1567.349976,251,0.0,1.0
2011-11-28,1584.800049,1598.400024,1523.199951,1553.849976,284,0.0,1.0
2011-11-29,1556,1600,1556,1567.449951,115,0.0,1.0
2011-11-30,1598,1598,1520,1535.150024,49,0.0,1.0
2011-12-01,1539,1609.800049,1530,1548,130,0.0,1.0
2011-12-02,1563,1585,1560,1577.900024,80,0.0,1.0
2011-12-05,1599,1625,1590.5,1603.5,316,0.0,1.0
2011-12-07,1638.949951,1639,1600,1600.449951,347,0.0,1.0
2011-12-08,1623.5,1624.5,1575,1580,131,0.0,1.0
2011-12-09,1599.949951,1600,1570,1570,103,0.0,1.0
2011-12-12,1599,1599,1495,1500.849976,411,0.0,1.0
2011-12-13,1490,1522,1481.050049,1502.199951,329,0.0,1.0
2011-12-14,1519.949951,1535,1495,1496.849976,312,0.0,1.0
2011-12-15,1519.949951,1519.949951,1450,1499.900024,237,0.0,1.0
2011-12-16,1498.75,1510,1475,1487.800049,479,0.0,1.0
2011-12-19,1510,1510,1451.099976,1482.699951,583,0.0,1.0
2011-12-20,1476,1498,1427,1468.949951,571,0.0,1.0
2011-12-21,1489.949951,1490,1455,1483.449951,535,0.0,1.0
2011-12-22,1479.849976,1509,1443,1503.300049,254,0.0,1.0
2011-12-23,1500.050049,1535,1500,1507.449951,119,0.0,1.0
2011-12-26,1501,1517,1500,1501.550049,299,0.0,1.0
2011-12-27,1500,1525.400024,1490,1499.199951,193,0.0,1.0
2011-12-28,1500,1500,1495,1495.099976,97,0.0,1.0
2011-12-29,1495,1496,1495,1495.199951,97,0.0,1.0
2011-12-30,1509,1509,1486,1490,281,0.0,1.0
2012-01-02,1480,1499,1475,1478.599976,141,0.0,1.0
2012-01-03,1518,1524,1481.5,1483,58,0.0,1.0
2012-01-04,1500,1500,1470,1493,20,0.0,1.0
2012-01-05,1498,1510,1482,1483.099976,66,0.0,1.0
2012-01-06,1473,1489.949951,1470,1489.900024,55,0.0,1.0
2012-01-09,1500,1501,1482,1482,38,0.0,1.0
2012-01-10,1481,1523,1470,1518.199951,40,0.0,1.0
2012-01-11,1518,1518,1491,1499.949951,239,0.0,1.0
2012-01-12,1515,1515,1492,1492,18,0.0,1.0
2012-01-13,1477,1523,1477,1492.550049,151,0.0,1.0
2012-01-16,1500,1500,1492.050049,1496.050049,92,0.0,1.0
2012-01-17,1517,1519,1495.050049,1500.550049,380,0.0,1.0
2012-01-18,1520,1525,1505,1506,75,0.0,1.0
2012-01-19,1550,1550,1492,1504.650024,189,0.0,1.0
2012-01-20,1530,1530,1503,1512.349976,194,0.0,1.0
2012-01-23,1502.099976,1515,1500,1500,101,0.0,1.0
2012-01-24,1545,1545,1450,1484.699951,648,0.0,1.0
2012-01-25,1514.949951,1514.949951,1500,1506.050049,77,0.0,1.0
2012-01-27,1501,1501,1483,1483,53,0.0,1.0
2012-01-30,1501,1501,1491.25,1491.25,10,0.0,1.0
2012-01-31,1532,1532,1500,1510,461,0.0,1.0
2012-02-01,1500,1524.949951,1494,1499.550049,250,0.0,1.0
2012-02-02,1534.949951,1535,1490,1512.050049,200,0.0,1.0
2012-02-03,1523,1540,1500,1528.050049,327,0.0,1.0
2012-02-06,1547.449951,1604.449951,1540,1604.449951,567,0.0,1.0
2012-02-07,1684,1684.650024,1684,1684.650024,945,0.0,1.0
2012-02-08,1768.849976,1768.849976,1732,1768.849976,579,0.0,1.0
2012-02-09,1857.25,1857.25,1800,1857.25,1289,0.0,1.0
2012-02-10,1950.099976,1950.099976,1765,1918.75,1579,0.0,1.0
2012-02-13,1950,1980,1862.5,1945.800049,749,0.0,1.0
2012-02-14,1948.949951,1959,1899,1899.849976,306,0.0,1.0
2012-02-15,1994,1994,1840,1843.949951,325,0.0,1.0
2012-02-16,1855,1855,1751.800049,1760,919,0.0,1.0
2012-02-17,1800,1830,1680,1815.349976,550,0.0,1.0
