date,open,high,low,close,volume,dividend,split
2000-08-17,4.25,4.7,4.1,4.5,10700,0.0,1.0
2000-08-18,4.8,4.8,4.2,4.25,9100,0.0,1.0
2000-08-21,5.3,5.3,4.8,5.3,14600,0.0,1.0
2000-08-22,5.95,6.35,5.5,6,28100,0.0,1.0
2000-08-23,6,6.35,6,6,15100,0.0,1.0
2000-08-24,6.3,6.35,6.3,6.35,12500,0.0,1.0
2000-08-25,6.35,6.35,6.35,6.35,11900,0.0,1.0
2000-08-28,7.9,7.9,7.9,7.9,100,0.0,1.0
2000-08-29,7.9,7.9,7.9,7.9,0,0.0,1.0
2000-08-30,9.5,9.5,9.5,9.5,100,0.0,1.0
2000-08-31,9.5,9.5,9.5,9.5,0,0.0,1.0
2000-09-01,9.5,9.5,9.5,9.5,0,0.0,1.0
2000-09-04,11.85,11.85,11.85,11.85,100,0.0,1.0
2000-09-05,11.85,11.85,11.85,11.85,0,0.0,1.0
2000-09-06,12.75,12.75,12.75,12.75,10,0.0,1.0
2000-09-07,13.75,13.75,13.75,13.75,200,0.0,1.0
2000-09-08,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-09-11,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-09-12,14.8,14.8,14.8,14.8,10,0.0,1.0
2000-09-13,15.95,15.95,15.95,15.95,500,0.0,1.0
2000-09-14,17.200001,17.200001,17.200001,17.200001,100,0.0,1.0
2000-09-15,18.549999,18.549999,18.549999,18.549999,300,0.0,1.0
2000-09-18,18.549999,18.549999,18.549999,18.549999,0,0.0,1.0
2000-09-19,18.549999,18.549999,18.549999,18.549999,0,0.0,1.0
2000-09-20,19.4,19.4,17.450001,17.450001,13900,0.0,1.0
2000-09-21,16.1,16.1,16.1,16.1,5200,0.0,1.0
2000-09-22,14.85,14.85,14.85,14.85,10000,0.0,1.0
2000-09-25,13.7,13.9,13.7,13.7,4800,0.0,1.0
2000-09-26,13.7,13.7,13.7,13.7,0,0.0,1.0
2000-09-27,13.7,13.7,13.7,13.7,0,0.0,1.0
2000-09-28,12.05,12.05,11.4,11.4,3500,0.0,1.0
2000-09-29,11.4,11.4,11.4,11.4,0,0.0,1.0
2000-10-02,11.4,11.4,11.4,11.4,0,0.0,1.0
