date,open,high,low,close,volume,dividend,split
2004-08-17,24.049999,24.049999,24.049999,24.049999,500,0.0,1.0
2004-08-18,28.85,28.85,24.049999,24.049999,151,0.0,1.0
2004-08-19,19.25,19.25,19.25,19.25,100,0.0,1.0
2004-08-20,20,20,19.5,19.5,150,0.0,1.0
2004-09-02,17,17,17,17,1,0.0,1.0
2004-09-03,15,15,15,15,10,0.0,1.0
2004-10-15,17,18,17,18,400,0.0,1.0
2004-10-18,18.5,21.6,18,21.6,2200,0.0,1.0
2004-10-19,21.9,21.9,21.9,21.9,100,0.0,1.0
2004-10-20,20,20.1,20,20.1,1200,0.0,1.0
2004-10-29,18,18,18,18,100,0.0,1.0
2004-11-01,21.6,21.6,21.6,21.6,900,0.0,1.0
2004-11-02,24.75,25.85,24.75,25.85,650,0.0,1.0
2004-11-16,25,26,25,26,500,0.0,1.0
2004-11-17,29.85,30,26.1,26.1,1400,0.0,1.0
2004-11-18,30.85,31,30.85,31,150,0.0,1.0
2004-11-19,37.200001,37.200001,37,37,850,0.0,1.0
2004-11-22,35.5,35.5,35.5,35.5,200,0.0,1.0
2004-11-24,32.549999,39,32,37.849998,10500,0.0,1.0
2004-11-25,35.099998,35.099998,34.099998,34.099998,1100,0.0,1.0
2004-11-29,34.950001,35,32,33.099998,2400,0.0,1.0
2004-11-30,31,33.700001,31,33.700001,250,0.0,1.0
2004-12-01,31,31,31,31,200,0.0,1.0
2004-12-02,33.650002,34,33.599998,33.799999,4000,0.0,1.0
2004-12-06,31,31,31,31,100,0.0,1.0
2004-12-09,33.599998,33.599998,33.599998,33.599998,10,0.0,1.0
2004-12-13,33.450001,33.450001,30.25,30.25,450,0.0,1.0
2004-12-14,27.5,29.5,27.25,29.5,175,0.0,1.0
2004-12-15,27,27,26.6,26.6,4800,0.0,1.0
2004-12-16,29,29.25,23.950001,23.950001,1400,0.0,1.0
2004-12-17,21.700001,21.700001,21.6,21.6,3100,0.0,1.0
2004-12-20,23.700001,23.700001,21.200001,21.5,7300,0.0,1.0
2004-12-21,23.65,23.65,21.049999,21.1,6900,0.0,1.0
2004-12-22,21.6,23,21,21.35,14200,0.0,1.0
2004-12-23,22.9,22.9,21.049999,21.15,5100,0.0,1.0
2004-12-24,21,22.85,21,22.35,2000,0.0,1.0
2004-12-27,22.700001,22.75,21.75,22.049999,10900,0.0,1.0
2004-12-28,22,22,19.9,21,14100,0.0,1.0
2004-12-29,22,22,21.799999,21.799999,6100,0.0,1.0
2004-12-30,22.299999,22.35,20.4,22.35,8900,0.0,1.0
2004-12-31,22,22.200001,20.9,20.9,1600,0.0,1.0
2005-01-03,21.799999,22.5,21.799999,22.049999,9100,0.0,1.0
2005-01-04,23,23,20.200001,21.65,3200,0.0,1.0
2005-01-05,22,22,21,21,2500,0.0,1.0
2005-01-06,20.6,21.9,20.6,21,2500,0.0,1.0
2005-01-07,21.9,22,21.25,21.950001,3000,0.0,1.0
2005-01-10,22,22.1,21.5,21.6,13300,0.0,1.0
2005-01-11,21.5,22,21.5,22,5400,0.0,1.0
2005-01-12,22,23,20.85,21.700001,11000,0.0,1.0
2005-01-13,22,22.9,21.4,21.799999,54600,0.0,1.0
2005-01-14,23.450001,23.950001,23,23.5,49600,0.0,1.0
2005-01-17,25,25,22.700001,23,16800,0.0,1.0
2005-01-18,23,24,23,23.549999,7700,0.0,1.0
2005-01-19,23.75,23.75,22.4,22.4,2300,0.0,1.0
2005-01-20,22.6,22.75,22,22.1,10400,0.0,1.0
2005-01-24,23.6,23.6,22.25,22.950001,5100,0.0,1.0
2005-01-25,23,23.049999,22.6,22.6,2200,0.0,1.0
2005-01-27,22.6,23,20.549999,22.65,2800,0.0,1.0
2005-01-28,21.200001,22.5,21.049999,22.25,14100,0.0,1.0
2005-01-31,22,22,21.299999,21.35,2800,0.0,1.0
2005-02-01,22.4,22.4,20.5,22,4700,0.0,1.0
2005-02-02,22.25,22.25,21.4,21.9,2800,0.0,1.0
2005-02-03,21.9,21.950001,21,21.9,7300,0.0,1.0
2005-02-04,22,22,21.5,22,1200,0.0,1.0
2005-02-07,21.950001,22.75,21.6,22.049999,5000,0.0,1.0
2005-02-08,22.5,22.799999,22,22.200001,2200,0.0,1.0
2005-02-09,23.25,23.5,21.9,22,9200,0.0,1.0
2005-02-10,22,24.200001,21.299999,23.9,26400,0.0,1.0
2005-02-11,24.4,24.75,23.049999,23.450001,10800,0.0,1.0
2005-02-14,22.1,23.85,22.1,22.5,9100,0.0,1.0
2005-02-15,23.200001,23.5,22.299999,22.299999,3400,0.0,1.0
2005-02-16,22,22.65,20.25,20.700001,5200,0.0,1.0
2005-02-17,22.450001,22.450001,21.299999,21.5,6600,0.0,1.0
2005-02-18,22,22,21,21,4500,0.0,1.0
2005-02-21,21.700001,23.1,21.700001,22.049999,1900,0.0,1.0
2005-02-22,23.25,23.25,21.5,22,4700,0.0,1.0
2005-02-23,21.5,21.5,21.200001,21.200001,1400,0.0,1.0
2005-02-24,22.5,22.5,22.049999,22.5,5600,0.0,1.0
2005-02-25,22.5,22.5,22,22.4,2000,0.0,1.0
2005-02-28,21.25,21.25,20.25,21.25,5100,0.0,1.0
2005-03-01,21.85,21.85,20.049999,20.049999,900,0.0,1.0
2005-03-02,21.9,22.049999,20.450001,21.799999,6300,0.0,1.0
2005-03-03,22.450001,22.5,21.35,21.5,7800,0.0,1.0
2005-03-04,22.15,22.200001,21,21.700001,4900,0.0,1.0
2005-03-07,21.299999,21.9,20.799999,21.799999,6000,0.0,1.0
2005-03-08,21.799999,22,21.299999,22,4000,0.0,1.0
2005-03-09,22.200001,22.200001,21,21,3500,0.0,1.0
2005-03-10,20.25,20.35,19,20.25,3300,0.0,1.0
2005-03-11,20.5,21.35,19.4,20.6,2900,0.0,1.0
2005-03-14,20.6,22.5,20.6,22.5,8000,0.0,1.0
2005-03-15,22.450001,22.5,21,21,5300,0.0,1.0
2005-03-16,20.700001,22,20.700001,21.9,2700,0.0,1.0
2005-03-17,20.5,22.65,20.35,21.5,2100,0.0,1.0
2005-03-18,20.700001,21.5,20.6,20.65,900,0.0,1.0
2005-03-21,21.65,21.65,21.65,21.65,100,0.0,1.0
2005-03-22,21.65,23.799999,21,22.9,11000,0.0,1.0
2005-03-23,22.85,22.9,21.799999,22.5,4900,0.0,1.0
2005-03-24,21.1,22,21.1,21.35,2900,0.0,1.0
2005-03-28,22.450001,22.5,21.4,21.4,2200,0.0,1.0
2005-03-29,19.85,20.1,19.700001,20.1,1500,0.0,1.0
2005-03-31,21,21.9,21,21.9,400,0.0,1.0
2005-04-01,21.799999,21.9,21.799999,21.85,1500,0.0,1.0
2005-04-04,21.9,22.6,21.9,22.35,2300,0.0,1.0
2005-04-05,22.700001,22.75,21.299999,21.299999,1800,0.0,1.0
2005-04-06,21.35,21.6,21.1,21.200001,1800,0.0,1.0
2005-04-07,22,22.4,21.1,21.799999,1200,0.0,1.0
2005-04-08,23,23,22,22.85,2400,0.0,1.0
2005-04-11,23,24.799999,23,23.85,11900,0.0,1.0
2005-04-12,24.799999,25.6,24,24.549999,7700,0.0,1.0
2005-04-13,25,27,24.5,27,68100,0.0,1.0
2005-04-15,28.9,28.950001,25.5,26.1,18900,0.0,1.0
2005-04-18,25.799999,25.9,24.5,25.450001,4504,0.0,1.0
2005-04-19,25.6,26.799999,24.25,24.9,9929,0.0,1.0
2005-04-20,26.25,26.25,23,23.15,6300,0.0,1.0
2005-04-21,23.5,24.950001,23.5,24.200001,2800,0.0,1.0
2005-04-22,25,25.5,24.1,24.25,2250,0.0,1.0
2005-04-25,23.5,29.1,23.5,28,28800,0.0,1.0
2005-04-26,28.9,28.9,25.549999,26.450001,12700,0.0,1.0
2005-04-27,26.9,28,25.5,26.65,10627,0.0,1.0
2005-04-28,26,26.25,24.6,25.049999,5100,0.0,1.0
2005-04-29,26.75,26.75,24.75,24.75,2300,0.0,1.0
2005-05-02,24,25,23,25,4500,0.0,1.0
2005-05-03,25,25.200001,24.25,24.65,1850,0.0,1.0
2005-05-04,25.65,25.65,23.4,23.450001,6032,0.0,1.0
2005-05-05,24,25,24,24.950001,316,0.0,1.0
2005-05-06,23.25,24.799999,23.200001,24.6,1101,0.0,1.0
2005-05-09,24,24.5,22.75,24.4,3900,0.0,1.0
2005-05-10,24.049999,24.049999,22.85,23,7420,0.0,1.0
2005-05-11,23.200001,24.5,23.1,24.4,3023,0.0,1.0
2005-05-12,26,26,23.75,24,2600,0.0,1.0
2005-05-13,23.6,25.700001,23.6,24.299999,15000,0.0,1.0
2005-05-16,25,25,24,24.700001,5700,0.0,1.0
2005-05-17,24.950001,25.4,24.5,24.700001,3650,0.0,1.0
2005-05-18,24.4,25,24.4,24.5,3800,0.0,1.0
2005-05-19,24.5,25,24.5,24.75,5600,0.0,1.0
2005-05-20,24.65,25.35,24.65,25,2300,0.0,1.0
2005-05-23,25,26,25,25.700001,6540,0.0,1.0
2005-05-24,25.5,26,25,26,3100,0.0,1.0
2005-05-25,25.5,28.4,25.1,27.25,22400,0.0,1.0
2005-05-26,28.75,28.950001,27.5,27.75,14457,0.0,1.0
2005-05-27,25.4,27.950001,25.25,25.9,16600,0.0,1.0
2005-05-30,25.15,27,25,25.9,21010,0.0,1.0
2005-05-31,26.85,28.35,26.35,26.85,19123,0.0,1.0
2005-06-01,27,27.5,25.950001,26,18754,0.0,1.0
2005-06-02,26.75,26.799999,25,25.5,6413,0.0,1.0
2005-06-03,25.700001,25.799999,25,25.450001,8400,0.0,1.0
2005-06-06,26,26,24.9,25,8550,0.0,1.0
2005-06-07,25.799999,25.85,25.049999,25.049999,6100,0.0,1.0
2005-06-08,24.549999,25.35,24.549999,24.799999,6100,0.0,1.0
2005-06-09,24.6,29.75,24.6,28.5,44100,0.0,1.0
2005-06-10,27.75,28.450001,26.1,26.6,12562,0.0,1.0
2005-06-13,30.5,30.5,25.700001,26.450001,5354,0.0,1.0
2005-06-14,26.299999,27.5,26.299999,27.4,2848,0.0,1.0
2005-06-15,27,27,25,25.299999,9150,0.0,1.0
2005-06-16,26.25,26.299999,24.700001,24.799999,3400,0.0,1.0
2005-06-17,24.5,24.5,22.549999,23.5,3100,0.0,1.0
2005-06-20,24,24,23,23.15,3600,0.0,1.0
2005-06-21,23,27.75,23,27.75,33600,0.0,1.0
2005-06-22,31.5,33.299999,25.700001,31.200001,192771,0.0,1.0
2005-06-23,34.650002,36.450001,33,34.650002,346600,0.0,1.0
2005-06-24,35,40.700001,33.099998,38.5,616100,0.0,1.0
2005-06-27,40.400002,41.5,34.700001,34.799999,219200,0.0,1.0
2005-06-28,33,34.099998,31.35,31.35,107200,0.0,1.0
2005-06-29,31.5,32.5,28.549999,28.950001,82800,0.0,1.0
2005-06-30,29.75,31.450001,29.049999,29.5,49200,0.0,1.0
2005-07-01,30.799999,31,29.549999,30.25,17768,0.0,1.0
2005-07-04,30,31,29.25,29.75,12000,0.0,1.0
2005-07-05,30.700001,30.75,26.799999,26.799999,52600,0.0,1.0
2005-07-06,27.6,27.6,25,26.549999,63300,0.0,1.0
2005-07-07,26.5,26.75,25,25.200001,24826,0.0,1.0
2005-07-08,25.5,27,25.15,26.6,26722,0.0,1.0
2005-07-11,26.5,28,25.9,27.6,22388,0.0,1.0
2005-07-12,27.049999,27.75,26.6,26.85,12100,0.0,1.0
2005-07-13,27.799999,27.799999,26.5,26.950001,11400,0.0,1.0
2005-07-14,27.25,27.25,26.25,26.5,7304,0.0,1.0
2005-07-15,27.5,27.700001,26.549999,26.950001,17310,0.0,1.0
2005-07-18,28.799999,29.6,27.200001,29.6,156900,0.0,1.0
2005-07-19,32.549999,32.549999,31,32.5,184500,0.0,1.0
2005-07-20,33.25,33.25,30.200001,31.15,61983,0.0,1.0
2005-07-21,31,31,29,29.15,29606,0.0,1.0
2005-07-22,28.799999,29.85,28.799999,29.1,24450,0.0,1.0
2005-07-25,28.9,28.9,27.799999,28,35914,0.0,1.0
2005-07-26,29.450001,29.450001,27.549999,28.049999,10694,0.0,1.0
2005-07-27,27.25,29,27.1,28.049999,8226,0.0,1.0
2005-07-29,29.450001,30,26.65,26.950001,14300,0.0,1.0
2005-08-01,26.049999,27,26.049999,26.6,6040,0.0,1.0
2005-08-02,25.5,26.75,25.5,26.5,20536,0.0,1.0
2005-08-03,26.9,26.9,26,26.200001,7850,0.0,1.0
2005-08-04,26.450001,26.75,26.25,26.35,7199,0.0,1.0
