date,open,high,low,close,volume,dividend,split
2001-07-27,14.5,14.5,14.5,14.5,59000,0.0,1.0
2001-10-03,15.1,15.1,14.5,14.5,1e+05,0.0,1.0
2001-10-04,14.75,14.75,14.75,14.75,1e+05,0.0,1.0
2001-10-09,14,16.4,14,16.4,100100,0.0,1.0
2001-10-10,17.700001,17.700001,17.700001,17.700001,200,0.0,1.0
2001-10-11,19.1,19.1,19.1,19.1,50,0.0,1.0
2001-10-12,20.6,20.6,20.6,20.6,300,0.0,1.0
2001-11-08,24.65,24.65,24.65,24.65,100,0.0,1.0
2001-11-12,26.5,26.5,26.5,26.5,100,0.0,1.0
2001-11-27,32.400002,32.400002,32.400002,32.400002,500,0.0,1.0
2001-12-07,31.5,31.5,31.5,31.5,100,0.0,1.0
2001-12-11,36.650002,36.650002,36.650002,36.650002,200,0.0,1.0
2001-12-12,39.549999,39.549999,39.549999,39.549999,100,0.0,1.0
2001-12-13,42.700001,42.700001,37.549999,42.700001,3000,0.0,1.0
2001-12-14,44,45.599998,43,45.599998,200,0.0,1.0
2001-12-18,44,49.049999,44,49.049999,1600,0.0,1.0
2001-12-19,48.049999,48.049999,45.75,45.75,500,0.0,1.0
2001-12-20,42.25,47,41.650002,41.650002,1000,0.0,1.0
2001-12-21,38.549999,38.549999,38.549999,38.549999,500,0.0,1.0
2001-12-24,36.299999,36.349998,36.299999,36.349998,600,0.0,1.0
2001-12-31,33.900002,37.650002,33.700001,37.650002,35400,0.0,1.0
2002-01-01,39.799999,41.400002,36,36.75,68900,0.0,1.0
2002-01-02,38.25,38.799999,36,36.549999,32400,0.0,1.0
2002-01-03,37.900002,38.25,37.5,37.900002,31300,0.0,1.0
2002-01-04,39,40.900002,35.25,36.25,46000,0.0,1.0
2002-01-07,37.5,38.400002,35,35.799999,45400,0.0,1.0
2002-01-08,35.099998,42.950001,35,40.349998,263200,0.0,1.0
2002-01-09,42,43.400002,36.599998,37.25,167200,0.0,1.0
2002-01-10,37,38.700001,36.5,37.650002,59000,0.0,1.0
2002-01-11,38.200001,38.400002,32.150002,35.950001,40400,0.0,1.0
2002-01-14,37,38.200001,36.299999,37,36300,0.0,1.0
2002-01-15,36,36.799999,35.349998,35.75,10400,0.0,1.0
2002-01-16,36.5,36.5,32,34.75,88500,0.0,1.0
2002-01-17,34,41.700001,34,41.700001,332800,0.0,1.0
2002-01-18,45,45,37.150002,38.950001,564300,0.0,1.0
2002-01-21,39.400002,46.700001,39.200001,46.700001,664700,0.0,1.0
2002-01-22,47,51,43.549999,47.849998,841400,0.0,1.0
2002-01-23,48,51.900002,46.25,46.900002,479700,0.0,1.0
2002-01-24,47.900002,49,43.849998,44.549999,246700,0.0,1.0
2002-01-25,45.799999,47.650002,43,45.950001,275600,0.0,1.0
2002-01-28,44.799999,48.799999,44.549999,45.200001,170600,0.0,1.0
2002-01-29,46,46.400002,43.349998,43.700001,54400,0.0,1.0
2002-01-30,43,43.75,40.700001,41.700001,77600,0.0,1.0
2002-01-31,40.5,44.400002,40,43.650002,72800,0.0,1.0
2002-02-01,44.700001,45.900002,43,43.299999,95900,0.0,1.0
