date,open,high,low,close,volume,dividend,split
2019-05-02,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-20,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-21,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-22,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-23,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-24,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-27,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-28,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-29,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-30,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-05-31,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-03,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-04,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-06,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-07,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-10,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-11,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-12,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-13,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-14,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-17,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-18,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-19,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-20,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-21,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-24,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-25,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-26,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-27,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-06-28,3.26,3.26,3.26,3.26,0,0.0,1.0
2019-07-01,3.1,3.1,3.1,3.1,5200,0.0,1.0
2019-07-02,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-03,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-04,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-05,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-08,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-09,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-10,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-11,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-12,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-15,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-16,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-17,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-18,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-19,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-22,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-23,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-24,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-25,3.1,3.1,3.1,3.1,0,0.0,1.0
2019-07-26,3.1,3.1,3.1,3.1,0,0.0,1.0
