date,open,high,low,close,volume,dividend,split
2002-12-05,0.60312,0.84375,0.60312,0.84375,17600,0.0,1.0
2002-12-11,0.8125,0.96875,0.8125,0.96875,3200,0.0,1.0
2002-12-12,0.77813,0.9375,0.77813,0.9375,4800,0.0,1.0
2002-12-13,0.75313,0.75313,0.75313,0.75313,4800,0.0,1.0
2002-12-16,0.6875,0.76875,0.625,0.6875,12800,0.0,1.0
2002-12-18,0.65,0.78125,0.64375,0.75,19200,0.0,1.0
2002-12-19,0.65,0.80625,0.625,0.80625,12800,0.0,1.0
2002-12-20,0.64688,0.64688,0.64688,0.64688,6400,0.0,1.0
2002-12-23,0.65,0.7625,0.6,0.64063,16000,0.0,1.0
2002-12-24,0.57187,0.59375,0.5625,0.57813,14400,0.0,1.0
2002-12-26,0.60938,0.60938,0.53438,0.53438,28800,0.0,1.0
2002-12-27,0.59062,0.59062,0.55625,0.5875,19200,0.0,1.0
2003-01-01,0.6875,0.6875,0.6875,0.6875,1600,0.0,1.0
2003-01-14,0.8125,0.8125,0.6875,0.6875,3200,0.0,1.0
2003-01-15,0.80938,0.80938,0.80938,0.80938,1600,0.0,1.0
2003-01-17,0.8125,0.8125,0.8125,0.8125,1600,0.0,1.0
2003-01-20,0.65313,0.9375,0.65313,0.9375,4800,0.0,1.0
2003-01-21,0.75313,0.75313,0.75313,0.75313,1600,0.0,1.0
2003-01-22,0.65313,0.74688,0.60312,0.64688,20800,0.0,1.0
2003-01-24,0.76875,0.76875,0.6,0.6,32000,0.0,1.0
2003-01-27,0.625,0.625,0.625,0.625,8000,0.0,1.0
2003-02-03,0.625,0.625,0.625,0.625,8000,0.0,1.0
2003-02-17,0.63125,0.73438,0.63125,0.73438,19200,0.0,1.0
2003-02-18,0.59062,0.59062,0.59062,0.59062,4800,0.0,1.0
2003-02-19,0.5375,0.57187,0.5375,0.57187,12800,0.0,1.0
2003-03-05,0.57813,0.57813,0.57813,0.57813,8000,0.0,1.0
2003-03-06,0.6875,0.6875,0.6875,0.6875,1600,0.0,1.0
2003-03-07,0.78125,0.78125,0.78125,0.78125,1600,0.0,1.0
2003-03-26,0.875,0.89063,0.8125,0.86875,8000,0.0,1.0
2003-03-27,0.69688,0.75,0.69688,0.74375,17600,0.0,1.0
2003-04-08,0.68438,0.68438,0.68438,0.68438,1600,0.0,1.0
2003-04-29,0.56563,0.56563,0.56563,0.56563,3200,0.0,1.0
2003-04-30,0.50937,0.56875,0.50937,0.56875,9600,0.0,1.0
2003-05-14,0.68125,0.68125,0.68125,0.68125,3200,0.0,1.0
2003-05-15,0.80938,0.80938,0.80938,0.80938,1600,0.0,1.0
2003-05-16,0.78125,0.80625,0.72188,0.72188,19200,0.0,1.0
2003-05-19,0.625,0.625,0.625,0.625,8000,0.0,1.0
2003-05-20,0.6,0.71875,0.51563,0.7125,16000,0.0,1.0
2003-05-21,0.57187,0.75,0.57187,0.65313,9600,0.0,1.0
2003-05-22,0.60938,0.62187,0.60938,0.62187,3200,0.0,1.0
2003-05-23,0.57813,0.6875,0.5,0.6,14400,0.0,1.0
2003-05-26,0.65625,0.6875,0.65625,0.6875,4800,0.0,1.0
2003-05-29,0.6375,0.6375,0.6375,0.6375,1600,0.0,1.0
2003-05-30,0.68438,0.6875,0.68438,0.6875,17600,0.0,1.0
2003-06-02,0.5625,0.5625,0.5625,0.5625,3200,0.0,1.0
2003-06-04,0.5,0.5,0.5,0.5,1600,0.0,1.0
2003-06-09,0.6,0.6,0.6,0.6,3200,0.0,1.0
2003-06-10,0.6875,0.6875,0.6875,0.6875,3200,0.0,1.0
2003-06-11,0.62813,0.78125,0.62813,0.78125,4800,0.0,1.0
2003-06-13,0.71875,0.71875,0.67188,0.695,3200,0.0,1.0
