date,open,high,low,close,volume,dividend,split
2000-08-14,2.75,2.75,2.625,2.625,800,0.0,1.0
2000-08-15,2.625,2.625,2.625,2.625,0,0.0,1.0
2000-08-16,2.4375,2.45,2.4375,2.45,400,0.0,1.0
2000-08-17,2.5,2.5,2.5,2.5,2000,0.0,1.0
2000-08-18,2.4375,2.4375,2.4375,2.4375,1000,0.0,1.0
2000-08-21,3.0375,3.0375,2.625,2.625,1400,0.0,1.0
2000-08-22,2.5125,2.75,2.5125,2.7375,2400,0.0,1.0
2000-08-23,2.7375,2.7375,2.7375,2.7375,0,0.0,1.0
2000-08-24,2.5625,2.7375,2.5375,2.5875,5800,0.0,1.0
2000-08-25,2.625,2.7875,2.625,2.7875,9400,0.0,1.0
2000-08-28,3,3,3,3,1000,0.0,1.0
2000-08-29,3.2375,3.2375,3.2375,3.2375,200,0.0,1.0
2000-08-30,3.4875,3.4875,3.0375,3.25,600,0.0,1.0
2000-08-31,3.375,3.5,3.375,3.45,1000,0.0,1.0
2000-09-01,3.45,3.45,3.45,3.45,0,0.0,1.0
2000-09-04,3.2625,3.2625,3.25,3.25,600,0.0,1.0
2000-09-05,3.25,3.375,3.25,3.375,1000,0.0,1.0
2000-09-06,3.375,3.6375,3.375,3.6375,600,0.0,1.0
2000-09-07,3.925,3.925,3.725,3.925,7000,0.0,1.0
2000-09-08,3.9,4.1,3.9,4.1,2400,0.0,1.0
2000-09-11,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-12,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-13,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-14,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-15,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-18,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-19,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-20,4.1,4.1,4.1,4.1,0,0.0,1.0
2000-09-21,3.5,3.5,3.4,3.4,4600,0.0,1.0
2000-09-22,3.1375,3.1375,3.1375,3.1375,200,0.0,1.0
2000-09-25,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-09-26,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-09-27,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-09-28,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-09-29,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-02,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-03,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-04,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-05,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-06,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-09,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-10,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-11,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-12,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-13,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-16,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-17,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-18,3.1375,3.1375,3.1375,3.1375,0,0.0,1.0
2000-10-19,3.1125,3.25,3.1125,3.1125,4800,0.0,1.0
2000-10-20,3.1125,3.1125,3.1125,3.1125,0,0.0,1.0
2000-10-23,3.1125,3.1125,3.1125,3.1125,0,0.0,1.0
2000-10-24,3.1125,3.1125,3.1125,3.1125,0,0.0,1.0
2000-10-25,3.1125,3.1125,3.1125,3.1125,0,0.0,1.0
2000-10-26,3.1125,3.1125,3.1125,3.1125,0,0.0,1.0
2000-10-27,2.6625,2.6875,2.6625,2.6875,2200,0.0,1.0
2000-10-30,2.675,2.7875,2.675,2.7875,800,0.0,1.0
2000-10-31,2.7875,2.7875,2.7875,2.7875,0,0.0,1.0
2000-11-01,2.85,2.85,2.85,2.85,1000,0.0,1.0
2000-11-02,2.8625,3.075,2.8625,3.075,1800,0.0,1.0
2000-11-03,3.125,3.3125,3.075,3.3,3000,0.0,1.0
2000-11-06,3.4375,3.475,3.1375,3.4625,3000,0.0,1.0
2000-11-07,3.3,3.55,3.3,3.45,2800,0.0,1.0
2000-11-08,3.275,3.325,3.2,3.275,8600,0.0,1.0
2000-11-09,3.3125,3.5,3.3125,3.45,5800,0.0,1.0
2000-11-10,3.525,3.7,3.5,3.5,5400,0.0,1.0
2000-11-13,3.5875,3.5875,3.275,3.275,1400,0.0,1.0
2000-11-14,3.25,3.375,3.25,3.375,600,0.0,1.0
2000-11-15,3.3125,3.3125,3.3125,3.3125,200,0.0,1.0
2000-11-16,3.25,3.325,3.25,3.3,800,0.0,1.0
2000-11-17,3.35,3.4,3.325,3.4,1600,0.0,1.0
2000-11-20,3.25,3.25,3.25,3.25,400,0.0,1.0
2000-11-21,3.25,3.25,3.25,3.25,0,0.0,1.0
2000-11-22,3.375,3.375,3.375,3.375,200,0.0,1.0
2000-11-23,3.25,3.25,3.25,3.25,400,0.0,1.0
2000-11-24,3.125,3.45,3,3.4375,3600,0.0,1.0
