date,open,high,low,close,volume,dividend,split
2015-08-26,600,663.099976,580,585.75,1149607,0.0,1.0
2015-08-27,595,656.099976,595,637.299988,460003,0.0,1.0
2015-08-28,638,650.299988,620,624.099976,116204,0.0,1.0
2015-08-31,627,627,609.799988,614.25,41189,0.0,1.0
2015-09-01,608,618.5,584.75,589,31863,0.0,1.0
2015-09-02,595,615,583,609.5,46268,0.0,1.0
2015-09-03,611,619.75,602.75,610.25,19033,0.0,1.0
2015-09-04,620,620,591,600.25,20886,0.0,1.0
2015-09-07,604.25,608,581,586.25,7593,0.0,1.0
2015-09-08,590,596.75,582,588,7961,0.0,1.0
2015-09-09,593.5,596.75,582.5,584.5,5979,0.0,1.0
2015-09-10,585,585,574,580,5633,0.0,1.0
2015-09-11,584.75,587.5,573,579,6463,0.0,1.0
2015-09-14,580,593,573,587.5,14745,0.0,1.0
2015-09-15,590,590.25,581,583.5,5628,0.0,1.0
2015-09-16,588,588,569.25,570.75,5325,0.0,1.0
2015-09-18,573.75,577.25,566,567.5,9493,0.0,1.0
2015-09-21,566.5,587,566,577.5,37814,0.0,1.0
2015-09-22,583,588,573,576.25,5956,0.0,1.0
2015-09-23,571,588,571,585,5856,0.0,1.0
2015-09-24,595,595,575.5,578,5408,0.0,1.0
2015-09-28,586.5,586.5,572,574.75,2876,0.0,1.0
2015-09-29,565.25,577.5,565.25,575.25,1288,0.0,1.0
2015-09-30,580.25,582,575.25,577.25,1574,0.0,1.0
2015-10-01,576,625,575,600.75,46117,0.0,1.0
2015-10-05,604.25,620.5,591,607.25,12080,0.0,1.0
2015-10-06,608.5,610.75,602.25,606.75,5614,0.0,1.0
2015-10-07,605,615,594,612.25,6325,0.0,1.0
2015-10-08,609,609,594,598.75,2621,0.0,1.0
2015-10-09,601.75,601.75,583.25,587.5,3146,0.0,1.0
2015-10-12,589.5,596,586.25,591.25,2550,0.0,1.0
2015-10-13,585.75,607,585.75,603.25,3118,0.0,1.0
2015-10-14,604,618.75,599.25,611,41932,0.0,1.0
2015-10-15,611,623.5,606,611.5,9158,0.0,1.0
2015-10-16,615,623,608,614.5,11834,0.0,1.0
2015-10-19,622.75,622.75,611,615,4310,0.0,1.0
2015-10-20,614.75,630,603,606.25,13279,0.0,1.0
2015-10-21,614.75,622,608,613.25,11336,0.0,1.0
2015-10-23,615.5,626.75,612,623.25,15320,0.0,1.0
2015-10-26,620.75,622,608,609.5,3800,0.0,1.0
2015-10-27,608.75,618,604,613.5,6680,0.0,1.0
2015-10-28,620.5,620.5,610,614.5,3348,0.0,1.0
2015-10-29,615.75,615.75,600,604,4012,0.0,1.0
2015-10-30,610,613.75,592.5,594.25,5244,0.0,1.0
2015-11-02,588,593.5,586,590.25,4658,0.0,1.0
2015-11-03,595,611.75,595,605,4035,0.0,1.0
2015-11-04,608.5,617.25,606.25,608,3018,0.0,1.0
2015-11-05,605.75,608.25,598,605.75,2517,0.0,1.0
2015-11-06,602.75,605,593,594,2203,0.0,1.0
2015-11-09,585.75,608,582,601.75,4829,0.0,1.0
2015-11-10,603,628.5,603,618,10685,0.0,1.0
2015-11-13,611,617,602,605.5,996,0.0,1.0
2015-11-16,606,616,602,604.5,10464,0.0,1.0
2015-11-17,609.75,624,600.75,617.75,5909,0.0,1.0
2015-11-18,626,626,610,612.5,4206,0.0,1.0
2015-11-19,615,618.5,606.25,609.25,865,0.0,1.0
2015-11-20,610,614.75,607,608,1649,0.0,1.0
2015-11-23,608.5,614,607,607.75,770,0.0,1.0
2015-11-24,609,646,607.5,625.75,16414,0.0,1.0
2015-11-26,624,640,623.75,634.25,7800,0.0,1.0
2015-11-27,626.5,634.5,622,626,3641,0.0,1.0
2015-11-30,590,626.25,590,611.5,1315,0.0,1.0
2015-12-01,615,622,612,614.25,1502,0.0,1.0
2015-12-02,617,618,607.5,615.25,1657,0.0,1.0
2015-12-03,612,612,607.5,607.75,1178,0.0,1.0
2015-12-04,607.5,610,596,599.75,3752,0.0,1.0
2015-12-07,606,612,600.5,610.75,3476,0.0,1.0
2015-12-08,610,615,605.5,612,2151,0.0,1.0
2015-12-09,612.5,612.5,602,605.75,988,0.0,1.0
2015-12-10,605.25,613,604.25,611.75,3081,0.0,1.0
2015-12-11,611,616.75,603.75,608.25,6551,0.0,1.0
2015-12-14,616,616,606,611.5,424,0.0,1.0
2015-12-15,611.5,616,609,614.25,877,0.0,1.0
2015-12-16,613,624.75,610.25,621,3463,0.0,1.0
2015-12-17,620,633.25,618.5,625,7502,0.0,1.0
2015-12-18,622,637,622,630.25,7284,0.0,1.0
2015-12-21,630,635,630,631.25,4478,0.0,1.0
2015-12-22,630.5,639.5,630.25,635,2999,0.0,1.0
2015-12-23,634.75,636,631,634.5,3655,0.0,1.0
2015-12-24,630,640,628.5,631.75,4988,0.0,1.0
2015-12-28,634,639.75,631,637.25,2119,0.0,1.0
2015-12-29,638.5,666,638.25,657.25,21235,0.0,1.0
2015-12-30,663,667.5,652.25,656.5,9975,0.0,1.0
2015-12-31,660,661.5,652,658.75,4728,0.0,1.0
2016-01-01,655.75,669,653,660.75,4029,0.0,1.0
2016-01-04,653,659.75,641.75,653.5,8999,0.0,1.0
2016-01-05,655,666,653,659.75,6138,0.0,1.0
2016-01-06,654,676,654,661,7830,0.0,1.0
2016-01-07,655,662,650,660.25,4527,0.0,1.0
2016-01-08,659.25,665.5,659.25,661.5,3775,0.0,1.0
2016-01-11,656.25,691,654.75,685.25,12524,0.0,1.0
2016-01-12,688.75,701,672,675.25,7524,0.0,1.0
2016-01-13,689,691,626.25,663.25,16967,0.0,1.0
2016-01-14,641,660,641,651,3569,0.0,1.0
2016-01-15,655,659,631,648,6446,0.0,1.0
2016-01-18,628,628,576,581,4360,0.0,1.0
2016-01-19,575,600,575,598,1934,0.0,1.0
2016-01-20,571,581.5,571,573.75,1218,0.0,1.0
2016-01-21,590,603.5,587.5,593.25,1763,0.0,1.0
2016-01-22,601,623.5,601,614,2511,0.0,1.0
2016-01-25,623,630,610,615.75,1062,0.0,1.0
2016-01-27,640,640,605.25,607,1483,0.0,1.0
2016-01-28,603,613,600,603.25,1320,0.0,1.0
2016-01-29,600.5,603.25,590.25,594.5,704,0.0,1.0
2016-02-01,603,604,586,597,1313,0.0,1.0
2016-02-02,604,604,583,590.5,2211,0.0,1.0
2016-02-03,589,599,582.25,594.75,314,0.0,1.0
2016-02-04,586,591,578,580.5,504,0.0,1.0
2016-02-05,585,592.5,576.25,590,402,0.0,1.0
2016-02-08,589.75,591.25,582,586,232,0.0,1.0
2016-02-09,588,588,582,582.5,172,0.0,1.0
2016-02-10,582.25,587,575.25,581.75,177,0.0,1.0
2016-02-11,578.75,585,537.75,561.5,991,0.0,1.0
2016-02-12,558.5,570,552.25,562,341,0.0,1.0
2016-02-15,560,585,555,563.25,686,0.0,1.0
2016-02-16,570,626,551.25,560.25,8827,0.0,1.0
2016-02-17,555,568,546.5,550,594,0.0,1.0
2016-02-18,579,579,560,570,1528,0.0,1.0
2016-02-19,563.25,577.75,563,573.5,529,0.0,1.0
2016-02-22,566.25,579.75,563.5,573.25,1132,0.0,1.0
2016-02-23,560.5,560.5,555,559.25,342,0.0,1.0
2016-02-24,555,565.5,545,561.75,528,0.0,1.0
2016-02-25,555,566.5,555,562.25,22907,0.0,1.0
2016-02-26,561,576,556,575,2237,0.0,1.0
2016-02-29,565.25,578.5,564,574.75,742,0.0,1.0
2016-03-01,575,580,555,574,73589,0.0,1.0
2016-03-02,574.75,582.25,563.25,575,3303,0.0,1.0
2016-03-03,568.75,574,561,572.25,337,0.0,1.0
2016-03-04,577,582.75,565.25,571.5,2090,0.0,1.0
2016-03-08,572,576,560,565.5,2831,0.0,1.0
2016-03-09,556,570,556,565,235,0.0,1.0
2016-03-10,560,578,558,574.5,638,0.0,1.0
2016-03-11,578,578,572,575.5,259,0.0,1.0
2016-03-14,572,572,559.25,563,4206,0.0,1.0
2016-03-15,568.75,569.75,561.5,569.5,202,0.0,1.0
2016-03-16,567,569.75,562.5,568,192,0.0,1.0
2016-03-17,570,570.5,560,561.5,245,0.0,1.0
2016-03-18,564,564.25,558.25,564.25,131,0.0,1.0
2016-03-21,568.75,568.75,563,564.75,64,0.0,1.0
2016-03-22,570,576.75,565,574,1213,0.0,1.0
2016-03-23,573,573,560,561.75,387,0.0,1.0
2016-03-28,560.5,575,546,558.75,867,0.0,1.0
2016-03-29,555.25,555.25,551,551.25,1092,0.99226,1.0
2016-03-30,559.75,569.5,552,565,520,0.0,1.0
2016-03-31,566,566,555.25,558,169,0.0,1.0
2016-04-01,558.75,580,558,578.25,446,0.0,1.0
2016-04-04,578,599.75,578,590,443,0.0,1.0
2016-04-05,595,595,575.25,578,95,0.0,1.0
2016-04-06,575,579.5,566.25,577.25,86,0.0,1.0
2016-04-07,577,577,577,577,50,0.0,1.0
2016-04-08,577,577,577,577,0,0.0,1.0
2016-04-11,572.5,580.5,572.5,580.5,166,0.0,1.0
2016-04-12,585,600,575.5,589.75,674,0.0,1.0
2016-04-13,594,609,594,602.75,464,0.0,1.0
2016-04-18,600,600,580,589.25,112,0.0,1.0
2016-04-20,595,595.75,581.25,581.5,423,0.0,1.0
2016-04-21,580,614,575,597.25,3327,0.0,1.0
2016-04-22,602,602,585,590.5,3113,0.0,1.0
2016-04-25,599,599,582.5,587.75,534,0.0,1.0
2016-04-26,581,602.5,581,599,381,0.0,1.0
2016-04-27,597.25,603,593,598.5,299,0.0,1.0
2016-04-28,595.5,596,587.75,587.75,16808,0.0,1.0
2016-04-29,590,590,586,589.25,263,0.0,1.0
2016-05-02,586,589,581.25,587.75,65,0.0,1.0
2016-05-03,595,596,585,585,192,0.0,1.0
2016-05-04,590,595,581,581,181,0.0,1.0
2016-05-05,585,600,585,591.75,310,0.0,1.0
2016-05-06,587.25,604,587,600,396,0.0,1.0
2016-05-09,592,592,585.25,590.75,242,0.0,1.0
2016-05-10,586.5,586.5,577,580,400,0.0,1.0
2016-05-11,579,582.75,574.25,575,73319,0.0,1.0
