date,open,high,low,close,volume,dividend,split
2015-09-21,117.25,118.449997,113.199997,116.349998,2225951,0.0,1.0
2015-09-22,115.949997,119,111,114.300003,1445455,0.0,1.0
2015-09-23,114.349998,114.849998,112.5,112.849998,61853,0.0,1.0
2015-09-24,113.349998,114.599998,110,110.199997,59932,0.0,1.0
2015-09-28,110.150002,110.199997,103.5,106.099998,63928,0.0,1.0
2015-09-29,106,106,99.550003,105.099998,46594,0.0,1.0
2015-09-30,103.800003,111.199997,103.800003,105.800003,31446,0.0,1.0
2015-10-01,106.599998,114.699997,106.599998,112.5,99511,0.0,1.0
2015-10-05,112.800003,121,112.800003,117.099998,1541553,0.0,1.0
2015-10-06,125,129.300003,120.400002,121.199997,302414,0.0,1.0
2015-10-07,121.900002,125,117.199997,123.400002,1226838,0.0,1.0
2015-10-08,124.400002,126.5,118.5,120.900002,123187,0.0,1.0
2015-10-09,121.599998,123,117.599998,118.699997,79222,0.0,1.0
2015-10-12,119.300003,119.300003,113.099998,114.5,92441,0.0,1.0
2015-10-13,115,118.800003,115,116.599998,47259,0.0,1.0
2015-10-14,116.5,118,115.199997,115.400002,39872,0.0,1.0
2015-10-15,116.199997,120.800003,115.5,117.800003,1120555,0.0,1.0
2015-10-16,118.800003,126.599998,116.400002,125,240161,0.0,1.0
2015-10-19,126.300003,127.800003,121.599998,122.900002,100326,0.0,1.0
2015-10-20,124.099998,130.300003,122.099998,128.399994,156907,0.0,1.0
2015-10-21,129.899994,138.899994,127.199997,136.199997,283173,0.0,1.0
2015-10-23,136.600006,153.800003,135.5,142.699997,543749,0.0,1.0
2015-10-26,143.699997,144,135.399994,136.300003,98222,0.0,1.0
2015-10-27,136.300003,142.699997,133.100006,139.199997,80257,0.0,1.0
2015-10-28,139.5,146.899994,139.5,144.100006,107983,0.0,1.0
2015-10-29,144.800003,145.100006,140,140.800003,30063,0.0,1.0
2015-10-30,141.800003,143.899994,139.899994,142.199997,46469,0.0,1.0
2015-11-02,141.100006,146,140,145.100006,47443,0.0,1.0
2015-11-03,146.100006,148,142.5,143.199997,84866,0.0,1.0
2015-11-04,144.5,144.899994,140,140.399994,27816,0.0,1.0
2015-11-05,140.5,141.199997,134.100006,134.800003,25543,0.0,1.0
2015-11-06,136.5,137.199997,132,134.5,22511,0.0,1.0
2015-11-09,130.199997,139.800003,130.199997,138.600006,20394,0.0,1.0
2015-11-10,137.399994,144.399994,136.800003,138.100006,41830,0.0,1.0
2015-11-13,140,143.5,138.5,141.600006,16566,0.0,1.0
2015-11-16,140.5,143.600006,138.899994,140.399994,14302,0.0,1.0
2015-11-17,140.800003,142,138.100006,139.5,15266,0.0,1.0
2015-11-18,139,142.699997,136,136.899994,21108,0.0,1.0
2015-11-19,141,141,136.100006,138.399994,16489,0.0,1.0
2015-11-20,139.899994,140.600006,136.300003,137.300003,35593,0.0,1.0
2015-11-23,140,143.300003,138,142,42744,0.0,1.0
2015-11-24,143.199997,167.5,143.199997,160.699997,302837,0.0,1.0
2015-11-26,162.399994,164.5,156.800003,158.5,123806,0.0,1.0
2015-11-27,159.399994,159.399994,149,151.699997,88252,0.0,1.0
2015-11-30,152.899994,157.399994,149.5,154.300003,60183,0.0,1.0
2015-12-01,154.699997,165,154.199997,160.300003,138858,0.0,1.0
2015-12-02,162,164.399994,157,158,51925,0.0,1.0
2015-12-03,158.699997,159.899994,154,155.300003,26216,0.0,1.0
2015-12-04,154,158,152,153.800003,15340,0.0,1.0
2015-12-07,156.699997,156.699997,149.399994,151.600006,13648,0.0,1.0
2015-12-08,152,159.899994,140.800003,142.800003,509441,0.0,1.0
2015-12-09,144.699997,147.199997,136,137.699997,43269,0.0,1.0
2015-12-10,141,141.5,137.600006,140,17271,0.0,1.0
2015-12-11,140,144.5,134.800003,138,28509,0.0,1.0
2015-12-14,136.100006,142.699997,136,141.5,18926,0.0,1.0
2015-12-15,141.199997,146.100006,141.199997,142.800003,20626,0.0,1.0
2015-12-16,140.899994,145.300003,139.899994,141.399994,16702,0.0,1.0
2015-12-17,141.699997,151.300003,141.699997,149.300003,74536,0.0,1.0
2015-12-18,147,153.100006,146.399994,151.399994,89509,0.0,1.0
2015-12-21,152.699997,154,149.899994,150.399994,26586,0.0,1.0
2015-12-22,132.100006,159.600006,132.100006,157.399994,77799,0.0,1.0
2015-12-23,159.5,160,152.899994,153.199997,25269,0.0,1.0
2015-12-24,154,155.800003,145.199997,146.100006,61291,0.0,1.0
2015-12-28,148.699997,155,147.300003,151.199997,2098539,0.0,1.0
