date,open,high,low,close,volume,dividend,split
2002-01-10,2.4,2.4,2.4,2.4,15,0.0,1.0
2002-01-18,1.95,1.95,1.95,1.95,534,0.0,1.0
2002-01-22,2,2,2,2,300,0.0,1.0
2002-01-24,1.65,1.65,1.65,1.65,500,0.0,1.0
2002-01-28,1.95,1.95,1.95,1.95,200,0.0,1.0
2002-07-24,2,2.1,2,2.1,1200,0.0,1.0
2002-07-30,2.45,2.45,2.45,2.45,450,0.0,1.0
2002-08-02,2,2.8,2,2.8,600,0.0,1.0
2002-08-07,3.15,3.15,3.15,3.15,25,0.0,1.0
2002-08-08,3.15,3.15,3.15,3.15,50,0.0,1.0
2002-08-09,3.75,3.75,3.75,3.75,5,0.0,1.0
2002-08-28,3.05,3.05,3.05,3.05,200,0.0,1.0
2002-08-29,3.65,3.65,3.65,3.65,25,0.0,1.0
2002-09-11,4.35,4.35,3,3,980,0.0,1.0
2002-09-16,2.45,2.45,2.45,2.45,1200,0.0,1.0
2002-10-16,2.9,2.9,2.9,2.9,50,0.0,1.0
2002-10-17,3.3,3.3,2.35,2.35,2410,0.0,1.0
2002-10-18,2.3,2.3,2.3,2.3,2290,0.0,1.0
2002-10-22,2,2.25,2,2,2000,0.0,1.0
2002-11-07,2.3,2.3,2.3,2.3,300,0.0,1.0
2002-11-13,2.4,2.5,2.4,2.5,1270,0.0,1.0
2002-11-25,2.05,2.05,2.05,2.05,500,0.0,1.0
2002-11-27,2.2,2.2,2,2,2300,0.0,1.0
2002-12-05,2.4,2.4,2.4,2.4,1000,0.0,1.0
2002-12-09,2.85,2.85,2.05,2.05,150,0.0,1.0
2002-12-11,2,2,2,2,1000,0.0,1.0
2002-12-23,1.65,1.65,1.65,1.65,1200,0.0,1.0
2002-12-26,1.95,1.95,1.95,1.95,830,0.0,1.0
2002-12-27,2.25,2.25,2.25,2.25,500,0.0,1.0
2003-01-10,2.5,2.5,2.5,2.5,200,0.0,1.0
2003-01-23,2.4,2.4,2.4,2.4,10,0.0,1.0
2003-06-03,1.93,1.93,1.93,1.93,300,0.0,1.0
2003-06-17,2.1,2.1,2.1,2.1,1000,0.0,1.0
2003-06-18,1.75,1.75,1.69,1.69,1100,0.0,1.0
2003-06-19,2,2,2,2,300,0.0,1.0
2003-06-20,2.2,2.2,2.2,2.2,100,0.0,1.0
2003-06-26,1.78,1.78,1.78,1.78,830,0.0,1.0
2003-06-27,1.5,1.5,1.5,1.5,590,0.0,1.0
2003-06-30,1.8,1.8,1.8,1.8,1000,0.0,1.0
2003-07-01,2.15,2.16,2,2.16,3001,0.0,1.0
2003-07-02,2.2,2.2,2.2,2.2,500,0.0,1.0
2003-07-03,2.2,2.2,2.2,2.2,500,0.0,1.0
2003-07-07,1.8,1.8,1.8,1.8,500,0.0,1.0
2003-07-15,2.16,2.16,2.16,2.16,100,0.0,1.0
2003-07-16,2.59,2.59,2.21,2.59,650,0.0,1.0
2003-07-17,3,3,3,3,2450,0.0,1.0
2003-07-18,3.6,3.6,3.6,3.6,100,0.0,1.0
2003-07-21,3.49,3.49,2.89,2.89,200,0.0,1.0
2003-07-22,2.9,3.31,2.9,3.31,295,0.0,1.0
2003-07-23,2.75,2.75,2.75,2.75,200,0.0,1.0
2003-07-24,2.75,2.75,2.75,2.75,300,0.0,1.0
2003-07-25,2.35,3.3,2.35,3.3,101,0.0,1.0
2003-07-30,3.05,3.05,3.05,3.05,200,0.0,1.0
2003-08-01,3.6,3.6,3.6,3.6,50,0.0,1.0
2003-08-08,2.89,2.89,2.89,2.89,1000,0.0,1.0
2003-08-11,3.25,3.25,3.25,3.25,3000,0.0,1.0
2003-08-12,2.61,3.66,2.61,3.66,2610,0.0,1.0
2003-08-13,3.89,3.89,3.89,3.89,50,0.0,1.0
2003-08-14,4.5,4.5,3.3,3.63,3724,0.0,1.0
2003-08-18,3.5,4,3.5,3.6,2376,0.0,1.0
2003-08-19,3.6,3.61,3.6,3.6,2500,0.0,1.0
2003-08-20,3,3.4,3,3.4,400,0.0,1.0
2003-08-21,2.73,3,2.73,3,2400,0.0,1.0
2003-08-28,2.9,2.95,2.9,2.95,500,0.0,1.0
2003-08-29,2.37,2.37,2.37,2.37,700,0.0,1.0
2003-09-02,2.5,2.5,2.1,2.1,410,0.0,1.0
2003-09-04,2.4,2.4,2.4,2.4,700,0.0,1.0
2003-09-05,2.21,2.21,2.21,2.21,3000,0.0,1.0
2003-09-08,1.85,2.06,1.85,2.06,3200,0.0,1.0
2003-09-12,2.45,2.45,2.45,2.45,5,0.0,1.0
2003-09-15,2.93,2.93,2.93,2.93,5,0.0,1.0
2003-09-17,2.35,2.36,2.35,2.36,505,0.0,1.0
2003-09-19,2.83,2.83,2.83,2.83,100,0.0,1.0
2003-09-22,2.9,3.39,2.9,3.39,1250,0.0,1.0
2003-09-23,3.4,3.5,3.15,3.4,1302,0.0,1.0
2003-09-24,3,3.8,3,3.8,13000,0.0,1.0
2003-09-25,3.8,3.8,3.1,3.1,202,0.0,1.0
2003-09-26,3.6,3.7,3,3.7,10600,0.0,1.0
2003-09-29,3.2,3.2,3.05,3.05,15,0.0,1.0
2003-09-30,3,3.5,2.7,2.7,2900,0.0,1.0
2003-10-01,3,3,3,3,500,0.0,1.0
2003-10-06,2.6,2.6,2.6,2.6,500,0.0,1.0
2003-10-08,2.36,2.6,2.36,2.6,800,0.0,1.0
2003-10-09,2.52,2.52,2.52,2.52,400,0.0,1.0
2003-10-10,2.72,2.72,2.26,2.26,2200,0.0,1.0
2003-10-13,2.5,2.5,2.2,2.2,1499,0.0,1.0
2003-10-15,2.63,2.63,2.17,2.17,300,0.0,1.0
2003-10-16,2.49,2.49,2.49,2.49,400,0.0,1.0
2003-10-21,2.26,2.26,2.26,2.26,200,0.0,1.0
2003-10-27,2.25,2.25,2.25,2.25,500,0.0,1.0
2003-10-29,2.25,2.25,2.25,2.25,1300,0.0,1.0
2003-11-07,2.05,2.05,2.05,2.05,1000,0.0,1.0
2003-11-10,2.15,2.15,2.15,2.15,500,0.0,1.0
2003-11-11,2.15,2.15,2.15,2.15,4500,0.0,1.0
2003-11-12,2.58,2.58,2.58,2.58,4000,0.0,1.0
2003-11-19,2.3,2.3,2.3,2.3,1000,0.0,1.0
2003-11-20,2.25,2.5,2.25,2.26,4500,0.0,1.0
2003-11-21,2.5,2.5,2.5,2.5,1002,0.0,1.0
2003-11-27,3,3,3,3,50,0.0,1.0
2003-11-28,2.7,2.7,2.6,2.6,700,0.0,1.0
2003-12-01,2.16,2.8,2.16,2.8,705,0.0,1.0
2003-12-02,2.3,2.3,2.3,2.3,495,0.0,1.0
2003-12-05,2.76,2.76,2.61,2.61,4000,0.0,1.0
2003-12-08,3,3.13,2.71,3.13,2910,0.0,1.0
2003-12-09,3.75,3.75,3.75,3.75,610,0.0,1.0
2003-12-12,3.05,3.7,3.05,3.7,1725,0.0,1.0
2003-12-15,3.75,3.75,3.2,3.42,800,0.0,1.0
2003-12-16,3.75,3.75,3.75,3.75,10,0.0,1.0
2003-12-17,3.9,3.9,3.05,3.6,5925,0.0,1.0
2003-12-18,3.6,4.24,3.6,4.24,9900,0.0,1.0
2003-12-19,3.5,4.7,3.5,3.53,2200,0.0,1.0
2003-12-22,4,4.23,4,4.23,5906,0.0,1.0
2003-12-23,5.07,5.07,3.61,4.22,3555,0.0,1.0
2003-12-24,5.05,5.06,4.6,5.06,9795,0.0,1.0
2003-12-26,5.71,6.07,5.65,6.07,16701,0.0,1.0
2003-12-29,5.9,6.2,5.4,6.2,1300,0.0,1.0
2003-12-30,7.25,7.25,5.3,5.36,630,0.0,1.0
2003-12-31,5.75,5.75,4.65,4.69,22600,0.0,1.0
2004-01-01,4,5.25,4,5.25,2400,0.0,1.0
2004-01-02,5.5,5.5,4.51,4.75,2601,0.0,1.0
2004-01-05,4.85,4.85,4,4,2300,0.0,1.0
2004-01-06,3.29,4,3.28,4,1825,0.0,1.0
2004-01-07,4,4,3.29,4,650,0.0,1.0
2004-01-08,4.1,4.39,4,4,650,0.0,1.0
2004-01-09,3.86,3.86,3.75,3.75,4600,0.0,1.0
2004-01-12,4.49,4.5,4.02,4.45,4107,0.0,1.0
2004-01-13,4.4,4.4,4,4,700,0.0,1.0
2004-01-14,4,4.05,3.3,3.65,5800,0.0,1.0
2004-01-15,3.99,4.38,3.36,4.38,5400,0.0,1.0
2004-01-16,4.1,4.1,3.55,3.55,3570,0.0,1.0
2004-01-19,4.2,4.2,4.2,4.2,50,0.0,1.0
2004-01-20,3.37,3.37,3.37,3.37,100,0.0,1.0
2004-01-21,3.01,3.9,3.01,3.9,125,0.0,1.0
2004-01-22,3.16,3.16,3.16,3.16,50,0.0,1.0
2004-01-23,3.16,3.79,3.16,3.79,558,0.0,1.0
2004-01-27,3.99,3.99,3.99,3.99,50,0.0,1.0
2004-01-28,3.5,3.5,3.5,3.5,3000,0.0,1.0
2004-01-29,3.5,3.5,3,3,300,0.0,1.0
2004-01-30,3.5,3.5,3.5,3.5,100,0.0,1.0
2004-02-03,3,3.5,2.95,3.5,1225,0.0,1.0
2004-02-04,2.93,3.4,2.91,3.39,550,0.0,1.0
2004-02-06,3.4,3.4,2.75,3,1510,0.0,1.0
2004-02-09,3.39,3.39,3.39,3.39,50,0.0,1.0
2004-02-10,2.82,2.82,2.82,2.82,100,0.0,1.0
2004-02-11,2.85,3.2,2.85,3.2,150,0.0,1.0
2004-02-12,2.8,2.83,2.58,2.83,1300,0.0,1.0
2004-02-17,3.1,3.1,2.75,2.79,5100,0.0,1.0
2004-02-20,3.1,3.1,3.1,3.1,50,0.0,1.0
2004-02-23,3.25,3.49,2.55,3.36,130,0.0,1.0
2004-02-24,2.7,2.7,2.69,2.69,1100,0.0,1.0
2004-02-25,3.12,3.12,3.12,3.12,50,0.0,1.0
2004-02-26,2.56,2.56,2.56,2.56,800,0.0,1.0
2004-02-27,2.99,2.99,2.98,2.98,20,0.0,1.0
2004-03-03,2.39,2.52,2.39,2.52,2290,0.0,1.0
2004-03-08,2.55,2.98,2.55,2.98,900,0.0,1.0
2004-03-09,2.6,2.6,2.6,2.6,500,0.0,1.0
2004-03-11,2.98,2.98,2.97,2.97,50,0.0,1.0
2004-03-18,2.38,2.38,2.38,2.38,250,0.0,1.0
2004-03-25,2.65,2.65,2.65,2.65,1000,0.0,1.0
2004-03-29,2.5,2.5,2.5,2.5,500,0.0,1.0
2004-03-31,2.13,2.13,2.13,2.13,50,0.0,1.0
2004-04-05,2.55,2.55,2.55,2.55,10000,0.0,1.0
2004-04-06,2.57,2.57,2.57,2.57,500,0.0,1.0
2004-04-07,3.05,3.05,3.05,3.05,50,0.0,1.0
2004-04-08,2.85,2.85,2.85,2.85,500,0.0,1.0
2004-04-12,3,3,3,3,1500,0.0,1.0
2004-04-15,3,3,2.9,2.9,754,0.0,1.0
2004-04-19,2.5,2.5,2.5,2.5,200,0.0,1.0
2004-04-20,2.3,2.3,2.3,2.3,1000,0.0,1.0
2004-04-22,2.76,2.76,2.76,2.76,2900,0.0,1.0
2004-04-29,2.9,2.9,2.9,2.9,10,0.0,1.0
2004-05-07,2.43,2.43,2.4,2.4,6500,0.0,1.0
2004-05-10,2.88,2.88,2.88,2.88,300,0.0,1.0
2004-05-11,2.34,2.34,2.33,2.33,500,0.0,1.0
2004-05-19,2.05,2.7,2,2.7,4525,0.0,1.0
2004-05-21,2.4,2.4,2.4,2.4,2000,0.0,1.0
2004-05-27,2.02,2.02,2.02,2.02,100,0.0,1.0
2004-06-01,2.2,2.4,2.2,2.2,5050,0.0,1.0
2004-06-02,2.4,2.4,2.03,2.03,1290,0.0,1.0
2004-06-04,2,2,2,2,1000,0.0,1.0
2004-06-07,2.01,2.01,2.01,2.01,500,0.0,1.0
2004-06-09,2.41,2.41,1.88,2.39,522,0.0,1.0
2004-06-10,2.02,2.02,2.02,2.02,500,0.0,1.0
2004-06-11,2.06,2.25,2.06,2.25,700,0.0,1.0
2004-06-18,1.86,2.5,1.86,2.5,501,0.0,1.0
2004-06-24,2.01,2.01,2.01,2.01,500,0.0,1.0
2004-06-25,1.95,1.95,1.95,1.95,700,0.0,1.0
2004-06-30,2.2,2.2,2.2,2.2,500,0.0,1.0
2004-07-05,2.06,2.06,2.06,2.06,500,0.0,1.0
2004-07-12,2.47,2.47,2.47,2.47,100,0.0,1.0
2004-07-16,2.01,2.1,2.01,2.1,60,0.0,1.0
2004-07-19,2.51,2.51,2.51,2.51,200,0.0,1.0
2004-07-20,2.02,2.02,2.02,2.02,50,0.0,1.0
2004-07-22,2.42,2.42,2.41,2.41,2699,0.0,1.0
2004-07-26,2.85,2.85,2.85,2.85,50,0.0,1.0
2004-07-29,2.29,2.29,2.29,2.29,500,0.0,1.0
2004-08-02,2.73,2.73,2.69,2.69,500,0.0,1.0
2004-08-04,2.24,2.27,2.24,2.27,3700,0.0,1.0
2004-08-05,1.9,1.9,1.9,1.9,200,0.0,1.0
2004-08-06,2.25,2.25,2.13,2.13,900,0.0,1.0
2004-08-09,2.55,2.55,2.55,2.55,2000,0.0,1.0
2004-08-10,2.55,2.6,2.55,2.6,1200,0.0,1.0
2004-08-11,2.5,2.5,2.5,2.5,300,0.0,1.0
2004-08-13,2.01,2.95,2.01,2.5,1550,0.0,1.0
2004-08-16,2.5,2.5,2.5,2.5,2500,0.0,1.0
2004-08-18,2.5,2.5,2.5,2.5,1001,0.0,1.0
2004-08-26,2.5,2.5,2.05,2.05,300,0.0,1.0
2004-08-27,1.7,1.7,1.7,1.7,89,0.0,1.0
2004-08-30,2.04,2.04,2.04,2.04,500,0.0,1.0
2004-08-31,2,2,2,2,500,0.0,1.0
2004-09-01,2.4,2.4,2.4,2.4,50,0.0,1.0
2004-09-02,2.87,2.88,2.32,2.82,2057,0.0,1.0
2004-09-03,2.6,2.6,2.41,2.5,2700,0.0,1.0
2004-09-06,2.7,2.9,2.7,2.72,7050,0.0,1.0
2004-09-07,2.85,2.85,2.85,2.85,500,0.0,1.0
2004-09-08,2.51,2.95,2.51,2.93,10900,0.0,1.0
2004-09-09,2.95,3.25,2.66,2.66,10002,0.0,1.0
2004-09-10,2.95,3.19,2.95,3.19,14558,0.0,1.0
2004-09-13,3.45,3.82,3.25,3.82,18300,0.0,1.0
2004-09-14,4.25,4.25,3.8,3.8,5600,0.0,1.0
2004-09-15,3.66,3.93,3.49,3.49,2900,0.0,1.0
2004-09-16,3.3,3.75,3.26,3.33,2200,0.0,1.0
2004-09-17,3.26,3.26,3.1,3.1,700,0.0,1.0
2004-09-20,3.3,3.32,3.3,3.3,1300,0.0,1.0
2004-09-21,3.3,3.3,3,3.03,3200,0.0,1.0
2004-09-22,3.35,3.35,3.3,3.34,3000,0.0,1.0
2004-09-23,3.31,3.65,3.2,3.23,6200,0.0,1.0
2004-09-24,2.86,3.5,2.86,3.5,3900,0.0,1.0
2004-09-27,3.01,3.75,2.85,3.55,2100,0.0,1.0
2004-09-28,3.9,4.26,3.5,3.85,4810,0.0,1.0
2004-09-29,4.42,4.42,3.56,3.6,1175,0.0,1.0
2004-09-30,3.75,3.89,3.75,3.8,2900,0.0,1.0
2004-10-01,4.55,4.55,3.7,3.9,4515,0.0,1.0
2004-10-04,3.5,4.18,3.5,3.65,2904,0.0,1.0
2004-10-06,3.83,3.88,3.39,3.88,520,0.0,1.0
2004-10-07,3.5,4.21,3.5,3.75,15907,0.0,1.0
2004-10-08,3.8,4.5,3.8,4.39,13100,0.0,1.0
2004-10-11,4.05,4.45,3.56,4.01,14500,0.0,1.0
2004-10-12,3.65,4.3,3.65,4.3,3001,0.0,1.0
2004-10-14,3.95,4,3.95,4,2400,0.0,1.0
2004-10-15,4,4,3.65,4,2494,0.0,1.0
2004-10-18,4,4,4,4,501,0.0,1.0
2004-10-19,3.95,3.99,3.6,3.6,1411,0.0,1.0
2004-10-20,3.62,4,3.6,3.99,9794,0.0,1.0
2004-10-21,3.7,3.7,3.7,3.7,1750,0.0,1.0
2004-10-25,4.22,4.22,4.22,4.22,200,0.0,1.0
2004-10-27,3.9,3.9,3.9,3.9,500,0.0,1.0
2004-10-28,3.55,4,3.55,4,4500,0.0,1.0
2004-11-01,3.27,4,3.26,3.36,2350,0.0,1.0
2004-11-02,3.3,4.03,3.3,4.03,8050,0.0,1.0
2004-11-03,3.5,4.83,3.5,4.8,16913,0.0,1.0
2004-11-04,4.8,5.35,4.79,4.91,13560,0.0,1.0
2004-11-05,4.94,4.94,4.6,4.6,1000,0.0,1.0
2004-11-08,4.5,4.75,4.5,4.5,900,0.0,1.0
2004-11-09,4.65,4.65,4.11,4.11,490,0.0,1.0
2004-11-10,3.5,4.5,3.5,4.5,308,0.0,1.0
2004-11-11,4.35,4.35,4.25,4.25,1300,0.0,1.0
2004-11-12,5,5,4.95,4.95,450,0.0,1.0
2004-11-16,5,5.25,4.35,5,20592,0.0,1.0
2004-11-17,4.7,5.14,4.7,5,9802,0.0,1.0
2004-11-18,4.8,6,4.8,6,22905,0.0,1.0
2004-11-19,7.2,7.2,5.62,7.03,42836,0.0,1.0
2004-11-22,7.9,7.9,5.76,6.95,8100,0.0,1.0
2004-11-23,6.05,6.95,6,6.89,9960,0.0,1.0
2004-11-24,7.1,7.1,6,6.1,7115,0.0,1.0
2004-11-25,5.75,6.7,5.75,6.01,7950,0.0,1.0
2004-11-29,6.1,6.4,5.8,5.8,5500,0.0,1.0
2004-11-30,6.7,6.95,5,5,8760,0.0,1.0
2004-12-01,4.92,5.7,4.91,5.6,2700,0.0,1.0
2004-12-02,6.72,6.72,4.95,5.5,3050,0.0,1.0
2004-12-03,5.95,6,5.3,5.8,2300,0.0,1.0
2004-12-06,5.06,5.74,5.06,5.07,3825,0.0,1.0
2004-12-07,5.06,5.06,4.75,5,11100,0.0,1.0
2004-12-08,5.69,5.69,4.31,4.75,7525,0.0,1.0
2004-12-09,5,5,4.43,4.5,5125,0.0,1.0
2004-12-10,4.3,4.9,4.25,4.9,2895,0.0,1.0
2004-12-13,5.48,5.88,5.16,5.88,11750,0.0,1.0
2004-12-14,6.49,7.05,6,6.1,33440,0.0,1.0
2004-12-15,7.32,7.32,5.7,5.82,15607,0.0,1.0
2004-12-16,6.98,6.98,4.8,5.49,16161,0.0,1.0
2004-12-17,6,6,5.02,5.45,1950,0.0,1.0
2004-12-20,5.45,6.15,5.45,5.89,12434,0.0,1.0
2004-12-21,6,6.49,5.6,5.69,16742,0.0,1.0
2004-12-22,5.2,5.8,5.2,5.79,10300,0.0,1.0
2004-12-23,6.4,6.4,5.75,6.4,6950,0.0,1.0
2004-12-24,6.11,6.88,6.11,6.12,14001,0.0,1.0
2004-12-27,7.2,7.2,6,6,9416,0.0,1.0
2004-12-28,5.61,7.2,5.61,7,24377,0.0,1.0
2004-12-29,7,7.99,6.17,6.7,7167,0.0,1.0
2004-12-30,7.08,7.08,6.18,6.34,6601,0.0,1.0
2004-12-31,6.9,7.6,6.5,7,12322,0.0,1.0
2005-01-03,7.1,7.2,6.9,7.05,7259,0.0,1.0
2005-01-04,7.05,7.05,6.41,6.92,8050,0.0,1.0
2005-01-05,7.85,7.85,5.9,6.7,13249,0.0,1.0
2005-01-06,5.55,6.7,5.5,5.99,5795,0.0,1.0
2005-01-07,5.71,6.24,5.68,6.18,2600,0.0,1.0
2005-01-10,5.85,6.5,5.84,6.37,3000,0.0,1.0
2005-01-11,5.5,6.39,5.5,6.25,5355,0.0,1.0
2005-01-12,6,6.15,5.5,5.8,6200,0.0,1.0
2005-01-13,6.85,6.85,5.79,5.79,395,0.0,1.0
2005-01-14,6.01,6.01,6,6,3700,0.0,1.0
2005-01-17,5.5,5.5,5.5,5.5,500,0.0,1.0
2005-01-19,5.71,5.71,5.28,5.28,400,0.0,1.0
2005-01-20,5.94,5.94,5.01,5.01,205,0.0,1.0
2005-01-24,6.01,6.01,5.95,6.01,10370,0.0,1.0
2005-01-25,7.21,7.21,6.16,6.62,18225,0.0,1.0
2005-01-27,7.34,7.4,6.51,6.58,13350,0.0,1.0
2005-01-28,6.5,6.8,6.5,6.52,3700,0.0,1.0
2005-01-31,7,7.35,6.21,6.68,11700,0.0,1.0
2005-02-01,7.85,7.85,6.82,6.95,10500,0.0,1.0
2005-02-02,6.85,6.95,6.55,6.8,5820,0.0,1.0
2005-02-03,7,7.5,6.05,7.27,34395,0.0,1.0
2005-02-04,7.8,8.72,7.5,8.72,63300,0.0,1.0
2005-02-07,10.4,10.46,8,10.46,100606,0.0,1.0
2005-02-08,11.85,12.55,11.35,12.55,136269,0.0,1.0
2005-02-09,13.5,13.8,12,12.24,114733,0.0,1.0
2005-02-10,12.4,12.4,11.03,11.2,70110,0.0,1.0
2005-02-11,11.1,11.1,10.31,10.89,46374,0.0,1.0
2005-02-14,11.1,11.1,9.81,9.89,37017,0.0,1.0
2005-02-15,9.79,10.6,9.5,10.01,46499,0.0,1.0
2005-02-16,10.8,11.01,10,10.07,26976,0.0,1.0
2005-02-17,10.6,10.6,9.61,10.54,13177,0.0,1.0
2005-02-18,11.05,11.59,10.67,10.92,21381,0.0,1.0
2005-02-21,11.4,12.01,10.7,12,64720,0.0,1.0
2005-02-22,13,13.19,12.1,12.85,26223,0.0,1.0
2005-02-23,14.05,14.13,12.5,14.13,139636,0.0,1.0
2005-02-24,15.1,15.45,14.5,14.51,119195,0.0,1.0
2005-02-25,15.55,15.75,13.25,13.6,95850,0.0,1.0
2005-02-28,14.8,14.8,12.8,13.83,21417,0.0,1.0
2005-03-01,14.5,14.5,12.45,12.7,25074,0.0,1.0
2005-03-02,13,13.1,11.44,12.05,53901,0.0,1.0
2005-03-03,12.3,12.99,12,12.85,27048,0.0,1.0
2005-03-04,12.95,13.8,12.51,13.01,22978,0.0,1.0
2005-03-07,13.7,13.9,13,13.13,28990,0.0,1.0
2005-03-08,13.75,14,13.11,13.71,52345,0.0,1.0
2005-03-09,13.8,15.08,13.7,14.89,143010,0.0,1.0
2005-03-10,16.25,16.370001,15.1,16.370001,211763,0.0,1.0
2005-03-11,17.77,17.85,16.299999,16.870001,161484,0.0,1.0
2005-03-14,18,18,15.2,15.25,53562,0.0,1.0
2005-03-15,15.99,15.99,14.26,14.46,31395,0.0,1.0
2005-03-16,14.6,15.9,14.55,15.9,29284,0.0,1.0
2005-03-17,16.799999,17.190001,16,16.01,39733,0.0,1.0
2005-03-18,16.1,16.1,14.45,14.9,16603,0.0,1.0
2005-03-21,15.29,15.45,14.5,15.24,16980,0.0,1.0
