date,open,high,low,close,volume,dividend,split
2010-08-25,11.855,20.190001,11.7,18.795,468626000,0.0,1.0
2010-08-26,19,20.67,17.865,18.4,218060000,0.0,1.0
2010-08-27,18.389999,22.08,17.4,21.995001,153373000,0.0,1.0
2010-08-30,22.23,24.285,21.355,22.26,217016000,0.0,1.0
2010-08-31,21.33,21.99,20.24,21.610001,131806000,0.0,1.0
2010-09-01,21.5,22.27,21.325001,21.674999,54216000,0.0,1.0
2010-09-02,21.99,22.549999,19.9,20.379999,65226000,0.0,1.0
2010-09-03,20.18,20.5,16.35,18.18,87581000,0.0,1.0
2010-09-06,18.360001,18.360001,15.69,16.940001,86080000,0.0,1.0
2010-09-07,16.9,17.74,16.424999,17.245001,50219000,0.0,1.0
2010-09-08,16.690001,16.799999,15.865,16.17,34288000,0.0,1.0
2010-09-09,16.25,16.360001,15.7,16.105,15285000,0.0,1.0
2010-09-13,16.200001,16.67,15.25,15.64,14549000,0.0,1.0
2010-09-14,15.7,16.34,15.4,15.975,28212000,0.0,1.0
2010-09-15,15.865,16.139999,15.54,15.65,6986000,0.0,1.0
2010-09-16,15.7,15.935,15.455,15.67,7477240,0.0,1.0
2010-09-17,15.72,15.775,15.31,15.51,4093820,0.0,1.0
2010-09-20,15.5,15.665,15.405,15.505,4210930,0.0,1.0
2010-09-21,15.59,15.6,14.92,15.06,4307860,0.0,1.0
2010-09-22,15.19,15.19,14.615,14.905,5837850,0.0,1.0
2010-09-23,14.8,14.805,14.45,14.56,2753270,0.0,1.0
2010-09-24,14.41,15.785,14.15,14.76,17356200,0.0,1.0
2010-09-27,14.91,15.145,14.25,14.435,4729730,0.0,1.0
2010-09-28,14.55,14.67,14.25,14.32,3252660,0.0,1.0
2010-09-29,14.42,14.56,14.14,14.175,2636350,0.0,1.0
2010-09-30,14.2,14.28,13.98,14.03,3531720,0.0,1.0
2010-10-01,14.18,14.23,13.9,14.01,2962810,0.0,1.0
2010-10-04,14.11,14.245,14.005,14.08,2476260,0.0,1.0
2010-10-05,14.05,14.49,14.005,14.245,2980890,0.0,1.0
2010-10-06,14.3,14.44,13.935,14.025,1354810,0.0,1.0
2010-10-07,14.055,14.2,13.915,14,738870,0.0,1.0
2010-10-08,14.075,14.135,13.725,13.805,1461820,0.0,1.0
2010-10-11,14.09,14.4,13.665,13.77,1079910,0.0,1.0
2010-10-12,13.655,14,13.655,13.845,1528220,0.0,1.0
2010-10-13,13.99,14.145,13.79,13.915,1203190,0.0,1.0
2010-10-14,13.99,14.09,13.5,13.72,970130,0.0,1.0
2010-10-15,13.995,13.995,13.6,13.65,878510,0.0,1.0
