date,open,high,low,close,volume,dividend,split
2000-01-03,8.5,8.5,7.6,7.7,4500,0.0,1.0
2000-01-04,7.55,8.5,7.55,7.9,2800,0.0,1.0
2000-01-05,7.7,8,7.6,7.6,2250,0.0,1.0
2000-01-06,7.5,8,7.5,7.5,4400,0.0,1.0
2000-01-07,7.5,8,7.5,7.5,2150,0.0,1.0
2000-01-10,7.5,8.5,7.5,8.5,2000,0.0,1.0
2000-01-11,8,8.5,7.8,8,1100,0.0,1.0
2000-01-12,8.1,8.1,7.5,8,1650,0.0,1.0
2000-01-13,7.5,8,7.5,7.75,5330,0.0,1.0
2000-01-14,7.75,7.8,7.6,7.6,1160,0.0,1.0
2000-01-17,7.5,8.5,7.5,8.5,950,0.0,1.0
2000-01-18,7.7,7.9,7.5,7.9,1300,0.0,1.0
2000-01-19,8.45,8.5,7.5,8,4800,0.0,1.0
2000-01-20,8.5,8.5,7.55,7.6,2700,0.0,1.0
2000-01-21,7.55,8,7.55,7.6,2966,0.0,1.0
2000-01-24,7.25,8,7.25,7.75,950,0.0,1.0
2000-01-25,7.75,7.9,7.75,7.75,1753,0.0,1.0
2000-01-26,7.75,7.75,7.75,7.75,0,0.0,1.0
2000-01-27,7.75,7.75,7.5,7.65,1900,0.0,1.0
2000-01-28,7.5,7.7,7.5,7.7,11850,0.0,1.0
2000-01-31,8,8,7,7,14750,0.0,1.0
2000-02-01,7.5,7.9,7,7.5,11900,0.0,1.0
2000-02-02,7,7.5,7,7.05,6050,0.0,1.0
2000-02-03,7.05,7.05,7.05,7.05,0,0.0,1.0
2000-02-04,7.05,7.1,7,7,15300,0.0,1.0
2000-02-07,6.85,7,6.85,7,13350,0.0,1.0
2000-02-08,7.25,7.25,7,7,4600,0.0,1.0
2000-02-09,7.25,7.25,6.9,7,27150,0.0,1.0
2000-02-10,7,7.2,7,7.2,5900,0.0,1.0
2000-02-11,7,7.05,7,7,9600,0.0,1.0
2000-02-14,7,7,7,7,3283,0.0,1.0
2000-02-15,7.05,7.35,7,7,1700,0.0,1.0
2000-02-16,7,7.1,7,7,16050,0.0,1.0
2000-02-17,7,7.25,7,7,8250,0.0,1.0
2000-02-18,7,7.05,7,7,1550,0.0,1.0
2000-02-21,7.05,7.05,7,7,2500,0.0,1.0
2000-02-22,7.05,7.2,7,7,2350,0.0,1.0
2000-02-23,7,7,7,7,1950,0.0,1.0
2000-02-24,7.3,7.3,7.05,7.05,3400,0.0,1.0
2000-02-25,7,7.3,7,7,4450,0.0,1.0
2000-02-28,7,7.35,7,7.05,5350,0.0,1.0
2000-02-29,7.05,7.05,7.05,7.05,0,0.0,1.0
2000-03-01,7,7,7,7,10899,0.0,1.0
2000-03-02,5.35,7.3,5.35,6.1,5700,0.0,1.0
2000-03-03,6.85,6.85,6.85,6.85,100,0.0,1.0
2000-03-06,5.5,5.7,5.5,5.7,21750,0.0,1.0
2000-03-07,5.6,7,5.6,6.55,3450,0.0,1.0
2000-03-08,6.5,7.5,6.5,7.5,5250,0.0,1.0
2000-03-09,6.8,6.9,6.55,6.75,2600,0.0,1.0
2000-03-10,6.75,6.75,6.75,6.75,400,0.0,1.0
2000-03-13,6.75,6.75,6.75,6.75,0,0.0,1.0
2000-03-14,6.5,6.5,6.35,6.35,700,0.0,1.0
2000-03-15,6.3,6.8,6.3,6.8,12450,0.0,1.0
2000-03-16,6.5,6.5,6.25,6.25,17700,0.0,1.0
2000-03-17,6.25,6.25,6.25,6.25,0,0.0,1.0
2000-03-20,6.25,6.25,6.25,6.25,0,0.0,1.0
2000-03-21,6.25,6.25,6.25,6.25,0,0.0,1.0
2000-03-22,6.05,6.25,6.05,6.15,750,0.0,1.0
2000-03-23,6.05,6.45,6,6.05,11710,0.0,1.0
2000-03-24,6,6.1,6,6,1850,0.0,1.0
2000-03-27,6,7.05,6,7.05,4100,0.0,1.0
2000-03-28,6.05,7,6,6.65,5300,0.0,1.0
