date,open,high,low,close,volume,dividend,split
2012-03-30,5,5,5,5,1500,0.0,1.0
2012-04-02,5.25,5.25,5.25,5.25,100,0.0,1.0
2012-04-03,5.51,5.51,5.51,5.51,500,0.0,1.0
2012-04-04,5.78,5.78,5.78,5.78,200,0.0,1.0
2012-06-22,6.06,6.06,6.06,6.06,125,0.0,1.0
2012-06-25,6.36,6.36,6.36,6.36,50,0.0,1.0
2012-06-26,6.67,6.67,6.67,6.67,50,0.0,1.0
2012-06-27,7,7,7,7,5,0.0,1.0
2012-06-28,7.35,7.35,7.35,7.35,2,0.0,1.0
2012-06-29,7.71,7.71,7.71,7.71,50,0.0,1.0
2012-07-02,8.09,8.09,8.09,8.09,52,0.0,1.0
2012-07-03,8.49,8.49,8.49,8.49,2,0.0,1.0
2012-07-04,8.91,8.91,8.91,8.91,50,0.0,1.0
2012-07-05,9.35,9.35,9.35,9.35,25,0.0,1.0
2012-07-06,9.35,9.35,9.35,9.35,0,0.0,1.0
2012-07-09,9.81,9.81,9.05,9.81,275,0.0,1.0
2012-07-10,9.81,9.81,9.81,9.81,0,0.0,1.0
2012-07-11,10.3,10.3,10.3,10.3,60,0.0,1.0
2012-07-12,10.81,10.81,10.81,10.81,2005,0.0,1.0
2012-07-13,11.35,11.35,11.35,11.35,55,0.0,1.0
2012-07-16,11.91,11.91,11.91,11.91,25,0.0,1.0
2012-07-17,12.5,12.5,12.5,12.5,5,0.0,1.0
2012-07-18,13.12,13.12,13.12,13.12,16,0.0,1.0
2012-07-19,13.77,13.77,13.77,13.77,55,0.0,1.0
2012-07-20,14.45,14.45,14.45,14.45,1014,0.0,1.0
2012-07-23,15.17,15.17,13.75,14.94,576,0.0,1.0
2012-07-24,15.1,15.1,14.2,15.1,630,0.0,1.0
2012-07-25,15.59,15.6,15.59,15.6,400,0.0,1.0
2012-07-26,15.89,15.9,15.89,15.9,400,0.0,1.0
2012-07-27,15.99,15.99,15.99,15.99,3,0.0,1.0
2012-07-30,15.2,16.190001,15.2,16.190001,175,0.0,1.0
2012-07-31,16.99,16.99,15.39,15.79,50,0.0,1.0
2012-08-01,15.05,16,15.05,15.1,4218,0.0,1.0
2012-08-02,15.7,15.7,15.7,15.7,2,0.0,1.0
2012-08-03,15.7,15.7,15.7,15.7,25,0.0,1.0
2012-08-06,15.8,15.8,15.5,15.5,4506,0.0,1.0
2012-08-07,16,16,15.5,16,304,0.0,1.0
2012-08-08,16,16,16,16,0,0.0,1.0
2012-08-09,15.5,15.5,15.5,15.5,5025,0.0,1.0
2012-08-10,16,16,16,16,201,0.0,1.0
2012-08-13,16.5,16.5,16.5,16.5,1,0.0,1.0
2012-08-14,15.75,15.75,15.75,15.75,139,0.0,1.0
2012-08-16,15.75,15.75,15.75,15.75,0,0.0,1.0
2012-08-17,15.75,15.75,15.75,15.75,900,0.0,1.0
2012-08-21,16.4,16.4,16.4,16.4,1,0.0,1.0
