date,open,high,low,close,volume,dividend,split
2005-07-07,50,59.799999,45,49.110001,27584850,0.0,1.0
2005-07-08,49.939999,51.34,45.82,46.630001,10301580,0.0,1.0
2005-07-11,47,49.580002,44.799999,48.32,10033830,0.0,1.0
2005-07-12,48.450001,48.779999,46,46.290001,2307930,0.0,1.0
2005-07-13,46.400002,46.759998,43.619999,44.110001,1521575,0.0,1.0
2005-07-14,44.400002,44.880001,42.599998,42.990002,1553050,0.0,1.0
2005-07-15,43.099998,44.060001,41.439999,41.869999,1082870,0.0,1.0
2005-07-18,42.599998,44.349998,41.799999,43.48,1942495,0.0,1.0
2005-07-19,43.639999,43.970001,42.200001,42.450001,619460,0.0,1.0
2005-07-20,42.919998,43,41.220001,41.57,491550,0.0,1.0
2005-07-21,41.98,42.400002,40.48,40.720001,589065,0.0,1.0
2005-07-22,40.799999,41.389999,40.099998,41,619630,0.0,1.0
2005-07-25,41,43.5,41,41.82,649360,0.0,1.0
2005-07-26,41.5,42.080002,41,41.25,352705,0.0,1.0
2005-07-27,41.299999,41.48,41,41.060001,143215,0.0,1.0
2005-07-29,40.599998,41.959999,40.599998,41.16,255475,0.0,1.0
2005-08-01,41.279999,41.599998,41.009998,41.259998,120660,0.0,1.0
2005-08-02,41.220001,42.400002,36,40.919998,8987125,0.0,1.0
2005-08-03,39.529999,40.959999,37.400002,39.84,3442065,0.0,1.0
2005-08-04,39.200001,41.220001,39.200001,39.91,959980,0.0,1.0
2005-08-05,39.630001,39.990002,38.400002,38.75,486700,0.0,1.0
2005-08-08,39,40.220001,38.200001,38.509998,525100,0.0,1.0
2005-08-09,38.889999,39.349998,37.060001,37.470001,453380,0.0,1.0
2005-08-10,38.200001,38.200001,37.110001,37.349998,461060,0.0,1.0
2005-08-11,37.599998,38.959999,37,38.099998,485925,0.0,1.0
2005-08-12,38,38.380001,37.02,37.400002,161075,0.0,1.0
2005-08-16,37.759998,38.060001,37.400002,37.490002,134270,0.0,1.0
2005-08-17,37.759998,38.849998,36.799999,38.07,245315,0.0,1.0
2005-08-18,38.400002,38.400002,36.599998,36.759998,297595,0.0,1.0
2005-08-19,37.400002,37.48,36.599998,36.689999,120935,0.0,1.0
2005-08-22,37,39,37,37.360001,430135,0.0,1.0
2005-08-23,37.599998,37.799999,36,36.41,152795,0.0,1.0
2005-08-24,36.700001,36.700001,35.23,35.57,158565,0.0,1.0
2005-08-25,36,36.18,35.25,35.5,71090,0.0,1.0
2005-08-26,35.799999,35.799999,35.040001,35.419998,119990,0.0,1.0
2005-08-29,35.400002,35.700001,35.049999,35.330002,58820,0.0,1.0
2005-08-30,35.799999,35.799999,35.02,35.459999,74230,0.0,1.0
2005-08-31,35.599998,37.200001,35.41,35.73,218375,0.0,1.0
2005-09-01,35.939999,36.400002,35.700001,35.98,137720,0.0,1.0
2005-09-02,36.299999,36.400002,35.240002,35.360001,104545,0.0,1.0
2005-09-05,36,36.990002,35.599998,35.919998,296505,0.0,1.0
2005-09-06,36.380001,38.959999,35.599998,37.970001,1668410,0.0,1.0
2005-09-08,38.900002,40.799999,38.900002,39.509998,1124490,0.0,1.0
2005-09-09,39.869999,39.869999,38,38.560001,254960,0.0,1.0
2005-09-12,38.599998,38.779999,37,37.259998,164545,0.0,1.0
2005-09-13,37.68,38.599998,37.200001,38.049999,230840,0.0,1.0
2005-09-14,37.82,38.779999,37.029999,37.400002,233825,0.0,1.0
2005-09-15,37.630001,39.880001,36.599998,39.099998,970095,0.0,1.0
2005-09-16,40.02,40.959999,38.709999,38.970001,815900,0.0,1.0
2005-09-19,39.200001,39.34,38.099998,38.259998,194435,0.0,1.0
2005-09-20,38.970001,38.970001,37.029999,37.580002,197635,0.0,1.0
2005-09-21,37.959999,37.959999,35,36.299999,215985,0.0,1.0
2005-09-22,35.799999,36.599998,33.799999,34.119999,152165,0.0,1.0
2005-09-23,35.18,35.189999,33.23,34.220001,152700,0.0,1.0
2005-09-26,35,36.400002,34.220001,35.57,236055,0.0,1.0
2005-09-27,35.939999,36.380001,35.27,35.5,125815,0.0,1.0
2005-09-28,35.799999,35.799999,34.599998,34.790001,133090,0.0,1.0
2005-09-29,35.150002,35.150002,34.220001,34.43,85670,0.0,1.0
2005-09-30,34.310001,34.389999,33.400002,33.599998,117940,0.0,1.0
2005-10-03,34,36.400002,33.029999,36.040001,476005,0.0,1.0
2005-10-04,36.360001,38.360001,35.400002,36.77,1117355,0.0,1.0
2005-10-05,37.240002,37.290001,35.220001,35.48,201615,0.0,1.0
2005-10-06,35.439999,35.889999,34.310001,35.169998,111260,0.0,1.0
2005-10-07,35.790001,35.799999,34.029999,34.41,134210,0.0,1.0
2005-10-10,34.700001,35.740002,34.599998,34.689999,142620,0.0,1.0
2005-10-11,35.299999,35.299999,33.849998,34.119999,111180,0.0,1.0
2005-10-13,34.400002,34.689999,33.599998,33.91,59860,0.0,1.0
2005-10-14,33.810001,34.580002,33.080002,33.27,79750,0.0,1.0
2005-10-17,33.84,33.84,32.5,32.689999,66495,0.0,1.0
2005-10-18,33.400002,33.400002,32,32.290001,64910,0.0,1.0
2005-10-19,31.799999,32.200001,30,30.450001,91760,0.0,1.0
2005-10-20,31.700001,31.700001,28.809999,29.01,155475,0.0,1.0
2005-10-21,29.4,29.4,27.799999,28.549999,111315,0.0,1.0
2005-10-24,28.969999,29.16,28.1,28.35,117340,0.0,1.0
2005-10-25,28.6,28.940001,27.610001,27.889999,102765,0.0,1.0
2005-10-26,27.879999,28,27.01,27.190001,87150,0.0,1.0
2005-10-27,27.4,27.58,27.02,27.299999,61950,0.0,1.0
2005-10-28,27.23,27.5,25,25.360001,155705,0.0,1.0
2005-10-31,25.690001,26.5,24.65,24.85,186610,0.0,1.0
2005-11-02,26.02,26.02,25.43,25.549999,88150,0.0,1.0
2005-11-07,25.4,26.15,25.23,25.73,75250,0.0,1.0
2005-11-08,25.99,27.34,25.6,25.9,381390,0.0,1.0
2005-11-09,26.690001,26.690001,25.1,25.23,246980,0.0,1.0
2005-11-10,25.48,26.6,24.92,25.59,760515,0.0,1.0
2005-11-11,25.98,26.17,25.02,25.17,528320,0.0,1.0
2005-11-14,25.48,25.879999,25.4,25.540001,131825,0.0,1.0
2005-11-16,25.66,26.559999,25.58,26.16,350225,0.0,1.0
2005-11-17,26.370001,28.690001,26.15,28.219999,1996490,0.0,1.0
2005-11-18,28.459999,28.58,27.23,27.440001,817250,0.0,1.0
2005-11-21,27.41,27.58,26.559999,26.66,142080,0.0,1.0
2005-11-22,26.52,27.139999,26.07,26.219999,180505,0.0,1.0
2005-11-23,26.9,27.1,26.24,26.68,162705,0.0,1.0
2005-11-24,26.9,29.559999,26.77,28.799999,1863095,0.0,1.0
2005-11-25,29,34.380001,29,33.869999,10510060,0.0,1.0
2005-11-28,37.580002,40.34,37.560001,38.59,9300065,0.0,1.0
2005-11-29,38.68,38.939999,36.720001,37.110001,3892295,0.0,1.0
2005-11-30,37.470001,39.799999,37.27,37.639999,5735760,0.0,1.0
2005-12-01,37.779999,38.759998,37.599998,37.950001,1799290,0.0,1.0
2005-12-02,38.23,38.779999,37.02,37.130001,1445375,0.0,1.0
2005-12-05,37.369999,37.48,35.740002,35.98,649530,0.0,1.0
2005-12-06,36.099998,38.080002,35.400002,36.75,2710450,0.0,1.0
2005-12-07,37,37.73,36.700001,37.220001,1241615,0.0,1.0
2005-12-08,37.560001,38.560001,37.400002,37.93,2222380,0.0,1.0
2005-12-09,38.169998,38.200001,36.860001,37.09,779285,0.0,1.0
2005-12-12,37.299999,37.380001,36.060001,36.200001,445445,0.0,1.0
2005-12-13,36.380001,36.48,35.41,35.66,333120,0.0,1.0
2005-12-14,35.84,37.5,35.720001,36.080002,940060,0.0,1.0
2005-12-15,36.400002,36.59,35,35.259998,319470,0.0,1.0
2005-12-16,35.59,35.599998,34.75,34.869999,324735,0.0,1.0
2005-12-19,35,37.400002,34.900002,36.599998,1445765,0.0,1.0
2005-12-20,34,36.84,34,35.360001,402110,0.0,1.0
2005-12-21,35.57,36.939999,35.52,35.939999,629150,0.0,1.0
2005-12-22,36.599998,39.529999,36.23,39.169998,5621870,0.0,1.0
2005-12-23,40.400002,43.080002,40,42.709999,13454040,0.0,1.0
2005-12-26,42.610001,43.200001,40.580002,40.580002,2293640,0.0,1.0
2005-12-27,38.799999,42,38.560001,41.169998,5643380,0.0,1.0
2005-12-28,41.599998,41.939999,39.23,39.880001,3004380,0.0,1.0
2005-12-29,39.880001,41.599998,39.880001,40.549999,2245535,0.0,1.0
2005-12-30,40.799999,41.790001,40.419998,41.34,1888640,0.0,1.0
2006-01-02,41.450001,43.400002,41.450001,43.369999,4044905,0.0,1.0
2006-01-03,43.880001,44.48,42.799999,43.189999,1860000,0.0,1.0
2006-01-04,43.5,44.360001,43.310001,43.990002,1043770,0.0,1.0
2006-01-05,44.470001,46.18,43,46.18,4548945,0.0,1.0
2006-01-06,46.66,47.5,45,45.43,2106350,0.0,1.0
2006-01-09,45.77,47.400002,45.610001,46.84,1302355,0.0,1.0
2006-01-10,46.900002,49.18,46.299999,49.18,2053705,0.0,1.0
2006-01-12,49.57,51.630001,48.5,51.630001,1215570,0.0,1.0
